siRNA Identifier	Gene Identifier	Gene Symbol	Gene Description	Deviation	Overall Strong Inhibitor Gene Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1
SI00399616	ENSG00000017621	MAGIX	"PDZ domain containing, X chromosome"	1.7498	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03138268	ENSG00000018189	RUFY3	RUN and FYVE domain containing 3	2.412	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00055167	ENSG00000025423	HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6	2.5207	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00030478	ENSG00000025708	TYMP	endothelial cell growth factor 1 (platelet-derived)	1.8189	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752388	ENSG00000032742	IFT88	intraflagellar transport 88 homolog (Chlamydomonas)	1.1267	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00653828	ENSG00000036448	MYOM2	"myomesin (M-protein) 2, 165kDa"	2.6653	yes	yes	multiple replicates of reagent	strong inhibition of secretion
122772	ENSG00000039123	SKIV2L2	superkiller viralicidic activity 2-like 2		yes			
122773	ENSG00000039123	SKIV2L2	superkiller viralicidic activity 2-like 2		yes			
SI03205930	ENSG00000040199	PHLPP2	PH domain and leucine rich repeat protein phosphatase-like	2.2938	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00325143	ENSG00000042062	C20orf175	chromosome 20 open reading frame 175	1.586	yes	yes	multiple replicates of reagent	strong inhibition of secretion
14076	ENSG00000042753	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"	3.0468	yes	yes	multiple replicates of reagent	strong inhibition of secretion
14169	ENSG00000042753	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"	2.6971	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00297458	ENSG00000042753	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"	1.2909	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00094899	ENSG00000043355	ZIC2	"Zic family member 2 (odd-paired homolog, Drosophila)"	2.4693	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00484484	ENSG00000048405	ZNF800	zinc finger protein 800	2.1207	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03094805	ENSG00000049249	TNFRSF9	"tumor necrosis factor receptor superfamily, member 9"	2.2456	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00013118	ENSG00000049323	LTBP1	latent transforming growth factor beta binding protein 1	2.3347	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02639784	ENSG00000050165	DKK3	dickkopf homolog 3 (Xenopus laevis)	2.0096	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00629636	ENSG00000053501	USE1	uncharacterized hematopoietic stem/progenitor cells protein MDS032	2.5556	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00141001	ENSG00000053702	NRIP2	nuclear receptor interacting protein 2	1.7222	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03079265	ENSG00000054356	PTPRN	"protein tyrosine phosphatase, receptor type, N"	2.4013	yes	yes	multiple replicates of reagent	strong inhibition of secretion
140651	ENSG00000057704	TMCC3	transmembrane and coiled-coil domain family 3		yes			
140652	ENSG00000057704	TMCC3	transmembrane and coiled-coil domain family 3		yes			
SI00350378	ENSG00000060718	COL11A1	"collagen, type XI, alpha 1"	2.2849	yes	yes	multiple replicates of reagent	strong inhibition of secretion
127343	ENSG00000062194	GPBP1	GC-rich promoter binding protein 1	2.3576	yes	yes	multiple replicates of reagent	strong inhibition of secretion
127344	ENSG00000062194	GPBP1	GC-rich promoter binding protein 1	3.4906	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00036442	ENSG00000062524	LTK	leukocyte tyrosine kinase	1.6306	yes	yes	multiple replicates of reagent	strong inhibition of secretion
22280	ENSG00000064270	ATP2C2	"ATPase, Ca++ transporting, type 2C, member 2"	2.8183	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00108444	ENSG00000064270	ATP2C2	"ATPase, Ca++ transporting, type 2C, member 2"	3.8274	yes	yes	multiple replicates of reagent	strong inhibition of secretion
22184	ENSG00000064270	ATP2C2	"ATPase, Ca++ transporting, type 2C, member 2"		yes			
SI00628978	ENSG00000065328	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	3.0203	yes	yes	multiple replicates of reagent	strong inhibition of secretion
12491	ENSG00000066117	SMARCD1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	2.0706	yes	yes	multiple replicates of reagent	strong inhibition of secretion
12584	ENSG00000066117	SMARCD1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	2.63	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03019863	ENSG00000066735	KIF26A	kinesin family member 26A	2.1484	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00361438	ENSG00000067048	DDX3Y	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"	1.9329	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00737667	ENSG00000067715	SYT1	synaptotagmin I	1.3682	yes	yes	multiple replicates of reagent	strong inhibition of secretion
136455	ENSG00000068903	SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	2.1661	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00098406	ENSG00000068903	SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	2.1704	yes	yes	multiple replicates of reagent	strong inhibition of secretion
136456	ENSG00000068903	SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)		yes			
SI00049602	ENSG00000069702	TGFBR3	"transforming growth factor, beta receptor III (betaglycan, 300kDa)"	2.2354	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00657314	ENSG00000069869	NEDD4	"neural precursor cell expressed, developmentally down-regulated 4"	2.107	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00684530	ENSG00000069943	PIGB	"phosphatidylinositol glycan anchor biosynthesis, class B"	1.8071	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00109851	ENSG00000070495	JMJD6	phosphatidylserine receptor	1.1489	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00118671	ENSG00000071462	WBSCR22	Williams Beuren syndrome chromosome region 22	2.8134	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03025169	ENSG00000071539	TRIP13	thyroid hormone receptor interactor 13	3.0113	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00047558	ENSG00000071794	HLTF	helicase-like transcription factor	1.5935	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00288295	ENSG00000072518	MARK2	MAP/microtubule affinity-regulating kinase 2	1.3705	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02731127	ENSG00000072832	CRMP1	collapsin response mediator protein 1	1.8246	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00089110	ENSG00000073008	PVR	poliovirus receptor	2.7928	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00055125	ENSG00000073282	TP63	tumor protein p73-like	1.7167	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02656479	ENSG00000073584	SMARCE1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"	2.3796	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00037072	ENSG00000073670	ADAM11	ADAM metallopeptidase domain 11	1.8185	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00095004	ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein	3.0746	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00376299	ENSG00000074266	EED	embryonic ectoderm development	1.6176	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00442358	ENSG00000074356	C17orf85	chromosome 17 open reading frame 85	1.0641	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00322266	ENSG00000074842	C19orf10	chromosome 19 open reading frame 10	2.2788	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00462539	ENSG00000075945	KIFAP3	kinesin-associated protein 3	2.5339	yes	yes	multiple replicates of reagent	strong inhibition of secretion
1228	ENSG00000077044	DGKD	"diacylglycerol kinase, delta 130kDa"	1.4276	yes	yes	multiple replicates of reagent	strong inhibition of secretion
1418	ENSG00000077044	DGKD	"diacylglycerol kinase, delta 130kDa"	2.2368	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00114240	ENSG00000077080	ACTL6B	actin-like 6B	2.6495	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02653644	ENSG00000077152	UBE2T	ubiquitin-conjugating enzyme E2T (putative)	2.879	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00297878	ENSG00000077420	APBB1IP	"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"	1.0089	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03061870	ENSG00000079393	DUSP13	dual specificity phosphatase 13	1.7501	yes	yes	multiple replicates of reagent	strong inhibition of secretion
15488	ENSG00000079805	DNM2	dynamin 2	2.7273	yes	yes	multiple replicates of reagent	strong inhibition of secretion
15581	ENSG00000079805	DNM2	dynamin 2		yes			
SI03136910	ENSG00000081913	PHLPP1	PH domain and leucine rich repeat protein phosphatase	1.4964	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00691040	ENSG00000084072	PPIE	peptidylprolyl isomerase E (cyclophilin E)	1.6453	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00003920	ENSG00000084754	HADHA	"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit"	1.3776	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00102193	ENSG00000085514	PILRA	paired immunoglobin-like type 2 receptor alpha	1.0907	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00755125	ENSG00000086289	EPDR1	ependymin related protein 1 (zebrafish)	2.8108	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00013664	ENSG00000087085	ACHE	acetylcholinesterase	1.6934	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00304647	ENSG00000087087	SRRT	serrate RNA effector molecule homolog	1.978	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00457842	ENSG00000088888	MAVS	virus-induced signaling adapter	1.5702	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00344372	ENSG00000089195	TRMT6	tRNA methyltransferase 6 homolog	1.4505	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00774424	ENSG00000089775	ZBTB25	zinc finger and BTB domain containing 25	3.3564	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00022981	ENSG00000091262	ABCC6	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"	2.488	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03096212	ENSG00000092445	TYRO3	TYRO3 protein tyrosine kinase	3.2295	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00072429	ENSG00000093217	XYLB	xylulokinase homolog (H. influenzae)	4.6095	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00380331	ENSG00000095203	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	3.1946	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00374395	ENSG00000096696	DSP	desmoplakin	1.5115	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03045161	ENSG00000099246	RAB18	"RAB18, member RAS oncogene family"	1.0759	yes	yes	multiple replicates of reagent	strong inhibition of secretion
225951	ENSG00000099308	MAST3	microtubule associated serine/threonine kinase 3	2.8701	yes	yes	multiple replicates of reagent	strong inhibition of secretion
225952	ENSG00000099308	MAST3	microtubule associated serine/threonine kinase 3	3.7591	yes	yes	multiple replicates of reagent	strong inhibition of secretion
128841	ENSG00000099365	STX1B	syntaxin 1B	3.4124	yes	yes	multiple replicates of reagent	strong inhibition of secretion
128842	ENSG00000099365	STX1B	syntaxin 1B	1.689	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00347053	ENSG00000099622	CIRBP	cold inducible RNA binding protein	2.4172	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00752976	ENSG00000100271	TTLL1	"tubulin tyrosine ligase-like family, member 1"	1.5965	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00696227	ENSG00000100362	PVALB	parvalbumin	2.4155	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00297703	ENSG00000100478	AP4S1	"adaptor-related protein complex 4, sigma 1 subunit"	1.8337	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00729323	ENSG00000100485	SOS2	son of sevenless homolog 2 (Drosophila)	2.213	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02665628	ENSG00000100526	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1.0545	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03101658	ENSG00000100532	CGRRF1	cell growth regulator with ring finger domain 1	1.8965	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00307622	ENSG00000100554	ATP6V1D	"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D"	2.4404	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00684607	ENSG00000100564	PIGH	"phosphatidylinositol glycan anchor biosynthesis, class H"	2.1047	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00745297	ENSG00000100575	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)	1.7066	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02645986	ENSG00000100697	DICER1	"Dicer1, Dcr-1 homolog (Drosophila)"	1.3386	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00432495	ENSG00000101181	GTPBP5	GTP binding protein 5 (putative)	2.42	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00004648	ENSG00000101384	JAG1	jagged 1 (Alagille syndrome)	1.5747	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00056525	ENSG00000101782	RIOK3	RIO kinase 3 (yeast)	1.3653	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00727524	ENSG00000102172	SMS	spermine synthase	2.124	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00739025	ENSG00000102387	TAF7L	"TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa"	2.1156	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00317800	ENSG00000102445	C13orf18	chromosome 13 open reading frame 18	1.154	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00004977	ENSG00000102683	SGCG	"sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)"	1.1259	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00433895	ENSG00000103044	HAS3	hyaluronan synthase 3	1.7265	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00433475	ENSG00000103253	HAGHL	hydroxyacylglutathione hydrolase-like	1.0647	yes	yes	multiple replicates of reagent	strong inhibition of secretion
905	ENSG00000103319	EEF2K	eukaryotic elongation factor-2 kinase	4.1381	yes	yes	multiple replicates of reagent	strong inhibition of secretion
907	ENSG00000103319	EEF2K	eukaryotic elongation factor-2 kinase	2.6394	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00628453	ENSG00000103495	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	1.6387	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00651084	ENSG00000103707	MTFMT	mitochondrial methionyl-tRNA formyltransferase	1.8571	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00066801	ENSG00000103769	RAB11A	"RAB11A, member RAS oncogene family"	1.8486	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00399469	ENSG00000104133	SPG11	spastic paraplegia 11 (autosomal recessive)	2.6517	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02777397	ENSG00000104695	PPP2CB	"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform"	2.1458	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00091686	ENSG00000104723	TUSC3	tumor suppressor candidate 3	1.4659	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00035154	ENSG00000104783	KCNN4	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"	2.4671	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00515599	ENSG00000104983	CCDC61	coiled-coil domain containing 61	2.3626	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00322301	ENSG00000105216	LSM14A	"LSM14 homolog A (SCD6, S. cerevisiae)"	2.6092	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03178847	ENSG00000105254	TBCB	tubulin folding cofactor B	2.0628	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00697557	ENSG00000105404	RABAC1	Rab acceptor 1 (prenylated)	2.0377	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00061299	ENSG00000105443	CYTH2	"pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)"	2.1379	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00685762	ENSG00000105499	PLA2G4C	"phospholipase A2, group IVC (cytosolic, calcium-independent)"	2.6775	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00112609	ENSG00000105699	LSR	lipolysis stimulated lipoprotein receptor	1.9741	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00032627	ENSG00000105737	GRIK5	"glutamate receptor, ionotropic, kainate 5"	1.7551	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00448371	ENSG00000106012	IQCE	IQ motif containing E	1.6342	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00444857	ENSG00000106302	HYAL4	hyaluronoglucosaminidase 4	2.2881	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00779149	ENSG00000106400	ZNHIT1	"zinc finger, HIT type 1"	3.1794	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00022302	ENSG00000106624	AEBP1	AE binding protein 1	1.0996	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00063378	ENSG00000106976	DNM1	dynamin 1	1.8061	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00378371	ENSG00000107105	ELAVL2	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"	1.2795	yes	yes	multiple replicates of reagent	strong inhibition of secretion
137821	ENSG00000107789	MINPP1	multiple inositol-polyphosphate phosphatase 1		yes			
137819	ENSG00000107789	MINPP1	multiple inositol-polyphosphate phosphatase 1		yes			
SI00071596	ENSG00000107859	PITX3	paired-like homeodomain transcription factor 3	1.5323	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00352779	ENSG00000107864	CPEB3	cytoplasmic polyadenylation element binding protein 3	3.0309	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00316883	ENSG00000108100	CCNY	cyclin Y	1.8735	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00738500	ENSG00000108264	TADA2A	"transcriptional adaptor 2 (ADA2 homolog, yeast)-like"	1.3121	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00062216	ENSG00000108433	GOSR2	golgi SNAP receptor complex member 2	2.0509	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00009065	ENSG00000108786	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	2.5359	yes	yes	multiple replicates of reagent	strong inhibition of secretion
140355	ENSG00000108848	LUC7L3	LUC7-like 3 (S. cerevisiae)	2.4187	yes	yes	multiple replicates of reagent	strong inhibition of secretion
140354	ENSG00000108848	LUC7L3	LUC7-like 3 (S. cerevisiae)		yes			
SI02661218	ENSG00000109332	UBE2D3	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"	1.0644	yes	yes	multiple replicates of reagent	strong inhibition of secretion
111953	ENSG00000109576	AADAT	aminoadipate aminotransferase	1.8117	yes	yes	multiple replicates of reagent	strong inhibition of secretion
111952	ENSG00000109576	AADAT	aminoadipate aminotransferase	3.9797	yes	yes	multiple replicates of reagent	strong inhibition of secretion
111951	ENSG00000109576	AADAT	aminoadipate aminotransferase		yes			
SI00016436	ENSG00000109738	GLRB	"glycine receptor, beta"	1.8922	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00742350	ENSG00000109927	TECTA	tectorin alpha	3.2484	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00696185	ENSG00000110060	PUS3	pseudouridylate synthase 3	1.6319	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03046092	ENSG00000110514	MADD	MAP-kinase activating death domain	1.9018	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00693532	ENSG00000111215	PRR4	proline rich 4 (lacrimal)	1.9107	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00377314	ENSG00000111361	EIF2B1	"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa"	2.3857	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00035833	ENSG00000111716	LDHB	lactate dehydrogenase B	1.2305	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00434602	ENSG00000111727	HCFC2	host cell factor C2	2.0439	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00629419	ENSG00000112159	MDN1	"MDN1, midasin homolog (yeast)"	2.3591	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00774333	ENSG00000112200	ZNF451	zinc finger protein 451	2.0027	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00696367	ENSG00000112273	HDGFL1	hepatoma derived growth factor-like 1	1.9604	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00309120	ENSG00000112309	B3GAT2	"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)"	1.6477	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00452648	ENSG00000112624	KIAA0240	KIAA0240	1.3882	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00095557	ENSG00000114209	PDCD10	programmed cell death 10	3.5328	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00687470	ENSG00000114698	PLSCR4	phospholipid scramblase 4	1.1885	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00030135	ENSG00000114956	DGUOK	deoxyguanosine kinase	1.1426	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02664298	ENSG00000115091	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	3.2457	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00734482	ENSG00000115145	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	2.2524	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00739361	ENSG00000115183	TANC1	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"	3.3942	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00647857	ENSG00000115204	MPV17	MpV17 mitochondrial inner membrane protein	3.6995	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00680890	ENSG00000115257	PCSK4	proprotein convertase subtilisin/kexin type 4	2.6047	yes	yes	multiple replicates of reagent	strong inhibition of secretion
125359	ENSG00000115267	IFIH1	interferon induced with helicase C domain 1	2.5847	yes	yes	multiple replicates of reagent	strong inhibition of secretion
125360	ENSG00000115267	IFIH1	interferon induced with helicase C domain 1	2.456	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00445865	ENSG00000115267	IFIH1	interferon induced with helicase C domain 1	1.3411	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00393883	ENSG00000115363	FAM176A	"family with sequence similarity 176, member A"	1.734	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00392259	ENSG00000115368	WDR75	WD repeat domain 75	3.6501	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00758464	ENSG00000115464	USP34	ubiquitin specific peptidase 34	2.3419	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00056882	ENSG00000115604	IL18R1	interleukin 18 receptor 1	2.3972	yes	yes	multiple replicates of reagent	strong inhibition of secretion
105549	ENSG00000115718	PROC	protein C (inactivator of coagulation factors Va and VIIIa)	3.3105	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00006839	ENSG00000115718	PROC	protein C (inactivator of coagulation factors Va and VIIIa)	1.9933	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00130284	ENSG00000116574	RHOU	"ras homolog gene family, member U"	1.6811	yes	yes	multiple replicates of reagent	strong inhibition of secretion
120631	ENSG00000116574	RHOU	"ras homolog gene family, member U"		yes			
120632	ENSG00000116574	RHOU	"ras homolog gene family, member U"		yes			
SI00396900	ENSG00000116580	GON4L	gon-4-like (C. elegans)	1.8958	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00687106	ENSG00000116786	PLEKHM2	"pleckstrin homology domain containing, family M (with RUN domain) member 2"	1.6835	yes	yes	multiple replicates of reagent	strong inhibition of secretion
