Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
YDR532C	KRE28	yes	yes	gene	altered kinetochore foci
YPR159W	KRE6	yes	yes	gene	altered kinetochore foci
YKR061W	KTR2	yes	yes	gene	altered kinetochore foci
YBL006C	LDB7	yes	yes	gene	altered kinetochore foci
YPL213W	LEA1	yes	yes	gene	altered kinetochore foci
YPL055C	LGE1	yes	yes	gene	altered kinetochore foci
YLR239C	LIP2	yes	yes	gene	altered kinetochore foci
YPR139C	LOA1	yes	yes	gene	altered kinetochore foci
YJL124C	LSM1	yes	yes	gene	altered kinetochore foci
YDR378C	LSM6	yes	yes	gene	altered kinetochore foci
YNL268W	LYP1	yes	yes	gene	altered kinetochore foci
YDR034C	LYS14	yes	yes	gene	altered kinetochore foci
YDR234W	LYS4	yes	yes	gene	altered kinetochore foci
YNR050C	LYS9	yes	yes	gene	altered kinetochore foci
YGL086W	MAD1	yes	yes	gene	altered kinetochore foci
YJL030W	MAD2	yes	yes	gene	altered kinetochore foci
YJR135C	MCM22	yes	yes	gene	altered kinetochore foci
YDL005C	MED2	yes	yes	gene	altered kinetochore foci
YJL102W	MEF2	yes	yes	gene	altered kinetochore foci
YOR241W	MET7	yes	yes	gene	altered kinetochore foci
YOR330C	MIP1	yes	yes	gene	altered kinetochore foci
YPR164W	MMS1	yes	yes	gene	altered kinetochore foci
YGL143C	MRF1	yes	yes	gene	altered kinetochore foci
YGL136C	MRM2	yes	yes	gene	altered kinetochore foci
YPL118W	MRP51	yes	yes	gene	altered kinetochore foci
YKR085C	MRPL20	yes	yes	gene	altered kinetochore foci
YDR462W	MRPL28	yes	yes	gene	altered kinetochore foci
YKL138C	MRPL31	yes	yes	gene	altered kinetochore foci
YKL170W	MRPL38	yes	yes	gene	altered kinetochore foci
YLR439W	MRPL4	yes	yes	gene	altered kinetochore foci
YJL096W	MRPL49	yes	yes	gene	altered kinetochore foci
YMR158W	MRPS8	yes	yes	gene	altered kinetochore foci
YBR146W	MRPS9	yes	yes	gene	altered kinetochore foci
YIR021W	MRS1	yes	yes	gene	altered kinetochore foci
YPL104W	MSD1	yes	yes	gene	altered kinetochore foci
YKL194C	MST1	yes	yes	gene	altered kinetochore foci
YMR080C	NAM7	yes	yes	gene	altered kinetochore foci
YPR131C	NAT3	yes	yes	gene	altered kinetochore foci
YDR176W	NGG1	yes	yes	gene	altered kinetochore foci
YHR077C	NMD2	yes	yes	gene	altered kinetochore foci
YKL057C	NUP120	yes	yes	gene	altered kinetochore foci
YKR082W	NUP133	yes	yes	gene	altered kinetochore foci
YDL116W	NUP84	yes	yes	gene	altered kinetochore foci
YLR148W	PEP3	yes	yes	gene	altered kinetochore foci
YOR158W	PET123	yes	yes	gene	altered kinetochore foci
YJR034W	PET191	yes	yes	gene	altered kinetochore foci
YNR045W	PET494	yes	yes	gene	altered kinetochore foci
YJL179W	PFD1	yes	yes	gene	altered kinetochore foci
YGL025C	PGD1	yes	yes	gene	altered kinetochore foci
YOL001W	PHO80	yes	yes	gene	altered kinetochore foci
YNR052C	POP2	yes	yes	gene	altered kinetochore foci
YOR323C	PRO2	yes	yes	gene	altered kinetochore foci
YHL011C	PRS3	yes	yes	gene	altered kinetochore foci
YLR204W	QRI5	yes	yes	gene	altered kinetochore foci
YCR066W	RAD18	yes	yes	gene	altered kinetochore foci
YBR005W	RCR1	yes	yes	gene	altered kinetochore foci
YDR195W	REF2	yes	yes	gene	altered kinetochore foci
YBR267W	REI1	yes	yes	gene	altered kinetochore foci
YOL143C	RIB4	yes	yes	gene	altered kinetochore foci
YCR028C-A	RIM1	yes	yes	gene	altered kinetochore foci
YBL093C	ROX3	yes	yes	gene	altered kinetochore foci
YGL070C	RPB9	yes	yes	gene	altered kinetochore foci
YNL330C	RPD3	yes	yes	gene	altered kinetochore foci
YMR142C	RPL13B	yes	yes	gene	altered kinetochore foci
YGL135W	RPL1B	yes	yes	gene	altered kinetochore foci
YDL075W	RPL31A	yes	yes	gene	altered kinetochore foci
YIL052C	RPL34B	yes	yes	gene	altered kinetochore foci
YDL130W	RPP1B	yes	yes	gene	altered kinetochore foci
YOR369C	RPS12	yes	yes	gene	altered kinetochore foci
YDL061C	RPS29B	yes	yes	gene	altered kinetochore foci
YPL090C	RPS6A	yes	yes	gene	altered kinetochore foci
YBR189W	RPS9B	yes	yes	gene	altered kinetochore foci
YPL152W	RRD2	yes	yes	gene	altered kinetochore foci
YHR038W	RRF1	yes	yes	gene	altered kinetochore foci
YOR001W	RRP6	yes	yes	gene	altered kinetochore foci
YDR083W	RRP8	yes	yes	gene	altered kinetochore foci
YPL193W	RSA1	yes	yes	gene	altered kinetochore foci
YOR049C	RSB1	yes	yes	gene	altered kinetochore foci
YGR056W	RSC1	yes	yes	gene	altered kinetochore foci
YLR357W	RSC2	yes	yes	gene	altered kinetochore foci
YGL129C	RSM23	yes	yes	gene	altered kinetochore foci
YJR113C	RSM7	yes	yes	gene	altered kinetochore foci
YOR014W	RTS1	yes	yes	gene	altered kinetochore foci
YJL080C	SCP160	yes	yes	gene	altered kinetochore foci
YLR403W	SFP1	yes	yes	gene	altered kinetochore foci
YCL010C	SGF29	yes	yes	gene	altered kinetochore foci
YBL031W	SHE1	yes	yes	gene	altered kinetochore foci
YNL243W	SLA2	yes	yes	gene	altered kinetochore foci
YOR195W	SLK19	yes	yes	gene	altered kinetochore foci
YNR023W	SNF12	yes	yes	gene	altered kinetochore foci
YGL115W	SNF4	yes	yes	gene	altered kinetochore foci
YGL127C	SOH1	yes	yes	gene	altered kinetochore foci
YAL047C	SPC72	yes	yes	gene	altered kinetochore foci
YBR081C	SPT7	yes	yes	gene	altered kinetochore foci
YHR041C	SRB2	yes	yes	gene	altered kinetochore foci
YLR452C	SST2	yes	yes	gene	altered kinetochore foci
YER111C	SWI4	yes	yes	gene	altered kinetochore foci
YPL129W	TAF14	yes	yes	gene	altered kinetochore foci
YDL185W	TFP1	yes	yes	gene	altered kinetochore foci
YPL157W	TGS1	yes	yes	gene	altered kinetochore foci
YNL332W	THI12	yes	yes	gene	altered kinetochore foci
YNL139C	THO2	yes	yes	gene	altered kinetochore foci
YOL072W	THP1	yes	yes	gene	altered kinetochore foci
YHR025W	THR1	yes	yes	gene	altered kinetochore foci
YJL138C	TIF2	yes	yes	gene	altered kinetochore foci
YPR163C	TIF3	yes	yes	gene	altered kinetochore foci
YML014W	TRM9	yes	yes	gene	altered kinetochore foci
YOR187W	TUF1	yes	yes	gene	altered kinetochore foci
YOR295W	UAF30	yes	yes	gene	altered kinetochore foci
YDR470C	UGO1	yes	yes	gene	altered kinetochore foci
YGR072W	UPF3	yes	yes	gene	altered kinetochore foci
YML115C	VAN1	yes	yes	gene	altered kinetochore foci
YPL253C	VIK1	yes	yes	gene	altered kinetochore foci
YHR039C-A	VMA10	yes	yes	gene	altered kinetochore foci
YEL027W	CUP5	yes	yes	gene	altered kinetochore foci
YEL027W	VMA3	yes	yes	gene	altered kinetochore foci
YLR447C	VMA6	yes	yes	gene	altered kinetochore foci
YGR020C	VMA7	yes	yes	gene	altered kinetochore foci
YDR080W	VPS41	yes	yes	gene	altered kinetochore foci
YDR484W	VPS52	yes	yes	gene	altered kinetochore foci
YLR322W	VPS65	yes	yes	gene	altered kinetochore foci
YPR087W	VPS69	yes	yes	gene	altered kinetochore foci
YLR070C	XYL2	yes	yes	gene	altered kinetochore foci
YBL083C	YBL083C	yes	yes	gene	altered kinetochore foci
YNL064C	YDJ1	yes	yes	gene	altered kinetochore foci
YDL032W	YDL032W	yes	yes	gene	altered kinetochore foci
YDL068W	YDL068W	yes	yes	gene	altered kinetochore foci
YDR149C	YDR149C	yes	yes	gene	altered kinetochore foci
YDR417C	YDR417C	yes	yes	gene	altered kinetochore foci
YDR433W	YDR433W	yes	yes	gene	altered kinetochore foci
YEL045C	YEL045C	yes	yes	gene	altered kinetochore foci
YER068C-A	YER068C-A	yes	yes	gene	altered kinetochore foci
YGL024W	YGL024W	yes	yes	gene	altered kinetochore foci
YGL072C	YGL072C	yes	yes	gene	altered kinetochore foci
YGR102C	YGR102C	yes	yes	gene	altered kinetochore foci
YHL044W	YHL044W	yes	yes	gene	altered kinetochore foci
YJL175W	YJL175W	yes	yes	gene	altered kinetochore foci
YKL134C	YKL134C	yes	yes	gene	altered kinetochore foci
YLR358C	YLR358C	yes	yes	gene	altered kinetochore foci
YLR407W	YLR407W	yes	yes	gene	altered kinetochore foci
YMR293C	YMR293C	yes	yes	gene	altered kinetochore foci
YNL213C	YNL213C	yes	yes	gene	altered kinetochore foci
YNL254C	YNL254C	yes	yes	gene	altered kinetochore foci
YNL320W	YNL320W	yes	yes	gene	altered kinetochore foci
YNR036C	YNR036C	yes	yes	gene	altered kinetochore foci
YOR205C	YOR205C	yes	yes	gene	altered kinetochore foci
YOR302W	YOR302W	yes	yes	gene	altered kinetochore foci
YOR309C	YOR309C	yes	yes	gene	altered kinetochore foci
YPR116W	YPR116W	yes	yes	gene	altered kinetochore foci
