Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Experimental Condition [RNA interference]	Well_Experimental Condition [RNA interference]	Percentage multipolar spindle - Z-score	Average no. of spindle poles per cell per well - Z-score	Cell number - Z-score	Mitotic Index - Z-score	Percentage Multinucleate - Z-score	ch-TOG Multipolar Spindle Phenotype Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
B2				ch-TOG shRNA	B2_ch-TOG shRNA	0.28898562	0.393772225	-0.555686139	0.41914499	-0.316111897					
B2				non-silencing shRNA	B2_non-silencing shRNA	-0.577719203	1.248252538	0.152146889	-0.216346017	-0.303728945					
B20			RacGAP1	ch-TOG shRNA	B20_ch-TOG shRNA	1.903029881	1.473266443	-1.363934097	0.897408207	4.756075129	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B20			RacGAP1	non-silencing shRNA	B20_non-silencing shRNA	2.852454063	0.122910521	-2.246441804	-0.010794756	5.341423529	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B21			RacGAP1	ch-TOG shRNA	B21_ch-TOG shRNA	1.027406644	0.722544641	-1.449232335	0.301235168	5.413667899	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B21			RacGAP1	non-silencing shRNA	B21_non-silencing shRNA	2.461220067	0.511533107	-1.949646176	-0.108285258	5.407853871	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B22			RacGAP1	ch-TOG shRNA	B22_ch-TOG shRNA	2.144046148	1.690887794	-1.404019323	0.677207338	5.709099944	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B22			RacGAP1	non-silencing shRNA	B22_non-silencing shRNA	3.496129077	0.047113174	-2.114526264	-0.029618582	5.42277518	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B23				ch-TOG shRNA	B23_ch-TOG shRNA	0.862685535	0.581544445	-1.058098257	-0.030314283	-0.151196242					
B23				non-silencing shRNA	B23_non-silencing shRNA	0.269020379	0.946194788	0.276658829	-0.191903102	-0.256904196					
B3	L-004955-00	11004	Kif2C (AB)	ch-TOG shRNA	B3_ch-TOG shRNA	-1.717086394	-2.324378404	-0.533034194	1.701931606	-0.725654394	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
B3	L-004955-00	11004	Kif2C (AB)	non-silencing shRNA	B3_non-silencing shRNA	-0.350628071	0.679354502	0.193401365	-0.209645266	-0.308073339					
B4	L-004955-00	11004	Kif2C (AB)	ch-TOG shRNA	B4_ch-TOG shRNA	-1.787109646	-2.478129313	-0.38603208	1.236403813	-0.699991618	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
B4	L-004955-00	11004	Kif2C (AB)	non-silencing shRNA	B4_non-silencing shRNA	-0.399557084	0.884105208	0.271584783	-0.242590415	-0.285763935					
B5	L-004955-00	11004	Kif2C (AB)	ch-TOG shRNA	B5_ch-TOG shRNA	-1.647730357	-2.322167859	-0.473135593	1.239245472	-0.498912038	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
B5	L-004955-00	11004	Kif2C (AB)	non-silencing shRNA	B5_non-silencing shRNA	0.113831093	0.724944823	0.019542115	-0.178192828	-0.273790669					
B6	L-004955-00	11004	Kif2C (AB)	ch-TOG shRNA	B6_ch-TOG shRNA	-1.679186651	-2.350190695	-0.097283306	1.601835158	-0.477767083	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
B6	L-004955-00	11004	Kif2C (AB)	non-silencing shRNA	B6_non-silencing shRNA	-0.611031906	0.496854105	0.251933676	-0.208766598	-0.250924174					
B7				ch-TOG shRNA	B7_ch-TOG shRNA	0.188652802	0.044514112	-0.831207756	0.519395367	-0.305365639					
B7				non-silencing shRNA	B7_non-silencing shRNA	-0.499226438	-0.635329056	0.767914122	-0.225257281	-0.295655613					
B8				ch-TOG shRNA	B8_ch-TOG shRNA	0.87113546	0.579273115	-0.56415782	0.702320521	-0.270628956					
B8				non-silencing shRNA	B8_non-silencing shRNA	-0.066026019	-0.399972263	0.752203698	-0.242224013	-0.291755677					
B9				ch-TOG shRNA	B9_ch-TOG shRNA	0.395981972	0.388133206	-0.636750894	0.766033838	-0.25897125					
B9				non-silencing shRNA	B9_non-silencing shRNA	-0.014025281	0.035827625	0.58000107	-0.19296246	-0.287791575					
C10	L-020110-00	1783	DNCLI2	ch-TOG shRNA	C10_ch-TOG shRNA	0.941978193	0.91234989	-0.202027954	-0.37836172	-0.111852887					
C10	L-020110-00	1783	DNCLI2	non-silencing shRNA	C10_non-silencing shRNA	-0.753798368	-0.3599919	-0.822345106	-0.24179166	-0.305316698					
C11	L-008807-00	2339	FNTA	ch-TOG shRNA	C11_ch-TOG shRNA	0.439541827	0.378433381	-0.266309088	1.042496282	0.193137121					
C11	L-008807-00	2339	FNTA	non-silencing shRNA	C11_non-silencing shRNA	-0.460880142	-0.323568201	0.252306672	-0.177216041	-0.216762427					
C12	L-009595-00	9371	KIF3B	ch-TOG shRNA	C12_ch-TOG shRNA	0.319284824	0.109473048	-0.991213136	0.209779125	-0.125736774					
C12	L-009595-00	9371	KIF3B	non-silencing shRNA	C12_non-silencing shRNA	-0.021718155	0.537809361	0.037210433	-0.213561726	-0.23306742					
C13	L-017362-00	10142	AKAP9	ch-TOG shRNA	C13_ch-TOG shRNA	0.114099738	-0.034461325	-0.359030307	0.617230092	-0.179983891					
C13	L-017362-00	10142	AKAP9	non-silencing shRNA	C13_non-silencing shRNA	-0.35762104	-0.152168183	0.560672426	-0.196094533	-0.122713613					
C14	L-005157-01	11104	KATNA1	ch-TOG shRNA	C14_ch-TOG shRNA	-0.580217035	-0.388475122	-0.576916442	-0.532429454	-0.166067723					
C14	L-005157-01	11104	KATNA1	non-silencing shRNA	C14_non-silencing shRNA	-0.067432181	0.920880499	0.067139296	-0.211044498	-0.108977853					
C15	L-018265-01	117177	RAB3IP	ch-TOG shRNA	C15_ch-TOG shRNA	-0.78105628	-0.533737554	0.283349924	-0.556324399	-0.336153729					
C15	L-018265-01	117177	RAB3IP	non-silencing shRNA	C15_non-silencing shRNA	-0.089641794	0.501436053	0.113292508	-0.21476021	-0.167585177					
C16	L-010118-02	85378	TUBGCP6	ch-TOG shRNA	C16_ch-TOG shRNA	-1.679470493	-1.310298283	1.301150695	-1.086878783	-0.49799279	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
C16	L-010118-02	85378	TUBGCP6	non-silencing shRNA	C16_non-silencing shRNA	-0.129626917	0.355353213	0.184508302	-0.205764725	-0.349841145					
C17	L-003948-00	9183	ZW10	ch-TOG shRNA	C17_ch-TOG shRNA	0.646475798	0.467783313	-0.038763582	0.0974635	-0.272165078					
C17	L-003948-00	9183	ZW10	non-silencing shRNA	C17_non-silencing shRNA	-0.018127318	0.160126313	0.041100582	-0.158789324	-0.283888596					
C18	L-019811-00	3800	KIF5C	ch-TOG shRNA	C18_ch-TOG shRNA	-0.320644505	-0.3814486	-0.661016298	-0.163604033	-0.032611744					
C18	L-019811-00	3800	KIF5C	non-silencing shRNA	C18_non-silencing shRNA	0.324219156	0.106079148	0.097542814	-0.225119056	-0.244272753					
C19	L-012075-00	10120	ACTR1B	ch-TOG shRNA	C19_ch-TOG shRNA	-0.355689122	-0.383240906	-0.405318748	-0.356389294	-0.353080543					
C19	L-012075-00	10120	ACTR1B	non-silencing shRNA	C19_non-silencing shRNA	-0.753798368	-1.337449907	0.062858663	-0.179653416	-0.17210803					
C2				ch-TOG shRNA	C2_ch-TOG shRNA	0.377955577	0.347056925	-0.207145049	0.7448765	-0.140287541					
C2				non-silencing shRNA	C2_non-silencing shRNA	-0.526862137	1.114882912	0.032855556	-0.115143394	-0.25408396					
C20	L-016227-02	124404	FLJ25410	ch-TOG shRNA	C20_ch-TOG shRNA	-0.185650227	0.095354846	0.019015605	-1.246058622	-0.312860975					
C20	L-016227-02	124404	FLJ25410	non-silencing shRNA	C20_non-silencing shRNA	0.226203103	0.809384476	-0.004972161	-0.279838124	-0.191667481					
C21	L-005165-00	5108	PCM1	ch-TOG shRNA	C21_ch-TOG shRNA	-1.270068878	-1.057266666	0.315895192	-0.628798372	-0.395338966					
C21	L-005165-00	5108	PCM1	non-silencing shRNA	C21_non-silencing shRNA	-0.64815108	-1.057359389	0.345662878	-0.182142414	-0.160054079					
C22	L-012095-00	10296	MAEA	ch-TOG shRNA	C22_ch-TOG shRNA	-0.473214246	-0.338484657	-0.071740596	-0.570114858	-0.203669817					
C22	L-012095-00	10296	MAEA	non-silencing shRNA	C22_non-silencing shRNA	-0.225561931	0.225640095	0.370170931	-0.247674103	-0.143672382					
C23				ch-TOG shRNA	C23_ch-TOG shRNA	0.683145336	0.375570152	-0.257779235	0.795755358	-0.108288805					
C23				non-silencing shRNA	C23_non-silencing shRNA	1.333877771	1.557813347	-0.169774301	-0.241993779	-0.252620195					
C3	L-022557-00	23322	KIAA1005	ch-TOG shRNA	C3_ch-TOG shRNA	0.431029494	0.191660846	-0.305909741	0.978754566	0.249103001					
C3	L-022557-00	23322	KIAA1005	non-silencing shRNA	C3_non-silencing shRNA	-0.584762708	-0.184417207	0.41018105	-0.143309541	-0.259561224					
C4	L-020625-00	54820	NDE1	ch-TOG shRNA	C4_ch-TOG shRNA	0.76657034	0.532225195	0.197710819	0.434585458	0.102995497					
C4	L-020625-00	54820	NDE1	non-silencing shRNA	C4_non-silencing shRNA	-0.046218553	0.669473768	0.562072679	-0.187776617	-0.222960793					
C5	L-005294-00	6249	RSN	ch-TOG shRNA	C5_ch-TOG shRNA	-1.052163599	-0.929934857	0.948323296	2.149869393	0.070152317					
C5	L-005294-00	6249	RSN	non-silencing shRNA	C5_non-silencing shRNA	-0.508107149	0.331521956	0.695835711	-0.261419056	0.098661642					
C6	L-006834-00	9126	CSPG6	ch-TOG shRNA	C6_ch-TOG shRNA	0.5071916	0.459813988	-0.627235858	0.6111857	-0.172034901					
C6	L-006834-00	9126	CSPG6	non-silencing shRNA	C6_non-silencing shRNA	-0.166868524	0.044291548	0.378538215	-0.216316689	-0.35809499					
C7	L-020885-01	9702	KIAA0092	ch-TOG shRNA	C7_ch-TOG shRNA	0.109304348	0.124436386	1.365202593	-0.648843122	-0.541634273					
C7	L-020885-01	9702	KIAA0092	non-silencing shRNA	C7_non-silencing shRNA	-0.342185971	-0.746988888	0.782667085	-0.210064195	-0.257903928					
C8	L-003462-00	675	BRCA2	ch-TOG shRNA	C8_ch-TOG shRNA	0.650864079	0.564259777	0.092285067	-0.111148218	0.162544333					
C8	L-003462-00	675	BRCA2	non-silencing shRNA	C8_non-silencing shRNA	0.164873467	-0.420988307	0.343173573	-0.268456272	-0.193569211					
C9	L-006355-00	4646	MYO6	ch-TOG shRNA	C9_ch-TOG shRNA	-0.171993274	-0.030748758	-0.483534872	-0.583184921	-0.243927861					
C9	L-006355-00	4646	MYO6	non-silencing shRNA	C9_non-silencing shRNA	-0.524130673	0.657599101	0.509367221	-0.263337944	-0.258329945					
D10	L-013109-00	22924	MAPRE3	ch-TOG shRNA	D10_ch-TOG shRNA	-0.19176657	-0.080541524	-0.414349842	1.79416096	0.018431095					
D10	L-013109-00	22924	MAPRE3	non-silencing shRNA	D10_non-silencing shRNA	0.908977686	0.529361309	-0.004622876	-0.253407111	-0.164386364					
D11	L-016846-00	9787	DLG7	ch-TOG shRNA	D11_ch-TOG shRNA	-0.594606883	-0.453147381	-0.966735162	0.685551365	-0.254906892					
D11	L-016846-00	9787	DLG7	non-silencing shRNA	D11_non-silencing shRNA	0.580128143	0.608880287	0.173642376	-0.164631548	-0.242914373					
D12	L-003227-00	994	CDC25B	ch-TOG shRNA	D12_ch-TOG shRNA	-0.796262206	-0.402460975	0.684319153	0.319224933	-0.339374521					
D12	L-003227-00	994	CDC25B	non-silencing shRNA	D12_non-silencing shRNA	-0.207347282	-0.390137359	-0.05302651	-0.226690471	-0.238665976					
D13	L-014590-00	80184	FLJ13615	ch-TOG shRNA	D13_ch-TOG shRNA	0.061647751	0.034808509	-0.507305012	0.186911618	-0.519327885					
D13	L-014590-00	80184	FLJ13615	non-silencing shRNA	D13_non-silencing shRNA	0.104527528	-1.111669825	0.143468998	-0.211860618	-0.34339004					
D14	L-009656-00	10270	AKAP8	ch-TOG shRNA	D14_ch-TOG shRNA	0.725840862	0.512878634	-0.285702041	2.094495208	-0.193579345					
D14	L-009656-00	10270	AKAP8	non-silencing shRNA	D14_non-silencing shRNA	-0.626512403	-1.013351069	0.378959224	-0.229883397	-0.135014916					
D15	L-006938-00	11043	MID2	ch-TOG shRNA	D15_ch-TOG shRNA	0.882725413	0.702768423	-0.038125244	-0.93976526	0.11456471					
D15	L-006938-00	11043	MID2	non-silencing shRNA	D15_non-silencing shRNA	-0.322791658	-0.790769302	0.196884881	-0.252685862	-0.177692767					
D16	L-021252-00	4620	MYH2	ch-TOG shRNA	D16_ch-TOG shRNA	-0.338304167	-0.074522582	0.224750643	1.147009583	-0.300387764					
D16	L-021252-00	4620	MYH2	non-silencing shRNA	D16_non-silencing shRNA	-0.480572297	-1.302758005	0.462270925	-0.207719117	-0.1695412					
D17	L-016516-01	80254	FLJ13386	ch-TOG shRNA	D17_ch-TOG shRNA	-0.938729735	-0.611068013	-0.573721598	0.409455755	-0.539962764					
D17	L-016516-01	80254	FLJ13386	non-silencing shRNA	D17_non-silencing shRNA	0.143323352	-0.550109233	0.237228726	-0.274124917	-0.38008306					
D18	L-006847-00	9793	CKAP5	ch-TOG shRNA	D18_ch-TOG shRNA	3.013987049	2.39957251	-1.890244023	-0.418983103	0.290218806	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
D18	L-006847-00	9793	CKAP5	non-silencing shRNA	D18_non-silencing shRNA	13.67799853	7.355277504	-4.170745543	2.632481558	0.946093518	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
D19	L-009535-00	4650	MYO9B	ch-TOG shRNA	D19_ch-TOG shRNA	-0.22154633	-0.068090162	-0.058157165	-0.729808602	-0.262544628					
D19	L-009535-00	4650	MYO9B	non-silencing shRNA	D19_non-silencing shRNA	0.282461418	-0.270825096	0.002771388	-0.246240347	-0.202132469					
D2				ch-TOG shRNA	D2_ch-TOG shRNA	0.593287919	0.385750529	-0.150814234	2.222063126	-0.098441984					
D2				non-silencing shRNA	D2_non-silencing shRNA	-0.187831059	1.185088051	0.079125393	-0.203712551	-0.25053389					
D20	L-004963-00	23303	KIF13B	ch-TOG shRNA	D20_ch-TOG shRNA	-0.690046503	-0.436172518	0.730948461	-0.539432133	-0.467894445					
D20	L-004963-00	23303	KIF13B	non-silencing shRNA	D20_non-silencing shRNA	0.526488067	-0.003296915	-0.022608025	-0.15938946	-0.278078801					
D21	L-012621-00	8735	MYH13	ch-TOG shRNA	D21_ch-TOG shRNA	-0.986676665	-0.677633369	0.122998331	-0.686480918	-0.393038422					
D21	L-012621-00	8735	MYH13	non-silencing shRNA	D21_non-silencing shRNA	-0.640199009	-0.91396358	0.5336152	-0.263336949	-0.269740671					
D22	L-003106-00	660	BMX	ch-TOG shRNA	D22_ch-TOG shRNA	-1.529741076	-0.926361038	-0.179951459	0.371733373	-0.428045304	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
D22	L-003106-00	660	BMX	non-silencing shRNA	D22_non-silencing shRNA	-0.479390103	-0.84207855	0.653252706	-0.227482607	-0.227272464					
D23				ch-TOG shRNA	D23_ch-TOG shRNA	0.751436471	0.348321626	-0.935009988	0.506073831	-0.0968495					
D23				non-silencing shRNA	D23_non-silencing shRNA	-0.380925775	0.655130638	0.388603911	-0.188345814	-0.245975463					
D3	L-007668-00	4627	MYH9	ch-TOG shRNA	D3_ch-TOG shRNA	-0.854077791	-0.45836527	1.091773661	1.85004035	-0.477476158					
D3	L-007668-00	4627	MYH9	non-silencing shRNA	D3_non-silencing shRNA	-0.591264242	-0.515560485	0.132734666	-0.182242233	-0.250684111					
D4	L-009716-00	10951	CBX1	ch-TOG shRNA	D4_ch-TOG shRNA	-0.931328898	-0.578948776	0.953871506	0.29299421	-0.307450734					
D4	L-009716-00	10951	CBX1	non-silencing shRNA	D4_non-silencing shRNA	0.339835273	0.511684267	0.267861792	-0.260589339	-0.223622955					
D5	L-004106-00	10403	KNTC2	ch-TOG shRNA	D5_ch-TOG shRNA	-0.862572579	-1.528734261	-0.493503036	0.342670241	0.760386523					
D5	L-004106-00	10403	KNTC2	non-silencing shRNA	D5_non-silencing shRNA	0.680709746	0.672801677	-3.489144058	7.916850401	0.456918371					
D6	L-009699-01	20	ABCA2	ch-TOG shRNA	D6_ch-TOG shRNA	-0.545445275	-0.352200885	0.690719531	0.883610153	-0.509917438					
D6	L-009699-01	20	ABCA2	non-silencing shRNA	D6_non-silencing shRNA	0.266353398	0.539976194	0.235360043	-0.260300925	-0.271348356					
D7	L-005164-00	5423	POLB	ch-TOG shRNA	D7_ch-TOG shRNA	-0.26640482	-0.078878804	0.134761079	-0.522499475	-0.151068216					
D7	L-005164-00	5423	POLB	non-silencing shRNA	D7_non-silencing shRNA	-0.214781682	-1.349945691	0.136552499	-0.20069929	-0.316925375					
D8	L-012644-00	4621	MYH3	ch-TOG shRNA	D8_ch-TOG shRNA	0.015674444	-0.100483338	-0.146618171	2.004762686	-0.127568113					
D8	L-012644-00	4621	MYH3	non-silencing shRNA	D8_non-silencing shRNA	-0.287531401	-0.395568291	0.299779076	-0.171092691	-0.187766679					
D9	L-004613-00	11113	CIT	ch-TOG shRNA	D9_ch-TOG shRNA	0.770668754	0.603483334	-0.287826801	0.362662601	1.714525713					
D9	L-004613-00	11113	CIT	non-silencing shRNA	D9_non-silencing shRNA	0.240858063	-0.381640092	-0.584398621	-0.107849327	1.091365573					
E10	L-012574-00	1781	DNCI2	ch-TOG shRNA	E10_ch-TOG shRNA	3.155895523	2.679315517	0.127258543	-0.213045146	0.997050203	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
E10	L-012574-00	1781	DNCI2	non-silencing shRNA	E10_non-silencing shRNA	1.011214978	-0.312268774	0.285942967	-0.019424542	-0.288300324					
E11	L-015304-00	83657	DNCL2B	ch-TOG shRNA	E11_ch-TOG shRNA	0.003129552	0.11736094	0.416257306	0.239474804	-0.211613393					
E11	L-015304-00	83657	DNCL2B	non-silencing shRNA	E11_non-silencing shRNA	-0.550630182	-0.191535887	0.204004105	-0.190803359	-0.15567413					
E12	L-012074-00	10121	ACTR1A	ch-TOG shRNA	E12_ch-TOG shRNA	-0.476395887	-0.320939134	0.484686391	-0.188910831	-0.485773752					
E12	L-012074-00	10121	ACTR1A	non-silencing shRNA	E12_non-silencing shRNA	-0.293949942	0.350337149	0.479799498	-0.139774724	-0.170590275					
E13	L-006537-00	4281	MID1	ch-TOG shRNA	E13_ch-TOG shRNA	-0.559048797	-0.472315694	0.000213509	0.142666614	-0.407981282					
E13	L-006537-00	4281	MID1	non-silencing shRNA	E13_non-silencing shRNA	-0.15809223	0.461733269	0.268599632	-0.172139443	-0.204135301					
E14	L-003224-00	983	CDC2	ch-TOG shRNA	E14_ch-TOG shRNA	3.587005557	3.092383913	0.196795132	-0.465661654	0.45198739	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
E14	L-003224-00	983	CDC2	non-silencing shRNA	E14_non-silencing shRNA	-0.128044858	0.998106865	-0.303134403	-0.129628756	-0.237312726					
E15	L-019154-00	55755	CDK5RAP2	ch-TOG shRNA	E15_ch-TOG shRNA	-1.019006823	-1.093817709	-0.505723628	0.298152293	-0.056432665					
E15	L-019154-00	55755	CDK5RAP2	non-silencing shRNA	E15_non-silencing shRNA	0.10863591	-0.305685263	0.539719614	-0.188073795	-0.111547486					
E16	L-005163-00	5829	PXN	ch-TOG shRNA	E16_ch-TOG shRNA	-1.262390316	-0.775393344	-0.4899994	-0.649854325	-0.622870408					
E16	L-005163-00	5829	PXN	non-silencing shRNA	E16_non-silencing shRNA	0.323390685	-1.225830244	-1.724403773	-0.067498569	-0.426324318					
E17	L-012394-00	23435	TARDBP	ch-TOG shRNA	E17_ch-TOG shRNA	0.325360376	0.32758352	-0.400313283	-0.004065967	0.0322742					
E17	L-012394-00	23435	TARDBP	non-silencing shRNA	E17_non-silencing shRNA	0.14414734	1.164559178	0.563430549	-0.250059829	-0.156686815					
E18	L-010604-00	3875	KRT18	ch-TOG shRNA	E18_ch-TOG shRNA	-1.02687172	-0.900173617	0.486667446	-1.437520185	-0.328182433					
E18	L-010604-00	3875	KRT18	non-silencing shRNA	E18_non-silencing shRNA	-0.531383359	-0.021138068	0.496552145	-0.177182838	-0.110872069					
E19	L-010542-00	7013	TERF1	ch-TOG shRNA	E19_ch-TOG shRNA	0.146987318	-0.006723179	-0.501644541	0.386192395	-0.009251789					
E19	L-010542-00	7013	TERF1	non-silencing shRNA	E19_non-silencing shRNA	-0.397683548	-0.666156314	0.681755087	-0.231990632	-0.137893057					
E2				ch-TOG shRNA	E2_ch-TOG shRNA	0.770103289	0.416173794	-0.192608511	0.40834547	-0.085241946					
E2				non-silencing shRNA	E2_non-silencing shRNA	0.008119234	0.149498267	0.523298765	-0.082740469	-0.239004716					
E20	L-005036-00	10733	PLK4	ch-TOG shRNA	E20_ch-TOG shRNA	1.881922172	1.460304454	-0.091804591	-1.124395246	0.006245319	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
E20	L-005036-00	10733	PLK4	non-silencing shRNA	E20_non-silencing shRNA	0.342511133	-1.034400282	-0.238644238	-0.094212458	-0.299748028					
E21	L-011822-00	1069	CETN2	ch-TOG shRNA	E21_ch-TOG shRNA	0.617457502	0.694017041	-0.349221885	-0.573760632	0.366517458					
E21	L-011822-00	1069	CETN2	non-silencing shRNA	E21_non-silencing shRNA	-0.342185971	0.046894579	0.400434112	-0.202937872	-0.145531222					
E22	L-010348-00	4131	MAP1B	ch-TOG shRNA	E22_ch-TOG shRNA	-0.494339672	-0.284266946	-0.645643629	-0.686759306	0.088507538					
E22	L-010348-00	4131	MAP1B	non-silencing shRNA	E22_non-silencing shRNA	-0.384080094	0.409001209	0.413085141	-0.202826126	-0.260498624					
E23				ch-TOG shRNA	E23_ch-TOG shRNA	0.793413268	0.427879472	-0.556964077	0.151003285	-0.080162977					
E23				non-silencing shRNA	E23_non-silencing shRNA	0.296299082	0.471548668	0.131656876	-0.138624078	-0.237916301					
E3	L-019843-00	9221	NOLC1	ch-TOG shRNA	E3_ch-TOG shRNA	-0.490256793	-0.216292095	0.748504063	0.409021261	-0.342456907					
E3	L-019843-00	9221	NOLC1	non-silencing shRNA	E3_non-silencing shRNA	0.095752877	0.054141249	0.688414623	-0.218917085	-0.144765621					
E4	L-015673-00	57082	AF15Q14	ch-TOG shRNA	E4_ch-TOG shRNA	0.174162566	0.549422279	2.460532408	-2.620257098	2.415239875					
E4	L-015673-00	57082	AF15Q14	non-silencing shRNA	E4_non-silencing shRNA	-0.010219491	0.303886895	0.021094559	0.030238183	-0.023420264					
E5	L-016577-01	127829	ARL10B	ch-TOG shRNA	E5_ch-TOG shRNA	1.011361087	0.862276699	0.154127303	-0.537598659	-0.356417526					
E5	L-016577-01	127829	ARL10B	non-silencing shRNA	E5_non-silencing shRNA	0.006545259	1.121914743	0.274739612	-0.239315165	-0.194426772					
E6	L-003459-00	332	BIRC5	ch-TOG shRNA	E6_ch-TOG shRNA	2.388569837	1.750823306	1.310447816	-2.089820662	2.174549256	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
E6	L-003459-00	332	BIRC5	non-silencing shRNA	E6_non-silencing shRNA	0.650830914	1.132630926	-1.152601126	0.0144179	2.740639019					
E7	L-019756-00	11133	KPTN	ch-TOG shRNA	E7_ch-TOG shRNA	-0.152379244	0.048321652	-0.014504154	0.124146385	-0.482453915					
E7	L-019756-00	11133	KPTN	non-silencing shRNA	E7_non-silencing shRNA	-0.572688279	-0.761268606	0.082094984	-0.107743841	-0.178515423					
E8	L-018781-01	348235	FAM33A	ch-TOG shRNA	E8_ch-TOG shRNA	-0.675089667	-0.389294691	-1.455638059	1.703983852	-0.300559086					
E8	L-018781-01	348235	FAM33A	non-silencing shRNA	E8_non-silencing shRNA	0.921173891	1.405861113	-1.030040857	0.871643636	-0.216023167					
E9	L-003225-00	991	CDC20	ch-TOG shRNA	E9_ch-TOG shRNA	-0.067774946	0.014193558	-1.583044713	1.67424584	0.440928564					
E9	L-003225-00	991	CDC20	non-silencing shRNA	E9_non-silencing shRNA	0.916194175	1.378406535	-2.817393097	3.082628252	0.01824065					
