Source Name	Characteristics[Organism]	Term Source REF	Term Source Accession	Characteristics[Cell Line]	Term Source REF	Term Source Accession	Characteristics[Cell Cycle Phase]	Protocol REF	Protocol REF	Assay Name	Factor Value [Targeted Protein]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Symbol Synonyms]	Channels	Dataset Name	Image File Path	Image Name	Protocol REF	Processed Data File
Centrin_Sas6_Cep192_009	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_009	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_009_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_010	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_010	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_010_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_012	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_012	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_012_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_013	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_013	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_013_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_014	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_014	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_014_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_016	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_016	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_016_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_017	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_017	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_017_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_018	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_018	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_018_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_019	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_019	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_019_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_020	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_020	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_020_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_022	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_022	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_022_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_026	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_026	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_026_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_028	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_028	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_028_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_030	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_030	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_030_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_032	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_032	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_032_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_035	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_035	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_035_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_036	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_036	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_036_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_038	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_038	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_038_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_039	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_039	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_039_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_001	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_001	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_001_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Cpap_PCNTN20_002	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Cpap_PCNTN20_002	CPAP 	ENSG00000151849	CENPJ	CPAP	525:CENT2; 442:CPAP; 615:PCNT-N20	CPAP 	CPAP/Centrin_Cpap_PCNT-N20_20111108/	Centrin_Cpap_PCNTN20_002_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
