Source Name	Comment [Sample Description]	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Term Source 2 REF	Term Source 2 Accession	Characteristics [Genotype]	Term Source 3 REF	Term Source 3 Accession	Characteristics [Organism Part]	Term Source 4 REF	Term Source 4 Accession	Characteristics [Developmental Stage]	Term Source 5 REF	Term Source 5 Accession	Material Entity	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Genotype]	Experimental Condition [Replicate]	Experimental Condition [Time]	Dataset Name	Image File	Channels	Comment[Image Dimensions]	Image File Path	Comment [Image File Comments]	Comment [Image File Type]
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		300 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(10).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(10).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		330 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(11).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(11).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		360 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(12).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(12).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		390 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(13).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(13).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		420 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(14).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(14).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		450 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(15).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(15).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		480 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(16).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(16).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		510 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(17).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(17).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		540 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(18).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(18).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		570 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(19).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(19).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		600 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(20).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(20).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		630 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(21).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(21).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		660 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(22).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(22).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		690 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(23).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(23).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		720 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(24).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(24).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		750 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(25).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(25).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		780 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(26).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(26).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		0 to 780 minutes	Time Series PNA vital test	Time-PNA-rh-vital-test.h5	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test.h5	time series converted to HDF5	processed
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		0 to 780 minutes	Time Series PNA vital test	Time-PNA-rh-vital-test.xml	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test.xml	xml file required in conjuction with HDF5 file	processed
Wt1-GFP Time Series 1	Wt1tm1Nhsn strain embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Wt1-GFP Time Series 1	Wt1 tm1Nhsn (Wt1 +/GFP)	replicate 1	0 minute	Wt1-GFP Time Series 1	WT1-GFP-PNA-time-series.czi	"Wt1-GFP: Wt1-GFP - green, Wt1tm1Nhsn cells expressing GFP in cytoplasm, PNA:Peanut agglutanin conjugated with rhodamine labelling basement membranes  - red"	X 1920 Y 1920 Z 463 C 2 V 5 T 31	/disk1/time series data/TimeSeries1/WT1-GFP-PNA-time-series.czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Wt1-GFP Time Series 1	Wt1tm1Nhsn strain embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Wt1-GFP Time Series 1	Wt1 tm1Nhsn (Wt1 +/GFP)	replicate 1	30 minute	Wt1-GFP Time Series 1	WT1-GFP-PNA-time-series(1).czi	"Wt1-GFP: Wt1-GFP - green, Wt1tm1Nhsn cells expressing GFP in cytoplasm, PNA:Peanut agglutanin conjugated with rhodamine labelling basement membranes  - red"	X 1920 Y 1920 Z 463 C 2 V 5 T 31	/disk1/time series data/TimeSeries1/WT1-GFP-PNA-time-series(1).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Wt1-GFP Time Series 1	Wt1tm1Nhsn strain embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Wt1-GFP Time Series 1	Wt1 tm1Nhsn (Wt1 +/GFP)	replicate 1	60 minute	Wt1-GFP Time Series 1	WT1-GFP-PNA-time-series(2).czi	"Wt1-GFP: Wt1-GFP - green, Wt1tm1Nhsn cells expressing GFP in cytoplasm, PNA:Peanut agglutanin conjugated with rhodamine labelling basement membranes  - red"	X 1920 Y 1920 Z 463 C 2 V 5 T 31	/disk1/time series data/TimeSeries1/WT1-GFP-PNA-time-series(2).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Wt1-GFP Time Series 1	Wt1tm1Nhsn strain embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Wt1-GFP Time Series 1	Wt1 tm1Nhsn (Wt1 +/GFP)	replicate 1	90 minute	Wt1-GFP Time Series 1	WT1-GFP-PNA-time-series(3).czi	"Wt1-GFP: Wt1-GFP - green, Wt1tm1Nhsn cells expressing GFP in cytoplasm, PNA:Peanut agglutanin conjugated with rhodamine labelling basement membranes  - red"	X 1920 Y 1920 Z 463 C 2 V 5 T 31	/disk1/time series data/TimeSeries1/WT1-GFP-PNA-time-series(3).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
