Plate	Comment [Operetta Plate Name]	Comment [Operetta Measurement]	Plate Column	Plate Row	Well	Well Number	Comment [BioSamples Identifier]	Characteristics [Organism]	Comments
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	4	1	A4	4			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	5	1	A5	5			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	6	1	A6	6			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	7	1	A7	7			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	8	1	A8	8			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	9	1	A9	9			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	1	2	B1	13			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	2	2	B2	14			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	3	2	B3	15			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	4	2	B4	16			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	5	2	B5	17			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	6	2	B6	18			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	7	2	B7	19			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	8	2	B8	20			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	9	2	B9	21			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	1	4	D1	37			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	2	4	D2	38			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	3	4	D3	39			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	4	4	D4	40			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	5	4	D5	41			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	6	4	D6	42			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	7	4	D7	43			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	8	4	D8	44			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	9	4	D9	45			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	1	5	E1	49			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	2	5	E2	50			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	3	5	E3	51			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	4	5	E4	52			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	5	5	E5	53			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	6	5	E6	54			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	7	5	E7	55			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	8	5	E8	56			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	9	5	E9	57			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	1	6	F1	61			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	2	6	F2	62			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	3	6	F3	63			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	4	6	F4	64			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	5	6	F5	65			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	6	6	F6	66			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	7	6	F7	67			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	8	6	F8	68			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	9	6	F9	69			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	1	1	A1	1			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	2	1	A2	2			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	3	1	A3	3			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	4	1	A4	4			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	5	1	A5	5			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	6	1	A6	6			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	7	1	A7	7			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	8	1	A8	8			see idr0034 for images
experiment_13	HipSci Experiment 13 Plate 1 NM 20140924	Measurement1	9	1	A9	9			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	1	3	C1	25			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	2	3	C2	26			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	3	3	C3	27			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	4	3	C4	28			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	5	3	C5	29			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	6	3	C6	30			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	7	3	C7	31			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	8	3	C8	32			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	9	3	C9	33			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	1	4	D1	37			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	2	4	D2	38			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	3	4	D3	39			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	4	4	D4	40			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	5	4	D5	41			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	6	4	D6	42			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	7	4	D7	43			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	8	4	D8	44			see idr0034 for images
experiment_14_plate1	2015-06-19 HipSci Exp14_plate1	Measurement1	9	4	D9	45			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	1	1	A1	1			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	2	1	A2	2			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	3	1	A3	3			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	4	1	A4	4			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	5	1	A5	5			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	6	1	A6	6			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	7	1	A7	7			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	8	1	A8	8			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	9	1	A9	9			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	1	2	B1	13			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	2	2	B2	14			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	3	2	B3	15			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	4	2	B4	16			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	5	2	B5	17			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	6	2	B6	18			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	7	2	B7	19			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	8	2	B8	20			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	9	2	B9	21			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	1	3	C1	25			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	2	3	C2	26			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	3	3	C3	27			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	4	3	C4	28			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	5	3	C5	29			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	6	3	C6	30			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	7	3	C7	31			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	8	3	C8	32			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	9	3	C9	33			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	1	5	E1	49			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	2	5	E2	50			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	3	5	E3	51			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	4	5	E4	52			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	5	5	E5	53			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	6	5	E6	54			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	7	5	E7	55			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	8	5	E8	56			see idr0034 for images
experiment_14_plate2	2015-06-16 HipSci Exp14_plate2	Measurement1	9	5	E9	57			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	1	1	A1	1			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	2	1	A2	2			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	3	1	A3	3			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	4	1	A4	4			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	5	1	A5	5			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	6	1	A6	6			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	7	1	A7	7			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	8	1	A8	8			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	9	1	A9	9			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	1	2	B1	13			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	2	2	B2	14			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	3	2	B3	15			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	4	2	B4	16			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	5	2	B5	17			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	6	2	B6	18			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	7	2	B7	19			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	8	2	B8	20			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	9	2	B9	21			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	1	4	D1	37			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	2	4	D2	38			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	3	4	D3	39			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	4	4	D4	40			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	5	4	D5	41			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	6	4	D6	42			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	7	4	D7	43			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	8	4	D8	44			see idr0034 for images
experiment_14_plate3	2015-06-19 HipSci Exp14_plate3	Measurement1	9	4	D9	45			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	1	4	D1	37			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	2	4	D2	38			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	3	4	D3	39			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	4	4	D4	40			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	5	4	D5	41			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	6	4	D6	42			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	7	4	D7	43			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	8	4	D8	44			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	9	4	D9	45			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	1	5	E1	49			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	2	5	E2	50			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	3	5	E3	51			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	4	5	E4	52			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	5	5	E5	53			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	6	5	E6	54			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	7	5	E7	55			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	8	5	E8	56			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	9	5	E9	57			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	1	7	G1	73			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	2	7	G2	74			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	3	7	G3	75			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	4	7	G4	76			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	5	7	G5	77			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	6	7	G6	78			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	7	7	G7	79			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	8	7	G8	80			see idr0034 for images
experiment_15	2014-10-17 HipSci Exp 15	Measurement1	9	7	G9	81			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	1	5	E1	49			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	2	5	E2	50			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	3	5	E3	51			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	4	5	E4	52			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	5	5	E5	53			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	6	5	E6	54			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	7	5	E7	55			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	8	5	E8	56			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	9	5	E9	57			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	1	7	G1	73			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	2	7	G2	74			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	3	7	G3	75			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	4	7	G4	76			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	5	7	G5	77			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	6	7	G6	78			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	7	7	G7	79			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	8	7	G8	80			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	9	7	G9	81			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	1	8	H1	85			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	2	8	H2	86			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	3	8	H3	87			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	4	8	H4	88			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	5	8	H5	89			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	6	8	H6	90			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	7	8	H7	91			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	8	8	H8	92			see idr0034 for images
experiment_16	2014-10-17 HipSci Exp 16	Measurement1	9	8	H9	93			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	1	3	C1	25			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	2	3	C2	26			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	3	3	C3	27			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	4	3	C4	28			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	5	3	C5	29			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	6	3	C6	30			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	7	3	C7	31			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	8	3	C8	32			see idr0034 for images
experiment_17	2014-10-24 HipSci Exp 17	Measurement1	9	3	C9	33			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	1	2	B1	13			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	2	2	B2	14			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	3	2	B3	15			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	4	2	B4	16			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	5	2	B5	17			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	6	2	B6	18			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	7	2	B7	19			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	8	2	B8	20			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	9	2	B9	21			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	1	5	E1	49			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	2	5	E2	50			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	3	5	E3	51			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	4	5	E4	52			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	5	5	E5	53			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	6	5	E6	54			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	7	5	E7	55			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	8	5	E8	56			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	9	5	E9	57			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	1	6	F1	61			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	2	6	F2	62			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	3	6	F3	63			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	4	6	F4	64			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	5	6	F5	65			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	6	6	F6	66			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	7	6	F7	67			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	8	6	F8	68			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	9	6	F9	69			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	1	7	G1	73			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	2	7	G2	74			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	3	7	G3	75			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	4	7	G4	76			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	5	7	G5	77			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	6	7	G6	78			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	7	7	G7	79			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	8	7	G8	80			see idr0034 for images
experiment_18	2014-11-11 HipSci Exp 18	Measurement1	9	7	G9	81			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	2	3	C2	26			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	3	3	C3	27			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	4	3	C4	28			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	5	3	C5	29			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	6	3	C6	30			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	7	3	C7	31			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	8	3	C8	32			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	9	3	C9	33			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	10	3	C10	34			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	2	4	D2	38			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	3	4	D3	39			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	4	4	D4	40			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	5	4	D5	41			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	6	4	D6	42			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	7	4	D7	43			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	8	4	D8	44			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	9	4	D9	45			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	10	4	D10	46			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	2	5	E2	50			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	3	5	E3	51			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	4	5	E4	52			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	5	5	E5	53			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	6	5	E6	54			see idr0034 for images
experiment_19	2014-11-11 HipSci Exp 19	Measurement1	7	5	E7	55			see idr0034 for images
