Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	Replicate	Batch	Compound Name	Dose	Compound SMILES	"Compound MOA (from Ljosa et al, 2013)"	Control Type	Channels
Week1_22123	C2	26	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C3	27	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	10 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C4	28	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	3 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C5	29	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	1 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C6	30	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	0.3 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C7	31	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	0.1 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C8	32	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	0.03 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C9	33	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	0.01 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C10	34	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	aphidicolin	0.003 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	C11	35	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D2	38	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D3	39	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D4	40	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	1 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D5	41	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D6	42	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.1 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D7	43	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.03 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D8	44	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.01 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D9	45	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.003 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D10	46	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.001 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	D11	47	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E2	50	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E3	51	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	3 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3	Microtubule destabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E4	52	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	1 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3	Microtubule destabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E5	53	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.3 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E6	54	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.1 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E7	55	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.03 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E8	56	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.01 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E9	57	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.003 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E10	58	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	nocodazole	0.001 micromolar	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	E11	59	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F2	62	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F3	63	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	30 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F4	64	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	10 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F5	65	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	3 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F6	66	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	1 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F7	67	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	0.3 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F8	68	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	0.1 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F9	69	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	0.03 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F10	70	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-H	0.01 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	F11	71	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G2	74	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G3	75	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	30 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G4	76	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	10 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G5	77	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	3 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G6	78	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	1 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G7	79	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	0.3 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G8	80	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	0.1 micromolar		Aurora kinase inhibitors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G9	81	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	0.03 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G10	82	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	AZ-A	0.01 micromolar				DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22123	G11	83	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	1	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B2	14	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B3	15	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	30 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O	Actin disruptors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B4	16	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	10 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O	Actin disruptors		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B5	17	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	3 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B6	18	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	1 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B7	19	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	0.3 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B8	20	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	0.1 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B9	21	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	0.03 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B10	22	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	cytochalasin B	0.01 micromolar	C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	B11	23	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C2	26	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C3	27	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	10 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C4	28	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	3 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C5	29	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	1 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C6	30	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	0.3 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C7	31	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	0.1 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C8	32	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	0.03 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C9	33	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	0.01 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C10	34	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	aphidicolin	0.003 micromolar	CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO			DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	C11	35	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	taxol	0.3 micromolar	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C	Microtubule stabilizers		DAPI:DNA;Phallodin:F-actin;B-tubulin
Week1_22141	D2	38	Homo sapiens	NCBITaxon	NCBITaxon_9606	MCF-7	EFO	EFO_0001203	2	Week1	DMSO				negative control	DAPI:DNA;Phallodin:F-actin;B-tubulin
