Source Name	Characteristics [Organism]	Term Source REF	Term Source Accession	Characteristics[Organism Part]	Term Source REF	Term Source Accession	Characteristics[Sex]	Term Source REF	Term Source Accession	Characteristics[Individual]	Characteristics[Genotype]	Comment[Gene Identifier]	Comment[Gene Symbol]	Comment[Human Ortholog]	Comment[Human Ortholog Gene Symbol]	Protocol REF	Protocol REF	Assay Name	Factor Value[Organism Part]	Factor Value[Sex]	Factor Value[Individual]	Factor Value[Genotype]	DataSet Name	Image File	Channels	Comment [Image File Type]	Comment[Image File Path]	Protocol REF	Processed Data File
Bazla-14-75-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-heart	heart	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-heart	Bazla-14_75-heart-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-heart	heart	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-heart	Bazla-14_75-heart-overview2.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-knee	knee	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-knee	Bazla-14_75-knee-a109.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-knee	Mus musculus	NCBITaxon	NCBITaxon_10090	knee	UBERON	UBERON_0001465	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-knee	knee	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-knee	Bazla-14_75-knee-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-liver	liver	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-liver	Bazla-14_75-liver-a110.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-liver	liver	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-liver	Bazla-14_75-liver-a111.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-liver	liver	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-liver	Bazla-14_75-liver-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-liver	liver	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-liver	Bazla-14_75-liver-overview2.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-lymph-node	lymph node	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-lymph-node	Bazla-14_75-LN-a112.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-lymph-node	Mus musculus	NCBITaxon	NCBITaxon_10090	lymph node	UBERON	UBERON_0000029	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-lymph-node	lymph node	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-lymph-node	Bazla-14_75-LN-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-reproductive-male	reproductive system	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-reproductive-male	Bazla-14_75-reprom-a113.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-reproductive-male	reproductive system	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-reproductive-male	Bazla-14_75-reprom-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-salivary-gland	salivary gland	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-salivary-gland	Bazla-14_75-Sali-a114.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-salivary-gland	salivary gland	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-salivary-gland	Bazla-14_75-Sali-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-skin	skin	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-skin	Bazla-14_75-skin-a115.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-skin	Mus musculus	NCBITaxon	NCBITaxon_10090	skin	EFO	EFO_0000962	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-skin	skin	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-skin	Bazla-14_75-skin-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-brain	brain	male	Car4-13-922	Car4 knockout	Car4-13-922-brain	Car4-13_922-a54.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-brain	brain	male	Car4-13-922	Car4 knockout	Car4-13-922-brain	Car4-13_922-a55.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-brain	brain	male	Car4-13-922	Car4 knockout	Car4-13-922-brain	Car4-13_922-a56.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-brain	brain	male	Car4-13-922	Car4 knockout	Car4-13-922-brain	Car4-13_922-a57.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-brain	Mus musculus	NCBITaxon	NCBITaxon_10090	brain	UBERON	UBERON_0000955	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-brain	brain	male	Car4-13-922	Car4 knockout	Car4-13-922-brain	Car4-13_922-a58.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-gastrointestinal	gastrointestinal system	male	Car4-13-922	Car4 knockout	Car4-13-922-gastrointestinal	Car4-13_922-a59.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-gastrointestinal	gastrointestinal system	male	Car4-13-922	Car4 knockout	Car4-13-922-gastrointestinal	Car4-13_922-a60.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-gastrointestinal	gastrointestinal system	male	Car4-13-922	Car4 knockout	Car4-13-922-gastrointestinal	Car4-13_922-a61.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a62.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a63.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a64.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a65.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a66.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a67.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a68.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a69.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a70.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a71.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-liver	Mus musculus	NCBITaxon	NCBITaxon_10090	liver	UBERON	UBERON_0002107	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-liver	liver	male	Car4-13-922	Car4 knockout	Car4-13-922-liver	Car4-13_922-a72.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-reproductive-male	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-reproductive-male	reproductive system	male	Car4-13-922	Car4 knockout	Car4-13-922-reproductive-male	Car4-13_922-a73tif.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-salivary-gland	Mus musculus	NCBITaxon	NCBITaxon_10090	salivary gland	UBERON	UBERON_0001044	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-salivary-gland	salivary gland	male	Car4-13-922	Car4 knockout	Car4-13-922-salivary-gland	Car4-13_922-a74.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-throat	Mus musculus	NCBITaxon	NCBITaxon_10090	throat	UBERON	UBERON_0000341	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-throat	throat	male	Car4-13-922	Car4 knockout	Car4-13-922-throat	Car4-13_922-a75.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-throat	Mus musculus	NCBITaxon	NCBITaxon_10090	throat	UBERON	UBERON_0000341	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-throat	throat	male	Car4-13-922	Car4 knockout	Car4-13-922-throat	Car4-13_922-a76.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
Car4-13-922-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Car4-13-922	Car4 knockout	ENSMUSG00000000805	Car4	ENSG00000167434	CA4	growth protocol	image aquistion and feature extraction protocol	Car4-13-922-gastrointestinal	gastrointestinal system	male	Car4-13-922	Car4 knockout	Car4-13-922-gastrointestinal	Car4-13_922-gi-overview1.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Car4/	data analysis protocol	idr0018-experimentA-processed.txt
