Image File	Characteristics [Organism Part]	Characteristics [Sex]	Characteristics [Individual]	Characteristics [Genotype]	Has Phenotype	Phenotype Annotation Level	Phenotype Description	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22	Phenotype 23	Phenotype 24	Phenotype 25	Phenotype 26	Phenotype 27	Phenotype 28	Phenotype 29	Phenotype 30	Phenotype 31	Phenotype 32	Phenotype 33	Phenotype 34	Phenotype 35	Phenotype 36	Phenotype 37	Phenotype 38	Phenotype 39	Phenotype 40	Phenotype 41	Phenotype 42	Phenotype 43	Phenotype 44	Phenotype 45	Phenotype 46	Phenotype 47	Phenotype 48
Cpa2-14_22-a100.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																																													polyploid cell phenotype				
Cpa2-14_22-a101.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image										aggregated cells in population																																							
Cpa2-14_22-a102.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image	Hemosiderin deposits																																								metabolic process phenotype								
Cpa2-14_22-a103.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image											apoptopic nucleus phenotype																																						
Cpa2-14_22-a87.tif	brain	female	Cpa2-14-22	Cpa2 knockout	yes	image																																						increased thickness of dendritic branches phenotype											
Cpa2-14_22-a88.tif	brain	female	Cpa2-14-22	Cpa2 knockout	yes	image													bilobed nucleus phenotype																																				
Cpa2-14_22-a89.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																																								M phase mitotic phenotype									
Cpa2-14_22-a90.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image														binuclear cell phenotype																																			
Cpa2-14_22-a91.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																										cell-matrix adhesion phenotype																							
Cpa2-14_22-a92.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																																			increased cell size phenotype														
Cpa2-14_22-a93.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																																										misshapen DNA							
Cpa2-14_22-a94.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image								actin cytoskeleton phenotype																																									
Cpa2-14_22-a95.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image																cell adhesion phenotype																																	
Cpa2-14_22-a96.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image	adenoma (benign tumor)																						cell morphology phenotype																										
Cpa2-14_22-a97.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image	nuclear membrane																																											nuclear morphology phenotype					
Cpa2-14_22-a98.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image															bright nuclear body phenotype																																		
Cpa2-14_22-a99.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image														binuclear cell phenotype																																			
Cpa2-14_22-brain-overview.tif	brain	female	Cpa2-14-22	Cpa2 knockout	yes	image																																						increased thickness of dendritic branches phenotype											
Cpa2-14_22-gi-overview.tif	gastrointestinal system	female	Cpa2-14-22	Cpa2 knockout	yes	image												apoptotic cell shape phenotype																																					
Cpa2-14_22-liver-overview.tif	liver	female	Cpa2-14-22	Cpa2 knockout	yes	image																																													polyploid cell phenotype				
Cpa2-14_22-liver-overview5.tif	liver	female	Cpa2-14-22	Cpa2 knockout	yes	image																																													polyploid cell phenotype				
Ddx41-14_552-brain-a118.tif	brain	male	Ddx41-14-55	Ddx41 knockout	yes	image																																						increased thickness of dendritic branches phenotype											
Ddx41-14_552-eye-a119.tif	eye	male	Ddx41-14-55	Ddx41 knockout	yes	image																								cell projection phenotype																									
Ddx41-14_552-gi-a120.tif	gastrointestinal system	male	Ddx41-14-55	Ddx41 knockout	yes	image												apoptotic cell shape phenotype																																					
Ddx41-14_552-heart-a121.tif	heart	male	Ddx41-14-55	Ddx41 knockout	yes	image										aggregated cells in population																																							
Ddx41-14_552-heart-a122.tif	heart	male	Ddx41-14-55	Ddx41 knockout	yes	image																																													polyploid cell phenotype				
Ddx41-14_552-knee-a123.tif	knee	male	Ddx41-14-55	Ddx41 knockout	yes	image													bilobed nucleus phenotype																																				
Ddx41-14_552-liver-a124.tif	liver	male	Ddx41-14-55	Ddx41 knockout	yes	image																																			increased cell size phenotype														
Ddx41-14_552-liver-a125.tif	liver	male	Ddx41-14-55	Ddx41 knockout	yes	image			abnormal cell shape phenotype																																														
Ddx41-14_552-ln-a126.tif	lymph node	male	Ddx41-14-55	Ddx41 knockout	yes	image																																			increased cell size phenotype														
Ddx41-14_552-reprom-a127.tif	reproductive system	male	Ddx41-14-55	Ddx41 knockout	yes	image																		cell component morphology phenotype																															
Ddx41-14_552-sali-a128.tif	salivary gland	male	Ddx41-14-55	Ddx41 knockout	yes	image																																					increased rate of protein secretion												
Ddx41-14_552-skin-a129.tif	skin	male	Ddx41-14-55	Ddx41 knockout	yes	image										aggregated cells in population																																							
Ddx41-14_566-reprof-a130.tif	reproductive system	female	Ddx41-14-566	Ddx41 knockout	yes	image																	cell apoptosis phenotype																																
Eya4-14_432-brain-a131.tif	brain	male	Eya4-14-432	Eya4 knockout	yes	image															bright nuclear body phenotype																																		
Eya4-14_432-eye-a132.tif	eye	male	Eya4-14-432	Eya4 knockout	yes	image																cell adhesion phenotype																																	
Eya4-14_432-gi-a133.tif	gastrointestinal system	male	Eya4-14-432	Eya4 knockout	yes	image							absence of mitotic process phenotype																																										
Eya4-14_432-heart-a134.tif	heart	male	Eya4-14-432	Eya4 knockout	yes	image	clear cytoplasm (edema)																	cell component morphology phenotype																															
Eya4-14_432-knee-a135.tif	knee	male	Eya4-14-432	Eya4 knockout	yes	image																																		increased cell numbers															
Eya4-14_432-liver-a136.tif	liver	male	Eya4-14-432	Eya4 knockout	yes	image												apoptotic cell shape phenotype																																					
Eya4-14_432-ln-a137.tif	lymph node	male	Eya4-14-432	Eya4 knockout	yes	image																														decreased axon thickness phenotype																			
Eya4-14_432-reprom-a138.tif	reproductive system	male	Eya4-14-432	Eya4 knockout	yes	image	cell polarization (basal) / PIN	abnormal cell growth phenotype																																															
Eya4-14_432-sali-a139.tif	salivary gland	male	Eya4-14-432	Eya4 knockout	yes	image																																					increased rate of protein secretion												
Eya4-14_432-skin-a140.tif	skin	male	Eya4-14-432	Eya4 knockout	yes	image																								cell projection phenotype																									
Eya4-14_434-reprof-a141.tif	reproductive system	female	Eya4-14-434	Eya4 knockout	yes	image													bilobed nucleus phenotype																																				
HGS_10-579-3a.tif	kidney	female	HGS-10-579	Hgs knockout	yes	image	polygonal cells		abnormal cell shape phenotype																																														
Idh1-14_177-brain-a142.tif	brain	male	Idh1-14-177	Idh1 knockout	yes	image																																						increased thickness of dendritic branches phenotype											
Idh1-14_177-eye-a143.tif	eye	male	Idh1-14-177	Idh1 knockout	yes	image																															decreased cell numbers																		
Idh1-14_177-gia144-a143.tif	gastrointestinal system	male	Idh1-14-177	Idh1 knockout	yes	image																																							M phase arrested phenotype										
Idh1-14_177-heart-a145.tif	heart	male	Idh1-14-177	Idh1 knockout	yes	image																						cell DNA phenotype																											
Idh1-14_177-knee-a146.tif	knee	male	Idh1-14-177	Idh1 knockout	yes	image																																																round nucleus phenotype	
Idh1-14_177-liver-a147.tif	liver	male	Idh1-14-177	Idh1 knockout	yes	image														binuclear cell phenotype																																			
Idh1-14_177-ln-a148.tif	lymph node	male	Idh1-14-177	Idh1 knockout	yes	image			abnormal cell shape phenotype																																														
Idh1-14_177-reprom-a149.tif	reproductive system	male	Idh1-14-177	Idh1 knockout	yes	image																											cells with projections																						
Idh1-14_177-Sali-a150.tif	salivary gland	male	Idh1-14-177	Idh1 knockout	yes	image	resorbtion vacuoles																																														regulation of metabolic process phenotype		
Idh1-14_177-skin-a151.tif	skin	male	Idh1-14-177	Idh1 knockout	yes	image	collagen fiber deposits																							cell projection phenotype																									
Idh1-14_178-reprof-a152.tif	reproductive system	female	Idh1-14-178	Idh1 knockout	yes	image																cell adhesion phenotype																																	
Pipox-14_209-brain-a153.tif	brain	female	Pipox-14-209	Pipox knockout	yes	image	ER dispersed																			cell component structure phenotype																													
Pipox-14_209-eye-a154.tif	eye	female	Pipox-14-209	Pipox knockout	yes	image																cell adhesion phenotype																																	
Pipox-14_209-gi_a1554.tif	gastrointestinal system	female	Pipox-14-209	Pipox knockout	yes	image				abnormal chromosome segregation phenotype																																													
Pipox-14_209-heart-a156.tif	heart	female	Pipox-14-209	Pipox knockout	yes	image	fat vacuoles																		cell component size phenotype																														
Pipox-14_209-knee-a157.tif	knee	female	Pipox-14-209	Pipox knockout	yes	image									actin filament phenotype																																								
Pipox-14_209-liver-a158.tif	liver	female	Pipox-14-209	Pipox knockout	yes	image																																					increased rate of protein secretion												
Pipox-14_209-ln-a159.tif	lymph node	female	Pipox-14-209	Pipox knockout	yes	image																														decreased axon thickness phenotype																			
Pipox-14_209-reprof-a160.tif	reproductive system	female	Pipox-14-209	Pipox knockout	yes	image																																											more cells in M phase						
Pipox-14_209-sali-a161.tif	salivary gland	female	Pipox-14-209	Pipox knockout	yes	image																												cellular component phenotype																					
Pipox-14_209-skin-a162.tif	skin	female	Pipox-14-209	Pipox knockout	yes	image										aggregated cells in population																																							
Pipox-14_210-reprom-a163.tif	reproductive system	male	Pipox-14-210	Pipox knockout	yes	image																								cell projection phenotype																									
PML_09-1625-1a-a.tif	choroid plexus	male	PML-09-1625	Pml knockout	yes	image														binuclear cell phenotype																																			
RXFP2_13-932-3a.tif	liver	female	RXFP2-13-932	Rxfp2 knockout	yes	image																																													polyploid cell phenotype				
RXFP2_13-932-3g.tif	liver	female	RXFP2-13-932	Rxfp2 knockout	yes	image														binuclear cell phenotype																																			
