"# Section with generic information about the study including title, description, publication details (if applicable) and contact details"						
# Study						
Comment[IDR Study Accession]	idr0011					
Screen Description	In this screen, Synthetic Genetic Array (SGA) methodology (Tong et al, 2001) was used to combine the DAD4-YFP and SPC42-RFP alleles with the non-essential deletion collection (Winzeler et al, 1999), which includes 4746 separate viable deletion strains, to systematically assess the effect of specific mutations on the kinetochore.					
Screen Size	Plates: 129	5D Images: 6,175	Planes: 389,025	Average Image Dimension (XYZCT): 672 x 512 x 21 x 3 x 1	Total Tb: 0.27	
Screen Example Images						
Screen Imaging Method	fluorescence microscopy					
Screen Imaging Method Term Source REF	Fbbi					
Screen Imaging Method Term Accession	FBbi_00000246					
Screen Technology Type	gene deletion screen					
Screen Technology Term Source REF	EFO					
Screen Technology Term Accession	EFO_0007552					
Screen Type	primary screen					
Screen Type Term Source REF	EFO					
Screen Type Term Accession	EFO_0007556					
Screen Comments						
						
"# Library section. The library file should be supplied separately and it should contain  the reagents description including, at the absolute minimum: reagent ID, sequences and position in the layout (= plate + position in the plate)"						
Library File Name	idr0011-screenA-library.txt					
Library File Format	tab-delimited text					
Library Type	haploid deletion library					
Library Type Term Source REF	EFO					
Library Type Term Accession	EFO_0007561					
Library Manufacturer	Deletion strains from the collection described in Winzeler EA, Shoemaker DD, Astromoff A, Liang H, Anderson K, Andre B, Bangham R, Benito R, Boeke JD, Bussey H, Chu AM, Connelly C, Davis K, Dietrich F, Dow SW, El Bakkoury M, Foury F, Friend SH, Gentalen E, Giaever G et al. (1999) Functional characterization of the S. cerevisiae genome by gene deletion and parallel analysis. Science 285: 901-6					
Library Version						
Library Experimental Conditions						
Library Experimental Conditions Term Source REF						
Library Experimental Conditions Term Accession						
Quality Control Description	Some wells were not imaged due to problems such as the cells did not grow, or pipetting problems. This is indicated in the Comments column.					
						
# Protocols						
Protocol Name	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type Term Source REF	EFO	EFO	EFO	EFO		
Protocol Type Term Accession	EFO_0003789	EFO_0007571	EFO_0007572	EFO_0007573		
Protocol Description	A full list of the yeast strains used in this study is provided in Table S1. Yeast were manipulated using standard methods (Sherman, 2002); ts strains were grown at 23C and then at non-permissive temperatures as indicated in the text.	Synthetic Genetic Array (SGA). Strains encoding fluorescently tagged spindle components Dad4-YFP and Spc42-RFP (T34 and T37) were mated with an array of gene deletions (Winzeler et al, 1999) or ts alleles (Li et al, 2011) by combining the cells together on YPD plates using a Singer ROTOR pinning robot (Singer Instruments, UK). Diploids were then selected by two cycles of growth on rich media containing geneticin (G418), hygromycin (HYG) and nourseothricin (NAT). These diploids were sporulated for 2 weeks at 23C on sporulation medium. The resulting spores were selected in four successive cycles of growth for 1 or 2 days at 30C on synthetic media lacking leucine and lysine (1) with thialysine; (2) with thialysine and G418; (3) thialysine, G418 and NAT; and (4) thialysine, G418, NAT and HYG.	Cells were prepared for imaging by growth in liquid synthetic medium containing 120 mg/litre adenine at 23C for ~5 hours in 96 well plates. The cells were then collected by centrifugation and placed onto an 8x6 grid of agar pedestals (Werner et al, 2009). These 48 pad arrays were covered with a custom-sized 175 um thick coverslip and imaged on an upright epifluoresence microscope (Zeiss Axiovision Z2), using a 63x 1.4NA plan apochromat oil immersion lens. Zeiss Immersol 518F immersion oil was used with a refractive index of 1.5181. Fluorescence illumination for the screen was provided by a 100W mercury bulb. Fluorescence filter cubes were as follows: YFP imaging used Zeiss filter set 46 (excitation BP 500/20; dichroic FT 515, emission BP 535/30), RFP imaging used Zeiss filter set 63HE (excitation BP 572/25; dichroic FT 590, emission BP 629/62), GFP imaging used Zeiss filter set 38HE (excitation BP 470/40; dichroic FT 495, emission BP 525/50) and CFP imaging used Zeiss filter set 47HE (excitation BP 436/25; dichroic FT455, emission BP 480/40). Later experiments employed a Zeiss Colibri LED illumination system (445 nm for CFP excitation, 470 nm for GFP excitation, 505 nm for YFP excitation and 590nm for RFP excitation), with the filter cubes outlined above. A z stack of 21 images with a vertical separation of 350 nm was acquired for each strain. Brightfield contrast was enhanced with differential interference contrast (DIC) prisms. The resulting light was captured using a Hamamatsu ORCA ERII CCD camera with 6.45 um pixels, binned 2x2 or a Flash 4.0 Lte CMOS camera with 6.5 um pixels, binned 2x2 (Hamamatsu Photonics, Japan). The exposure times were set to ensure that pixels were not saturated, typically < 200 msec for the genome-wide screen Dad4-YFP exposure times were 40 msec and Spc42-RFP 50 msec. Images shown in the figures were prepared using Volocity imaging software (Perkin Elmer Inc., USA).	Qualitative image analysis was performed using Volocity to visualize the fluorescence images. Quantitative image analysis used an automated ImageJ script, FociQuant to quantify the kinetochore fluorescence signal (Ledesma-Fernandez & Thorpe, 2015). In brief, each kinetochore is identified automatically using the 'FindMaxima' function in ImageJ. The fluoresecence intensity within a ~600 nm square box in the focal plane of each foci is measured and a local background signal for each focus is subtracted. We found that the deviations in fluorescence intensity of control strains across each 48 pad imaging plate and consequently we used a smoothing algorithm to normalize values across each plate of the screen (Olafsson & Thorpe, 2015).		
						
						
# Phenotypes						
Phenotype Name	altered kinetochore foci					
Phenotype Description	Mutant strains with this phenotype show a change in kinetochore foci as measured either by Dad4-YFP intensity levels or by foci morphology. Intensity levels may be higher or lower compared to control strains.					
Phenotype Score Type	automatic					
Phenotype Term Source REF	CMPO					
Phenotype Term Name	kinetochore phenotype					
Phenotype Term Accession	CMPO_0000427					
						
# Raw Data Files						
Raw Image Data Format	Zeiss AxioVision ZVI					
Raw Image Organization	129 x 48 well plates. The majority of wells have 1 field. 					
						
# Feature Level Data Files (give individual file details unless there is one file per well)						
Feature Level Data File Name						
Feature Level Data File Description						
Feature Level Data File Format						
Feature Level Data Column Name						
Feature Level Data Column Type						
Feature Level Data Column Description						
						
#  Processed Data Files 						
Processed Data File Name	idr0011-screenA-processed.txt					
Processed Data File Format	tab-delimited text					
Processed Data File Description	This file lists the genes/ORFs from this screen that when deleted or mutated consistently produced a Dad4-YFP phenotype. This list takes into account results from the rescreens of strains that did not grow well and validation screens. 					
Processed Data Column Name	Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Processed Data Column Type	gene identifier	gene symbol	data	other	other	phenotype
Processed Data Column Annotation Level			gene			gene
Processed Data Column Description	The identifier for the gene/ORF that was mutated or deleted.	The gene symbol associated with the gene.	Lists if the mutant strain is in the final list of those consistently producinga Dad4-YFP phenotype.	Whether there is a phenotype associated with the entity in the row.	The level of entity that is annotated with the phenotype.  	Phenotype observed among cells of this mutant strain.
Processed Data Column Link To Library File	Gene Identifier					
						
						
Screen Number	2					
Comment[IDR Screen Name]	idr0011-ledesmafernandez-dad4/screenB	
Screen Sample Type	cell
Screen Description	This screen examines the impact of essential genes on the kinetochore, using a collection of temperature-sensitive (ts) alleles (Li et al, 2011) (1334 members, include 754 unique alleles of 475 unique ORFs). These strains were also combined with the fluorescence alleles using SGA and the resulting haploid strains were then grown for 5 hours at 37C prior to imaging.					
Screen Size	Plates: 40	5D Images: 1,806	Planes: 113,628	Average Image Dimension (XYZCT): 672 x 512 x 21 x 3 x 1	Total Tb: 0.08	
Screen Example Images						
Screen Imaging Method	fluorescence microscopy					
Screen Imaging Method Term Source REF	Fbbi					
Screen Imaging Method Term Accession	FBbi_00000246					
Screen Technology Type	gene deletion screen					
Screen Technology Term Source REF	EFO					
Screen Technology Term Accession	EFO_0007552					
Screen Type	primary screen					
Screen Type Term Source REF	EFO					
Screen Type Term Accession	EFO_0007556					
Screen Comments						
						
"# Library section. The library file should be supplied separately and it should contain  the reagents description including, at the absolute minimum: reagent ID, sequences and position in the layout (= plate + position in the plate)"						
Library File Name	idr0011-screenB-library.txt					
Library File Format	tab-delimited text					
Library Type	haploid deletion library					
Library Type Term Source REF	EFO					
Library Type Term Accession	EFO_0007561					
Library Manufacturer	Deletion strains from the collection described in Li Z, Vizeacoumar FJ, Bahr S, Li J, Warringer J, Vizeacoumar FS, Min R, Vandersluis B, Bellay J, Devit M, Fleming JA, Stephens A, Haase J, Lin ZY, Baryshnikova A, Lu H, Yan Z, Jin K, Barker S, Datti A et al. (2011) Systematic exploration of essential yeast gene function with temperature-sensitive mutants. Nat Biotechnol 29: 361-7.					
Library Version						
Library Experimental Conditions						
Library Experimental Conditions Term Source REF						
Library Experimental Conditions Term Accession						
Quality Control Description	Some wells were not imaged due to problems such as the cells did not grow, or pipetting problems. This is indicated in the Comments column.					
						
# Protocols						
Protocol Name	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type Term Source REF	EFO	EFO	EFO	EFO		
Protocol Type Term Accession	EFO_0003789	EFO_0007571	EFO_0007572	EFO_0007573		
Protocol Description	A full list of the yeast strains used in this study is provided in Table S1. Yeast were manipulated using standard methods (Sherman, 2002); ts strains were grown at 23C and then at non-permissive temperatures as indicated in the text.	Synthetic Genetic Array (SGA). Strains encoding fluorescently tagged spindle components Dad4-YFP and Spc42-RFP (T34 and T37) were mated with an array of gene deletions (Winzeler et al, 1999) or ts alleles (Li et al, 2011) by combining the cells together on YPD plates using a Singer ROTOR pinning robot (Singer Instruments, UK). Diploids were then selected by two cycles of growth on rich media containing geneticin (G418), hygromycin (HYG) and nourseothricin (NAT). These diploids were sporulated for 2 weeks at 23C on sporulation medium. The resulting spores were selected in four successive cycles of growth for 1 or 2 days at 30C on synthetic media lacking leucine and lysine (1) with thialysine; (2) with thialysine and G418; (3) thialysine, G418 and NAT; and (4) thialysine, G418, NAT and HYG.	Cells were prepared for imaging by growth in liquid synthetic medium containing 120 mg/litre adenine at 23C for ~5 hours in 96 well plates. The cells were then collected by centrifugation and placed onto an 8x6 grid of agar pedestals (Werner et al, 2009). These 48 pad arrays were covered with a custom-sized 175 um thick coverslip and imaged on an upright epifluoresence microscope (Zeiss Axiovision Z2), using a 63x 1.4NA plan apochromat oil immersion lens. Zeiss Immersol 518F immersion oil was used with a refractive index of 1.5181. Fluorescence illumination for the screen was provided by a 100W mercury bulb. Fluorescence filter cubes were as follows: YFP imaging used Zeiss filter set 46 (excitation BP 500/20; dichroic FT 515, emission BP 535/30), RFP imaging used Zeiss filter set 63HE (excitation BP 572/25; dichroic FT 590, emission BP 629/62), GFP imaging used Zeiss filter set 38HE (excitation BP 470/40; dichroic FT 495, emission BP 525/50) and CFP imaging used Zeiss filter set 47HE (excitation BP 436/25; dichroic FT455, emission BP 480/40). Later experiments employed a Zeiss Colibri LED illumination system (445 nm for CFP excitation, 470 nm for GFP excitation, 505 nm for YFP excitation and 590nm for RFP excitation), with the filter cubes outlined above. A z stack of 21 images with a vertical separation of 350 nm was acquired for each strain. Brightfield contrast was enhanced with differential interference contrast (DIC) prisms. The resulting light was captured using a Hamamatsu ORCA ERII CCD camera with 6.45 um pixels, binned 2x2 or a Flash 4.0 Lte CMOS camera with 6.5 um pixels, binned 2x2 (Hamamatsu Photonics, Japan). The exposure times were set to ensure that pixels were not saturated, typically < 200 msec for the genome-wide screen Dad4-YFP exposure times were 40 msec and Spc42-RFP 50 msec. Images shown in the figures were prepared using Volocity imaging software (Perkin Elmer Inc., USA).	Qualitative image analysis was performed using Volocity to visualize the fluorescence images. Quantitative image analysis used an automated ImageJ script, FociQuant to quantify the kinetochore fluorescence signal (Ledesma-Fernandez & Thorpe, 2015). In brief, each kinetochore is identified automatically using the 'FindMaxima' function in ImageJ. The fluoresecence intensity within a ~600 nm square box in the focal plane of each foci is measured and a local background signal for each focus is subtracted. We found that the deviations in fluorescence intensity of control strains across each 48 pad imaging plate and consequently we used a smoothing algorithm to normalize values across each plate of the screen (Olafsson & Thorpe, 2015).		
						
						
# Phenotypes						
Phenotype Name	altered kinetochore foci					
Phenotype Description	Mutant strains with this phenotype show a change in kinetochore foci as measured either by Dad4-YFP intensity levels or by foci morphology. Intensity levels may be higher or lower compared to control strains.					
Phenotype Score Type	automatic					
Phenotype Term Source REF	CMPO					
Phenotype Term Name	kinetochore phenotype					
Phenotype Term Accession	CMPO_0000427					
						
# Raw Data Files						
Raw Image Data Format	Zeiss AxioVision ZVI					
Raw Image Organization	40 x 48 well plates. Varying numbers of fields per well.					
						
# Feature Level Data Files (give individual file details unless there is one file per well)						
Feature Level Data File Name						
Feature Level Data File Description						
Feature Level Data File Format						
Feature Level Data Column Name						
Feature Level Data Column Type						
Feature Level Data Column Description						
						
#  Processed Data Files 						
Processed Data File Name	idr0011-screenB-processed.txt					
Processed Data File Format	tab-delimited text					
Processed Data File Description	This file lists the genes/ORFs from this screen that when deleted or mutated consistently produced a Dad4-YFP phenotype. This list takes into account results from the rescreens of strains that did not grow well and validation screens. 					
Processed Data Column Name	Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Processed Data Column Type	gene identifier	gene symbol	data	other	other	phenotype
Processed Data Column Annotation Level			gene			gene
Processed Data Column Description	The identifier for the gene/ORF that was mutated or deleted.	The gene symbol associated with the gene.	Lists if the mutant strain is in the final list of those consistently producinga Dad4-YFP phenotype.	Whether there is a phenotype associated with the entity in the row.	The level of entity that is annotated with the phenotype.  	Phenotype observed among cells of this mutant strain.
Processed Data Column Link To Library File	Gene Identifier					
						
Screen Number	3					
Comment[IDR Screen Name]	idr0011-ledesmafernandez-dad4/screenC	
Screen Sample Type	cell
Screen Description	Re-screen of non-essential mutants that did not grow in screen A.					
Screen Size	Plates: 4	5D Images: 86	Planes: 5,367	Average Image Dimension (XYZCT): 672 x 512 x 21 x 3 x 1	Total Tb: 0.00	
Screen Example Images						
Screen Imaging Method	fluorescence microscopy					
Screen Imaging Method Term Source REF	Fbbi					
Screen Imaging Method Term Accession	FBbi_00000246					
Screen Technology Type	gene deletion screen					
Screen Technology Term Source REF	EFO					
Screen Technology Term Accession	EFO_0007552					
Screen Type	primary screen					
Screen Type Term Source REF	EFO					
Screen Type Term Accession	EFO_0007556					
Screen Comments						
						
"# Library section. The library file should be supplied separately and it should contain  the reagents description including, at the absolute minimum: reagent ID, sequences and position in the layout (= plate + position in the plate)"						
Library File Name	idr0011-screenC-library.txt					
Library File Format	tab-delimited text					
Library Type	haploid deletion library					
Library Type Term Source REF	EFO					
Library Type Term Accession	EFO_0007561					
Library Manufacturer	Deletion strains from the collection described in Winzeler EA, Shoemaker DD, Astromoff A, Liang H, Anderson K, Andre B, Bangham R, Benito R, Boeke JD, Bussey H, Chu AM, Connelly C, Davis K, Dietrich F, Dow SW, El Bakkoury M, Foury F, Friend SH, Gentalen E, Giaever G et al. (1999) Functional characterization of the S. cerevisiae genome by gene deletion and parallel analysis. Science 285: 901-6					
Library Version						
Library Experimental Conditions						
Library Experimental Conditions Term Source REF						
Library Experimental Conditions Term Accession						
Quality Control Description	Some wells were not imaged due to problems such as the cells did not grow, or pipetting problems. This is indicated in the Comments column.					
						
# Protocols						
Protocol Name	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type Term Source REF	EFO	EFO	EFO	EFO		
Protocol Type Term Accession	EFO_0003789	EFO_0007571	EFO_0007572	EFO_0007573		
Protocol Description	A full list of the yeast strains used in this study is provided in Table S1. Yeast were manipulated using standard methods (Sherman, 2002); ts strains were grown at 23C and then at non-permissive temperatures as indicated in the text.	Synthetic Genetic Array (SGA). Strains encoding fluorescently tagged spindle components Dad4-YFP and Spc42-RFP (T34 and T37) were mated with an array of gene deletions (Winzeler et al, 1999) or ts alleles (Li et al, 2011) by combining the cells together on YPD plates using a Singer ROTOR pinning robot (Singer Instruments, UK). Diploids were then selected by two cycles of growth on rich media containing geneticin (G418), hygromycin (HYG) and nourseothricin (NAT). These diploids were sporulated for 2 weeks at 23C on sporulation medium. The resulting spores were selected in four successive cycles of growth for 1 or 2 days at 30C on synthetic media lacking leucine and lysine (1) with thialysine; (2) with thialysine and G418; (3) thialysine, G418 and NAT; and (4) thialysine, G418, NAT and HYG.	Cells were prepared for imaging by growth in liquid synthetic medium containing 120 mg/litre adenine at 23C for ~5 hours in 96 well plates. The cells were then collected by centrifugation and placed onto an 8x6 grid of agar pedestals (Werner et al, 2009). These 48 pad arrays were covered with a custom-sized 175 um thick coverslip and imaged on an upright epifluoresence microscope (Zeiss Axiovision Z2), using a 63x 1.4NA plan apochromat oil immersion lens. Zeiss Immersol 518F immersion oil was used with a refractive index of 1.5181. Fluorescence illumination for the screen was provided by a 100W mercury bulb. Fluorescence filter cubes were as follows: YFP imaging used Zeiss filter set 46 (excitation BP 500/20; dichroic FT 515, emission BP 535/30), RFP imaging used Zeiss filter set 63HE (excitation BP 572/25; dichroic FT 590, emission BP 629/62), GFP imaging used Zeiss filter set 38HE (excitation BP 470/40; dichroic FT 495, emission BP 525/50) and CFP imaging used Zeiss filter set 47HE (excitation BP 436/25; dichroic FT455, emission BP 480/40). Later experiments employed a Zeiss Colibri LED illumination system (445 nm for CFP excitation, 470 nm for GFP excitation, 505 nm for YFP excitation and 590nm for RFP excitation), with the filter cubes outlined above. A z stack of 21 images with a vertical separation of 350 nm was acquired for each strain. Brightfield contrast was enhanced with differential interference contrast (DIC) prisms. The resulting light was captured using a Hamamatsu ORCA ERII CCD camera with 6.45 um pixels, binned 2x2 or a Flash 4.0 Lte CMOS camera with 6.5 um pixels, binned 2x2 (Hamamatsu Photonics, Japan). The exposure times were set to ensure that pixels were not saturated, typically < 200 msec for the genome-wide screen Dad4-YFP exposure times were 40 msec and Spc42-RFP 50 msec. Images shown in the figures were prepared using Volocity imaging software (Perkin Elmer Inc., USA).	Qualitative image analysis was performed using Volocity to visualize the fluorescence images. Quantitative image analysis used an automated ImageJ script, FociQuant to quantify the kinetochore fluorescence signal (Ledesma-Fernandez & Thorpe, 2015). In brief, each kinetochore is identified automatically using the 'FindMaxima' function in ImageJ. The fluoresecence intensity within a ~600 nm square box in the focal plane of each foci is measured and a local background signal for each focus is subtracted. We found that the deviations in fluorescence intensity of control strains across each 48 pad imaging plate and consequently we used a smoothing algorithm to normalize values across each plate of the screen (Olafsson & Thorpe, 2015).		
						
						
# Phenotypes						
Phenotype Name	altered kinetochore foci					
Phenotype Description	Mutant strains with this phenotype show a change in kinetochore foci as measured either by Dad4-YFP intensity levels or by foci morphology. Intensity levels may be higher or lower compared to control strains.					
Phenotype Score Type	automatic					
Phenotype Term Source REF	CMPO					
Phenotype Term Name	kinetochore phenotype					
Phenotype Term Accession	CMPO_0000427					
						
# Raw Data Files						
Raw Image Data Format	Zeiss AxioVision ZVI					
Raw Image Organization	4 x 48 well plates. 1 field per well. 					
						
# Feature Level Data Files (give individual file details unless there is one file per well)						
Feature Level Data File Name						
Feature Level Data File Description						
Feature Level Data File Format						
Feature Level Data Column Name						
Feature Level Data Column Type						
Feature Level Data Column Description						
						
#  Processed Data Files 						
Processed Data File Name	idr0011-screenC-processed.txt					
Processed Data File Format	tab-delimited text					
Processed Data File Description	This file lists the genes/ORFs from this screen that when deleted or mutated consistently produced a Dad4-YFP phenotype. This list takes into account results from the rescreens of strains that did not grow well and validation screens. 					
Processed Data Column Name	Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Processed Data Column Type	gene identifier	gene symbol	data	other	other	phenotype
Processed Data Annotation Level			gene			gene
Processed Data Column Description	The identifier for the gene/ORF that was mutated or deleted.	The gene symbol associated with the gene.	Lists if the mutant strain is in the final list of those consistently producinga Dad4-YFP phenotype.	Whether there is a phenotype associated with the entity in the row.	The level of entity that is annotated with the phenotype.  	Phenotype observed among cells of this mutant strain.
Processed Data Column Link To Library File	Gene Identifier					
						
Screen Number	4					
Comment[IDR Screen Name]	idr0011-ledesmafernandez-dad4/screenD		
Screen Sample Type	cell
Screen Description	Re-screen of essential mutants that did not grow in screen B.					
Screen Size	Plates: 8	5D Images: 865	Planes: 54495	Average Image Dimension (XYZCT): 672 x 512 x 21 x 3 x 1	Total Tb: 0.04	
Screen Example Images						
Screen Imaging Method	fluorescence microscopy					
Screen Imaging Method Term Source REF	Fbbi					
Screen Imaging Method Term Accession	FBbi_00000246					
Screen Technology Type	gene deletion screen					
Screen Technology Term Source REF	EFO					
Screen Technology Term Accession	EFO_0007552					
Screen Type	primary screen					
Screen Type Term Source REF	EFO					
Screen Type Term Accession	EFO_0007556					
Screen Comments						
						
"# Library section. The library file should be supplied separately and it should contain  the reagents description including, at the absolute minimum: reagent ID, sequences and position in the layout (= plate + position in the plate)"						
Library File Name	idr0011-screenD-library.txt					
Library File Format	tab-delimited text					
Library Type	haploid deletion library					
Library Type Term Source REF	EFO					
Library Type Term Accession	EFO_0007561					
Library Manufacturer	Deletion strains from the collection described in Li Z, Vizeacoumar FJ, Bahr S, Li J, Warringer J, Vizeacoumar FS, Min R, Vandersluis B, Bellay J, Devit M, Fleming JA, Stephens A, Haase J, Lin ZY, Baryshnikova A, Lu H, Yan Z, Jin K, Barker S, Datti A et al. (2011) Systematic exploration of essential yeast gene function with temperature-sensitive mutants. Nat Biotechnol 29: 361-7.					
Library Version						
Library Experimental Conditions	none					
Library Experimental Conditions Term Source REF						
Library Experimental Conditions Term Accession						
Quality Control Description	Some wells were not imaged due to problems such as the cells did not grow, or pipetting problems. This is indicated in the Comments column.					
						
# Protocols						
Protocol Name	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type	growth protocol	HCS library protocol	HCS image acquistion and feature extraction protocol	HCS data analysis protocol		
Protocol Type Term Source REF	EFO	EFO	EFO	EFO		
Protocol Type Term Accession	EFO_0003789	EFO_0007571	EFO_0007572	EFO_0007573		
Protocol Description	A full list of the yeast strains used in this study is provided in Table S1. Yeast were manipulated using standard methods (Sherman, 2002); ts strains were grown at 23C and then at non-permissive temperatures as indicated in the text.	Synthetic Genetic Array (SGA). Strains encoding fluorescently tagged spindle components Dad4-YFP and Spc42-RFP (T34 and T37) were mated with an array of gene deletions (Winzeler et al, 1999) or ts alleles (Li et al, 2011) by combining the cells together on YPD plates using a Singer ROTOR pinning robot (Singer Instruments, UK). Diploids were then selected by two cycles of growth on rich media containing geneticin (G418), hygromycin (HYG) and nourseothricin (NAT). These diploids were sporulated for 2 weeks at 23C on sporulation medium. The resulting spores were selected in four successive cycles of growth for 1 or 2 days at 30C on synthetic media lacking leucine and lysine (1) with thialysine; (2) with thialysine and G418; (3) thialysine, G418 and NAT; and (4) thialysine, G418, NAT and HYG.	Cells were prepared for imaging by growth in liquid synthetic medium containing 120 mg/litre adenine at 23C for ~5 hours in 96 well plates. The cells were then collected by centrifugation and placed onto an 8x6 grid of agar pedestals (Werner et al, 2009). These 48 pad arrays were covered with a custom-sized 175 um thick coverslip and imaged on an upright epifluoresence microscope (Zeiss Axiovision Z2), using a 63x 1.4NA plan apochromat oil immersion lens. Zeiss Immersol 518F immersion oil was used with a refractive index of 1.5181. Fluorescence illumination for the screen was provided by a 100W mercury bulb. Fluorescence filter cubes were as follows: YFP imaging used Zeiss filter set 46 (excitation BP 500/20; dichroic FT 515, emission BP 535/30), RFP imaging used Zeiss filter set 63HE (excitation BP 572/25; dichroic FT 590, emission BP 629/62), GFP imaging used Zeiss filter set 38HE (excitation BP 470/40; dichroic FT 495, emission BP 525/50) and CFP imaging used Zeiss filter set 47HE (excitation BP 436/25; dichroic FT455, emission BP 480/40). Later experiments employed a Zeiss Colibri LED illumination system (445 nm for CFP excitation, 470 nm for GFP excitation, 505 nm for YFP excitation and 590nm for RFP excitation), with the filter cubes outlined above. A z stack of 21 images with a vertical separation of 350 nm was acquired for each strain. Brightfield contrast was enhanced with differential interference contrast (DIC) prisms. The resulting light was captured using a Hamamatsu ORCA ERII CCD camera with 6.45 um pixels, binned 2x2 or a Flash 4.0 Lte CMOS camera with 6.5 um pixels, binned 2x2 (Hamamatsu Photonics, Japan). The exposure times were set to ensure that pixels were not saturated, typically < 200 msec for the genome-wide screen Dad4-YFP exposure times were 40 msec and Spc42-RFP 50 msec. Images shown in the figures were prepared using Volocity imaging software (Perkin Elmer Inc., USA).	Qualitative image analysis was performed using Volocity to visualize the fluorescence images. Quantitative image analysis used an automated ImageJ script, FociQuant to quantify the kinetochore fluorescence signal (Ledesma-Fernandez & Thorpe, 2015). In brief, each kinetochore is identified automatically using the 'FindMaxima' function in ImageJ. The fluoresecence intensity within a ~600 nm square box in the focal plane of each foci is measured and a local background signal for each focus is subtracted. We found that the deviations in fluorescence intensity of control strains across each 48 pad imaging plate and consequently we used a smoothing algorithm to normalize values across each plate of the screen (Olafsson & Thorpe, 2015).		
						
						
# Phenotypes						
Phenotype Name	altered kinetochore foci					
Phenotype Description	Mutant strains with this phenotype show a change in kinetochore foci as measured either by Dad4-YFP intensity levels or by foci morphology. Intensity levels may be higher or lower compared to control strains.					
Phenotype Score Type	automatic					
Phenotype Term Source REF	CMPO					
Phenotype Term Name	kinetochore phenotype					
Phenotype Term Accession	CMPO_0000427					
						
# Raw Data Files						
Raw Image Data Format	Zeiss AxioVision ZVI					
Raw Image Organization	8 x 48 well plates.  					
						
# Feature Level Data Files (give individual file details unless there is one file per well)						
