Plate	Well	Plate_Well	Experimental Condition [Compound]	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Control Type	Control Comments	Gene Hit for YAP Localization Inconsistent With Cell Shape	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18
200972726[5176]_kinome_YAP_TAZ	C21	200972726[5176]_kinome_YAP_TAZ_C21		M-004807-02	225689	ERK8				yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	C22	200972726[5176]_kinome_YAP_TAZ_C22		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well		small cells			high nucleus/cell area			low Neighbor Fraction		low local density	low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	C3	200972726[5176]_kinome_YAP_TAZ_C3		M-004801-02	1196	CLK2			"yes, Low YAP Ratio"	yes	well												doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	C4	200972726[5176]_kinome_YAP_TAZ_C4		M-004944-01	814	CAMK4			"yes, Low YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	C5	200972726[5176]_kinome_YAP_TAZ_C5		M-004802-01	1198	CLK3			"yes, Low YAP Ratio+Low Level"	yes	well		small cells		small nuclei	high nucleus/cell area			low Neighbor Fraction				doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	C6	200972726[5176]_kinome_YAP_TAZ_C6		M-005311-01	8573	CASK				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density					low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	C7	200972726[5176]_kinome_YAP_TAZ_C7		M-004803-00	57396	CLK4				yes	well	large cells					low nucleus/cell area	high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	C8	200972726[5176]_kinome_YAP_TAZ_C8		M-003255-04	1111	CHEK1				yes	well	large cells					low nucleus/cell area				low local density							high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	C9	200972726[5176]_kinome_YAP_TAZ_C9		M-004031-03	51755	CRK7				yes	well	large cells						high Neighbor Fraction											
200972726[5176]_kinome_YAP_TAZ	D10	200972726[5176]_kinome_YAP_TAZ_D10		M-003021-03	5296	PIK3R2				yes	well							high Neighbor Fraction							low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	D11	200972726[5176]_kinome_YAP_TAZ_D11		M-005385-03	138474	TAF1L				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	D12	200972726[5176]_kinome_YAP_TAZ_D12		M-019546-00	8503	PIK3R3				yes	well	large cells		large nuclei				high Neighbor Fraction					doughnut nuclei						low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	D13	200972726[5176]_kinome_YAP_TAZ_D13		M-004171-03	9344	TAO1				yes	well	large cells																	
200972726[5176]_kinome_YAP_TAZ	D14	200972726[5176]_kinome_YAP_TAZ_D14		M-005025-02	30849	PIK3R4				yes	well				small nuclei				low Neighbor Fraction					high total YAP/TAZ				high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	D15	200972726[5176]_kinome_YAP_TAZ_D15		M-003788-02	29110	TBK1				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	D16	200972726[5176]_kinome_YAP_TAZ_D16		M-006776-04	5297	PIK4CA			"yes, Low YAP Ratio+Low Level"	yes	well								low Neighbor Fraction			low nuclear roundness	doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D17	200972726[5176]_kinome_YAP_TAZ_D17		M-005043-01	7016	TESK1				yes	well	large cells					low nucleus/cell area				low local density			high total YAP/TAZ		high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	D18	200972726[5176]_kinome_YAP_TAZ_D18		M-006777-03	5298	PIK4CB				yes	well	large cells		large nuclei				high Neighbor Fraction											
200972726[5176]_kinome_YAP_TAZ	D19	200972726[5176]_kinome_YAP_TAZ_D19		M-005044-01	10420	TESK2			"yes, Low YAP Ratio"	yes	well	large cells						high Neighbor Fraction				low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	D2	200972726[5176]_kinome_YAP_TAZ_D2		M-003018-03	5290	PIK3CA				yes	well							high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	D20	200972726[5176]_kinome_YAP_TAZ_D20		M-004030-02	65018	PINK1			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction				low nuclear roundness	doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	D21	200972726[5176]_kinome_YAP_TAZ_D21		M-005386-02	56155	TEX14				yes	well	large cells						high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	D22	200972726[5176]_kinome_YAP_TAZ_D22		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well								low Neighbor Fraction		low local density		doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	D3	200972726[5176]_kinome_YAP_TAZ_D3		M-005384-01	140901	STK35				yes	well										low local density						low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D4	200972726[5176]_kinome_YAP_TAZ_D4		M-003019-02	5291	PIK3CB			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D5	200972726[5176]_kinome_YAP_TAZ_D5		M-005039-02	27148	STK36				yes	well							high Neighbor Fraction											low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	D6	200972726[5176]_kinome_YAP_TAZ_D6		M-005274-02	5294	PIK3CG			"yes, Low YAP Ratio"	yes	well	large cells						high Neighbor Fraction				low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D7	200972726[5176]_kinome_YAP_TAZ_D7				STK6				yes	well			large nuclei		high nucleus/cell area						low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D8	200972726[5176]_kinome_YAP_TAZ_D8		M-003020-04	5295	PIK3R1			"yes, Low YAP Ratio"	yes	well		small cells			high nucleus/cell area											low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	D9	200972726[5176]_kinome_YAP_TAZ_D9		M-005041-01	6872	TAF1				yes	well								low Neighbor Fraction						low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	E10	200972726[5176]_kinome_YAP_TAZ_E10		M-003973-02	57144	PAK7				yes	well	large cells		large nuclei				high Neighbor Fraction				low nuclear roundness	doughnut nuclei						
200972726[5176]_kinome_YAP_TAZ	E11	200972726[5176]_kinome_YAP_TAZ_E11		M-003144-03	3702	ITK				yes	well	large cells		large nuclei				high Neighbor Fraction				low nuclear roundness	doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E12	200972726[5176]_kinome_YAP_TAZ_E12			5515	PPP2CA				yes	well														low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	E13	200972726[5176]_kinome_YAP_TAZ_E13		M-003145-02	3716	JAK1				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	E14	200972726[5176]_kinome_YAP_TAZ_E14			5516	PPP2CB				yes	well												doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	E15	200972726[5176]_kinome_YAP_TAZ_E15		M-003146-02	3717	JAK2				yes	well															high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E16	200972726[5176]_kinome_YAP_TAZ_E16			84867	PTPN5				yes	well	large cells					low nucleus/cell area	high Neighbor Fraction			low local density	low nuclear roundness							
200972726[5176]_kinome_YAP_TAZ	E17	200972726[5176]_kinome_YAP_TAZ_E17		M-003147-01	3718	JAK3				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E18	200972726[5176]_kinome_YAP_TAZ_E18			5801	PTPRR				yes	well							high Neighbor Fraction							low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	E19	200972726[5176]_kinome_YAP_TAZ_E19		M-003148-01	3791	KDR				yes	well				small nuclei				low Neighbor Fraction				doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	E2	200972726[5176]_kinome_YAP_TAZ_E2		M-003597-03	5062	PAK2			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction		high local density				high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	E20	200972726[5176]_kinome_YAP_TAZ_E20		L-003560-00	5879	RAC1				yes	well									high local density			doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)	high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E21	200972726[5176]_kinome_YAP_TAZ_E21		M-003150-02	3815	KIT				yes	well		small cells		small nuclei								doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	E22	200972726[5176]_kinome_YAP_TAZ_E22		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well								low Neighbor Fraction		low local density	low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	E3	200972726[5176]_kinome_YAP_TAZ_E3		M-003140-04	2534	FYN				yes	well	large cells		large nuclei				high Neighbor Fraction								high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E5	200972726[5176]_kinome_YAP_TAZ_E5		M-003141-03	3055	HCK				yes	well								low Neighbor Fraction					high total YAP/TAZ				high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	E6	200972726[5176]_kinome_YAP_TAZ_E6		M-003615-03	10298	PAK4			"yes, Low YAP Ratio"	yes	well																low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	E7	200972726[5176]_kinome_YAP_TAZ_E7		M-003012-05	3480	IGF1R			"yes, Low YAP Ratio"	yes	well								low Neighbor Fraction								low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	E8	200972726[5176]_kinome_YAP_TAZ_E8		M-004338-02	56924	PAK6				yes	well														low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	E9	200972726[5176]_kinome_YAP_TAZ_E9		M-003014-02	3643	INSR				yes	well	large cells		large nuclei			low nucleus/cell area	high Neighbor Fraction											
200972726[5176]_kinome_YAP_TAZ	F10	200972726[5176]_kinome_YAP_TAZ_F10			83394	PITPNM3				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction					doughnut nuclei		low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	F11	200972726[5176]_kinome_YAP_TAZ_F11		M-006788-03	7084	TK2			"yes, Low YAP Ratio"	yes	well					high nucleus/cell area		high Neighbor Fraction		high local density		low nuclear roundness					low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	F13	200972726[5176]_kinome_YAP_TAZ_F13		M-004174-00	9874	TLK1				yes	well	large cells												high total YAP/TAZ				high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F14	200972726[5176]_kinome_YAP_TAZ_F14		M-008224-01	5570	PKIB				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density							low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	F15	200972726[5176]_kinome_YAP_TAZ_F15		M-005389-02	11011	TLK2				yes	well	large cells									low local density		doughnut nuclei					high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F16	200972726[5176]_kinome_YAP_TAZ_F16		M-006780-01	5313	PKLR				yes	well							high Neighbor Fraction				low nuclear roundness	doughnut nuclei						
200972726[5176]_kinome_YAP_TAZ	F17	200972726[5176]_kinome_YAP_TAZ_F17			7096	TLR1				yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F18	200972726[5176]_kinome_YAP_TAZ_F18		M-006781-02	5315	PKM2				yes	well		small cells		small nuclei				low Neighbor Fraction				doughnut nuclei					high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F19	200972726[5176]_kinome_YAP_TAZ_F19			7098	TLR3			"yes, High YAP Ratio"	yes	well	large cells					low nucleus/cell area	high Neighbor Fraction			low local density					high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F2	200972726[5176]_kinome_YAP_TAZ_F2		M-004780-02	8394	PIP5K1A			"yes, Low YAP Ratio+Low Level"	yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	F20	200972726[5176]_kinome_YAP_TAZ_F20		M-005026-02	9088	PKMYT1				yes	well	large cells						high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	F21	200972726[5176]_kinome_YAP_TAZ_F21			7099	TLR4				yes	well								low Neighbor Fraction				doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	F22	200972726[5176]_kinome_YAP_TAZ_F22		M-006450-00	1894	ECT2	positive control	"checks for transfection, gives strong multinuclear phenotype"		yes	well							high Neighbor Fraction							low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	F3	200972726[5176]_kinome_YAP_TAZ_F3		M-003929-02	7046	TGFBR1				yes	well			large nuclei		high nucleus/cell area		high Neighbor Fraction		high local density									
200972726[5176]_kinome_YAP_TAZ	F4	200972726[5176]_kinome_YAP_TAZ_F4		M-006778-01	5305	PIP5K2A				yes	well	large cells		large nuclei								low nuclear roundness			low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	F5	200972726[5176]_kinome_YAP_TAZ_F5		M-003930-02	7048	TGFBR2				yes	well											low nuclear roundness	doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	F6	200972726[5176]_kinome_YAP_TAZ_F6		M-006779-03	8396	PIP5K2B			"yes, Low YAP Ratio+Low Level"	yes	well														low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	F7	200972726[5176]_kinome_YAP_TAZ_F7		M-009932-02	9414	TJP2				yes	well												doughnut nuclei						
200972726[5176]_kinome_YAP_TAZ	F8	200972726[5176]_kinome_YAP_TAZ_F8		M-004535-00	79837	PIP5K2C				yes	well			large nuclei								low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	F9	200972726[5176]_kinome_YAP_TAZ_F9			7083	TK1				yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	G10	200972726[5176]_kinome_YAP_TAZ_G10				ASP				yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	G11	200972726[5176]_kinome_YAP_TAZ_G11		M-006717-01	9162	DGKI			"yes, Low YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction				low nuclear roundness	doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	G12	200972726[5176]_kinome_YAP_TAZ_G12		M-003201-04	472	ATM				yes	well													high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	G13	200972726[5176]_kinome_YAP_TAZ_G13		M-005079-02	1609	DGKQ				yes	well	large cells		large nuclei				high Neighbor Fraction					doughnut nuclei			high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	G14	200972726[5176]_kinome_YAP_TAZ_G14		M-003202-05	545	ATR			"yes, Low YAP Ratio"	yes	well												doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	G15	200972726[5176]_kinome_YAP_TAZ_G15			8525	DGKZ				yes	well	large cells					low nucleus/cell area				low local density							high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	G16	200972726[5176]_kinome_YAP_TAZ_G16		M-003326-08	9212	AURKB			"yes, Low YAP Ratio+Low Level"	yes	well							high Neighbor Fraction				low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	G17	200972726[5176]_kinome_YAP_TAZ_G17		M-006719-03	1716	DGUOK			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction					doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	G18	200972726[5176]_kinome_YAP_TAZ_G18		M-019573-04	6795	AURKC			"yes, Low YAP Ratio"	yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density			doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	G19	200972726[5176]_kinome_YAP_TAZ_G19		M-004949-01	25989	DKFZP434C131				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	G2	200972726[5176]_kinome_YAP_TAZ_G2		M-004930-01	255239	ANKK1			"yes, Low YAP Ratio"	yes	well						low nucleus/cell area										low YAP/TAZ ratio (mouse Santa Cruz)		
