Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A43940795-001-03-6	BRD-A43940795	TETRAHYDROPALMATINE	MicroSource Discovery Systems Inc.	yes			GO:0005245 (inhibits voltage-gated calcium channel activity)			yes	cellular response to chemical stimulus	
BRD-A45889380-336-03-4	BRD-A45889380	Quinacrine dihydrochloride dihydrate	Prestwick Chemical Inc.	yes		GeneID:240 (inhibits ALOX5)	GO:0016491 (affects oxidoreductase activity);GO:0005267 (inhibits potassium channel activity)	MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic);UseClass:8110 (anti-malarial)	yes	cellular response to chemical stimulus	
BRD-A55946879-001-02-9	BRD-A55946879	BW-B 70C	Biomol International Inc.	yes		GeneID:240 (inhibits ALOX5)				yes	cellular response to chemical stimulus	
BRD-A56020723-001-02-0	BRD-A56020723	CA-074-Me	Biomol International Inc.	yes		GeneID:1508 (inhibits CTSB)	GO:0008219 (affects cell death)			yes	cellular response to chemical stimulus	
BRD-A57089740-001-02-3	BRD-A57089740	PERUVOSIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8100 (cardiac stimulant)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A64242993-001-02-3	BRD-A64242993	LANATOSIDE C	MicroSource Discovery Systems Inc.	yes					UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A64553394-001-02-8	BRD-A64553394	SDZ-201106	Biomol International Inc.	yes			GO:0005272 (activates sodium channel activity)			yes	cellular response to chemical stimulus	
BRD-A69950438-001-04-5	BRD-A69950438	"(d,l)-Tetrahydroberberine"	Prestwick Chemical Inc.	yes		GeneID:1812 (inhibits DRD1)	GO:0004016 (inhibits adenylate cyclase activity)			yes	cellular response to chemical stimulus	
BRD-A71033472-003-05-6	BRD-A71033472	Fendiline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004683 (inhibits calmodulin-dependent protein kinase activity)		UseClass:8092 (vasodilator)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A72703248-001-02-7	BRD-A72703248	SKF-96365	Biomol International Inc.	yes			GO:0006816 (inhibits calcium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)			yes	cellular response to chemical stimulus	
BRD-A93236127-001-02-9	BRD-A93236127	DIGITOXIN	MicroSource Discovery Systems Inc.	yes				MeSH:D006331 (Heart Diseases)	UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A94756469-001-02-1	BRD-A94756469	DIGOXIN	MicroSource Discovery Systems Inc.	yes					UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K00259736-001-06-5	BRD-K00259736	Colchicine	Prestwick Chemical Inc.	yes				MeSH:D006073 (Gout);MeSH:D007249 (Inflammation);MeSH:D014777 (Virus Diseases)	UseClass:8071 (anti-inflammatory);UseClass:8065 (anti-proliferative);UseClass:8106 (anti-viral)	yes	cellular response to chemical stimulus	
BRD-K00603606-003-03-4	BRD-K00603606	Ticlopidine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D020521 (Stroke)	UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	
BRD-K02637541-001-02-4	BRD-K02637541	CELECOXIB	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (inhibits PTGS2)		"MeSH:D011125 (Adenomatous Polyposis Coli);""MeSH:D001172 (Arthritis, Rheumatoid)"";MeSH:D010003 (Osteoarthritis)"		yes	cellular response to chemical stimulus	
BRD-K03842655-001-02-1	BRD-K03842655	PENITREM A	Biomol International Inc.	yes			GO:0015269 (inhibits calcium-activated potassium channel activity)		UseClass:8113 (cns agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K06543683-001-04-4	BRD-K06543683	Ro 31-8220	Biomol International Inc.	yes		GeneID:6196 (inhibits RPS6KA2)	GO:0004697 (inhibits protein kinase C activity)			yes	cellular response to chemical stimulus	
BRD-K08078237-001-07-3	BRD-K08078237	TETRANDRINE	Biomol International Inc.	yes			GO:0015269 (inhibits calcium-activated potassium channel activity);GO:0003924 (inhibits GTPase activity);GO:0004623 (inhibits phospholipase A2 activity)			yes	cellular response to chemical stimulus	
BRD-K13078532-001-05-2	BRD-K13078532	Hydrochlorothiazide	Prestwick Chemical Inc.	yes		GeneID:6559 (inhibits SLC12A3)	GO:0004089 (inhibits carbonate dehydratase activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)	yes	cellular response to chemical stimulus	
BRD-K14821540-001-02-1	BRD-K14821540	FCCP	Biomol International Inc.	yes			GO:0015992 (affects proton transport)			yes	cellular response to chemical stimulus	
BRD-K15025317-001-04-5	BRD-K15025317	BAY 11-7082	Biomol International Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K17953061-001-02-8	BRD-K17953061	staurosporine	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	"GO:0000915 (affects cytokinesis, actomyosin contractile ring assembly);GO:0051256 (affects spindle midzone assembly involved in mitosis);GO:0004697 (inhibits protein kinase C activity)"			yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K18787491-001-04-5	BRD-K18787491	U-0126	Biomol International Inc.	yes	CBPROTID:1000423 (inhibits Mitogen-activated protein kinase kinase);CBPROTID:1000068 (inhibits Mitogen-activated protein kinase)	GeneID:4214 (inhibits MAP3K1);GeneID:10746 (inhibits MAP3K2)	GO:0000186 (inhibits activation of MAPKK activity);GO:0004708 (inhibits MAP kinase kinase activity)			yes	cellular response to chemical stimulus	
BRD-K18910433-001-04-4	BRD-K18910433	ESTRADIOL	Biomol International Inc.	yes				MeSH:D008593 (Menopause);MeSH:D010024 (Osteoporosis)		yes	cellular response to chemical stimulus	
BRD-K21680192-300-05-2	BRD-K21680192	Mitoxantrone dihydrochloride	Prestwick Chemical Inc.	yes			GO:0016491 (affects oxidoreductase activity)	"MeSH:D015470 (Leukemia, Myeloid, Acute);MeSH:D009103 (Multiple Sclerosis);MeSH:D009369 (Neoplasms);MeSH:D011471 (Prostatic Neoplasms)"	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-K24132293-001-05-3	BRD-K24132293	Piperlongumine	Prestwick Chemical Inc.	yes			GO:0045444 (activates fat cell differentiation);GO:0004097 (affects catechol oxidase activity);GO:0019933 (inhibits cAMP-mediated signaling);GO:0042438 (inhibits melanin biosynthetic process);GO:0006800 (inhibits oxygen and reactive oxygen species metabolic process);GO:0046488 (inhibits phosphatidylinositol metabolic process);GO:0043473 (inhibits pigmentation);GO:0070527 (inhibits platelet aggregation)			yes	cellular response to chemical stimulus	
BRD-K24616672-003-05-2	BRD-K24616672	Procaine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8113 (cns agent)	yes	cellular response to chemical stimulus	
BRD-K27305650-001-05-9	BRD-K27305650	LY-294002	Biomol International Inc.	yes		GeneID:5290 (inhibits PIK3CA);GeneID:5591 (inhibits PRKDC)	GO:0048659 (inhibits smooth muscle cell proliferation)			yes	cellular response to chemical stimulus	
BRD-K31342827-001-05-4	BRD-K31342827	GF-109203X	Biomol International Inc.	yes		GeneID:2932 (inhibits GSK3B);GeneID:5578 (inhibits PRKCA);GeneID:5579 (inhibits PRKCB);GeneID:5580 (inhibits PRKCD);GeneID:5581 (inhibits PRKCE);GeneID:5582 (inhibits PRKCG)	GO:0004691 (inhibits cAMP-dependent protein kinase activity);GO:0004697 (inhibits protein kinase C activity);GO:0050321 (inhibits tau-protein kinase activity);GO:0003720 (inhibits telomerase activity)			yes	cellular response to chemical stimulus	
BRD-K32744045-001-05-6	BRD-K32744045	Disulfiram	Prestwick Chemical Inc.	yes			GO:0004022 (inhibits alcohol dehydrogenase (NAD) activity)			yes	cellular response to chemical stimulus	
BRD-K35458079-001-04-2	BRD-K35458079	MCI-186	Biomol International Inc.	yes					UseClass:8137 (anti-oxidant)	yes	cellular response to chemical stimulus	
BRD-K37798499-001-02-5	BRD-K37798499	Etoposide	Prestwick Chemical Inc.	yes		GeneID:7153 (binds TOP2A)	GO:0071850 (activates mitotic cell cycle arrest)			yes	cellular response to chemical stimulus	
BRD-K39484304-001-02-5	BRD-K39484304	Triptolide	Biomol International Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	
BRD-K40905133-001-02-3	BRD-K40905133	PHENACEMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)	yes	cellular response to chemical stimulus	
BRD-K43389675-003-02-7	BRD-K43389675	Daunorubicin hydrochloride	Prestwick Chemical Inc.	yes			GO:0016491 (affects oxidoreductase activity)	MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-K43966364-237-02-2	BRD-K43966364	PENICILLIN V POTASSIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)	yes	cellular response to chemical stimulus	
BRD-K50135270-001-01-9	BRD-K50135270	GBR 12935	Biomol International Inc.	yes		GeneID:185 (inhibits AGTR1)				yes	cellular response to chemical stimulus	
BRD-K50406511-001-06-2	BRD-K50406511	Hycanthone	Prestwick Chemical Inc.	yes				MeSH:D012552 (Schistosomiasis)	UseClass:8107 (anti-parasitic)	yes	cellular response to chemical stimulus	
BRD-K51318897-001-04-7	BRD-K51318897	Fenbendazole	Prestwick Chemical Inc.	yes				MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic)	yes	cellular response to chemical stimulus	
BRD-K52075040-001-02-2	BRD-K52075040	Cerulenin	Biomol International Inc.	yes		GeneID:2194 (affects FASN)	GO:0006633 (affects fatty acid biosynthetic process)			yes	cellular response to chemical stimulus	
BRD-K52075715-001-02-6	BRD-K52075715	OXIBENDAZOLE	MicroSource Discovery Systems Inc.	yes				MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic)	yes	cellular response to chemical stimulus	
BRD-K55127134-001-01-7	BRD-K55127134	FLUPHENAZINE	Biomol International Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)		UseClass:8117 (tranquilizer)	yes	cellular response to chemical stimulus	
BRD-K55127134-300-05-4	BRD-K55127134	Fluphenazine dihydrochloride	Prestwick Chemical Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)		UseClass:8117 (tranquilizer)	yes	cellular response to chemical stimulus	
BRD-K59304176-001-02-5	BRD-K59304176	Go6976	Biomol International Inc.	yes		GeneID:5579 (inhibits PRKCB)	GO:0004697 (inhibits protein kinase C activity)			yes	cellular response to chemical stimulus	
BRD-K59469039-001-04-9	BRD-K59469039	AG-879	Biomol International Inc.	yes			GO:0046777 (affects protein autophosphorylation)			yes	cellular response to chemical stimulus	
BRD-K60025295-003-02-5	BRD-K60025295	GENTIAN VIOLET	MicroSource Discovery Systems Inc.	yes				MeSH:D007239 (Infection)	UseClass:8109 (anti-helminthic);UseClass:8103 (anti-infective agent)	yes	cellular response to chemical stimulus	
BRD-K61443650-236-02-4	BRD-K61443650	THIMEROSAL	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal);UseClass:8111 (antiseptic)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K62008436-001-03-1	BRD-K62008436	Paclitaxel	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-K62792802-001-02-8	BRD-K62792802	LY-83583	Biomol International Inc.	yes			GO:0004383 (inhibits guanylate cyclase activity)	MeSH:D000707 (Anaphylaxis)	UseClass:8073 (immunomodulator)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K66808046-065-01-1	BRD-K66808046	OXYQUINOLINE HEMISULFATE	MicroSource Discovery Systems Inc.	yes					UseClass:8111 (antiseptic);UseClass:8112 (disinfectant)	yes	cellular response to chemical stimulus	
BRD-K68143200-001-02-6	BRD-K68143200	NSC-95397	Biomol International Inc.	yes		GeneID:993 (inhibits CDC25A);GeneID:994 (inhibits CDC25B);GeneID:995 (inhibits CDC25C)	GO:0008219 (activates cell death);GO:0071850 (activates mitotic cell cycle arrest);GO:0008283 (inhibits cell proliferation);GO:0000086 (inhibits G2/M transition of mitotic cell cycle)			yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K73107279-003-03-4	BRD-K73107279	LEVAMISOLE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006373 (Helminthiasis);MeSH:D009349 (Nematode Infections)	UseClass:8109 (anti-helminthic);UseClass:8073 (immunomodulator)	yes	cellular response to chemical stimulus	
BRD-K75641298-001-01-5	BRD-K75641298	METOCLOPRAMIDE	Biomol International Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic)	yes	cellular response to chemical stimulus	
BRD-K75641298-003-05-2	BRD-K75641298	Metoclopramide monohydrochloride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic)	yes	cellular response to chemical stimulus	
BRD-K76022557-001-01-3	BRD-K76022557	R(-)-APOMORPHINE	Biomol International Inc.	yes		GeneID:1813 (activates DRD2)		MeSH:D010300 (Parkinson Disease)	UseClass:8128 (emetic)	yes	cellular response to chemical stimulus	
BRD-K79501723-001-02-0	BRD-K79501723	CYCLIZINE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)	GO:0019233 (inhibits sensory perception of pain)	MeSH:D009041 (Motion Sickness);MeSH:D020250 (Postoperative Nausea and Vomiting)	UseClass:8081 (analgesic);UseClass:8072 (anti-histamine)	yes	cellular response to chemical stimulus	
BRD-K79501723-003-03-4	BRD-K79501723	Cyclizine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)	GO:0019233 (inhibits sensory perception of pain)	MeSH:D009041 (Motion Sickness);MeSH:D020250 (Postoperative Nausea and Vomiting)	UseClass:8081 (analgesic);UseClass:8072 (anti-histamine)	yes	cellular response to chemical stimulus	
BRD-K80738081-001-06-2	BRD-K80738081	resveratrol	Biomol International Inc.	yes		GeneID:1457 (inhibits CSNK2A1);GeneID:6240 (inhibits RRM1)	GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)			yes	cellular response to chemical stimulus	
BRD-K81473089-003-04-8	BRD-K81473089	Tacrine hydrochloride hydrate	Prestwick Chemical Inc.	yes			GO:0005262 (inhibits calcium channel activity);GO:0005267 (inhibits potassium channel activity)			yes	cellular response to chemical stimulus	
BRD-K85307935-236-02-0	BRD-K85307935	NOVOBIOCIN SODIUM	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000032 (inhibits DNA gyrase B subunit);CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial)	yes	cellular response to chemical stimulus	
BRD-K85985071-001-03-3	BRD-K85985071	Ellipticine	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)					yes	cellular response to chemical stimulus	
BRD-K87827419-001-02-8	BRD-K87827419	MELPHALAN	MicroSource Discovery Systems Inc.	yes				MeSH:D009101 (Multiple Myeloma);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-K89732114-001-03-4	BRD-K89732114	TRIFLUOPERAZINE	Biomol International Inc.	yes		GeneID:1813 (inhibits DRD2)	GO:0014065 (affects phosphatidylinositol 3-kinase cascade);GO:0008283 (inhibits cell proliferation);GO:0018105 (inhibits peptidyl-serine phosphorylation);GO:0018107 (inhibits peptidyl-threonine phosphorylation);GO:0006611 (inhibits protein export from nucleus)	MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8117 (tranquilizer)	yes	cellular response to chemical stimulus	
BRD-K89732114-300-05-5	BRD-K89732114	Trifluoperazine dihydrochloride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)	GO:0014065 (affects phosphatidylinositol 3-kinase cascade);GO:0008283 (inhibits cell proliferation);GO:0018105 (inhibits peptidyl-serine phosphorylation);GO:0018107 (inhibits peptidyl-threonine phosphorylation);GO:0006611 (inhibits protein export from nucleus)	MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8117 (tranquilizer)	yes	cellular response to chemical stimulus	
BRD-K91370081-001-04-6	BRD-K91370081	anisomycin	Biomol International Inc.	yes				MeSH:D007239 (Infection);MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal);UseClass:8103 (anti-infective agent);UseClass:8113 (cns agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K94325918-001-02-0	BRD-K94325918	KINETIN RIBOSIDE	MicroSource Discovery Systems Inc.	yes		GeneID:894 (inhibits CCND2)	GO:0006915 (activates apoptosis);GO:0007050 (activates cell cycle arrest);GO:0008219 (activates cell death);GO:0001836 (activates release of cytochrome c from mitochondria);GO:0006919 (affects activation of caspase activity);GO:0010467 (affects gene expression);GO:0051881 (affects regulation of mitochondrial membrane potential);GO:0008283 (inhibits cell proliferation);GO:0042089 (inhibits cytokine biosynthetic process);GO:0000086 (inhibits G2/M transition of mitotic cell cycle);GO:0010467 (inhibits gene expression);GO:0016064 (inhibits immunoglobulin mediated immune response)	MeSH:D009369 (Neoplasms)		yes	cellular response to chemical stimulus	
BRD-K95603879-001-03-4	BRD-K95603879	"2,5-ditertbutylhydroquinone"	Biomol International Inc.	yes			GO:0030899 (inhibits calcium-dependent ATPase activity);GO:0001516 (inhibits prostaglandin biosynthetic process)			yes	cellular response to chemical stimulus	
BRD-K98763141-001-06-8	BRD-K98763141	NIFLUMIC ACID	Biomol International Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	
BRD-A00587958-001-02-1	BRD-A00587958	ACONITINE	Biomol International Inc.									
BRD-A00821662-001-02-1	BRD-A00821662	QUININE	Biomol International Inc.									
BRD-A00827783-001-05-5	BRD-A00827783	Diprophylline	Prestwick Chemical Inc.	yes	CBPROTID:1000543 (inhibits cAMP-phosphodiesterase)			MeSH:D001982 (Bronchial Diseases)	UseClass:8088 (bronchodilator)			
BRD-A00993607-003-05-5	BRD-A00993607	Alprenolol hydrochloride	Prestwick Chemical Inc.	yes			GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A01078468-001-05-6	BRD-A01078468	Hexestrol	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic);UseClass:8141 (hormonal agent)			
BRD-A01295252-001-01-5	BRD-A01295252	TRANS-7-HYDROXY-PIPAT	Biomol International Inc.									
BRD-A01493904-003-02-2	BRD-A01493904	"2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)"	MicroSource Discovery Systems Inc.									
BRD-A01636364-003-05-2	BRD-A01636364	Bupivacaine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)			
BRD-A01643550-001-02-3	BRD-A01643550	PREDNISOLONE ACETATE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A01787639-300-03-7	BRD-A01787639	Naftopidil dihydrochloride	Prestwick Chemical Inc.									
BRD-A02176148-001-02-2	BRD-A02176148	TUBAIC ACID	MicroSource Discovery Systems Inc.									
BRD-A02189320-015-02-5	BRD-A02189320	METHIONYL-LEUCYLPHENYLALANINE ACETATE	MicroSource Discovery Systems Inc.									
BRD-A02710418-003-03-5	BRD-A02710418	Meptazinol hydrochloride	Prestwick Chemical Inc.									
BRD-A02759312-003-03-9	BRD-A02759312	Betaxolol hydrochloride	Prestwick Chemical Inc.									
BRD-A02799884-001-02-9	BRD-A02799884	DEOXYANDIROBIN	MicroSource Discovery Systems Inc.									
BRD-A03216249-003-02-9	BRD-A03216249	MEPIVACAINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A03503284-001-02-0	BRD-A03503284	"TETRAHYDROCORTISONE-3,21-DIACETATE"	MicroSource Discovery Systems Inc.									
BRD-A03623303-045-02-0	BRD-A03623303	METOPROLOL TARTRATE	MicroSource Discovery Systems Inc.									
BRD-A03932035-004-02-7	BRD-A03932035	METHSCOPOLAMINE BROMIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A04438777-001-01-4	BRD-A04438777	(+ -)-SKF-82958	Biomol International Inc.									
BRD-A04541874-001-02-5	BRD-A04541874	DACTINOMYCIN	MicroSource Discovery Systems Inc.									
BRD-A04553218-050-03-0	BRD-A04553218	Chlorpheniramine maleate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-A04668240-001-01-5	BRD-A04668240	CGP 52432	Biomol International Inc.									
BRD-A05186015-003-05-7	BRD-A05186015	Bupropion hydrochloride	Prestwick Chemical Inc.									
BRD-A05457250-001-03-5	BRD-A05457250	BAY K-8644	Biomol International Inc.	yes			GO:0005262 (activates calcium channel activity)		UseClass:8094 (vasoconstrictor)			
BRD-A05666893-001-02-6	BRD-A05666893	SOLIDAGENONE	MicroSource Discovery Systems Inc.									
BRD-A06232236-001-02-2	BRD-A06232236	EPOXYGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A06561405-001-02-9	BRD-A06561405	DEACETYLGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A06726973-001-02-0	BRD-A06726973	dibutyrylcyclic GMP	Biomol International Inc.									
BRD-A06935312-001-02-7	BRD-A06935312	FUSIDIC ACID	MicroSource Discovery Systems Inc.	yes				MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8106 (anti-viral)			
BRD-A07000685-001-02-8	BRD-A07000685	HYDROCORTISONE HEMISUCCINATE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A07029265-004-02-9	BRD-A07029265	IPRATROPIUM BROMIDE	MicroSource Discovery Systems Inc.									
BRD-A07207424-001-04-1	BRD-A07207424	Ro 20-1724	Biomol International Inc.	yes			"GO:0004115 (inhibits 3',5'-cyclic-AMP phosphodiesterase activity)"					
BRD-A07440155-003-05-6	BRD-A07440155	Labetalol hydrochloride	Prestwick Chemical Inc.	yes			GO:0004936 (inhibits alpha-adrenergic receptor activity);GO:0004939 (inhibits beta-adrenergic receptor activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-A07824748-001-03-4	BRD-A07824748	FLAVANONE	MicroSource Discovery Systems Inc.									
BRD-A07932845-001-01-1	BRD-A07932845	METHIOTHEPIN	Biomol International Inc.	yes	CBPROTID:1000384 (inhibits 5-hydroxytryptamine 1 receptor)							
BRD-A07932845-050-05-9	BRD-A07932845	Methiothepin maleate	Prestwick Chemical Inc.	yes	CBPROTID:1000384 (inhibits 5-hydroxytryptamine 1 receptor)							
