Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Characteristics [Genotype]	Characteristics [Genomic Separation Of Operators]	Characteristics [Cell Identifier]	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Genomic Separation Of Operators]	Experimental Condition [Cell Identifier]	Channels	Dataset Name	Image File Path	Image Name	Comment [Associated File]	Comment [Image File Type]
DD1475_j_upper_k_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_j_upper_k_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_j_upper_k_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/j_upper_k_lower_ALX.dv	j_upper_k_lower_ALX.dv		derived
DD1475_l_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_l_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_l_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./New100kbVideos/l_lower.dv	l_lower.dv	l_lower.log	raw
DD1475_l_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_l_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_l_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/l_lower_ALX.dv	l_lower_ALX.dv		derived
DD1475_m_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_m_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_m_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./New100kbVideos/m_lower.dv	m_lower.dv	m_lower.log	raw
DD1475_m_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_m_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_m_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/m_lower_ALX.dv	m_lower_ALX.dv		derived
DD1475_q_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_q_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_q_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./New100kbVideos/q_lower.dv	q_lower.dv	q_lower.log	raw
DD1475_q_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_q_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_q_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/q_lower_ALX.dv	q_lower_ALX.dv		derived
DD1475_r_upper_p_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_r_upper_p_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_r_upper_p_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./New100kbVideos/r_upper_p_lower.dv	r_upper_p_lower.dv	r_upper_p_lower.log	raw
DD1475_r_upper_p_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_r_upper_p_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_r_upper_p_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/r_upper_p_lower_ALX.dv	r_upper_p_lower_ALX.dv		derived
DD1475_s_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_s_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_s_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./New100kbVideos/s_lower.dv	s_lower.dv	s_lower.log	raw
DD1475_s_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_s_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_s_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/s_lower_ALX.dv	s_lower_ALX.dv		derived
DD1475_t_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_t_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_t_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/t_lower.dv	t_lower.dv	t_lower.log	raw
DD1475_t_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_t_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_t_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/t_lower_ALX.dv	t_lower_ALX.dv		derived
DD1475_u_upper_o_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_u_upper_o_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_u_upper_o_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/u_upper_o_lower.dv	u_upper_o_lower.dv	u_upper_o_lower.log	raw
DD1475_u_upper_o_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_u_upper_o_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_u_upper_o_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/u_upper_o_lower_ALX.dv	u_upper_o_lower_ALX.dv		derived
DD1475_w_upper_v_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_w_upper_v_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_w_upper_v_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/w_upper_v_lower.dv	w_upper_v_lower.dv	w_upper_v_lower.log	raw
DD1475_w_upper_v_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_w_upper_v_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_w_upper_v_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/w_upper_v_lower_ALX.dv	w_upper_v_lower_ALX.dv		derived
DD1475_y_upper_bb_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_y_upper_bb_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_y_upper_bb_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/y_upper_bb_lower.dv	y_upper_bb_lower.dv	y_upper_bb_lower.log	raw
DD1475_y_upper_bb_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_y_upper_bb_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_y_upper_bb_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/y_upper_bb_lower_ALX.dv	y_upper_bb_lower_ALX.dv		derived
DD1475_z_upper	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_z_upper	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_z_upper	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/z_upper.dv	z_upper.dv	z_upper.log	raw
DD1475_z_upper	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_z_upper	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_z_upper	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/z_upper_ALX.dv	z_upper_ALX.dv		derived
DD1413_a_upper_b_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_a_upper_b_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_a_upper_b_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/a_upper_b_lower.dv	a_upper_b_lower.dv	a_upper_b_lower.log	raw
DD1413_a_upper_b_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_a_upper_b_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_a_upper_b_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/a_upper_b_lower_ALX.dv	a_upper_b_lower_ALX.dv		derived
DD1413_c_upper_d_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_c_upper_d_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_c_upper_d_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/c_upper_d_lower.dv	c_upper_d_lower.dv	c_upper_d_lower.log	raw
DD1413_c_upper_d_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_c_upper_d_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_c_upper_d_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/c_upper_d_lower_ALX.dv	c_upper_d_lower_ALX.dv		derived
DD1413_e_upper	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_e_upper	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_e_upper	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/e_upper.dv	e_upper.dv	e_upper.log	raw
DD1413_e_upper	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_e_upper	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_e_upper	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/e_upper_ALX.dv	e_upper_ALX.dv		derived
DD1413_f_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_f_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_f_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/f_lower.dv	f_lower.dv	f_lower.log	raw
DD1413_f_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_f_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_f_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/f_lower_ALX.dv	f_lower_ALX.dv		derived
DD1413_h_upper_g_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_h_upper_g_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_h_upper_g_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/h_upper_g_lower.dv	h_upper_g_lower.dv	h_upper_g_lower.log	raw
DD1413_h_upper_g_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_h_upper_g_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_h_upper_g_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/h_upper_g_lower_ALX.dv	h_upper_g_lower_ALX.dv		derived
DD1413_j_upper_i_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_j_upper_i_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_j_upper_i_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./RawVideos/25kb/j_upper_i_lower.dv	j_upper_i_lower.dv	j_upper_i_lower.log	raw
DD1413_j_upper_i_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1413	LacO-GAL1p-MDN1-CYC1t-TetO at URA3 locus	25kb	DD1413_j_upper_i_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 25kb	25kb	DD1413_j_upper_i_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 25kb	./ProcessedVideos/25kb/j_upper_i_lower_ALX.dv	j_upper_i_lower_ALX.dv		derived
DD1471_bb_upper_aa_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_bb_upper_aa_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_bb_upper_aa_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/bb_upper_aa_lower.dv	bb_upper_aa_lower.dv	bb_upper_aa_lower.log	raw
DD1471_bb_upper_aa_lower_	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_bb_upper_aa_lower_	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_bb_upper_aa_lower_	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/bb_upper_aa_lower__ALX.dv	bb_upper_aa_lower__ALX.dv		derived
DD1471_m_upper_l_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_m_upper_l_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_m_upper_l_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/m_upper_l_lower.dv	m_upper_l_lower.dv	m_upper_l_lower.log	raw
DD1471_m_upper_l_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_m_upper_l_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_m_upper_l_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/m_upper_l_lower_ALX.dv	m_upper_l_lower_ALX.dv		derived
DD1471_o_upper_k_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_o_upper_k_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_o_upper_k_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/o_upper_k_lower.dv	o_upper_k_lower.dv	o_upper_k_lower.log	raw
DD1471_o_upper_k_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_o_upper_k_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_o_upper_k_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/o_upper_k_lower_ALX.dv	o_upper_k_lower_ALX.dv		derived
DD1471_q_upper_p_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_q_upper_p_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_q_upper_p_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/q_upper_p_lower.dv	q_upper_p_lower.dv	q_upper_p_lower.log	raw
DD1471_q_upper_p_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_q_upper_p_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_q_upper_p_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/q_upper_p_lower_ALX.dv	q_upper_p_lower_ALX.dv		derived
DD1471_r_upper_n_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_r_upper_n_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_r_upper_n_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/r_upper_n_lower.dv	r_upper_n_lower.dv	r_upper_n_lower.log	raw
DD1471_r_upper_n_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_r_upper_n_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_r_upper_n_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/r_upper_n_lower_ALX.dv	r_upper_n_lower_ALX.dv		derived
DD1471_s_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_s_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_s_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/s_lower.dv	s_lower.dv	s_lower.log	raw
DD1471_s_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_s_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_s_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/s_lower_ALX.dv	s_lower_ALX.dv		derived
DD1471_u_upper_w_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_u_upper_w_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_u_upper_w_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/u_upper_w_lower.dv	u_upper_w_lower.dv	u_upper_w_lower.log	raw
DD1471_u_upper_w_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_u_upper_w_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_u_upper_w_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./ProcessedVideos/42kb/u_upper_w_lower_ALX.dv	u_upper_w_lower_ALX.dv		derived
DD1471_v_upper_t_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1471	"TetO between ATG2 and ZWF1, LacO between SSU72 and SNR19"	42kb	DD1471_v_upper_t_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 42kb	42kb	DD1471_v_upper_t_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 42kb	./RawVideos/42kb/v_upper_t_lower.dv	v_upper_t_lower.dv	v_upper_t_lower.log	raw
