Plate,Well Number,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,ORF Identifier,hORFeome V5.1 Clone Description,ORF Comments,Reagent Design Gene Annotation Build,Gene Identifier,Gene Symbol,Analysis Gene Annotation Build,Control Type,Control Comments,Channels,Comments,Scored As Nuclear Foci At Initial Stage,Subcellular Localization Based On Secondary Screening,Scored Subcellular Localization By Secondary Screening,Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession,Phenotype 2,Phenotype 2 Term Name,Phenotype 2 Term Accession,Phenotype 3,Phenotype 3 Term Name,Phenotype 3 Term Accession,Phenotype 4,Phenotype 4 Term Name,Phenotype 4 Term Accession,Phenotype 5,Phenotype 5 Term Name,Phenotype 5 Term Accession,Phenotype 6,Phenotype 6 Term Name,Phenotype 6 Term Accession,Phenotype 7,Phenotype 7 Term Name,Phenotype 7 Term Accession,Phenotype 8,Phenotype 8 Term Name,Phenotype 8 Term Accession
11001,11,A11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8790,Homo sapiens hypothetical protein RP4-622L5,hORFeome V5.1 identifier,,56063,C1orf91,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,12,A12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8627,Homo sapiens hypothetical protein FLJ10006,hORFeome V5.1 identifier,,55677,IWS1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,13,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,403,Homo sapiens hypothetical protein MGC4677,hORFeome V5.1 identifier,,112597,NCRNA00152,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,14,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,415,Homo sapiens hypothetical protein MGC4677,hORFeome V5.1 identifier,,541471,LOC541471,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,15,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,106,Homo sapiens,hORFeome V5.1 identifier,,404266,LOC404266,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,16,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2817,Homo sapiens,hORFeome V5.1 identifier,,,,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,17,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,579,"Homo sapiens polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",hORFeome V5.1 identifier,,5440,POLR2K,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,18,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,144,"Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa",hORFeome V5.1 identifier,,4707,NDUFB1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,19,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9945,Homo sapiens tigger transposable element derived 5,hORFeome V5.1 identifier,,84948,TIGD5,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,20,B8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8805,Homo sapiens echinoderm microtubule associated protein like 4,hORFeome V5.1 identifier,,27436,EML4,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,21,B9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2842,Homo sapiens MGC17624 protein,hORFeome V5.1 identifier,,404550,C16orf74,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,22,B10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9571,Homo sapiens extracellular signal-regulated kinase 8,hORFeome V5.1 identifier,,225689,MAPK15,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,23,B11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8577,Homo sapiens megalencephalic leukoencephalopathy with subcortical cysts 1,hORFeome V5.1 identifier,,23209,MLC1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,24,B12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,676,"Homo sapiens fibronectin type III domain containing 3B, mRNA (cDNA clone IMAGE:3882800), complete cds.",hORFeome V5.1 identifier,,64778,FNDC3B,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,25,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,465,"Homo sapiens dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit, transcript variant 2",hORFeome V5.1 identifier,,8818,DPM2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,26,C2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,10104,Homo sapiens SET translocation (myeloid leukemia-associated,hORFeome V5.1 identifier,,6418,SET,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,27,C3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9886,Homo sapiens split hand/foot malformation (ectrodactyly) type 1,hORFeome V5.1 identifier,,7979,SHFM1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,28,C4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8594,Homo sapiens ubiquitin-conjugating enzyme E2Q (putative,hORFeome V5.1 identifier,,55585,UBE2Q1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,29,C5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8828,"Homo sapiens OTU domain, ubiquitin aldehyde binding 2",hORFeome V5.1 identifier,,78990,OTUB2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,30,C6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2824,"Homo sapiens PCI domain containing 2, mRNA (cDNA clone MGC:16774 IMAGE:4215274), complete cds.",hORFeome V5.1 identifier,,55795,PCID2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,31,C7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,219,Homo sapiens HSPC038 protein,hORFeome V5.1 identifier,,51123,ZNF706,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,32,C8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2859,Homo sapiens hypothetical protein MGC9913,hORFeome V5.1 identifier,,386759,MGC9913,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,33,C9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,3089,"Homo sapiens high mobility group nucleosomal binding domain 3, transcript variant 2",hORFeome V5.1 identifier,,9324,HMGN3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,34,C10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,531,"Homo sapiens delta sleep inducing peptide, immunoreactor",hORFeome V5.1 identifier,,1831,TSC22D3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,35,C11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,10216,Homo sapiens similar to metallo-beta-lactamase superfamily protein,hORFeome V5.1 identifier,,153364,MBLAC2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,36,C12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9673,Homo sapiens UDP-glucose ceramide glucosyltransferase-like 2,hORFeome V5.1 identifier,,55757,UGGT2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,37,D1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8776,Homo sapiens EphA7,hORFeome V5.1 identifier,,2045,EPHA7,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,38,D2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,241,"Homo sapiens LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae",hORFeome V5.1 identifier,,11157,LSM6,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,39,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8622,Homo sapiens dual specificity phosphatase 22,hORFeome V5.1 identifier,,56940,DUSP22,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,40,D4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,3109,"Homo sapiens G antigen, family D, 2",hORFeome V5.1 identifier,,9503,XAGE1D,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,41,D5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,738,Homo sapiens ribosomal protein S21,hORFeome V5.1 identifier,,6227,RPS21,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,42,D6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,908,Homo sapiens neighbor of BRCA1 gene 2,hORFeome V5.1 identifier,,10230,ARL17A,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,43,D7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2962,Homo sapiens chromosome 14 open reading frame 79,hORFeome V5.1 identifier,,122616,C14orf79,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,44,D8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2765,Homo sapiens hypothetical protein MGC5566,hORFeome V5.1 identifier,,79015,LOC79015,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,45,D9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,3088,Homo sapiens apolipoprotein C-I,hORFeome V5.1 identifier,,341,APOC1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,46,D10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2760,Homo sapiens hypothetical protein MGC5590,hORFeome V5.1 identifier,,79024,MGC5590,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,47,D11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9336,"Homo sapiens phosphatidylinositol-4-phosphate 5-kinase, type II, beta, transcript variant 2",hORFeome V5.1 identifier,,8396,PIP4K2B,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,48,D12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,541,Homo sapiens PTD015 protein,hORFeome V5.1 identifier,,28971,C11orf67,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,49,E1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,3115,Homo sapiens dynein light chain 2,hORFeome V5.1 identifier,,140735,DYNLL2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,50,E2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2788,Homo sapiens S100 calcium binding protein A6 (calcyclin,hORFeome V5.1 identifier,,6277,S100A6,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,51,E3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8811,Homo sapiens mitogen-activated protein kinase kinase kinase 3,hORFeome V5.1 identifier,,4215,MAP3K3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,52,E4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,3085,Homo sapiens ALL1-fused gene from chromosome 1q,hORFeome V5.1 identifier,,10962,MLLT11,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,53,E5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,762,Homo sapiens ubiquinol-cytochrome c reductase hinge protein,hORFeome V5.1 identifier,,7388,UQCRH,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,54,E6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2813,Homo sapiens chemokine (C-C motif) ligand 5,hORFeome V5.1 identifier,,6352,CCL5,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,55,E7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9819,"Homo sapiens FXYD domain containing ion transport regulator 1 (phospholemman), transcript variant b",hORFeome V5.1 identifier,,5348,FXYD1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,56,E8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,196,Homo sapiens chromosome 7 open reading frame 32,hORFeome V5.1 identifier,,155066,ATP6V0E2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,57,E9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,341,Homo sapiens chromosome 18 open reading frame 18,hORFeome V5.1 identifier,,147525,C18orf18,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,58,E10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2693,Homo sapiens S100 calcium binding protein P,hORFeome V5.1 identifier,,6286,S100P,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,59,E11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,10116,Homo sapiens hypothetical protein DKFZp547B1713,hORFeome V5.1 identifier,,128061,C1orf131,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,yes,yes,Nucleolus,yes,single replicate of reagent,,,,,,,,,,protein localized in nucleolus,protein localized in nucleolus phenotype,CMPO_0000397,,,,,,,,,,,,
11001,60,E12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,377,"Homo sapiens MAX protein, transcript variant 4",hORFeome V5.1 identifier,,4149,MAX,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,61,F1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,10187,Homo sapiens hypothetical protein DKFZp547D2210,hORFeome V5.1 identifier,,196500,C12orf53,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,62,F2,,,,,,,,,,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,63,F3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9335,Homo sapiens cytochrome c oxidase subunit VIa polypeptide 2,hORFeome V5.1 identifier,,1339,COX6A2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,64,F4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,654,"Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa",hORFeome V5.1 identifier,,4709,NDUFB3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,65,F5,,,,,,,,,,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,66,F6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9392,Homo sapiens hypothetical protein MGC35023,hORFeome V5.1 identifier,,149836,LOC643406,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,67,F7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,785,Homo sapiens HSPC023 protein,hORFeome V5.1 identifier,,28974,C19orf53,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,yes,yes,Nucleolus,yes,single replicate of reagent,,,,,,,,,,protein localized in nucleolus,protein localized in nucleolus phenotype,CMPO_0000397,,,,,,,,,,,,
11001,68,F8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,134,Homo sapiens chemokine (C-C motif) ligand 2,hORFeome V5.1 identifier,,6347,CCL2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,69,F9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8619,"Homo sapiens RAB, member of RAS oncogene family-like 2B",hORFeome V5.1 identifier,,11158,RABL2B,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,70,F10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9797,Homo sapiens hypothetical protein MGC45416,hORFeome V5.1 identifier,,132299,OCIAD2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,71,F11,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,10166,Homo sapiens flavin containing monooxygenase 5,hORFeome V5.1 identifier,,2330,FMO5,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,72,F12,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,135,"Homo sapiens biogenesis of lysosome-related organelles complex-1, subunit 2",hORFeome V5.1 identifier,,282991,BLOC1S2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,73,G1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,629,"Homo sapiens acylphosphatase 2, muscle type",hORFeome V5.1 identifier,,98,ACYP2,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,74,G2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9451,Homo sapiens epidermodysplasia verruciformis 2,hORFeome V5.1 identifier,,,TMC8,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,75,G3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9297,Homo sapiens syntaxin 11,hORFeome V5.1 identifier,,8676,STX11,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,76,G4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,657,Homo sapiens S100 calcium binding protein A3,hORFeome V5.1 identifier,,6274,S100A3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,77,G5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9237,Homo sapiens hypothetical protein MGC35118,hORFeome V5.1 identifier,,145942,TMCO5A,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,78,G6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,407,Homo sapiens S100 calcium binding protein A16,hORFeome V5.1 identifier,,140576,S100A16,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
