ORF Identifier	Gene Identifier	Gene Symbol	Scored As Nuclear Foci At Initial Stage	Subcellular Localization Based On Secondary Screening	Scored Subcellular Localization By Secondary Screening	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8
95	5780	PTPN9	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
1563	5932	RBBP8	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
396	6122	RPL3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4701	6122	RPL3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
5804	6122	RPL3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
5381	6128	RPL6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12831	6128	RPL6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13226	6128	RPL6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13263	6128	RPL6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6960	6135	RPL11	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
428	6137	RPL13	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7365	6137	RPL13	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11033	6137	RPL13	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2409	6138	RPL15	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
14392	6138	RPL15	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
14948	6138	RPL15	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4703	6143	RPL19	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7708	6147	RPL23A	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7034	6158	RPL28	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7806	6160	RPL31	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2394	6161	RPL32	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3352	6164	RPL34	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3571	6166	RPL36AL	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
10992	6189	RPS3A	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
545	6193	RPS5	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4678	6194	RPS6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6020	6194	RPS6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
14625	6202	RPS8	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2585	6207	RPS13	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
544	6208	RPS14	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
921	6208	RPS14	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
55696	6209	RPS15	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3871	6230	RPS25	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
191	6591	SNAI2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6476	6613	SUMO2	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
2620	6615	SNAI1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
10033	6629	SNRPB2	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
3349	6632	SNRPD1	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
4077	6635	SNRPE	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
3443	6637	SNRPG	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
975	6838	SURF6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4830	6839	SUV39H1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
54474	6887	TAL2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4407	6924	TCEB3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2227	7050	TGIF1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
10471	7090	TLE3	yes	yes	Sam68	yes	single replicate of reagent								protein localized in Sam68 nuclear bodies
55756	7142	TNP2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3699	7572	ZNF24	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
12914	7586	ZKSCAN1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
13770	7633	ZNF79	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11184	7690	ZNF131	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
6372	7746	ZNF193	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
857	8061	FOSL1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
6448	8161	COIL	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
55869	8227	SFRS17A	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
6811	8379	MAD1L1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3270	8498	RANBP3	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3154	8517	IKBKG	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3159	8568	RRP1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12292	8761	PABPC4	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5149	8894	EIF2S2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3905	8926	SNRPN	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
4488	9188	DDX21	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6073	9188	DDX21	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2684	9221	NOLC1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11317	9295	SRSF11	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
13024	9314	KLF4	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
56174	9360	PPIG	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
55535	9441	MED26	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
9319	9679	FAM53B	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
6830	9721	GPRIN2	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
11204	9753	ZSCAN12	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
5060	9810	RNF40	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
6160	9877	ZC3H11A	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
4257	9904	RBM19	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10490	10138	YAF2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10085	10346	TRIM22	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
13364	10360	NPM3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3145	10432	RBM14	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
109	10474	TADA3	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
8895	10528	NOP56	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10061	10656	KHDRBS3	yes	yes	Sam68	yes	single replicate of reagent								protein localized in Sam68 nuclear bodies
2426	10813	UTP14A	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4728	10921	RNPS1	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
7839	11047	ADRM1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3909	11052	CPSF6	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
13270	11056	DDX52	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7538	11103	KRR1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
1963	11103	KRR1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12906	11179	ZNF277	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
11798	22890	ZBTB1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
13269	23029	RBM34	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
9694	23199	KIAA0182	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5387	23212	RRS1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12519	23254	KAZ	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
3506	23378	RRP8	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
14339	23435	TARDBP	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
9740	23481	PES1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4012	23521	RPL13A	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13763	23521	RPL13A	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
986	23543	RBM9	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4978	23567	ZNF346	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5894	24144	TFIP11	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
317	25776	CBY1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
14462	25871	C3orf17	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2981	25970	SH2B1	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
13125	25983	NGDN	yes	yes	Sam68	yes	single replicate of reagent								protein localized in Sam68 nuclear bodies
1345	26036	ZNF451	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
3791	26155	NOC2L	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
53467	26156	RSL1D1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
53843	26156	RSL1D1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3083	27292	DIMT1L	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10178	27296	TP53TG5	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
785	28974	C19orf53	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13130	29080	CCDC59	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
148	29108	PYCARD	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
11482	29777	ABT1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4681	29903	CCDC106	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
9514	51083	GAL	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5582	51118	UTP11L	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3832	51154	MRTO4	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
670	51203	NUSAP1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2418	51203	NUSAP1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8166	51203	NUSAP1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
55825	51224	TCEB3B	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
2079	51224	TCEB3B	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3770	51329	ARL6IP4	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
7576	51329	ARL6IP4	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
13443	51406	NOL7	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12063	51490	C9orf114	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11129	51491	NOP16	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11327	51491	NOP16	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8102	51514	DTL	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4639	51538	ZCCHC17	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
258	51631	LUC7L2	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
13287	53828	FXYD4	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6711	54487	DGCR8	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
852	54765	TRIM44	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5583	54819	ZCCHC10	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
11962	54865	GPATCH4	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
9120	54904	WHSC1L1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4182	54980	C2orf42	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
6116	55052	MRPL20	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
1489	55068	ENOX1	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
12151	55105	GPATCH2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4626	55122	AKIRIN2	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
5385	55135	WRAP53	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
3242	55143	CDCA8	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7460	55147	RBM23	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
12431	55147	RBM23	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
14650	55216	C11orf57	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7331	55269	PSPC1	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
7817	55311	ZNF444	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
11304	55536	CDCA7L	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
240	55646	LYAR	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3505	55651	NHP2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3678	55692	LUC7L	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
12182	55692	LUC7L	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
9304	55758	RCOR3	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
1999	55783	FTSJD1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
7335	55840	EAF2	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
1339	55900	ZNF302	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3090	55954	ZMAT5	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
13541	56342	PPAN	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
55977	56969	RPL23AP32	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3657	57035	C1orf63	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4881	57050	UTP3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
55229	57129	MRPL47	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6792	57410	SCYL1	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
10556	57541	ZNF398	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
12601	57654	KIAA1530	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
3034	58155	PTBP2	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
11181	58499	ZNF462	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
14368	64219	PJA1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
5683	64288	ZNF323	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
1154	64376	IKZF5	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
7537	64769	MEAF6	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3954	64782	AEN	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3218	64834	ELOVL1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7618	64897	C12orf43	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6037	64949	MRPS26	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
12776	64960	MRPS15	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3052	64976	MRPL40	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
3388	79009	DDX50	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8930	79039	DDX54	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6766	79080	CCDC86	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3688	79091	C16orf68	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4169	79159	NOL12	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4173	79169	C1orf35	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
9698	79576	NKAP	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
2747	79607	FAM118B	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
12459	79625	C4orf31	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6870	79643	CHMP6	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
3093	79661	NEIL1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8057	79698	ZMAT4	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13218	79723	SUV39H2	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
8618	79802	HHIPL2	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
12791	79848	CSPP1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
8244	79891	ZNF671	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
13126	79982	DNAJB14	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
8824	80028	FBXL18	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
8163	80726	KIAA1683	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
1734	81565	NDEL1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
10729	81627	C1orf25	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7863	81788	NUAK2	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
11788	83444	INO80B	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
5363	83463	MXD3	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
4213	83759	RBM4B	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
11230	83786	FRMD8	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
11791	83861	RSPH3	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
2625	84154	RPF2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
9994	84240	ZCCHC9	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
1941	84248	FYTTD1	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
4874	84310	C7orf50	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
434	84324	SARNP	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
1670	84365	MKI67IP	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8171	84365	MKI67IP	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8043	84524	ZC3H8	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
11711	84549	MAK16	yes	yes	Sam68	yes	single replicate of reagent								protein localized in Sam68 nuclear bodies
6267	84619	ZGPAT	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
4279	84733	CBX2	yes	yes	BMI1	yes	single replicate of reagent							protein localized in polycomb bodies	
5736	84791	C1orf97	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
4915	84811	BUD13	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5251	84838	ZNF496	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
