Compound Broad Identifier	Compound Broad Identifier Short	Compound Broad Identifier_Compound Group	Compound Name	Compound Source	PubChem InChIKey	ChEMBL Identifier	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A10335634-001-02-5	BRD-A10335634	BRD-A10335634-001-02-5_BBBC022	LYCORINE	MicroSource Discovery Systems Inc.	XGVJWXAYKUHDOO-IWNGFBJFSA-N		yes		GeneID:1576 (inhibits CYP3A4)	GO:0006915 (activates apoptosis);GO:0071850 (activates mitotic cell cycle arrest);GO:0006412 (inhibits translation)			yes	cellular response to chemical stimulus	
BRD-A10471441-050-02-8	BRD-A10471441	BRD-A10471441-050-02-8_BBBC022	PROPIOMAZINE MALEATE	MicroSource Discovery Systems Inc.	UVOIBTBFPOZKGP-UHFFFAOYSA-N	CHEMBL1201210	yes					UseClass:8115 (hypnotic);UseClass:8116 (sedative)	yes	cellular response to chemical stimulus	
BRD-A11813248-001-02-8	BRD-A11813248	BRD-A11813248-001-02-8_BBBC022	AM 92016	Biomol International Inc.	BQBSHJUQVIWEFM-UHFFFAOYSA-N	CHEMBL43527	yes			GO:0006813 (inhibits potassium ion transport)					
BRD-A13133631-001-02-4	BRD-A13133631	BRD-A13133631-001-02-4_BBBC022	FLUOROMETHOLONE	MicroSource Discovery Systems Inc.	FAOZLTXFLGPHNG-KXWDGVDDSA-N		yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A13946108-001-04-9	BRD-A13946108	BRD-A13946108-001-04-9_BBBC022	Sulindac	Prestwick Chemical Inc.	MLKXDPUZXIRXEP-MFOYZWKCSA-N	CHEMBL15770	yes		GeneID:5138 (inhibits PDE2A)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-A14344385-001-01-6	BRD-A14344385	BRD-A14344385-001-01-6_BBBC022	"7-CHLORO-3-METHYL-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-S,S-DIOXIDE"	Biomol International Inc.	VZRNTCHTJRLTMU-UHFFFAOYSA-N	CHEMBL77862	yes			GO:0004970 (activates ionotropic glutamate receptor activity)					
BRD-A16332958-001-02-4	BRD-A16332958	BRD-A16332958-001-02-4_BBBC022	MODAFINIL	MicroSource Discovery Systems Inc.	YFGHCGITMMYXAQ-UHFFFAOYSA-N	CHEMBL1373	yes				MeSH:D009290 (Narcolepsy)	UseClass:8113 (cns agent)			
BRD-A18620900-001-02-9	BRD-A18620900	BRD-A18620900-001-02-9_BBBC022	ESTRIOL	MicroSource Discovery Systems Inc.	PROQIPRRNZUXQM-YDGSGPMOSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A19134330-001-03-8	BRD-A19134330	BRD-A19134330-001-03-8_BBBC022	A-23187	Biomol International Inc.	HIYAVKIYRIFSCZ-CVXKHCKVSA-N		yes				MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections);MeSH:D007239 (Infection)	UseClass:8104 (anti-bacterial);UseClass:8103 (anti-infective agent)			
BRD-A19195498-050-05-9	BRD-A19195498	BRD-A19195498-050-05-9_BBBC022	Trimipramine maleate salt	Prestwick Chemical Inc.	ZSCDBOWYZJWBIY-UHFFFAOYSA-N	CHEMBL644	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-A19661776-003-05-2	BRD-A19661776	BRD-A19661776-003-05-2_BBBC022	Mianserine hydrochloride	Prestwick Chemical Inc.	UEQUQVLFIPOEMF-UHFFFAOYSA-N	CHEMBL6437	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)			MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)			
BRD-A19795905-001-02-3	BRD-A19795905	BRD-A19795905-001-02-3_BBBC022	ATOVAQUONE	MicroSource Discovery Systems Inc.	UYFLKEIEOREOFC-UHFFFAOYSA-N		yes			GO:0008121 (inhibits ubiquinol-cytochrome-c reductase activity)	"MeSH:D008288 (Malaria);""MeSH:D011020 (Pneumonia, Pneumocystis)"""	UseClass:8108 (anti-protozoal)			
BRD-A20126139-001-02-6	BRD-A20126139	BRD-A20126139-001-02-6_BBBC022	MEDRYSONE	MicroSource Discovery Systems Inc.	GZENKSODFLBBHQ-IENIWFQZSA-N		yes				MeSH:D005128 (Eye Diseases);MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A20200672-001-02-2	BRD-A20200672	BRD-A20200672-001-02-2_BBBC022	ENOXOLONE	MicroSource Discovery Systems Inc.	MPDGHEJMBKOTSU-VOPRYAMFSA-N	CHEMBL109757	yes				MeSH:D001424 (Bacterial Infections);MeSH:D003371 (Cough)	UseClass:8104 (anti-bacterial);UseClass:8085 (anti-tussive)			
BRD-A20239487-001-02-5	BRD-A20239487	BRD-A20239487-001-02-5_BBBC022	ATENOLOL	MicroSource Discovery Systems Inc.	METKIMKYRPQLGS-UHFFFAOYSA-N	CHEMBL24	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)	"MeSH:D000787 (Angina Pectoris);""MeSH:D001145 (Arrhythmias, Cardiac)"";MeSH:D006973 (Hypertension)"	UseClass:8095 (anti-anginal);UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive)			
BRD-A20348246-001-05-9	BRD-A20348246	BRD-A20348246-001-05-9_BBBC022	CHLORMEZANONE	Biomol International Inc.	WEQAYVWKMWHEJO-UHFFFAOYSA-N	CHEMBL1200714	yes					UseClass:8117 (tranquilizer)			
BRD-A22106989-001-01-9	BRD-A22106989	BRD-A22106989-001-01-9_BBBC022	PHENOTHRIN	MicroSource Discovery Systems Inc.	SBNFWQZLDJGRLK-UHFFFAOYSA-N	CHEMBL1322884	yes					UseClass:8107 (anti-parasitic)			
BRD-A22267103-003-05-7	BRD-A22267103	BRD-A22267103-003-05-7_BBBC022	Drofenine hydrochloride	Prestwick Chemical Inc.	AGJBLWCLQCKRJP-UHFFFAOYSA-N	CHEMBL442444	yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A22305049-003-05-2	BRD-A22305049	BRD-A22305049-003-05-2_BBBC022	Benfluorex hydrochloride	Prestwick Chemical Inc.	CJAVTWRYCDNHSM-UHFFFAOYSA-N	CHEMBL400599	yes		GeneID:3643 (inhibits INSR)			UseClass:8098 (anti-hyperlipidproteinemic)			
BRD-A22380646-001-01-5	BRD-A22380646	BRD-A22380646-001-01-5_BBBC022	PANTOPRAZOLE	MicroSource Discovery Systems Inc.	IQPSEEYGBUAQFF-UHFFFAOYSA-N	CHEMBL1502	yes		GeneID:495 (inhibits ATP4A)		MeSH:D004941 (Esophagitis)	UseClass:8125 (gastrointestinal agent)			
BRD-A22844106-001-05-4	BRD-A22844106	BRD-A22844106-001-05-4_BBBC022	Tenoxicam	Prestwick Chemical Inc.	OTGJPAOGHQFBMI-UHFFFAOYSA-N		yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A23072235-050-05-2	BRD-A23072235	BRD-A23072235-050-05-2_BBBC022	Pheniramine maleate	Prestwick Chemical Inc.	IJHNSHDBIRRJRN-UHFFFAOYSA-N	CHEMBL1193	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-A23970436-236-02-6	BRD-A23970436	BRD-A23970436-236-02-6_BBBC022	THIAMYLAL SODIUM	MicroSource Discovery Systems Inc.	XLOMZPUITCYLMJ-UHFFFAOYSA-N	CHEMBL440	yes					UseClass:8082 (anesthetic)			
BRD-A24228527-001-05-9	BRD-A24228527	BRD-A24228527-001-05-9_BBBC022	Ofloxacin	Prestwick Chemical Inc.	GSDSWSVVBLHKDQ-UHFFFAOYSA-N	CHEMBL4	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A24817035-001-05-4	BRD-A24817035	BRD-A24817035-001-05-4_BBBC022	"Laudanosine (R,S)"	Prestwick Chemical Inc.	KGPAYJZAMGEDIQ-UHFFFAOYSA-N	CHEMBL1407	yes		GeneID:1135 (inhibits CHRNA2);GeneID:1139 (inhibits CHRNA7);GeneID:1141 (inhibits CHRNB2)						
BRD-A25234499-001-05-0	BRD-A25234499	BRD-A25234499-001-05-0_BBBC022	"Glutethimide, para-amino"	Prestwick Chemical Inc.	ROBVIMPUHSLWNV-UHFFFAOYSA-N	CHEMBL488	yes			"GO:0016712 (inhibits oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)"	MeSH:D001943 (Breast Neoplasms);MeSH:D004487 (Edema);MeSH:D006929 (Hyperaldosteronism)				
BRD-A26095496-001-02-4	BRD-A26095496	BRD-A26095496-001-02-4_BBBC022	CLOBETASOL PROPIONATE	MicroSource Discovery Systems Inc.	CBGUOGMQLZIXBE-BHPVMOEKSA-N		yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A26334849-001-02-1	BRD-A26334849	BRD-A26334849-001-02-1_BBBC022	PROPAFENONE	Biomol International Inc.	JWHAUXFOSRPERK-UHFFFAOYSA-N	CHEMBL631	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)	yes	cellular response to chemical stimulus	
BRD-A26334849-003-05-0	BRD-A26334849	BRD-A26334849-003-05-0_BBBC022	Propafenone hydrochloride	Prestwick Chemical Inc.	JWHAUXFOSRPERK-UHFFFAOYSA-N	CHEMBL631	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)	yes	cellular response to chemical stimulus	
BRD-A26384407-001-05-3	BRD-A26384407	BRD-A26384407-001-05-3_BBBC022	Chlorthalidone	Prestwick Chemical Inc.	JIVPVXMEBJLZRO-UHFFFAOYSA-N	CHEMBL1055	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A26711594-001-02-7	BRD-A26711594	BRD-A26711594-001-02-7_BBBC022	NICARDIPINE	Biomol International Inc.	ZBBHBTPTTSWHBA-UHFFFAOYSA-N	CHEMBL1484	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-A26711594-003-05-6	BRD-A26711594	BRD-A26711594-003-05-6_BBBC022	Nicardipine hydrochloride	Prestwick Chemical Inc.	ZBBHBTPTTSWHBA-UHFFFAOYSA-N	CHEMBL1484	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-A26787626-001-02-9	BRD-A26787626	BRD-A26787626-001-02-9_BBBC022	CYCLOPIAZONIC ACID	MicroSource Discovery Systems Inc.	TZCOBUQKVNFIQF-UHFFFAOYSA-N		yes			GO:0006816 (activates calcium ion transport)					
BRD-A27732521-003-02-6	BRD-A27732521	BRD-A27732521-003-02-6_BBBC022	TOLPERISONE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	FSKFPVLPFLJRQB-UHFFFAOYSA-N	CHEMBL1076211	yes					UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8092 (vasodilator)			
BRD-A27887842-001-02-4	BRD-A27887842	BRD-A27887842-001-02-4_BBBC022	PREDNISOLONE	MicroSource Discovery Systems Inc.	OIGNJSKKLXVSLS-YDAVOWJHSA-N		yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A28856712-003-05-4	BRD-A28856712	BRD-A28856712-003-05-4_BBBC022	Tetrahydrozoline hydrochloride	Prestwick Chemical Inc.	BYJAVTDNIXVSPW-UHFFFAOYSA-N	CHEMBL1266	yes			GO:0004936 (activates alpha-adrenergic receptor activity)		UseClass:8113 (cns agent);UseClass:8094 (vasoconstrictor)			
BRD-A29260609-003-05-4	BRD-A29260609	BRD-A29260609-003-05-4_BBBC022	Acebutolol hydrochloride	Prestwick Chemical Inc.	GOEMGAFJFRBGGG-UHFFFAOYSA-N	CHEMBL642	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A29289453-001-02-1	BRD-A29289453	BRD-A29289453-001-02-1_BBBC022	PCA 4248	Biomol International Inc.	DHCNAWNKZMNTIS-UHFFFAOYSA-N		yes			GO:0004992 (inhibits platelet activating factor receptor activity)			yes	cellular response to chemical stimulus	
BRD-A29349577-001-05-7	BRD-A29349577	BRD-A29349577-001-05-7_BBBC022	"Dropropizine (R,S)"	Prestwick Chemical Inc.	PTVWPYVOOKLBCG-UHFFFAOYSA-N	CHEMBL151445	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)			
BRD-A29426959-050-05-8	BRD-A29426959	BRD-A29426959-050-05-8_BBBC022	Carbinoxamine maleate salt	Prestwick Chemical Inc.	OJFSXZCBGQGRNV-UHFFFAOYSA-N	CHEMBL864	yes		GeneID:3269 (inhibits HRH1)						
BRD-A29644307-050-05-5	BRD-A29644307	BRD-A29644307-050-05-5_BBBC022	Nomifensine maleate	Prestwick Chemical Inc.	XXPANQJNYNUNES-UHFFFAOYSA-N	CHEMBL273575	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-A29731977-001-02-9	BRD-A29731977	BRD-A29731977-001-02-9_BBBC022	HYDROXYPROGESTERONE CAPROATE	MicroSource Discovery Systems Inc.	DOMWKUIIPQCAJU-JKPPDDDBSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A29734509-001-03-8	BRD-A29734509	BRD-A29734509-001-03-8_BBBC022	Disopyramide	Prestwick Chemical Inc.	UVTNFZQICZKOEM-UHFFFAOYSA-N	CHEMBL517	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A29734509-011-02-9	BRD-A29734509	BRD-A29734509-011-02-9_BBBC022	DISOPYRAMIDE PHOSPHATE	MicroSource Discovery Systems Inc.	UVTNFZQICZKOEM-UHFFFAOYSA-N	CHEMBL517	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A31385885-001-02-1	BRD-A31385885	BRD-A31385885-001-02-1_BBBC022	NERIIFOLIN	MicroSource Discovery Systems Inc.	VPUNMTHWNSJUOG-XOMUPIDMSA-N		yes					UseClass:8100 (cardiac stimulant)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A31521121-001-05-8	BRD-A31521121	BRD-A31521121-001-05-8_BBBC022	Methocarbamol	Prestwick Chemical Inc.	GNXFOGHNGIVQEH-UHFFFAOYSA-N	CHEMBL1201117	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A32673558-003-02-1	BRD-A32673558	BRD-A32673558-003-02-1_BBBC022	ACECLIDINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	WRJPSSPFHGNBMG-UHFFFAOYSA-N	CHEMBL20835	yes					UseClass:8113 (cns agent)			
BRD-A33614871-001-02-8	BRD-A33614871	BRD-A33614871-001-02-8_BBBC022	ESTRADIOL DIACETATE	MicroSource Discovery Systems Inc.	VQHQLBARMFAKSV-IOHZUATHSA-N		yes					UseClass:8141 (hormonal agent)			
BRD-A33749298-001-05-0	BRD-A33749298	BRD-A33749298-001-05-0_BBBC022	Oxyphenbutazone	Prestwick Chemical Inc.	HFHZKZSRXITVMK-UHFFFAOYSA-N	CHEMBL1228	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D007249 (Inflammation);MeSH:D012216 (Rheumatic Diseases)	UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	
BRD-A34145622-003-05-3	BRD-A34145622	BRD-A34145622-003-05-3_BBBC022	Demeclocycline hydrochloride	Prestwick Chemical Inc.	JHOHXJYRVSLQCB-AMESULRKSA-N		yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A35588707-001-02-2	BRD-A35588707	BRD-A35588707-001-02-2_BBBC022	TENIPOSIDE	MicroSource Discovery Systems Inc.	NRUKOCRGYNPUPR-OQMCATNJSA-N;NRUKOCRGYNPUPR-PSZSYXFXSA-N		yes			GO:0006915 (activates apoptosis);GO:0003918 (inhibits DNA topoisomerase (ATP-hydrolyzing) activity);GO:0030168 (inhibits platelet activation);GO:0007283 (inhibits spermatogenesis)	"MeSH:D001254 (Astrocytoma);""MeSH:D002289 (Carcinoma, Non-Small-Cell Lung)"";""MeSH:D018288 (Carcinoma, Small Cell)"";""MeSH:D008228 (Lymphoma, Non-Hodgkin)"";MeSH:D009182 (Mycosis Fungoides);MeSH:D009837 (Oligodendroglioma)"	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A35623999-001-03-2	BRD-A35623999	BRD-A35623999-001-03-2_BBBC022	CGP-37157	Biomol International Inc.	KQEPIRKXSUIUTH-UHFFFAOYSA-N		yes			GO:0006816 (inhibits calcium ion transport);GO:0005432 (inhibits calcium:sodium antiporter activity);GO:0006814 (inhibits sodium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)					
BRD-A36010170-001-02-4	BRD-A36010170	BRD-A36010170-001-02-4_BBBC022	AMCINONIDE	MicroSource Discovery Systems Inc.	ILKJAFIWWBXGDU-MOGDOJJUSA-N;ILKJAFIWWBXGDU-ZYDCGBIBSA-N	CHEMBL1200732	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A36217750-001-05-6	BRD-A36217750	BRD-A36217750-001-05-6_BBBC022	Sulfinpyrazone	Prestwick Chemical Inc.	MBGGBVCUIVRRBF-UHFFFAOYSA-N	CHEMBL832	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D006073 (Gout);MeSH:D033461 (Hyperuricemia);MeSH:D012216 (Rheumatic Diseases)	UseClass:8102 (anti-coagulant)			
BRD-A37441042-003-02-2	BRD-A37441042	BRD-A37441042-003-02-2_BBBC022	TULOBUTEROL	MicroSource Discovery Systems Inc.	YREYLAVBNPACJM-UHFFFAOYSA-N	CHEMBL1159717	yes		GeneID:154 (activates ADRB2)		MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)			
BRD-A38076815-003-03-8	BRD-A38076815	BRD-A38076815-003-03-8_BBBC022	Glafenine hydrochloride	Prestwick Chemical Inc.	GWOFUCIGLDBNKM-UHFFFAOYSA-N	CHEMBL146095	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
