siRNA Primer	Gene Identifier	Gene Symbol	siRNA Hit	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26
DRSC19332	FBgn0011742	Arp14D	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC09669	FBgn0011744	Arp66B	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11865	FBgn0011771	Hem	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11262	FBgn0014011	Rac2	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04715	FBgn0016984	sktl	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03528	FBgn0020497	emb	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14099	FBgn0020510	Abi	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11114	FBgn0023395	Chd3	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell																Increased level of actin	CMPO_0000105	increased number of actin filament																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC17056	FBgn0023423	slmb	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07674	FBgn0024196	robl	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton																																		microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC03611	FBgn0026170	smt3	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell													decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells							decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17898	FBgn0026879	CG13364	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton							Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC18836	FBgn0028982	Spt6	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell				Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers							decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18123	FBgn0030205	CG17255	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell																Increased level of actin	CMPO_0000105	increased number of actin filament																			microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC00331	FBgn0031249	CG11911	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00730	FBgn0031437	p16-ARC	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03578	FBgn0031866	neuroligin	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton							Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC03192	FBgn0032512	CG9305	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC06159	FBgn0033926	Arc1	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell																																		microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC10291	FBgn0036454	CG17839	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton																																		microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC09878	FBgn0036467	CG12310	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell										Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																									microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC15679	FBgn0038320	Sra-1	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15337	FBgn0038350	CG18516	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton							Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC14729	FBgn0039626	Slu7	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell													decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells							decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16554	FBgn0039754	CG9747	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16554	FBgn0039754	CG9747	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC15101	FBgn0039832	CG15563	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton							Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC03426	FBgn0041781	SCAR	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC10027	FBgn0052138	CG32138	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype										cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell				Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers																decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass							microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC17731	FBgn0086899	tlk	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17723	FBgn0000042	Act5C	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells										loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04835	FBgn0000043	Act42A	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells										loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC14104	FBgn0000046	Act87E	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells										loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11878	FBgn0000100	RpLP0	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11946	FBgn0000258	CkIIalpha	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03507	FBgn0000308	chic	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus							microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18184	FBgn0000377	crn	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18185	FBgn0000377	crn	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18755	FBgn0000377	crn	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18756	FBgn0000382	csw	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC09132	FBgn0000404	CycA	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC11123	FBgn0000404	CycA	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC08583	FBgn0000541	E(bx)	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC05281	FBgn0000581	E(Pc)	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																										increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC17308	FBgn0000635	Fas2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03328	FBgn0000986	Fs(2)Ket	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07088	FBgn0000996	dup	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03534	FBgn0001086	fzy	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16679	FBgn0001098	Gdh	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC07079	FBgn0001187	Hex-C	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16704	FBgn0001205	Hmgcr	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16711	FBgn0001219	Hsc70-4	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC08664	FBgn0001233	Hsp83	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																												decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass										microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells							decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20341	FBgn0001250	if	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																																																										decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18787	FBgn0001337	Exp6	yes																																											increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																																	
DRSC20346	FBgn0001491	l(1)10Bb	yes																disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton				Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass																																				
DRSC03526	FBgn0001942	eIF-4a	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC03439	FBgn0001965	Sos	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC03560	FBgn0001986	l(2)35Df	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03515	FBgn0001994	crp	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11256	FBgn0002284	Pros26	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16971	FBgn0002431	hyd	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03359	FBgn0002525	Lam	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18708	FBgn0002579	RpL36	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04649	FBgn0002607	RpL19	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16838	FBgn0002622	RpS3	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16835	FBgn0002626	RpL32	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16835	FBgn0002626	RpL32	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16732	FBgn0002645	Map205	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04624	FBgn0002787	Mov34	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC06800	FBgn0002891	mus205	yes																															Increased level of actin	CMPO_0000105	increased number of actin filament																																											multiple layers of cells	CMPO_0000282	layered cells in population
DRSC11381	FBgn0003041	pbl	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC03591	FBgn0003087	pim	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																		increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
