Plate	Well	hORFeome V5.1 Internal Identifier	Entrez Gene ID	Symbol	Description	Scored as nuclear foci at initial stage	Subcellular localization based on secondary screening	Scored subcellular localization by secondary screening
Secondary Screen	A118	9120	54904	WHSC1L1	"Homo sapiens Wolf-Hirschhorn syndrome candidate 1-like 1, transcript variant short"	1	1	UNKNOWN
Secondary Screen	A119	2267	221241	C18orf20	Homo sapiens chromosome 18 open reading frame 20	1	1	Nucleolus
Secondary Screen	A12	6457	553115	PEF1	Homo sapiens PEF protein with a long N-terminal hydrophobic domain (peflin	1	1	UNKNOWN
Secondary Screen	A120	921	6208	RPS14	Homo sapiens ribosomal protein S14	1	1	Nucleolus
Secondary Screen	A121	4874	84310	C7orf50	Homo sapiens hypothetical protein MGC11257	1	1	Nucleolus
Secondary Screen	A122	545	6193	RPS5	Homo sapiens ribosomal protein S5	1	1	Nucleolus
Secondary Screen	A123	3052	64976	MRPL40	Homo sapiens mitochondrial ribosomal protein L40	1	1	UNKNOWN
Secondary Screen	A124	4279	84733	CBX2	Homo sapiens hypothetical protein MGC10561	1	1	BMI1
Secondary Screen	A125	4169	79159	NOL12	Homo sapiens hypothetical protein MGC3731	1	1	Nucleolus
Secondary Screen	A126	3770	51329	ARL6IP4	Homo sapiens ADP-ribosylation-like factor 6 interacting protein 4	1	1	SC-35
Secondary Screen	A127	8723	129807	NEU4	"Homo sapiens, clone MGC:18222 IMAGE:4156395"	1	1	UNKNOWN
Secondary Screen	A128	3623	9363	RAB33A	"Homo sapiens RAB33A, member RAS oncogene family"	0	0	
Secondary Screen	A129	3832	51154	MRTO4	Homo sapiens chromosome 1 open reading frame 33	1	1	Nucleolus
Secondary Screen	A13	8171	84365	MKI67IP	Homo sapiens MKI67 (FHA domain) interacting nucleolar phosphoprotein	1	1	Nucleolus
Secondary Screen	A130	4639	51538	ZCCHC17	Homo sapiens putative S1 RNA binding domain protein	1	1	Nucleolus
Secondary Screen	A131	5582	51118	UTP11L	Homo sapiens comparative gene identification transcript 94	1	1	Nucleolus
Secondary Screen	A132	9595	1535	CYBA	"Homo sapiens cytochrome b-245, alpha polypeptide"	1	1	p54
Secondary Screen	A133	8618	79802	HHIPL2	Homo sapiens hypothetical protein FLJ13840	1	1	PML
Secondary Screen	A134	8824	80028	FBXL18	Homo sapiens hypothetical protein FLJ11467	1	1	SC-35
Secondary Screen	A135	2679	115560	ZNF501	Homo sapiens zinc finger protein 501	1	1	Nucleolus
Secondary Screen	A136	4173	79169	C1orf35	Homo sapiens chromosome 1 open reading frame 35	1	1	Nucleolus
Secondary Screen	A137	3078	4869	NPM1	"Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin"	1	1	Nucleolus
Secondary Screen	A138	191	6591	SNAI2	Homo sapiens snail homolog 2 (Drosophila	1	1	Nucleolus
Secondary Screen	A139	857	8061	FOSL1	Homo sapiens FOS-like antigen 1	1	1	UNKNOWN
Secondary Screen	A14	3966	4869	NPM1	"Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin"	1	1	Nucleolus
Secondary Screen	A140	4111	553115	PEF1	Homo sapiens PEF protein with a long N-terminal hydrophobic domain (peflin	1	1	UNKNOWN
Secondary Screen	A141	695	132200	C3orf49	Homo sapiens hypothetical protein BC015210	1	1	Nucleolus
Secondary Screen	A142	1670	84365	MKI67IP	Homo sapiens MKI67 (FHA domain) interacting nucleolar phosphoprotein	1	1	Nucleolus
Secondary Screen	A143	4978	23567	ZNF346	Homo sapiens zinc finger protein 346	1	1	UNKNOWN
Secondary Screen	A144	1928	143384	C10orf46	Homo sapiens chromosome 10 open reading frame 46	1	1	UNKNOWN
Secondary Screen	A145	4728	10921	RNPS1	"Homo sapiens RNA binding protein S1, serine-rich domain, transcript variant 2"	1	1	SC-35
Secondary Screen	A146	2092	4800	NFYA	"Homo sapiens nuclear transcription factor Y, alpha"	1	1	PML
Secondary Screen	A147	1580	4113	MAGEB2	"Homo sapiens melanoma antigen, family B, 2"	1	1	Nucleolus
Secondary Screen	A148	3678	55692	LUC7L	"Homo sapiens LUC7-like (S. cerevisiae), transcript variant 1"	1	1	SC-35
Secondary Screen	A149	3954	64782	AEN	Homo sapiens hypothetical protein FLJ12484	1	1	Nucleolus
Secondary Screen	A15	8043	84524	ZC3H8	"Homo sapiens zinc finger CCCH-type containing 8, mRNA (cDNA clone MGC:21437 IMAGE:4749794), complete cds."	1	1	p54
Secondary Screen	A150	1734	81565	NDEL1	Homo sapiens nudE nuclear distribution gene E homolog like 1 (A. nidulans	1	1	UNKNOWN
Secondary Screen	A151	1138	202559	KHDRBS2	"Homo sapiens KH domain containing, RNA binding, signal transduction associated 2"	1	1	Sam68
Secondary Screen	A152	4213	83759	RBM4B	Homo sapiens hypothetical protein similar to RNA-binding protein lark	1	1	p54
Secondary Screen	A153	240	55646	LYAR	Homo sapiens hypothetical protein FLJ20425	1	1	Nucleolus
Secondary Screen	A154	4345	2353	FOS	Homo sapiens v-fos FBJ murine osteosarcoma viral oncogene homolog	1	1	p54
Secondary Screen	A155	1963	11103	KRR1	Homo sapiens HIV-1 rev binding protein 2	1	1	Nucleolus
Secondary Screen	A156	2252	170261	ZCCHC12	Homo sapiens hypothetical protein LOC170261	1	1	PML
Secondary Screen	A157	5305	6122	RPL3	Homo sapiens ribosomal protein L3	0	0	
Secondary Screen	A158	5804	6122	RPL3	Homo sapiens ribosomal protein L3	1	1	Nucleolus
Secondary Screen	A159	4830	6839	SUV39H1	Homo sapiens suppressor of variegation 3-9 homolog 1 (Drosophila	1	1	UNKNOWN
Secondary Screen	A16	1207	151871	DPPA2	Homo sapiens hypothetical protein BC018070	1	1	UNKNOWN
Secondary Screen	A160	1154	64376	IKZF5	"Homo sapiens zinc finger protein, subfamily 1A, 5"	1	1	UNKNOWN
Secondary Screen	A161	3890	4841	NONO	"Homo sapiens non-POU domain containing, octamer-binding"	1	1	p54
Secondary Screen	A162	6711	54487	DGCR8	Homo sapiens hypothetical protein FLJ22127	1	1	Nucleolus
Secondary Screen	A163	10062	331	XIAP	Homo sapiens baculoviral IAP repeat-containing 4	1	1	p54
Secondary Screen	A164	10085	10346	TRIM22	Homo sapiens tripartite motif-containing 22	1	1	coilin/SMN
Secondary Screen	A165	6784	114034	TOE1	"Homo sapiens target of EGR1, member 1 (nuclear"	1	1	coilin/SMN
Secondary Screen	A166	8219	84878	ZBTB45	Homo sapiens zinc finger protein 499	1	1	PML
Secondary Screen	A167	3034	58155	PTBP2	Homo sapiens polypyrimidine tract binding protein 2	1	1	UNKNOWN
Secondary Screen	A168	6448	8161	COIL	Homo sapiens coilin	1	1	coilin/SMN
Secondary Screen	A169	2265	339834	CCDC36	Homo sapiens hypothetical protein LOC339834	1	1	UNKNOWN
Secondary Screen	A17	3083	27292	DIMT1L	Homo sapiens putative dimethyladenosine transferase	1	1	Nucleolus
Secondary Screen	A170	9740	23481	PES1	"Homo sapiens pescadillo homolog 1, containing BRCT domain (zebrafish"	1	1	Nucleolus
Secondary Screen	A171	9254	164592	CCDC116	Homo sapiens hypothetical protein FLJ36046	1	1	UNKNOWN
Secondary Screen	A172	7863	81788	NUAK2	Homo sapiens likely ortholog of rat SNF1/AMP-activated protein kinase	1	1	SC-35
Secondary Screen	A173	1489	55068	ENOX1	Homo sapiens hypothetical protein FLJ10094	1	1	p54
Secondary Screen	A174	6811	8379	MAD1L1	Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast	1	1	UNKNOWN
Secondary Screen	A175	8102	51514	DTL	Homo sapiens RA-regulated nuclear matrix-associated protein	1	1	UNKNOWN
Secondary Screen	A176	3791	26155	NOC2L	Homo sapiens DKFZP564C186 protein	1	1	Nucleolus
Secondary Screen	A177	2079	51224	TCEB3B	Homo sapiens transcription elongation factor B polypeptide 3B (elongin A2	1	1	Nucleolus
Secondary Screen	A178	1999	55783	FTSJD1	Homo sapiens hypothetical protein FLJ11171	1	1	PML
Secondary Screen	A179	2426	10813	UTP14A	Homo sapiens serologically defined colon cancer antigen 16	1	1	Nucleolus
Secondary Screen	A18	1941	84248	FYTTD1	Homo sapiens hypothetical protein DKFZp761B1514	1	1	SC-35
Secondary Screen	A180	3572	5371	PML	"Homo sapiens promyelocytic leukemia, transcript variant 11"	1	1	PML
Secondary Screen	A181	2332	85376	RIMBP3	Homo sapiens KIAA1666 protein	1	1	PML
Secondary Screen	A182	2495	126133	ALDH16A1	Homo sapiens hypothetical protein MGC10204	1	1	PML
Secondary Screen	A183	4077	6635	SNRPE	Homo sapiens small nuclear ribonucleoprotein polypeptide E	1	1	coilin/SMN
Secondary Screen	A184	2585	6207	RPS13	Homo sapiens ribosomal protein S13	1	1	Nucleolus
Secondary Screen	A185	8895	10528	NOP56	Homo sapiens nucleolar protein 5A (56kDa with KKE/D repeat	1	1	Nucleolus
Secondary Screen	A186	2409	6138	RPL15	Homo sapiens ribosomal protein L15	1	1	Nucleolus
Secondary Screen	A187	4881	57050	UTP3	Homo sapiens disrupter of silencing 10	1	1	Nucleolus
Secondary Screen	A188	8244	79891	ZNF671	Homo sapiens hypothetical protein FLJ23506	1	1	UNKNOWN
Secondary Screen	A189	2370	4001	LMNB1	Homo sapiens lamin B1	1	1	UNKNOWN
Secondary Screen	A19	2747	79607	FAM118B	Homo sapiens hypothetical protein FLJ21103	1	1	coilin/SMN
Secondary Screen	A190	4182	54980	C2orf42	Homo sapiens hypothetical protein FLJ20558	1	1	UNKNOWN
Secondary Screen	A191	95	5780	PTPN9	"Homo sapiens protein tyrosine phosphatase, non-receptor type 9"	1	1	Nucleolus
Secondary Screen	A192	6073	9188	DDX21	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	1	1	Nucleolus
Secondary Screen	A193	6160	9877	ZC3H11A	Homo sapiens KIAA0663 gene product	1	1	SC-35
Secondary Screen	A194	9701	55226	NAT10	Homo sapiens N-acetyltransferase-like protein	0	0	
Secondary Screen	A195	9694	23199	KIAA0182	Homo sapiens KIAA0182 protein	1	1	UNKNOWN
Secondary Screen	A196	6476	6613	SUMO2	Homo sapiens SMT3 suppressor of mif two 3 homolog 2 (yeast	1	1	PML
Secondary Screen	A197	2394	6161	RPL32	Homo sapiens ribosomal protein L32	1	1	Nucleolus
Secondary Screen	A198	544	6208	RPS14	Homo sapiens ribosomal protein S14	1	1	Nucleolus
Secondary Screen	A199	6881	55272	IMP3	Homo sapiens chromosome 15 open reading frame 12	0	0	
Secondary Screen	A2	10116	128061	C1orf131	Homo sapiens hypothetical protein DKFZp547B1713	1	1	Nucleolus
Secondary Screen	A20	434	84324	SARNP	"Homo sapiens cytokine induced protein 29 kDa, mRNA (cDNA clone IMAGE:3448446), **** WARNING: chimeric clone ****."	1	1	SC-35
Secondary Screen	A200	7335	55840	EAF2	Homo sapiens ELL associated factor 2	1	1	coilin/SMN
Secondary Screen	A201	7365	6137	RPL13	"Homo sapiens ribosomal protein L13, transcript variant 1"	1	1	Nucleolus
Secondary Screen	A202	4681	29903	CCDC106	Homo sapiens protein predicted by clone 23882	1	1	Nucleolus
Secondary Screen	A203	852	54765	TRIM44	Homo sapiens tripartite motif-containing 44	1	1	UNKNOWN
Secondary Screen	A204	8166	51203	NUSAP1	Homo sapiens nucleolar protein ANKT	1	1	Nucleolus
Secondary Screen	A205	6792	57410	SCYL1	Homo sapiens SCY1-like 1 (S. cerevisiae	1	1	p54
Secondary Screen	A206	5716		CCNL1	Homo sapiens cyclin L1	1	1	SC-35
Secondary Screen	A207	624	5725	PTBP1	"Homo sapiens polypyrimidine tract binding protein 1, transcript variant 1"	1	1	UNKNOWN
Secondary Screen	A208	5583	54819	ZCCHC10	"Homo sapiens zinc finger, CCHC domain containing 10"	1	1	UNKNOWN
Secondary Screen	A209	10490	10138	YAF2	"Homo sapiens YY1 associated factor 2, mRNA (cDNA clone MGC:41856 IMAGE:5276663), complete cds."	1	1	Nucleolus
Secondary Screen	A21	3093	79661	NEIL1	Homo sapiens nei endonuclease VIII-like 1 (E. coli	1	1	Nucleolus
Secondary Screen	A210	10556	57541	ZNF398	"Homo sapiens zinc finger protein 398, transcript variant 1"	1	1	PML
Secondary Screen	A211	10729	81627	C1orf25	Homo sapiens chromosome 1 open reading frame 25	1	1	Nucleolus
Secondary Screen	A212	10550	145581	LRFN5	Homo sapiens leucine rich repeat and fibronectin type III domain containing 5	1	1	Nucleolus
Secondary Screen	A213	10471	7090	TLE3	"Homo sapiens transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila"	1	1	Sam68
Secondary Screen	A214	11033	6137	RPL13	"Homo sapiens ribosomal protein L13, transcript variant 1"	1	1	Nucleolus
Secondary Screen	A215	10992	6189	RPS3A	Homo sapiens ribosomal protein S3A	1	1	Nucleolus
Secondary Screen	A216	10998	441242	LOC441242	"Homo sapiens hypothetical LOC441242, mRNA (cDNA clone MGC:87648 IMAGE:5267764), complete cds."	1	1	Nucleolus
Secondary Screen	A217	10981	4747	NEFL	"Homo sapiens neurofilament, light polypeptide 68kDa, mRNA (cDNA clone MGC:87388 IMAGE:5264373), complete cds."	1	1	PML
Secondary Screen	A218	11309	282679	AQP11	Homo sapiens aquaporin 11	1	1	Nucleolus
Secondary Screen	A219	10895	1675	CFD	Homo sapiens D component of complement (adipsin	1	1	Nucleolus
Secondary Screen	A22	258	51631	LUC7L2	Homo sapiens LUC7-like 2 (S. cerevisiae	1	1	SC-35
Secondary Screen	A220	11129	51491	NOP16	"Homo sapiens hypothetical protein HSPC111, mRNA (cDNA clone MGC:40298 IMAGE:5416724), complete cds."	1	1	Nucleolus
Secondary Screen	A221	11304	55536	CDCA7L	Homo sapiens transcription factor RAM2	1	1	UNKNOWN
Secondary Screen	A222	10950	170261	ZCCHC12	"Homo sapiens zinc finger, CCHC domain containing 12"	1	1	PML
Secondary Screen	A223	11230	83786	FRMD8	Homo sapiens FKSG44 gene	1	1	SC-35
Secondary Screen	A224	11317	9295	SRSF11	"Homo sapiens splicing factor, arginine/serine-rich 11"	1	1	p54
Secondary Screen	A225	11184	7690	ZNF131	Homo sapiens zinc finger protein 131 (clone pHZ-10	1	1	SC-35
Secondary Screen	A226	11204	9753	ZSCAN12	Homo sapiens zinc finger protein 305	1	1	PML
Secondary Screen	A227	11181	58499	ZNF462	Homo sapiens zinc finger protein 462	1	1	UNKNOWN
Secondary Screen	A228	11692	144203	OVOS2	Homo sapiens ovostatin 2	1	1	PML
Secondary Screen	A229	11583	91582	RPS19BP1	Homo sapiens hypothetical protein MGC52010	1	1	Nucleolus
Secondary Screen	A23	396	6122	RPL3	Homo sapiens ribosomal protein L3	1	1	Nucleolus
Secondary Screen	A230	11539	375190	C2orf84	Homo sapiens FLJ30851 protein	1	1	PML
Secondary Screen	A231	11482	29777	ABT1	Homo sapiens activator of basal transcription 1	1	1	Nucleolus
Secondary Screen	A232	11327	51491	NOP16	Homo sapiens hypothetical protein HSPC111	1	1	Nucleolus
Secondary Screen	A233	11596	283899	INO80E	Homo sapiens hypothetical protein FLJ90652	1	1	PML
Secondary Screen	A234	11642	202051	SPATA24	Homo sapiens hypothetical protein LOC202051	1	1	UNKNOWN
Secondary Screen	A235	11711	84549	MAK16	Homo sapiens RNA binding protein	1	1	Sam68
Secondary Screen	A236	11788	83444	INO80B	Homo sapiens high mobility group AT-hook 1-like 4	1	1	Nucleolus
Secondary Screen	A237	11698	4154	MBNL1	Homo sapiens muscleblind-like (Drosophila	1	1	UNKNOWN
Secondary Screen	A238	11791	83861	RSPH3	Homo sapiens radial spokehead-like 2	1	1	PML
Secondary Screen	A239	11798	22890	ZBTB1	Homo sapiens zinc finger and BTB domain containing 1	1	1	PML
Secondary Screen	A24	4701	6122	RPL3	Homo sapiens ribosomal protein L3	1	1	Nucleolus
Secondary Screen	A240	12156	NA		"Homo sapiens cDNA clone IMAGE:5215248, **** WARNING: chimeric clone ****."	1	1	PML
Secondary Screen	A241	12063	51490	C9orf114	Homo sapiens chromosome 9 open reading frame 114	1	1	Nucleolus
Secondary Screen	A242	12182	55692	LUC7L	Homo sapiens LUC7-like (S. cerevisiae	1	1	SC-35
Secondary Screen	A243	12151	55105	GPATCH2	"Homo sapiens G patch domain containing 2, mRNA (cDNA clone MGC:74998 IMAGE:5206348), complete cds."	1	1	Nucleolus
Secondary Screen	A244	11962	54865	GPATCH4	"Homo sapiens G patch domain containing 4, mRNA (cDNA clone IMAGE:3460089), containing frame-shift errors."	1	1	Nucleolus
Secondary Screen	A245	12387	4665	NAB2	Homo sapiens NGFI-A binding protein 2 (EGR1 binding protein 2	1	1	UNKNOWN
Secondary Screen	A246	11851	1196	CLK2	"Homo sapiens CDC-like kinase 2, transcript variant 1"	1	1	SC-35
Secondary Screen	A247	12776	64960	MRPS15	Homo sapiens mitochondrial ribosomal protein S15	1	1	Nucleolus
Secondary Screen	A248	12601	57654	KIAA1530	Homo sapiens KIAA1530 protein	1	1	p54
Secondary Screen	A249	12459	79625	C4orf31	Homo sapiens hypothetical protein FLJ23191	1	1	Nucleolus
Secondary Screen	A25	2684	9221	NOLC1	Homo sapiens nucleolar and coiled-body phosphoprotein 1	1	1	Nucleolus
Secondary Screen	A250	12504	2355	FOSL2	Homo sapiens FOS-like antigen 2	1	1	PML
Secondary Screen	A251	12519	23254	KAZ	Homo sapiens KIAA1026 protein	1	1	PML
Secondary Screen	A252	12791	79848	CSPP1	Homo sapiens hypothetical protein FLJ22490	1	1	PML
Secondary Screen	A253	12472	2961	GTF2E2	"Homo sapiens general transcription factor IIE, polypeptide 2, beta 34kDa"	1	1	Nucleolus
Secondary Screen	A254	12547	117246	FTSJ3	Homo sapiens FtsJ homolog 3 (E. coli	1	1	Nucleolus
Secondary Screen	A255	12431	55147	RBM23	Homo sapiens RNA binding motif protein 23	1	1	SC-35
Secondary Screen	A256	13287	53828	FXYD4	Homo sapiens FXYD domain containing ion transport regulator 4	1	1	Nucleolus
Secondary Screen	A257	13130	29080	CCDC59	Homo sapiens HSPC128 protein	1	1	Nucleolus
Secondary Screen	A258	13167	200845	KCTD6	Homo sapiens potassium channel tetramerisation domain containing 6	1	1	PML
Secondary Screen	A259	13228	5684	PSMA3	"Homo sapiens proteasome (prosome, macropain) subunit, alpha type, 3, transcript variant 1"	1	1	SC-35
Secondary Screen	A26	2981	25970	SH2B1	Homo sapiens SH2-B homolog	1	1	p54
Secondary Screen	A260	13218	79723	SUV39H2	Homo sapiens suppressor of variegation 3-9 homolog 2 (Drosophila	1	1	UNKNOWN
Secondary Screen	A261	13010	149628	PYHIN1	Homo sapiens interferon-inducible protein X	1	1	UNKNOWN
Secondary Screen	A262	13263	6128	RPL6	Homo sapiens ribosomal protein L6	1	1	Nucleolus
Secondary Screen	A263	12831	6128	RPL6	Homo sapiens ribosomal protein L6	1	1	Nucleolus
Secondary Screen	A264	13125	25983	NGDN	Homo sapiens chromosome 14 open reading frame 120	1	1	Sam68
Secondary Screen	A265	13226	6128	RPL6	Homo sapiens ribosomal protein L6	1	1	Nucleolus
Secondary Screen	A266	12906	11179	ZNF277	Homo sapiens zinc finger protein (C2H2 type) 277	1	1	coilin/SMN
Secondary Screen	A267	13024	9314	KLF4	Homo sapiens Kruppel-like factor 4 (gut	1	1	p54
Secondary Screen	A268	12914	7586	ZKSCAN1	Homo sapiens zinc finger protein 36 (KOX 18	1	1	UNKNOWN
Secondary Screen	A269	13126	79982	DNAJB14	Homo sapiens	1	1	UNKNOWN
Secondary Screen	A27	109	10474	TADA3	"Homo sapiens transcriptional adaptor 3 (NGG1 homolog, yeast)-like, transcript variant 1"	1	1	UNKNOWN
Secondary Screen	A270	13269	23029	RBM34	Homo sapiens KIAA0117 protein	1	1	Nucleolus
Secondary Screen	A271	13270	11056	DDX52	"Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 52, transcript variant 1"	1	1	Nucleolus
Secondary Screen	A272	13763	23521	RPL13A	Homo sapiens ribosomal protein L13a	1	1	Nucleolus
Secondary Screen	A273	13364	10360	NPM3	"Homo sapiens nucleophosmin/nucleoplasmin, 3"	1	1	Nucleolus
Secondary Screen	A274	13443	51406	NOL7	"Homo sapiens nucleolar protein 7, 27kDa"	1	1	Nucleolus
Secondary Screen	A275	13637	5699	PSMB10	"Homo sapiens proteasome (prosome, macropain) subunit, beta type, 10"	1	1	Nucleolus
Secondary Screen	A276	13541	56342	PPAN	Homo sapiens peter pan homolog (Drosophila	1	1	Nucleolus
Secondary Screen	A277	13770	7633	ZNF79	Homo sapiens zinc finger protein 79 (pT7	1	1	Nucleolus
Secondary Screen	A278	14112	222698	NKAPL	"Homo sapiens chromosome 6 open reading frame 194, mRNA (cDNA clone MGC:46351 IMAGE:5766894), complete cds."	1	1	UNKNOWN
Secondary Screen	A279	14347	285855	RPL7L1	"Homo sapiens ribosomal protein L7-like 1, mRNA (cDNA clone MGC:90362 IMAGE:5491531), complete cds."	1	1	Nucleolus
Secondary Screen	A28	670	51203	NUSAP1	Homo sapiens nucleolar protein ANKT	1	1	Nucleolus
Secondary Screen	A280	14392	6138	RPL15	"Homo sapiens ribosomal protein L15, mRNA (cDNA clone MGC:87873 IMAGE:4390593), complete cds."	1	1	Nucleolus
Secondary Screen	A281	14457	152877	FAM53A	"Homo sapiens cDNA clone MGC:87650 IMAGE:5268061, complete cds."	1	1	p54
Secondary Screen	A282	14447	339745	SPOPL	"Homo sapiens hypothetical protein LOC339745, mRNA (cDNA clone MGC:87667 IMAGE:5275316), complete cds."	1	1	coilin/SMN
Secondary Screen	A283	14339	23435	TARDBP	"Homo sapiens TAR DNA binding protein, mRNA (cDNA clone MGC:87845 IMAGE:5498250), complete cds."	1	1	coilin/SMN
Secondary Screen	A284	14368	64219	PJA1	"Homo sapiens praja 1, mRNA (cDNA clone MGC:87793 IMAGE:3913310), complete cds."	1	1	PML
Secondary Screen	A285	14231	129831	RBM45	"Homo sapiens developmentally regulated RNA-binding protein 1, mRNA (cDNA clone MGC:70459 IMAGE:5748065), complete cds."	1	1	PML
Secondary Screen	A286	14462	25871	C3orf17	"Homo sapiens chromosome 3 open reading frame 17, mRNA (cDNA clone MGC:87004 IMAGE:4812681), complete cds."	1	1	Nucleolus
Secondary Screen	A287	14292	3609	ILF3	"Homo sapiens interleukin enhancer binding factor 3, 90kDa, mRNA (cDNA clone MGC:74521 IMAGE:6503234), complete cds."	1	1	Nucleolus
Secondary Screen	A288	14625	6202	RPS8	"Homo sapiens ribosomal protein S8, mRNA (cDNA clone MGC:90249 IMAGE:6527505), complete cds."	1	1	Nucleolus
Secondary Screen	A289	14650	55216	C11orf57	"Homo sapiens hypothetical protein FLJ10726, mRNA (cDNA clone MGC:87956 IMAGE:6185048), complete cds."	1	1	Nucleolus
Secondary Screen	A29	3159	8568	RRP1	Homo sapiens DNA segment on chromosome 21 (unique) 2056 expressed sequence	1	1	Nucleolus
Secondary Screen	A290	14695	3084	NRG1	"Homo sapiens neuregulin 1, transcript variant HRG-beta3, mRNA (cDNA clone IMAGE:3928352), complete cds."	1	1	Nucleolus
Secondary Screen	A291	14948	6138	RPL15	"Homo sapiens ribosomal protein L15, mRNA (cDNA clone MGC:88603 IMAGE:5458912), complete cds."	1	1	Nucleolus
Secondary Screen	A292	14974	3550	IK	"Homo sapiens IK cytokine, down-regulator of HLA II, mRNA (cDNA clone MGC:88657 IMAGE:6461871), complete cds."	1	1	UNKNOWN
Secondary Screen	A293	12292	8761	PABPC4	"Homo sapiens poly(A) binding protein, cytoplasmic 4 (inducible form"	1	1	UNKNOWN
Secondary Screen	A294	6786	1736	DKC1	"Homo sapiens dyskeratosis congenita 1, dyskerin"	1	1	Nucleolus
Secondary Screen	A295	14806	391257	SUMO1P1	"Homo sapiens SUMO1 pseudogene 1, mRNA (cDNA clone MGC:71987 IMAGE:6619211), complete cds."	1	1	PML
Secondary Screen	A296	14269	342132	ZNF774	"Homo sapiens similar to zinc finger protein 29, mRNA (cDNA clone MGC:75360 IMAGE:6181677), complete cds."	1	1	PML
Secondary Screen	A297	317	25776	CBY1	Homo sapiens chromosome 22 open reading frame 2	1	1	PML
Secondary Screen	A298	350	NA		"Homo sapiens cDNA clone MGC:17536 IMAGE:3460756, complete cds."	1	1	Nucleolus
Secondary Screen	A299	9321	139212	CXorf41	Homo sapiens hypothetical protein MGC35261	1	1	PML
Secondary Screen	A3	785	28974	C19orf53	Homo sapiens HSPC023 protein	1	1	Nucleolus
Secondary Screen	A30	3909	11052	CPSF6	"Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa"	1	1	p54
Secondary Screen	A300	9980	5450	POU2AF1	"Homo sapiens POU domain, class 2, associating factor 1"	1	1	UNKNOWN
Secondary Screen	A301	5894	24144	TFIP11	Homo sapiens tuftelin interacting protein 11	1	1	UNKNOWN
Secondary Screen	A302	7618	64897	C12orf43	Homo sapiens hypothetical protein FLJ12448	1	1	Nucleolus
Secondary Screen	A303	6501	129138	ANKRD54	Homo sapiens hypothetical protein BC014641	1	1	PML
Secondary Screen	A304	6392	4869	NPM1	"Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin"	1	1	Nucleolus
Secondary Screen	A305	7817	55311	ZNF444	Homo sapiens zinc finger protein 444	1	1	p54
Secondary Screen	A306	428	6137	RPL13	"Homo sapiens ribosomal protein L13, transcript variant 1"	1	1	Nucleolus
