Gene Symbol	Gene Identifier	U2OS phenotype	Qiagen reproducibility between HeLa and U2OS cells	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
CHEK1	1111	"M,BC"	X		big (large) cells				metaphase			
CHIT1	1118	"AF,C,M"	X	actin fibre		condensed cells			metaphase			
CHN1	1123	"C,LA"	X			condensed cells		lammellipodia				
CHST12	55501	"C,M"	X			condensed cells			metaphase			
CHST5	23563	"P,AF"	X	actin fibre							cells with protrusions and elongations	
CKAP5	9793	"M,P"	X						metaphase		cells with protrusions and elongations	
CLDN11	5010	"N,C"	X			condensed cells				normal cells		
CLDN4		"LA,C"	X			condensed cells		lammellipodia				
CLIC2	1193	"P,AF"	X	actin fibre							cells with protrusions and elongations	
CLN8	2055	"BC,AF"	X	actin fibre	big (large) cells							
CLPS	1208	"BC,LA"	X		big (large) cells			lammellipodia				
CLSPN	63967	"BC,P,M,D"	X		big (large) cells		debris		metaphase		cells with protrusions and elongations	
CLTC	1213	"N,C"	X			condensed cells				normal cells		
CLU	1191	"N,AF"	X	actin fibre						normal cells		
CLUAP1	23059	"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
CNTFR	1271	"P,C"	X			condensed cells					cells with protrusions and elongations	
COL20A1	57642	BC			big (large) cells							
COL9A3	1299	"AF,C"	X	actin fibre		condensed cells						
COPA	1314	"C,M"	X			condensed cells			metaphase			
COPB1	1315	"M,D"	X				debris		metaphase			
COPB2	9276	"C,M"	X			condensed cells			metaphase			
COPE	11316	"BC,P,C"	X		big (large) cells	condensed cells					cells with protrusions and elongations	
COPG	22820	"C,D,P"	X			condensed cells	debris				cells with protrusions and elongations	
COPZ1	22818	"P,C"	X			condensed cells					cells with protrusions and elongations	
COPZ2	51226	"P,C"	X			condensed cells					cells with protrusions and elongations	
CORO7	79585	"BC,AF"	X	actin fibre	big (large) cells							
COX6A2	1339	LA	X					lammellipodia				
CPNE5	57699	"AF,C"	X	actin fibre		condensed cells						
CR2	1380	"C,LA,P"	X			condensed cells		lammellipodia			cells with protrusions and elongations	
CRNKL1	51340	"M,BC,LA"	X		big (large) cells			lammellipodia	metaphase			
CSAD	51380	P									cells with protrusions and elongations	
CSDC2	27254	"BC,AF"	X	actin fibre	big (large) cells							
CST5	1473	N								normal cells		
CTDSP1	58190	"M,P"	X						metaphase		cells with protrusions and elongations	
CTF1	1489	"BC,AF"	X	actin fibre	big (large) cells							
CTRC	11330	"BC,AF"	X	actin fibre	big (large) cells							
CUTA	51596	"BC,AF"	X	actin fibre	big (large) cells							
CXXC4	80319	"BC,LA,P"	X		big (large) cells			lammellipodia			cells with protrusions and elongations	
CYBRD1	79901	"BC,AF"	X	actin fibre	big (large) cells							
CYP2B6	1555	"BC,LA,M"	X		big (large) cells			lammellipodia	metaphase			
CYR61	3491	"C,N"	X			condensed cells				normal cells		
DAB2	1601	N	X							normal cells		
DAND5	199699	"C,M,P"	X			condensed cells			metaphase		cells with protrusions and elongations	
DDX5	1655	"P,C"	X			condensed cells					cells with protrusions and elongations	
DERL2	51009	N	X							normal cells		
DHX58	79132	LA	X					lammellipodia				
DLG4	1742	N	X							normal cells		
DLG5	9231	"P,LA,C"	X			condensed cells		lammellipodia			cells with protrusions and elongations	
DLL4	54567	BC			big (large) cells							
DNAJB9		LA	X					lammellipodia				
DNASE1		BC			big (large) cells							
DNMT1	1786	"BC,AF"	X	actin fibre	big (large) cells							
DONSON	29980	"BC,C,M,P"	X		big (large) cells	condensed cells			metaphase		cells with protrusions and elongations	
DQX1	165545	"P,C"	X			condensed cells					cells with protrusions and elongations	
DSCAML1	57453	"AF,M"	X	actin fibre					metaphase			
DSCR3	10311	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
DTL	51514	BC			big (large) cells							
DUX1		"BC,AF"	X	actin fibre	big (large) cells							
DYNC1I2		"P,M"	X						metaphase		cells with protrusions and elongations	
DYSF	8291	"AF,M"	X	actin fibre					metaphase			
ECOP		"BC,C"	X		big (large) cells	condensed cells						
EDC3	80153	LA	X					lammellipodia				
EFEMP2	30008	AF		actin fibre								
EFHA2	286097	"BC,LA"	X		big (large) cells			lammellipodia				
EI24	9538	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
EIF2B5	8893	"P,BC"	X		big (large) cells						cells with protrusions and elongations	
EIF2S1	1965	AF	X	actin fibre								
EIF3C		"M,P"	X						metaphase		cells with protrusions and elongations	
EIF3I	8668	"AF,C"	X	actin fibre		condensed cells						
EIF4A3	9775	"M,C"	X			condensed cells			metaphase			
ELAC2	60528	"C,LA"	X			condensed cells		lammellipodia				
ELAVL4	1996	"N,C"	X			condensed cells				normal cells		
ELF3	1999	"BC,AF"	X	actin fibre	big (large) cells							
ELL3	80237	"N,LA"	X					lammellipodia		normal cells		
ELMO2	63916	P	X								cells with protrusions and elongations	
ELMO3	79767	BC	X		big (large) cells							
ENOSF1	55556	C	X			condensed cells						
EPSTI1	94240	"C,M,D"	X			condensed cells	debris		metaphase			
ERAF	51327	"P,AF,C"	X	actin fibre		condensed cells					cells with protrusions and elongations	
ESF1	51575	LA	X					lammellipodia				
EXOSC8	11340	"P,C"	X			condensed cells					cells with protrusions and elongations	
EZH1	2145	"P,M"	X						metaphase		cells with protrusions and elongations	
FAM107A	11170	P	X								cells with protrusions and elongations	
FAM113A	64773	LA	X					lammellipodia				
FAM12B	64184	BC	X		big (large) cells							
FAM195B		"BC,LA"	X		big (large) cells			lammellipodia				
FAM69B	138311	"P,LA,C"	X			condensed cells		lammellipodia			cells with protrusions and elongations	
FAM89B	23625	C				condensed cells						
FANCB	2187	"P,BC"	X		big (large) cells						cells with protrusions and elongations	
FASLG	356	"BC,AF"	X	actin fibre	big (large) cells							
FBXL6	26233	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
FBXL7	23194	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
FBXO5	26271	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
FBXW8	26259	"P,C"	X			condensed cells					cells with protrusions and elongations	
FGF22	27006	BC	X		big (large) cells							
FGFRL1	53834	"AF,BC"	X	actin fibre	big (large) cells							
FIBIN	387758	BC	X		big (large) cells							
FKBP1A	2280	"BC,M"	X		big (large) cells				metaphase			
FKBP2	2286	P									cells with protrusions and elongations	
FLJ21075	80099	N	X							normal cells		
FMO5	2330	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
FNTB	2342	N								normal cells		
FOSL1		"BC,AF"	X	actin fibre	big (large) cells							
FOSL2	2355	"BC,AF"	X	actin fibre	big (large) cells							
FUCA2	2519	"N,C"	X			condensed cells				normal cells		
FXYD1	5348	BC	X		big (large) cells							
FZD2	2535	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
GABBR1	2550	AF		actin fibre								
GABRA3	2556	"C,M"	X			condensed cells			metaphase			
GABRG3	2567	"P,M"	X						metaphase		cells with protrusions and elongations	
GALNT4	8693	"P,C"	X			condensed cells					cells with protrusions and elongations	
GAPDH		C	X			condensed cells						
GBA		"C,M,AF"	X	actin fibre		condensed cells			metaphase			
GCNT1	2650	AF	X	actin fibre								
GDF3	9573	"AF,M"	X	actin fibre					metaphase			
GFM1	85476	"LA,P"	X					lammellipodia			cells with protrusions and elongations	
GGTL3	2686	"BC,C"	X		big (large) cells	condensed cells						
GIMAP5	55340	"P,C"	X			condensed cells					cells with protrusions and elongations	
GLIS1	148979	C	X			condensed cells						
GMEB1	10691	"C,AF"	X	actin fibre		condensed cells						
GNA12		"P,C,D"	X			condensed cells	debris				cells with protrusions and elongations	
GNAI1		"BC,BC,AF"	X	actin fibre	big (large) cells							
GOLPH3L	55204	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
GORASP2	26003	"BC,AF"	X	actin fibre	big (large) cells							
GOSR1	9527	"BC,LA"	X		big (large) cells			lammellipodia				
GOSR2	9570	"C,M,LA"	X			condensed cells		lammellipodia	metaphase			
GPR37	2861	"P,C"	X			condensed cells					cells with protrusions and elongations	
GPR89A		"BC,LA"	X		big (large) cells			lammellipodia				
GRIA4	2893	"C,M"	X			condensed cells			metaphase			
GRINL1A		"N,LA"	X					lammellipodia		normal cells		
GSPT1	2935	"BC,AF"	X	actin fibre	big (large) cells							
GTF3A	GTF3A	"C,LA"	X			condensed cells		lammellipodia				
GTF3C6		"N,LA"	X					lammellipodia		normal cells		
GUCA2A	2980	"BC,AF"	X	actin fibre	big (large) cells							
GZMM	3004	"N,LA"	X					lammellipodia		normal cells		
HDAC1	3065	"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
HEBP1	50865	P	X								cells with protrusions and elongations	
HHIPL2	79802	"N,C"	X			condensed cells				normal cells		
HIPK2	28996	P	X								cells with protrusions and elongations	
HIST1H2AE	3012	"N,C"	X			condensed cells				normal cells		
HIST1H2BO	8348	"BC,AF"	X	actin fibre	big (large) cells							
HLA-DQB2	3120	"P,M"	X						metaphase		cells with protrusions and elongations	
HN1	51155	"P,C"	X			condensed cells					cells with protrusions and elongations	
HOXC5	3222	P	X								cells with protrusions and elongations	
HP		"N,P"	X							normal cells	cells with protrusions and elongations	
HSD17B10	3028	C	X			condensed cells						
HSPA6		"BC,P"	X		big (large) cells						cells with protrusions and elongations	
HTRA2	27429	"BC,C"	X		big (large) cells	condensed cells						
IER3IP1	51124	"N,P"	X							normal cells	cells with protrusions and elongations	
IGSF6	10261	"BC,LA"	X		big (large) cells			lammellipodia				
IGSF9	57549	AF	X	actin fibre								
IL12A	3592	"BC,C"	X		big (large) cells	condensed cells						
IL2RG	3561	AF	X	actin fibre								
INF2	64423	"N,C,LA"	X			condensed cells		lammellipodia		normal cells		
INPP4A	3631	"BC,C"	X		big (large) cells	condensed cells						
INSIG1	3638	LA	X					lammellipodia				
IRX4	50805	"C,M"	X			condensed cells			metaphase			
JMJD6	23210	BC	X		big (large) cells							
KATNAL1		"BC,AF"	X	actin fibre	big (large) cells							
KCND1	3750	"P,M"	X						metaphase		cells with protrusions and elongations	
KCNIP1	30820	"P,M"	X						metaphase		cells with protrusions and elongations	
KCNK10	54207	"P,C"	X			condensed cells					cells with protrusions and elongations	
KCNK16	83795	"N,LA"	X					lammellipodia		normal cells		
KCNN3		"N,AF,M"	X	actin fibre					metaphase	normal cells		
KCNT2	343450	"P,C"	X			condensed cells					cells with protrusions and elongations	
KEAP1	9817	"AF,C,M"	X	actin fibre		condensed cells			metaphase			
KERA	11081	"BC,LA"	X		big (large) cells			lammellipodia				
KIAA0090	23065	C	X			condensed cells						
KIAA0157	23172	C	X			condensed cells						
KIAA1026	23254	"BC,P,AF"	X	actin fibre	big (large) cells						cells with protrusions and elongations	
KIAA1407	57577	"P,C"	X			condensed cells					cells with protrusions and elongations	
KIAA1468	57614	LA	X					lammellipodia				
KIAA1529	57653	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
KIAA1604	57703	"M,C"	X			condensed cells			metaphase			
KIAA1622	57718	"P,C"	X			condensed cells					cells with protrusions and elongations	
KIAA1737	85457	N	X							normal cells		
KIAA1946	165215	"P,AF"	X	actin fibre							cells with protrusions and elongations	
KIF11	3832	M	X						metaphase			
KIF12	113220	"BC,LA"	X		big (large) cells			lammellipodia				
KIF13A	63971	"N,BC"	X		big (large) cells					normal cells		
KIF15	56992	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
KIF20A	10112	LA	X					lammellipodia				
KIF23	9493	"BC,BC"	X		big (large) cells							
KIF3A	11127	C	X			condensed cells						
KLHDC2	23588	BC	X		big (large) cells							
KLK1	3816	"N,LA"	X					lammellipodia		normal cells		
KPNB1	3837	"P,M"	X						metaphase		cells with protrusions and elongations	
KRIT1	889	"P,C"	X			condensed cells					cells with protrusions and elongations	
KSR1	8844	"AF,LA"	X	actin fibre				lammellipodia				
KY	339855	"BC,P,AF"	X	actin fibre	big (large) cells						cells with protrusions and elongations	
LEPROT	54741	"BC,C"	X		big (large) cells	condensed cells						
LGI2	55203	"C,M"	X			condensed cells			metaphase			
LIF	3976	P	X								cells with protrusions and elongations	
LIG4	3981	N								normal cells		
LILRB1	10859	"BC,LA"	X		big (large) cells			lammellipodia				
LILRB2	10288	"AF,BC"	X	actin fibre	big (large) cells							
LIN7C	55327	"N,C"	X			condensed cells				normal cells		
LSR	51599	"C,LA"	X			condensed cells		lammellipodia				
MAGEB1	4112	"BC,AF"	X	actin fibre	big (large) cells							
MAGED1	9500	N	X							normal cells		
MAGEE1	57692	"BC,AF"	X	actin fibre	big (large) cells							
MAGEE2	139599	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
MAGEH1	28986	LA	X					lammellipodia				
MAGI1	9223	"BC,AF"	X	actin fibre	big (large) cells							
MAST1	22983	P	X								cells with protrusions and elongations	
MAX	4149	"BC,LA"	X		big (large) cells			lammellipodia				
MC1R	4157	"BC,LA"	X		big (large) cells			lammellipodia				
MCM10	55388	N								normal cells		
METTL1		"BC,AF"	X	actin fibre	big (large) cells							
MFAP1	4236	"BC,M,D"	X		big (large) cells		debris		metaphase			
MFAP3	4238	"LA,P"	X					lammellipodia			cells with protrusions and elongations	
MFSD4	148808	"BC,AF"	X	actin fibre	big (large) cells							
MGAT2	4247	"BC,AF"	X	actin fibre	big (large) cells							
MGAT5	4249	BC	X		big (large) cells							
MGC29891	126626	"C,P"	X			condensed cells					cells with protrusions and elongations	
MIA	8190	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
MID1IP1	58526	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
MLN	4295	"BC,AF"	X	actin fibre	big (large) cells							
MSL3L1	10943	"BC,AF"	X	actin fibre	big (large) cells							
MSN	4478	"AF,M"	X	actin fibre					metaphase			
MSTN	2660	"BC,AF"	X	actin fibre	big (large) cells							
MT3		"BC,AF"	X	actin fibre	big (large) cells							
MYH9	4627	"P,BC"	X		big (large) cells						cells with protrusions and elongations	
NACA		C				condensed cells						
NAGA		N	X							normal cells		
NANOG		"LA,C"	X			condensed cells		lammellipodia				
NANS		"AF,C"	X	actin fibre		condensed cells						
NCOA5	57727	AF		actin fibre								
NCR1	9437	"C,LA,P"	X			condensed cells		lammellipodia			cells with protrusions and elongations	
NCR3	259197	"BC,AF"	X	actin fibre	big (large) cells							
NDC80	10403	"M,BC"	X		big (large) cells				metaphase			
NDE1	54820	"P,C"	X			condensed cells					cells with protrusions and elongations	
NDOR1		"P,C"	X			condensed cells					cells with protrusions and elongations	
NDUFA7	4701	"P,BC"	X		big (large) cells						cells with protrusions and elongations	
NEDD4	4734	"M,AF"	X	actin fibre					metaphase			
NEDD8	4738	"BC,AF"	X	actin fibre	big (large) cells							
NFIA	4774	"C,P"	X			condensed cells					cells with protrusions and elongations	
NGFR	4804	"P,C,LA"	X			condensed cells		lammellipodia			cells with protrusions and elongations	
NHP2L1	4809	"BC,D"	X		big (large) cells		debris					
NINJ2	4815	"N,P"	X							normal cells	cells with protrusions and elongations	
NKD2	85409	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
NLRP9	338321	BC	X		big (large) cells							
NNT	23530	"LA,C"	X			condensed cells		lammellipodia				
NOL1	4839	"C,BC"	X		big (large) cells	condensed cells						
NONO		"BC,LA"	X		big (large) cells			lammellipodia				
NOS3	4846	"P,C"	X			condensed cells					cells with protrusions and elongations	
NOTUM		"C,BC"	X		big (large) cells	condensed cells						
NOX4	50507	P	X								cells with protrusions and elongations	
NPFFR2	10886	C				condensed cells						
NPHS1	4868	"C,LA"	X			condensed cells		lammellipodia				
NR2F6	2063	P	X								cells with protrusions and elongations	
NR3C1	2908	"BC,M"	X		big (large) cells				metaphase			
NR4A3	8013	"BC,AF"	X	actin fibre	big (large) cells							
NRN1	51299	LA	X					lammellipodia				
NSUN4	387338	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
NUAK2	81788	"N,BC"	X		big (large) cells					normal cells		
NUCB1	4924	"P,C"	X			condensed cells					cells with protrusions and elongations	
NUF2	83540	M	X						metaphase			
NUMA1	4926	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
NUMBL	9253	"BC,AF"	X	actin fibre	big (large) cells							
NUP205	23165	BC			big (large) cells							
NXF1	10482	"BC,LA,D"	X		big (large) cells		debris	lammellipodia				
NXF5		"P,M"	X						metaphase		cells with protrusions and elongations	
OFCC1	266553	"P,C"	X			condensed cells					cells with protrusions and elongations	
OPCML	4978	BC			big (large) cells							
OPTN	10133	"N,P"	X							normal cells	cells with protrusions and elongations	
OR2F1		"P,D"	X				debris				cells with protrusions and elongations	
OR5B3	441608	"BC,AF"	X	actin fibre	big (large) cells							
OR8K1	390157	"C,LA"	X			condensed cells		lammellipodia				
ORC4L	5000	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
OVOL1	5017	"N,BC,AF"	X	actin fibre	big (large) cells					normal cells		
PAX2	5076	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
PCBD1	5092	N	X							normal cells		
PCDH24	54825	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
PCDHB10		BC	X		big (large) cells							
PCDHB7	56129	C	X			condensed cells						
PCDHB9	56127	"LA,C"	X			condensed cells		lammellipodia				
PDCD1LG2	80380	N								normal cells		
PDE4DIP		"BC,AF"	X	actin fibre	big (large) cells							
PDYN	5173	"P,C"	X			condensed cells					cells with protrusions and elongations	
PEG3	5178	"BC,AF"	X	actin fibre	big (large) cells							
PEX11A	8800	"BC,LA"	X		big (large) cells			lammellipodia				
PEX13	5194	"BC,AF"	X	actin fibre	big (large) cells							
PEX26	55670	"BC,LA,P"	X		big (large) cells			lammellipodia			cells with protrusions and elongations	
PGLYRP2	114770	"N,C"	X			condensed cells				normal cells		
PGLYRP3	114771	C	X			condensed cells						
PHCA	55331	"BC,AF"	X	actin fibre	big (large) cells							
PHF11	51131	"BC,LA"	X		big (large) cells			lammellipodia				
PIK3R4	30849	"P,C"	X			condensed cells					cells with protrusions and elongations	
PIP5K1C	23396	"BC,LA"	X		big (large) cells			lammellipodia				
PKIB	5570	"C,M"	X			condensed cells			metaphase			
PLAUR	5329	"N,P"	X							normal cells	cells with protrusions and elongations	
PLEK	5341	C				condensed cells						
PLK1	5347	M	X						metaphase			
PLXNA2		"BC,P"	X		big (large) cells						cells with protrusions and elongations	
PLXNB1		BC			big (large) cells							
PMVK	10654	P	X								cells with protrusions and elongations	
PNMAL1	55228	"C,P"	X			condensed cells					cells with protrusions and elongations	
POLE	5426	"BC,LA"	X		big (large) cells			lammellipodia				
POLH	5429	"AF,C"	X	actin fibre		condensed cells						
POLR2A	5430	"M,D"	X				debris		metaphase			
POLR2E	5434	"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
POLR2F	5435	"BC,AF"	X	actin fibre	big (large) cells							
POLR2L	5441	N								normal cells		
POP1	10940	"C,P"	X			condensed cells					cells with protrusions and elongations	
PPCDC	60490	LA	X					lammellipodia				
PPP1R16A	84988	"P,C"	X			condensed cells					cells with protrusions and elongations	
PPP2R5E	5529	N	X							normal cells		
PQBP1	10084	"N,C"	X			condensed cells				normal cells		
PRC1	9055	"LA,C"	X			condensed cells		lammellipodia				
PRDM8	56978	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
PRELP	5549	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
PRKAB1	5564	"P,C"	X			condensed cells					cells with protrusions and elongations	
PRKAG2	51422	BC	X		big (large) cells							
PRRX2	51450	C				condensed cells						
PRSS22	64063	"BC,LA"	X		big (large) cells			lammellipodia				
PSMA6		"C,M"	X			condensed cells			metaphase			
PSMD1	5707	"P,C"	X			condensed cells					cells with protrusions and elongations	
PSMD3	5709	M	X						metaphase			
PSMD8	5714	"M,C"	X			condensed cells			metaphase			
PTDSS2	81490	BC			big (large) cells							
PTGES	9536	"BC,P,C"	X		big (large) cells	condensed cells					cells with protrusions and elongations	
PTPN13	5783	"C,BC,AF"	X	actin fibre	big (large) cells	condensed cells						
PTPN20B		P	X								cells with protrusions and elongations	
PTPRE	5791	BC	X		big (large) cells							
PTRH2	51651	"C,M,BC"	X		big (large) cells	condensed cells			metaphase			
PUM1	9698	"AF,BC"	X	actin fibre	big (large) cells							
PVRL3	25945	"N,BC"	X		big (large) cells					normal cells		
PXMP2		LA	X					lammellipodia				
PZP	5858	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
RAB17	64284	"BC,LA"	X		big (large) cells			lammellipodia				
RAB1B	81876	"BC,AF"	X	actin fibre	big (large) cells							
RAB3D	9545	"P,M"	X						metaphase		cells with protrusions and elongations	
RAD51	5888	"P,BC,AF"	X	actin fibre	big (large) cells						cells with protrusions and elongations	
RAD51C	5889	BC	X		big (large) cells							
RAN		"BC,AF,LA"	X	actin fibre	big (large) cells			lammellipodia				
RAP2C	57826	"AF,BC"	X	actin fibre	big (large) cells							
RAPH1	65059	"BC,AF"	X	actin fibre	big (large) cells							
RASA1	5921	P	X								cells with protrusions and elongations	
RBBP9	10741	"C,M"	X			condensed cells			metaphase			
RBM8A	9939	"M,D"	X				debris		metaphase			
RBP1	5947	C	X			condensed cells						
RCN3	57333	"C,M"	X			condensed cells			metaphase			
RFWD2	64326	BC	X		big (large) cells							
RHBG	57127	P	X								cells with protrusions and elongations	
RHOJ	57381	N								normal cells		
RIC8B	55188	"N,P"	X							normal cells	cells with protrusions and elongations	
RND3	390	"P,C"	X			condensed cells					cells with protrusions and elongations	
RPA1	6117	"P,M"	X						metaphase		cells with protrusions and elongations	
RPA2	6118	"C,P"	X			condensed cells					cells with protrusions and elongations	
RPA3	6119	"M,C"	X			condensed cells			metaphase			
RPH3AL	9501	"BC,LA"	X		big (large) cells			lammellipodia				
RPL10L	140801	"BC,LA"	X		big (large) cells			lammellipodia				
RPL14		BC	X		big (large) cells							
RPL18		"C,BC"	X		big (large) cells	condensed cells						
RPL24		"BC,C"	X		big (large) cells	condensed cells						
RPL28	6158	"BC,M"	X		big (large) cells				metaphase			
RPL30	6156	"C,BC,AF"	X	actin fibre	big (large) cells	condensed cells						
