Plate	Well	Well Number	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	Compound SMILES	PubChem InChIKey	Dose	Control Type	Control Comments	Channels
20585	A11	11	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K36927236-001-06-0	BRD-K36927236	GLYBURIDE	Biomol International Inc.	COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	5.06 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A12	12	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A62421304-004-05-6	BRD-A62421304	Mepenzolate bromide	Prestwick Chemical Inc.	C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3	GKNPSSNBBWDAGH-UHFFFAOYSA-N;QVXXCOQHOPMUHU-UHFFFAOYSA-N	2.37 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A13	13	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869			DMSO		CS(=O)C			negative control	mock	Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A14	14	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869			DMSO		CS(=O)C			negative control	mock	Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A15	15	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K12219985-001-04-8	BRD-K12219985	GLIPIZIDE	Biomol International Inc.	Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	5.61 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A16	16	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A37817666-001-02-2	BRD-A37817666	Picrotoxinin	Prestwick Chemical Inc.	CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@@]53C	PIMZUZSSNYHVCU-IQPPENEWSA-N	3.42 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A17	17	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K29582677-001-02-7	BRD-K29582677	FLUNARIZINE	Biomol International Inc.	Fc1ccc(cc1)C(N2CCN(C/C=C/c3ccccc3)CC2)c4ccc(F)cc4	SMANXXCATUTDDT-QPJJXVBHSA-N	6.18 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A18	18	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K34776109-001-03-4	BRD-K34776109	Glimepiride	Prestwick Chemical Inc.	CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)C1=O	WIGIZIANZCJQQY-UHFFFAOYSA-N	2.04 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A19	19	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K44067360-001-06-3	BRD-K44067360	FLUFENAMIC ACID	Biomol International Inc.	OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	LPEPZBJOKDYZAD-UHFFFAOYSA-N	8.89 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A20	20	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K67556876-001-03-1	BRD-K67556876	Myosmine	Prestwick Chemical Inc.	C1CN=C(C1)c2cccnc2	DPNGWXJMIILTBS-UHFFFAOYSA-N	6.84 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A21	21	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A09472452-001-02-8	BRD-A09472452	FLECAINIDE	Biomol International Inc.	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2	DJBNUMBKLMJRSA-UHFFFAOYSA-N	6.03 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A22	22	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K00824317-001-03-0	BRD-K00824317	Flurandrenolide	Prestwick Chemical Inc.	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	POPFMWWJOGLOIF-XWCQMRHXSA-N	2.29 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A23	23	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K41713976-001-02-0	BRD-K41713976	E-4031	Biomol International Inc.	Cc1cccc(CCN2CCC(CC2)C(=O)c3ccc(NS(=O)(=O)C)cc3)n1	SRUISGSHWFJION-UHFFFAOYSA-N	6.23 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	A24	24	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A22081593-001-04-6	BRD-A22081593	Sulmazole	Prestwick Chemical Inc.	COc1cc(ccc1c2nc3ncccc3[nH]2)S(=O)C	XMFCOYRWYYXZMY-UHFFFAOYSA-N	3.48 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B1	25	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K47886988-323-03-0	BRD-K47886988	Nalidixic acid sodium salt hydrate	Prestwick Chemical Inc.	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12	MHWLWQUZZRMNGJ-UHFFFAOYSA-N	3.66 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B2	26	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K68402494-001-04-7	BRD-K68402494	ML9	Biomol International Inc.	Clc1cccc2c(cccc12)S(=O)(=O)N3CCCNCC3	OZSMSRIUUDGTEP-UHFFFAOYSA-N	7.70 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B3	27	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K01244426-236-05-5	BRD-K01244426	Cloxacillin sodium salt	Prestwick Chemical Inc.	Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4Cl	LQOLIRLGBULYKD-JKIFEVAISA-N	2.18 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B4	28	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K93201660-001-04-0	BRD-K93201660	ML7	Biomol International Inc.	Ic1cccc2c(cccc12)S(=O)(=O)N3CCCNCC3	GEHJIACZUFWBTK-UHFFFAOYSA-N	6.01 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B5	29	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K62607865-001-03-0	BRD-K62607865	Aztreonam	Prestwick Chemical Inc.	C[C@H]1[C@H](NC(=O)/C(=N\\OC(C)(C)C(=O)O)/c2csc(N)n2)C(=O)N1S(=O)(=O)O	WZPBZJONDBGPKJ-VEHQQRBSSA-N	2.30 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B6	30	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K59670716-001-02-6	BRD-K59670716	mitomycin C	Biomol International Inc.	CO[C@@]12[C@H]3N[C@H]3CN2C4=C([C@H]1COC(=O)N)C(=O)C(=C(C)C4=O)N	NWIBSHFKIJFRCO-WUDYKRTCSA-N	7.48 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B7	31	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A31521121-001-05-8	BRD-A31521121	Methocarbamol	Prestwick Chemical Inc.	COc1ccccc1OCC(O)COC(=O)N	GNXFOGHNGIVQEH-UHFFFAOYSA-N	4.15 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B8	32	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-A39268308-001-02-0	BRD-A39268308	epibatidine (+/-)	Biomol International Inc.	Clc1ccc(cn1)C2CC3CCC2N3	NLPRAJRHRHZCQQ-UHFFFAOYSA-N	11.98 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B9	33	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K83597974-003-05-7	BRD-K83597974	Pargyline hydrochloride	Prestwick Chemical Inc.	CN(CC#C)Cc1ccccc1	DPWPWRLQFGFJFI-UHFFFAOYSA-N	5.11 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B10	34	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K78599730-001-03-4	BRD-K78599730	manumycin A	Biomol International Inc.	CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O	XIZGHTZLVCHYJN-MVTGTTCWSA-N	4.54 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B11	35	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K28307902-001-05-0	BRD-K28307902	Flutamide	Prestwick Chemical Inc.	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F	MKXKFYHWDHIYRV-UHFFFAOYSA-N	3.62 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B12	36	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K62792802-001-02-8	BRD-K62792802	LY-83583	Biomol International Inc.	O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13	GXIJYWUWLNHKNW-UHFFFAOYSA-N	9.99 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B13	37	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869			DMSO		CS(=O)C			negative control	mock	Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B14	38	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869			DMSO		CS(=O)C			negative control	mock	Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B15	39	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K11399644-003-03-0	BRD-K11399644	Phenformin hydrochloride	Prestwick Chemical Inc.	NC(=N)NC(=N)NCCc1ccccc1	ICFJFFQQTFMIBG-UHFFFAOYSA-N	4.14 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
20585	B16	40	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	BRD-K27305650-001-05-9	BRD-K27305650	LY-294002	Biomol International Inc.	O=c1cc(oc2c(cccc12)c3ccccc3)N4CCOCC4		8.13 micromolar			Hoechst 33342:nucleus;concanavalin A (con A) AlexaFluor488 conjugate:endoplasmic reticulumn;SYTO 14 green fluorescent nucleic acid stain:nucleoli;wheat germ agglutinin (WGA) AlexaFluor594 conjugate:Golgi apparatus and plasma membrane;phalloidin AlexaFluor594 conjugate:F-actin;MitoTracker Deep Red: mitochondria
