Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect	Gene In Secondary Screen	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Primary_001	B6	Primary_001_B6	CG1063	Itp-r83A	"Inositol 1,4,5,-tris-phosphate receptor"	Current	inositol 1 4 5-triphosphate receptor inositol 1 4 5-trisphosphate (InsP3 ) receptor inositol-1 4 5-trisphosphate receptor inositol 1 4 5-trisphosphate receptor IP[[3]] receptor inositol-1 3 5 -trisphosphate receptor Inositol(1 4 5)-triphosphate receptor 42B Type 1 InsP{3} receptor inositol trisphosphate receptor Ins(1 4 5)P[[3]] receptor IP3 receptor Itp-r83A 1  4  5-inositol trisphosphate receptor dm_IP3 receptor inositol triphosphate receptor 1 InsP[[3]] receptor Inositol 1 4 5-trisphosphate receptor DmInsP[[3R]] Itp-r42B IP dIP[[3]]R dip IP[[3]] receptor l(3)j5B4 Itp-r-83A ITP-r83A itpr Itp-r DIP IP[[3]]R DmInsP[[3]]R Itp-r[1] InsP[[3]]R InsP[[3]] itpr-83 l(3)itpr CG1063 l(3)05616 Insp3R anon-WO02059370.49 IP3R Ip3R	1	no			
Primary_001	B7	Primary_001_B7	CG1064	Snr1	Snf5-related 1	Current	snf5-related 1 snr l(3)01319 CG1064 Snr1/BAP45 SNR1 Snr snr1 BAP45	1	no			
Primary_001	B8	Primary_001_B8	CG1065	Scsalpha	Succinyl coenzyme A synthetase alpha subunit	Current	succinyl-CoA synthetase alpha-subunit Succinyl coenzyme A synthetase alpha subunit Succinyl coenzyme A synthatase  alpha subunit Scsalpha Scs-alpha CG1065 scsalpha	1	no			
Primary_001	B9	Primary_001_B9	CG1066	Shab	Shaker cognate b	Current	CG43128 shab CG1066 shb CG9965 dShab Kv2	1	no			
Primary_001	C1	Primary_001_C1	CG1074	CG1074		Current	anon-WO0118547.308	1	no			
Primary_001	C10	Primary_001_C10	CG1090	CG1090		Current		1	no			
Primary_001	C11	Primary_001_C11	CG1091	CG1091		Current	anon-WO0118547.222	1	no			
Primary_001	C12	Primary_001_C12	CG1093	plx	pollux	Current	Pollux CG14674 CG34122 CG42612 CG1093 CG14674 CG34122	1	no			
Primary_001	C2	Primary_001_C2	CG1075	CR1075		Current	CG1075	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_001	C3	Primary_001_C3	CG1078	Fip1		Current	CG1078 clone 1.35 dFip1 anon-EST:Liang-1.35 CG1078 FIP1	3	no	yes	gene	defective cell-cell aggregation
Primary_001	C4	Primary_001_C4	CG1081	Rheb	Ras homolog enriched in brain ortholog (H. sapiens	Current	Rheb Ras homolog enriched in brain Ras homology enriched in brain Ras homologue enriched in brain rheb RHEB dRheb DmRheb DReb RheB CG1081 Dm Rheb Q9VND8	2.67	no	yes	gene	defective cell-cell aggregation
Primary_001	C5	Primary_001_C5	CG1082	alpha-Est4	alpha-Esterase-4	Current	fragment C CG1082 alpha-Est4 DmalphaE4 FBgn0015572 aE4 alphaE4 C	1	no			
Primary_001	C6	Primary_001_C6	CG1084	Cont	Contactin	Current	contactin CT1481 CONT cont D-Axonin CG1084 DCONT	1	no			
Primary_001	C7	Primary_001_C7	CG1086	Glut1	Glucose transporter 1	Current	glucose transporter glucose transporter 1 lethal (3) S007412 l(3)S007412 Glt1 DmGluT1 CG43946 l(3)L1H GLU l(3)61Ea DmGLUT1 glut1 CG13908 Dmglut1 0074/12 CG1086	1.33	no			
Primary_001	C8	Primary_001_C8	CG1088	Vha26	Vacuolar H[+]-ATPase 26kD subunit	Current	vacuolar ATP synthase subunit E Vacuolar H[+]-ATPase 26 kD E subunit E subunit Vacuolar H[+]-ATPase 26kD E subunit Vacuolar H+ATPase subunit E vATPase vha26 CG1088 BcDNA:GH03683 ATP6V1E1 BcDNA.GH03683 VhaE anon-83Bb	1	no			
Primary_001	C9	Primary_001_C9	CG1089	alpha-Est5	alpha-Esterase-5	Current	esterase-C Esterase C fragment D alpha-Esterase-5 EST-C DmalphaE5 ESTC alphaE5 alpha-Est5 EST9 aE5 Est-9 Est-C D CG1089 Est-c	1	no			
Primary_001	D1	Primary_001_D1	CG1098	Madm	MLF1-adaptor molecule	Current	Mif1 adaptor molecule anon-WO0118547.406 MADM CG1098 dMADM BcDNA:LD28657	1	no			
Primary_001	D10	Primary_001_D10	CG1109	CG1109		Current	BcDNA:LD24014	3	yes	yes	gene	defective cell-cell aggregation
Primary_001	D11	Primary_001_D11	CG1112	alpha-Est7	alpha-Esterase-7	Current	Malathion carboxylesterase carboxylesterase 23 Aliesterase aliesteraseless alpha-Esterase-7 Alpha-esterase-7 Esterase 23 fragment H H ali Est-23 CG1112 Ali EST23 aE7 Mce alpha-Esterase-7 alpha-Est7 alphaest-7 DmalphaE7 alphaE7 Est23	1	no			
Primary_001	D12	Primary_001_D12	CG1114	Hph	HIF prolyl hydroxylase	Current	Fatiga lethal (3) 82Fe fatiga HIF prolyl 4-hydroxylase prolyl-4-hydroxylase lopped lethal (3) S030304 HIF-1a prolyl hyroxylase 31543 dmHPH dPHD2 CG14665 0303/04 CG44015 hph dHPH l(3)S030304 l(3)02255 fga CG2676 Dm.egl-9 dPHD CR31541 CG31543 anon-EST:Posey69 l(3)82Fe PHD CG1114	1	no			
Primary_001	D2	Primary_001_D2	CG1099	Dap160	Dynamin associated protein 160	Current	intersectin Intersectin Dynamin-associated protein 160 kDa Dap160/intersectin DAP160 DAP-160 dap160 CG1099 p160 noncoding_4110	1	no			
Primary_001	D3	Primary_001_D3	CG1100	Rpn5	Regulatory particle non-ATPase 5	Current	Rpn5 p55 CG1100	3	no	yes	gene	defective cell-cell aggregation
Primary_001	D4	Primary_001_D4	CG1102	MP1	Melanization Protease 1	Current	proPO-AE BEST:GH02921 CG1102 SP25	1	no			
Primary_001	D5	Primary_001_D5	CG1104	CG1104		Current		1	no			
Primary_001	D6	Primary_001_D6	CG1105	CG1105		Current		1	no			
Primary_001	D7	Primary_001_D7	CG1106	Gel	Gelsolin	Current	Drosophila Gelsolin gelsolin CG1106 DGS gel	1	no			
Primary_001	D8	Primary_001_D8	CG1107	aux	auxillin	Current	Auxilin auxilin auxillin GAK anon-WO0118547.393 CG1107 dAux Auxillin/DNAJC6 auxilin	1	no			
Primary_001	D9	Primary_001_D9	CG1108	alpha-Est6	alpha-Esterase-6	Current	fragment G fragment F fragment E Esterase-6 alphaE6 E alpha-Est6 DmalphaE6 CG1108 Esterase-6 F aE6 G	1	no			
Primary_001	E1	Primary_001_E1	CG1116	CG1116		Current	anon-WO0118547.337 Rgp1	1	no			
Primary_001	E10	Primary_001_E10	CG1133	opa	odd paired	Current	GLI-Kr zinc finger pair-rule protein Odd paired odd-paired Odd-paired Opa CG1133	1	no			
Primary_001	E11	Primary_001_E11	CG1134	Mul1	Mitochondrial E3 ubiquitin protein ligase 1 homologue	Current	CG1134	1	no			
Primary_001	E12	Primary_001_E12	CG1135	Rcd5	Reduction in Cnn dots 5	Current	lethal (3) rG166 CG1135 Reduction in Cnn Dots 5 MCRS1 MCRS2 p78 dMCRS2 CG1135 l(3)rG166 dMCRS1 l(3)r0166	2	yes	yes	gene	defective cell-cell aggregation
Primary_001	E2	Primary_001_E2	CG1119	Gnf1	Germ line transcription factor 1	Current	germline transcription factor Replication-factor-C 140kD subunit Replication factor C 140kD subunit RfC140 DmRFC1 RFC1 dRF-Cp140 GTF-1 RfC Gtf1 RF-C 140 ONF-CAACAA CG1119 dRFC140 RFC Gnf-1 rfc1 gtf1 gnf1	2	yes	yes	gene	defective cell-cell aggregation
Primary_001	E3	Primary_001_E3	CG1121	alpha-Est8	alpha-Esterase-8	Current	fragment I DmalphaE8 I alpha-Est8 alphaE8 CG1121 Est8 aE8	1	no			
Primary_001	E4	Primary_001_E4	CG1126	CG1126		Current		1	no			
Primary_001	E5	Primary_001_E5	CG1128	alpha-Est9	alpha-Esterase-9	Current	fragment J alphaE9 aE9 alpha-Est9 Dm_3R:18691 CG1128 Est9 J DmalphaE9	1	no			
Primary_001	E6	Primary_001_E6	CG1129	CG1129		Current		1	no			
Primary_001	E7	Primary_001_E7	CG1130	scrt	scratch	Current	Scratch CG1130 anon-WO02059370.57 clone 1.67 anon-EST:Liang-1.31 Scrt clone 1.31 BcDNA:RH71479 anon-EST:Liang-1.67	2.67	yes	yes	gene	defective cell-cell aggregation
Primary_001	E8	Primary_001_E8	CG1131	alpha-Est10	alpha-Esterase-10	Current	fragment K Esterase-10 K Esterase-10 aE10 alpha-Ests alphaE10 anon-WO0172774.144 DmalphaE10 CG1131 alpha-Est10	1	no			
Primary_001	E9	Primary_001_E9	CG1132	fd64A	forkhead domain 64A	Current	FoxL1 Dmfd2 fd2 FD2 CG1132	1	no			
Primary_001	F1	Primary_001_F1	CG1140	CG1140		Current	3-oxoacid CoA-transferase 3-oxoacid-CoA-transferase citric acid synthetase BcDNA:RH54340 CT1116 cDNA B	1	no			
Primary_001	F10	Primary_001_F10	CG1180	LysE	Lysozyme E	Current	lysE Lys E BcDNA:LP07339 CG1180	1	no			
Primary_001	F11	Primary_001_F11	CG1193	kat-60L1	katanin p60-like 1	Current	Katanin-p60L1 CG1193 katanin p60-like 1 DmCG1193 kat-60L1 CG1193	1	no			
Primary_001	F12	Primary_001_F12	CG1200	Aplip1	APP-like protein interacting protein 1	Current	JNK interacting protein-1 c-Jun N-terminal kinase (JNK)-interacting protein Ek4 E(Khc)ek4 jip1 aplip1 dp1 CG1200 APLIP1 Jip1/2 SP512 EK4 JIP1 ek4	1	no			
Primary_001	F2	Primary_001_F2	CG1141	CG33232		Current	Villin-like villin-like CG1141 c62E-11 CG16764	1.33	no			
Primary_001	F3	Primary_001_F3	CG1142	CG1142		Current		1	no			
Primary_001	F4	Primary_001_F4	CG1147	NPFR	Neuropeptide F receptor	Current	Neuropeptide F receptor neuropeptide F receptor dNPF receptor NPF-receptor neuropeptide F receptor-1 Neuropeptide F Receptor 1 anon-WO0131005.3 RE18294p CG1147 NPFR1 DmNPFR1 npfr1 dNPFR1 anon-WO0131005.5 NPFR NPFR-1	1.33	no			
Primary_001	F5	Primary_001_F5	CG1152	Gld	Glucose dehydrogenase	Current	glucose oxidase Glucose oxidase GDH GLD gld CG1152 Go l(3)84Cg glucose dehydrogenase	1	no			
Primary_001	F6	Primary_001_F6	CG1158	Tim17b1	Tim17b1	Current	BcDNA:AT16284 CG1158	1	no			
Primary_001	F7	Primary_001_F7	CG1165	LysS	Lysozyme S	Current	BcDNA:LP06719 lysS CG1165	1	no			
Primary_001	F8	Primary_001_F8	CG1167	Ras64B	Ras oncogene at 64B	Current	ras oncogene small GTP binding protein D-ras2 C-ras2 RAS2 CG1167 Ras2 Dras64B D-ras-2 DRas2 ras-2 c-ras2 ras ras2 Ras Dras2 Dm-ras-64B RAS Dmras64B BcDNA:RE36103	1	no			
Primary_001	F9	Primary_001_F9	CG1179	LysB	Lysozyme B	Current	Lyzozyme B Lys B CG1179 lysB	1	no			
Primary_001	G1	Primary_001_G1	CG1208	CG1208		Current		1	no			
Primary_001	G10	Primary_001_G10	CG1233	CG1233		Current		1	no			
Primary_001	G11	Primary_001_G11	CG1234	CG1234		Current		2.33	yes	yes	gene	defective cell-cell aggregation
Primary_001	G12	Primary_001_G12	CG1236	CG1236		Current		1	no			
Primary_001	G2	Primary_001_G2	CG1210	Pdk1	Phosphoinositide-dependent kinase 1	Current	protein kinase 61C Phosphoinositide dependent kinase 1 Protein kinase 61C phosphoinositide-dependent kinase 1 serine/threonine protein kinase Pk61C|PDK1 Pk61c/PDK1 Pdk1 Dstpk61 1210 PDK-1 CG1201 Pk61C/PDK1 Pk61C PK61C dSTPK61 PDK1/Pk61C PDK CG1210 PDK1 dPDK-1 pk61c DSTPK61 dPDK1	1	no			
Primary_001	G3	Primary_001_G3	CG1212	p130CAS	p130CAS	Current	CG1212 CT1293 Dcas DCas	1.67	yes	yes	gene	defective cell-cell aggregation
Primary_001	G4	Primary_001_G4	CG1213	CG1213		Current	CT30783	1	no			
Primary_001	G5	Primary_001_G5	CG1216	mri	mrityu	Current	Mrityu Mri CG1216	1	no			
Primary_001	G6	Primary_001_G6	CG1218	CG1218		Current		1	no			
Primary_001	G7	Primary_001_G7	CG1225	RhoGEF3	Rho guanine nucleotide exchange factor 3	Current	CG13883 RhoGEF3 CG13881 CG42378 CG42377 CG13883 rhoGEF3 DrhoGEF3 CG43976 RhoGEF CG13881 CG1225 CG13882	1	no			
Primary_001	G8	Primary_001_G8	CG1227	CG1227		Current	Psk MPSK/PSK	1	no			
Primary_001	G9	Primary_001_G9	CG1228	Ptpmeg	Ptpmeg	Current	Meg split central complex MEG1 Meg PTP-meg ptpmeg scc anon-WO0118547.211 dMEG1 ptmpeg dPtpmeg CG1228	1	no			
Primary_001	H1	Primary_001_H1	CG1239	CG1239		Current	cg1239	1	no			
Primary_001	H10	Primary_001_H10	CG1257	alpha-Est3	alpha-Esterase-3	Current	fragment B alpha-Est3 alphaE3 B aE3 CG1257 DmalphaE3 alpha-Ests	1	no			
Primary_001	H11	Primary_001_H11	CG1258	pav	pavarotti	Current	Mitotic kinesin-like protein 1 kinesin-6 Pavarotti-KLP Kinesin-6 anon-fast-evolving-2A12 Pavarroti Pavarotti Pavarotti KLP pav-Klp PavKLP 2A12 Pav PAV Pav-Klp pav-KLP anon-EST:fe2A12 CG1258 Pav-klp KIF23 0934/13 DmKLP1/pav 2A12MEL Mklp1 Pav-KLP 0973/08 DmPav group D DmMKLP1 anon2A12 PAV-MKLP KIF 23 PAV-KLP Pav KLP DmPAV PAV/KLP	1	no			
Primary_001	H12	Primary_001_H12	CG1263	RpL8	Ribosomal protein L8	Current	Minute(3)62F Rp L8 CG1263 rpL8 M(3)LS2 M(3)62F L8 anon-EST:Posey5 RPL8	2.33	no	yes	gene	defective cell-cell aggregation
Primary_001	H2	Primary_001_H2	CG1241	Atg2	Autophagy-specific gene 2	Current	ATG2 atg2 CG1241 EP3697	1	no			
Primary_001	H3	Primary_001_H3	CG1242	Hsp83	Heat shock protein 83	Current	heat-shock protein 90 kDa heat shock protein 83 scratch Enhancer of seven in absentia 2 Enhancer of sevenless 3A 83K HSP DMHSP82 HSP90 en(lz)3C/4C Su(Raf)3A hsp82 143198_at E(sina)2 l(3)j5C2 hsp84 clone 2.53 Hsp82 E(sev)3A HSP83 stc anon-WO0068693 hsp83 Hsp90 CG1242 ms(3)08445 83 HSP82 anon-WO0140519.209 ORF1 anon-EST:Liang-2.53 hsp90	1	no			
Primary_001	H4	Primary_001_H4	CG1244	MEP-1		Current	CG1244 MEP-1 CG1244 MEP1 dMEP-1 Q0E8J0_DROME anon-WO0118547.584 clone 1.37 anon-EST:Liang-1.37	1	no			
Primary_001	H5	Primary_001_H5	CG1245	MED27	Mediator complex subunit 27	Current	Trap37 dTRAP37 dCrsp34 Med27 dCRSP34 med27 CRSP34 CG1245	1	no			
Primary_001	H6	Primary_001_H6	CG1247	CG42303		Current	CG32297 CG1247	1	no			
Primary_001	H7	Primary_001_H7	CG1248	CG42304		Current	CG32297 CG1248	1	no			
Primary_001	H8	Primary_001_H8	CG1249	SmD2	Small ribonucleoprotein particle protein SmD2	Current	Small ribonucleoprotein particle protein D2 snRNP2 CG1249 dD2 SMD2_DROME snRNP D2 snRNP2 CG1249 BcDNA:LD03002 D2-Sm	2	no	yes	gene	defective cell-cell aggregation
Primary_001	H9	Primary_001_H9	CG1250	Sec23	Sec23 ortholog (S. cerevisiae	Current	haunted sec23 dendritic arbor reduction 2 Haunted SEC23 hau dsec23 dsec23p CG1250 dar2 l(3)j13C8 COPII dSec23 sec23 Sec23 dSec23p Sec23p Sec23A	1	no			
Primary_002	A1	Primary_002_A1	CG1264	lab	labial	Current	Labial F90 Dm lab l(3)01241 l(3)84Ac F90-2 BG:DS00004.9 lb F24 CG1264 DmLab EfR9 Dmlab Lab F121	1	no			
Primary_002	A10	Primary_002_A10	CG1303	agt	O-6-alkylguanine-DNA alkyltransferase	Current	DmAGT CG1303 BG:DS00004.10 Agt	1	no			
Primary_002	A11	Primary_002_A11	CG1304	CG1304		Current	SP46	1	no			
Primary_002	A12	Primary_002_A12	CG1307	CG1307		Current	hypothetical 23.1kd-like protein BG:DS00004.12	1	no			
Primary_002	A2	Primary_002_A2	CG1271	CG1271		Current		1	no			
Primary_002	A3	Primary_002_A3	CG1274	Jafrac2	thioredoxin peroxidase 2	Current	thioredoxin peroxidase Peroxiredoxin 4156 jafrac2 dPrx4 CG1274 Prx4156 Jafrac-2 JafRac2 DPx4156 1274 DPx-4156	1	no			
Primary_002	A4	Primary_002_A4	CG1275	CG1275		Current	cytochrome [[b561-1]] Cyt-b561-1 anon-WO0118547.260	2	no	yes	gene	defective cell-cell aggregation
Primary_002	A5	Primary_002_A5	CG1276	TfIIEbeta	Transcription factor IIEbeta	Current	TFIIE small subunit dTFIIES TfIIE TfIIEbeta TFIIEbeta dTFIIE-S TFIIE TFIIbeta E[[S]] CG1276	1	no			
Primary_002	A6	Primary_002_A6	CG1282	zormin	zormin	Current	D-titin titin D-Titin CT36990 CG11953 CG1282 CG11952 CG5699 BcDNA:GH09541 CG32311 CG32310 CG32307 CG33484 CG32309 CG11850	1	no			
Primary_002	A7	Primary_002_A7	CG1287	CG1287		Current	BEST:GH03396	1	no			
Primary_002	A8	Primary_002_A8	CG1291	CG1291		Current	Alg2	1	no			
Primary_002	A9	Primary_002_A9	CG1299	CG1299		Current	SP18 c-SP18	1	no			
Primary_002	B1	Primary_002_B1	CG1308	CG43367		Current	CG1308 CG1295 CG1332	1	no			
Primary_002	B10	Primary_002_B10	CG1322	zfh1	Zn finger homeodomain 1	Current	zinc-finger homeodomain1 Zn homeodomain 1 zinc finger homeodomain-1 zinc-finger homeodomain protein 1 zinc finger homeodomain protein-1 Zinc Finger Homeodomain 1 Zinc-finger homeodomain protein 1 zinc finger homeodomain 1 zinc-finger homeobox gene Zfh1 Zfh1a ZFH-1 zhf1 ZFH1 CG1322 l(3)00865 zfl-1 Zfh-1 zfh-1	1	no			
Primary_002	B11	Primary_002_B11	CG1326					1	no			
Primary_002	B12	Primary_002_B12	CG1332	CG43367		Current	CG1308 CG1295 CG1332	1	no			
Primary_002	B2	Primary_002_B2	CG1309	CG1309		Current		1	no			
Primary_002	B3	Primary_002_B3	CG1311	CG1311		Current		1	no			
Primary_002	B4	Primary_002_B4	CG1315	CG1315		Current	argininosuccinate synthase-like argininosuccinate synthase BG:DS00004.14	1	no			
Primary_002	B5	Primary_002_B5	CG1316	CG1316		Current	cg1316	1.33	no			
Primary_002	B6	Primary_002_B6	CG1317	CG1317		Current		1	no			
Primary_002	B7	Primary_002_B7	CG1318	Hexo1	Hexosaminidase 1	Current	HEX1 CG1318 HEX 1 HEXO1 DmHex1	1	no			
Primary_002	B8	Primary_002_B8	CG1319	CG1319		Current	BcDNA:RE08888 BcDNA:RH09920	1	no			
Primary_002	B9	Primary_002_B9	CG1321	shakB	shaking B	Current	shaking-B CG12678 Passover passover-vital protein shaking B section 3 section 2 non-jumper-156 Shaking B section 6 passover Shaking-B Shak B l(1)R-10-7 l(1)19Eb FBpp0111481 Shak-B l(1)W3b R-9-29 l(1)R-9-29 CG32508 3 nj-156 CG34358 Pas l(1)W3 CG12678 l(1)TH73 inx8 pass CG1321 W3 l(1)LB21 shak-B E81 lincRNA.1031 ShakB CG15451 6 shB R9-29 2 pas l(1)R-10-3 nj156 l(1)R-10-14 shkB	1	no			
Primary_002	C1	Primary_002_C1	CG1333	Ero1L	Endoplasmic reticulum oxidoreductin-1-like	Current	Ero1L lethal (3) 64Ag Endoplasmic reticulum oxidoreductin-1L ERO1-L CG1333 l(3)SH22 l(3)64Ag Ero1l kiga	1	no			
Primary_002	C10	Primary_002_C10	CG1354	CG1354		Current		1	no			
Primary_002	C11	Primary_002_C11	CG1358	CG1358		Current		1.33	no			
Primary_002	C12	Primary_002_C12	CG1362	cdc2rk	cdc2-related-kinase	Current	Dcdrk CG1362	1	no			
Primary_002	C2	Primary_002_C2	CG1340	CG1340		Current	cg1340 eIF4H	1	no			
Primary_002	C3	Primary_002_C3	CG1341	Rpt1	Regulatory particle triple-A ATPase 1	Current	AAA ATPase Rpt1 19S complex subunit Rpt1 lethal(2)43Ed S7 CG1341 l(2)05643 Rpt1/p48B dRpt1 l(2)43Ed Dmp48B 1341 anon-WO0118547.90 Q7KMQ0_DROME p48B Dm_Rpt1	1.33	no			
Primary_002	C4	Primary_002_C4	CG1342	Spn100A	Serpin 100A	Current	CG1342 Spn100	1	no			
Primary_002	C5	Primary_002_C5	CG1343	Sp1	Sp1	Current	D-Sp1 sp1 D.Sp1 CG1343 dSp1 SP1 D-Sp8	1	no			
Primary_002	C6	Primary_002_C6	CG1344	CG1344		Current	BcDNA:LD22679	1	no			
Primary_002	C7	Primary_002_C7	CG1345	Gfat2	Glutamine:fructose-6-phosphate aminotransferase 2	Current	CG1345 Dmel/GFAT2	1	no			
Primary_002	C8	Primary_002_C8	CG1347	Atg17		Current	CG1347 FIP200 Fip200	1	no			
Primary_002	C9	Primary_002_C9	CG1349	dj-1beta	dj-1beta	Current	DJ-1B DJ-1 DJ-1B DJ-1b dj-1beta DJ-1beta CG1349	1	no			
Primary_002	D1	Primary_002_D1	CG1364					1	no			
Primary_002	D10	Primary_002_D10	CG1386	antdh	antdh	Current	CG1386 AntDH Antdh	1	no			
Primary_002	D11	Primary_002_D11	CG1389	tor	torso	Current	Torso torso spliced CG1389 Torso TOR Tor splc	1	no			
Primary_002	D12	Primary_002_D12	CG1395	stg	string	Current	Cdc25 Suppressor of rux 3A cdc25/string String/Cdc25 phosphatase String string/cdc25 string Cdc25c CG1395 5473 Cdc25 l(3)j10B9 0896/05 st stg[cdc25] 0967/05 CDC25[string] Stg CDC25 SY3-4 0224/06 l(3)j1E3 S(rux)3A String/Cdc25 0245/03 cdc25 Cdc25[string] 0730/13 cdc25[string] Cdc25[String] clone 2.21 Cdc25[stg] 1083/13 l(3)j1D3 str/cdc25 1089/08 0980/06 0439/22 l(3)j3D1 STG Cdc25[Stg] 1143/02 anon-EST:Liang-2.21 l(3)01235 EP1213 l(3)s2213	1	no			
Primary_002	D2	Primary_002_D2	CG1371	CG1371		Current		1	no			
Primary_002	D3	Primary_002_D3	CG1372	yl	yolkless	Current	Yolkless Dm Yolkless YP receptor LR13 fs(1)yl DmYPR fs(1)K184 CT3114 YL Yl fs(1)148 fs(1)M205 fs(1)L193 fs(1)L186 fs(1)M25 fs(1)5 fs(1)A148 fs(1)L196 fs(1)L211 fs(1)yolkless CG1372	1	no			
