Replicate,Plate,Well,Gene Identifier %% url=http://www.pombase.org/spombe/result/%s,Strain Name,Gene Symbol,Control Type,Control Comments,Reproducibility of Shape Hits,Reproducibility of microtubule hits,Reproducibility of cell cycle progression hits,Visual Shape Hit,Visual Microtubule Hit,Conservation in S. cerevisiae,Conservation in Vertebrates,Conservation in H. sapiens,Mineotaur Hit Type,Phenotype 1,Ontology Term Name 1a,Term Source Accession 1a,Ontology Term Name 1b,Term Source Accession 1b,Phenotype 2,Ontology Term Name 2a,Term Source Accession 2a,Ontology Term Name 2b,Term Source Accession 2b,Phenotype 3,Ontology Term Name 3a,Term Source Accession 3a,Ontology Term Name 3b,Term Source Accession 3b,Phenotype 4,Ontology Term Name 4a,Term Source Accession 4a,Ontology Term Name 4b,Term Source Accession 4b,Phenotype 5,Ontology Term Name 5a,Term Source Accession 5a,Ontology Term Name 5b,Term Source Accession 5b,Phenotype 6,Ontology Term Name 6a,Term Source Accession 6a,Ontology Term Name 6b,Term Source Accession 6b,Phenotype 7,Ontology Term Name 7a,Term Source Accession 7a,Ontology Term Name 7b,Term Source Accession 7b
1,X_110401_S15,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,B4,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S16,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110406_S17,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110406_S18,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S5,A5,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S5,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S5,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S5,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S6,A6,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S6,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S6,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110425_S6,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110428_S9,A9,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110428_S9,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110428_S9,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110428_S9,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110429_S23,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110429_S24,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110502_S10,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110502_S12,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110503_S11,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110503_S8,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110505_S27,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110505_S28,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110506_S19,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110506_S20,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110508_S21,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110508_S22,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110509_S25,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110509_S26,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110511_S29,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110511_S30,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110513_S31,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110514_S32,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F10,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F11,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F4,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F5,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F6,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F7,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F8,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,F9,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G1,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G10,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G11,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G4,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G5,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G6,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G7,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G8,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,G9,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H1,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H10,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H4,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H5,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H6,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H7,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H8,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110516_S33,H9,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110406_S17,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110406_S18,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110429_S23,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110429_S24,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110502_S10,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110502_S12,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110503_S11,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110503_S8,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110505_S27,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110505_S28,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110506_S19,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110506_S20,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110508_S21,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110508_S22,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110509_S25,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110509_S26,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110511_S29,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110511_S30,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110513_S31,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110514_S32,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110516_S33,H2,SPAC18G6.15,mal3,mal3,negative control,negative control (mal3),,7/7,5/9,,,yes,,,microtubule hit;cell cycle hit,PAA increased,not available yet,not available yet,,,short cytoplasmic microtubules,shortened cytoplasmic microtubules,CMPO_0000371,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,IP reduced,fewer cells with interphase microtubule arrays,CMPO_0000388,,,,,,,,,,,,,,,,,
1,X_110406_S17,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110406_S18,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110429_S23,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110429_S24,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110502_S10,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110502_S12,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110503_S11,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110503_S8,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110505_S27,H3,control ,MS1404,,positive control,positive control (wild type),,,,,,,,,control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
