Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Replicate Group	Plate Issues
JL_120731_S6A	24	B12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	25	C1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC29A4.02c	SPAC29A4.02c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	26	C2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	msn5	SPAC328.01c	msn5					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	27	C3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	meu34	SPAC3A12.03c	meu34					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	28	C4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rit1	SPAC3F10.06c	rit1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	29	C5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pcs2	SPAC3H1.10	pcs2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	30	C6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC4G8.04	SPAC4G8.04						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	31	C7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	32	C8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	33	C9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	34	C10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	35	C11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	36	C12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	37	D1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC29A4.13	SPAC29A4.13						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	38	D2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC328.04	SPAC328.04						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	39	D3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3A12.06c	SPAC3A12.06c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	40	D4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	abc2	SPAC3F10.11c	abc2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	41	D5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ppk13	SPAC3H1.13	ppk13					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	42	D6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rnh201	SPAC4G9.02	rnh201					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	43	D7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	44	D8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	45	D9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	46	D10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	47	D11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	48	D12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	49	E1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC2F7.09c	SPAC2F7.09c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	50	E2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ubp2	SPAC328.06	ubp2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	51	E3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3A12.09c	SPAC3A12.09c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	52	E4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3F10.16c	SPAC3F10.16c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	53	E5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rpl702	SPAC3H5.07	rpl702					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	54	E6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC4G9.14	SPAC4G9.14						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	55	E7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	56	E8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	57	E9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	58	E10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	59	E11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	60	E12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	61	F1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	akr1	SPAC2F7.10	akr1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	62	F2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC328.09	SPAC328.09						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	63	F3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	atp11	SPAC3A12.12	atp11					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	64	F4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	chl1	SPAC3G6.11	chl1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	65	F5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rpl501	SPAC3H5.12c	rpl501					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	66	F6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC4G9.20c	SPAC4G9.20c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	67	F7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	68	F8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	69	F9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	70	F10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	71	F11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	72	F12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	73	G1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rim20	SPAC2G11.05c	rim20					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	74	G2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rps502	SPAC328.10c	rps502					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	75	G3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3C7.04	SPAC3C7.04						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	76	G4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ssu72	SPAC3G9.04	ssu72					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	77	G5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	img2	SPAC3H8.03	img2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	78	G6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC513.02	SPAC513.02						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	79	G7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	80	G8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	81	G9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	82	G10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	83	G11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	84	G12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	85	H1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC2H10.01	SPAC2H10.01						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	86	H2									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	87	H3									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	88	H4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	png1	SPAC3G9.08	png1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	89	H5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	myp2	SPAC4A8.05c	myp2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	90	H6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ggt2	SPAC56E4.06c	ggt2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	91	H7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	92	H8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	93	H9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	94	H10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	95	H11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	96	H12									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	1	A1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	2	A2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	3	A3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	4	A4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	5	A5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	6	A6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	7	A7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	alg10	SPAC56F8.06c	alg10					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	8	A8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	acp2	SPAC631.01c	acp2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	9	A9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC6B12.04c	SPAC6B12.04c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	10	A10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	moc3	SPAC821.07c	moc3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	11	A11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ppk16	SPAC890.03	ppk16					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	12	A12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	dlc2	SPAC926.07c	dlc2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	13	B1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	14	B2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	15	B3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	16	B4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	17	B5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	18	B6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	19	B7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rrp8	SPAC56F8.09	rrp8					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	20	B8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	moe1	SPAC637.07	moe1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	21	B9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC6B12.07c	SPAC6B12.07c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	22	B10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ppk15	SPAC823.03	ppk15					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	23	B11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	fra2	SPAC8C9.11	fra2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	24	B12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC977.15	SPAC977.15						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	25	C1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	26	C2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	27	C3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	28	C4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	29	C5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	30	C6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	31	C7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cyp1	SPAC57A10.03	cyp1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	32	C8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rad51	SPAC644.14c	rad51					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	33	C9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	par2	SPAC6F12.12	par2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	34	C10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC823.13c	SPAC823.13c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	35	C11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC8C9.12c	SPAC8C9.12c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	36	C12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	aip1	SPAC9G1.05	aip1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	37	D1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	38	D2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	39	D3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	40	D4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	41	D5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	42	D6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	43	D7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC57A7.05	SPAC57A7.05						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	44	D8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	swi6	SPAC664.01c	swi6					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	45	D9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	spo7	SPAC6G9.04	spo7					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6B	46	D10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ptf1	SPAC823.14	ptf1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
