Source Name	Comment [Sample Description]	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Term Source 2 REF	Term Source 2 Accession	Characteristics [Genotype]	Term Source 3 REF	Term Source 3 Accession	Characteristics [Organism Part]	Term Source 4 REF	Term Source 4 Accession	Characteristics [Developmental Stage]	Term Source 5 REF	Term Source 5 Accession	Characteristics [Growth Condition]	Material Entity	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Genotype]	Experimental Condition [Material Entity]	Experimental Condition [Clearing]	Experimental Condition [Treatment]	Dataset Name	Image File	Channels	Comment[Image Dimensions]	Image File Path	Comment [Image File Comments]	Comment [Image File Type]
organoid endpoint imaging glomeruli synaptopodin	"Wt1tm1Nhsn strain embryonic (E13.5) kidney cells, endpoint staining, not cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid cells cultured for 6 days	organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	organoid endpoint imaging glomeruli synaptopodin 5	Wt1 tm1Nhsn (Wt1 +/GFP)	organoid	not cleared	"Antibodies: Laminin: 1:1000 overnight, PNA-rh 30ug/ml 30 mins, Synaptopodin: 1:1 overnight"	endpoint imaging glomeruli synaptopodin	100-U-2-MV.h5	"Wt1-GFP:Wt1tm1Nhsn cells expressing GFP in cytoplasm, green;Laminin:basement membrane, blue;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Synaptopodin:renal podocytes, far red"	X 1920 Y 1920 Z 400 C 4 V 5 T 1	disk1/endpoint imaging/glomeruli/100-U-2-MV.h5	dataset converted to HDF5 using the Fiji Plug in: Multiview Reconstruction Application	derived
organoid endpoint imaging glomeruli synaptopodin	"Wt1tm1Nhsn strain embryonic (E13.5) kidney cells, endpoint staining, not cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid cells cultured for 6 days	organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	organoid endpoint imaging glomeruli synaptopodin 6	Wt1 tm1Nhsn (Wt1 +/GFP)	organoid	not cleared	"Antibodies: Laminin: 1:1000 overnight, PNA-rh 30ug/ml 30 mins, Synaptopodin: 1:1 overnight"	endpoint imaging glomeruli synaptopodin	100-U-2-MV.xml	"Wt1-GFP:Wt1tm1Nhsn cells expressing GFP in cytoplasm, green;Laminin:basement membrane, blue;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Synaptopodin:renal podocytes, far red"		disk1/endpoint imaging/glomeruli/100-U-2-MV.xml	required in conjunction with the HDF5 file	derived
embryonic kidney endpoint imaging Megalin Laminin	"wildtype mouse embryonic (E13.5) kidney rudiment, endpoint staining, CLARITY cleared, immunofluorescence, fixed, E 13.5 kidney rudiment"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organism part	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Megalin Laminin 1	wild type genotype	organism part	CLARITY cleared	"Antibodies: Laminin: 1:1000 overnight, PNA-rh 30ug/ml 30 mins,  Megalin 1: 200 overnight"	endpoint imaging Megalin Laminin	FK-09-MV.czi	"Laminin:basement membrane, blue;PNA-rh: Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Megalin:tubular lumen, far red"	X 1920 Y 1600 Z 395 C 3 V 1 T 1	disk1/endpoint imaging/Meg-Lam/FK-09-MV.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
embryonic kidney endpoint imaging Megalin Laminin	"wildtype mouse embryonic (E13.5) kidney cells, endpoint staining, not cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Megalin Laminin 2	wild type genotype	organoid	not cleared	"Antibodies: Laminin: 1:1000 overnight, Megalin 1: 200 overnight"	endpoint imaging Megalin Laminin	GFP-24hrs-2ndy-cleared-MV.czi	"Autofluorescence:Autofluorescence, green;Laminin:basement membrane, red;Megalin:tubular lumen, far red"	X 1100 Y 1100 Z 494 C 3 V 5 T 1	disk1/endpoint imaging/Meg-Lam/GFP-24hrs-2ndy-cleared-MV.czi	"Channel 1 wrongly in the green, imaged in the red, low signal. In IDR, there is one multi-dimensional image per imaging angle."	raw
embryonic kidney endpoint imaging Megalin Laminin	"wildtype mouse embryonic (E13.5) kidney cells, endpoint staining, not cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Megalin Laminin 3	wild type genotype	organoid	not cleared	"Antibodies: Laminin: 1:1000 overnight, Megalin 1: 200 overnight"	endpoint imaging Megalin Laminin	GFP-2hrs-2ndy-uncleared-2_DualSideFusion.czi	"Autofluorescence:Autofluorescence, green;Laminin:basement membrane, blue;Megalin:tubular lumen, far red"	X 1920 Y 1920 Z 534 C 3 V 5 T 1	disk1/endpoint imaging/Meg-Lam/GFP-2hrs-2ndy-uncleared-2_DualSideFusion.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
embryonic kidney endpoint imaging Megalin Laminin	"wildtype mouse embryonic (E13.5) kidney rudiment, endpoint staining, not cleared, immunofluorescence, fixed, E 13.5 kidney rudiment"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organism part	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Megalin Laminin 4	wild type genotype	organism part	not cleared	"Antibodies: Laminin: 1:1000 overnight, Megalin 1: 200 overnight"	endpoint imaging Megalin Laminin	whole-kidney-megalin-laminin.czi	"Beads:fiduciary markers for multiview reconstruction, green;Laminin:basement membrane, red;Megalin:tubular lumen, far red"	X 1600 Y 1100 Z 936 C 3 V 5 T 1	disk1/endpoint imaging/Meg-Lam/whole-kidney-megalin-laminin.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
organoid endpoint imaging Pax2 PNA	"wildtype mouse embryonic (E13.5) kidney cells, endpoint staining, CLARITY cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid cells cultured for 6 days	organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	organoid endpoint imaging Pax2 PNA 1	wild type genotype	organoid	CLARITY cleared	"Antibodies: Pax2: 1:200 overnight, PNA-rh 30ug/ml 30 mins"	endpoint imaging Pax2 PNA	Pax2-PNArh-large-MV.czi	"Pax2:metanephric mesenchyme, green;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Autofluorescence:Autofluorescence"	X 1920 Y 1920 Z 769 C 3 V 5 T 1	disk1/endpoint imaging/Pax2-PNA/Pax2-PNArh-large-MV.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
organoid endpoint imaging Pax2 PNA	"wildtype mouse embryonic (E13.5) kidney cells, endpoint staining, CLARITY cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid cells cultured for 6 days	organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	organoid endpoint imaging Pax2 PNA 2	wild type genotype	organoid	CLARITY cleared	"Antibodies: Pax2: 1:200 overnight, PNA-rh 30ug/ml 30 mins"	endpoint imaging Pax2 PNA	Pax2-PNArh-small-MV.czi	"Pax2:metanephric mesenchyme, green;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Autofluorescence:Autofluorescence"	X 1920 Y 1920 Z 562 C 3 V 5 T 1	disk1/endpoint imaging/Pax2-PNA/Pax2-PNArh-small-MV.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
embryonic kidney endpoint imaging Pax2 PNA	"wildtype mouse embryonic (E13.5) kidney rudiment, endpoint staining, CLARITY cleared, immunofluorescence, fixed, E 13.5 kidney rudiment"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organism part	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Pax2 PNA 1	wild type genotype	organism part	CLARITY cleared	"Antibodies: Pax2: 1:200 overnight, Wt1: 1:200 overnight, PNA-rh 30ug/ml 30 mins"	endpoint imaging Pax2 PNA	Wt1-FK-4-stack.czi	"Autofluorescence:Autofluorescence, green;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Wt1:renal podocytes and metanephric mesenchyme, far red 4;Pax2:metanephric mesenchyme, blue"	X 1920 Y 1920 Z 454 C 4 V 1 T 1	disk1/endpoint imaging/Pax2-PNA/Wt1-FK-4-stack.czi		raw
embryonic kidney endpoint imaging Pax2 PNA	"wildtype mouse embryonic (E13.5) kidney rudiment, endpoint staining, CLARITY cleared, immunofluorescence, fixed, E 13.5 kidney rudiment"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organism part	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Pax2 PNA 2	wild type genotype	organism part	CLARITY cleared	"Antibodies: Pax2: 1:200 overnight, PNA-rh 30ug/ml 30 mins"	endpoint imaging Pax2 PNA	wtFK-72hrs-clearing.czi	"Autofluorescence:Autofluorescence, green,TL:transmitted light;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Pax2:metanephric mesenchyme, far red"	X 1920 Y 1920 Z 292 C 4 V 1 T 1	disk1/endpoint imaging/Pax2-PNA/wtFK-72hrs-clearing.czi		raw
embryonic kidney endpoint imaging Pax2 PNA	"wildtype mouse embryonic (E13.5) kidney rudiment, endpoint staining, CLARITY cleared, immunofluorescence, fixed, E 13.5 kidney rudiment"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564		organism part	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	embryonic kidney endpoint imaging Pax2 PNA 3	wild type genotype	organism part	CLARITY cleared	"Antibodies: Pax2 1:200 overnight, PNA-rh 30ug/ml 30 mins, Wt1 1:200 overnight"	endpoint imaging Pax2 PNA	wtFK-cleared-Wt1-Pax2.czi	"Pax2:metanephric mesenchyme, green;TL: transmitted light;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Wt1:podocytes in glomeruli and metanephric mesenchyme, far red"	X 1200 Y 1200 Z 1 C 4 V 1 T 1	disk1/endpoint imaging/Pax2-PNA/wtFK-cleared-Wt1-Pax2.czi	Wt1 immunofluorescence stain in channel 4 did not work.	raw
organoid endpoint imaging Six2	"Wt1tm1Nhsn strain embryonic (E13.5) kidney cells, endpoint staining, not cleared, immunofluorescence, fixed, organoid, six day culture"	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	Wt1 tm1Nhsn (Wt1 +/GFP)			kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid cells cultured for 6 days	organoid	ENDPOINT GROWTH PROTOCOL	ENDPOINT TREATMENT PROTOCOL	ENDPOINT IMAGE ACQUISITION PROTOCOL	organoid endpoint imaging Six2	Wt1 tm1Nhsn (Wt1 +/GFP)	organoid	not cleared	"Antibodies: Six2: 1:200 overnight, PNA-rh 30ug/ml 30 mins, Synaptopodin 1:1 overnight"	endpoint imaging Six2	100-U-13-Six2-PNA-Synpo-MV-with-beads.czi	"Wt1-GFP:Wt1tm1Nhsn cells expressing GFP in cytoplasm, green;Six2:metanephric mesenchyme, blue;PNA-rh:Peanut agglutanin conjugated with rhodamine labelling basement membranes, red;Synaptopodin:renal podocytes, far red"	X 1920 Y 1920 Z 463 C 4 V 5 T 1	disk1/endpoint imaging/glomeruli/100-U-13-Six2-PNA-Synpo-MV-with-beads.czi	"In IDR, there is one multi-dimensional image per imaging angle."	raw
