Replicate,Plate,Well,Well Number,siRNA Identifier,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Control Type,Control Comments,Quality Control,Median Deviation Fraction - Shorter Prophase,Median Deviation Fraction - Longer Prophase,Phenotype Reproducibility - Shorter Prophase,Phenotype Reproducibility - Longer Prophase,Phenotype 1,Ontology Term Name 1,Term Source Accession 1,Phenotype 2,Ontology Term Name 2,Term Source Accession 2
2,plate2_3_018,D2,38,s36004,ENSG00000147316,MCPH1,,,pass,-0.23,0.24,0,3/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,D3,39,s11739,ENSG00000108384,RAD51C,,,pass,-0.04,0.01,0,0,,,,,,
2,plate2_3_018,D4,40,s36005,ENSG00000147316,MCPH1,,,pass,-0.37,0.73,0,3/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,D5,41,s37879,ENSG00000085415,SEH1L,,,pass,-0.04,-0.03,0,0,,,,,,
2,plate2_3_018,D6,42,s17998,ENSG00000183291,SEP15_HUMAN,,,pass,0.32,-0.03,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,D7,43,s23734,ENSG00000121152,NCAPH,,,pass,0.22,-0.1,1/2,0,,,,,,
2,plate2_3_018,D8,44,s22912,ENSG00000083642,PDS5B,,,pass,not available,not available,0,0,,,,,,
2,plate2_3_018,D9,45,s223407,ENSG00000169598,DFFB,,,pass,,,,,,,,,,
2,plate2_3_018,E1,49,s34604,ENSG00000121274,PAPD5,,,pass,-0.05,0.05,0,1/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,E10,58,s107,ENSG00000077097,TOP2B,,,fail,-0.16,0.06,0,0,,,,,,
2,plate2_3_018,E11,59,s3496,ENSG00000005339,CREBBP,,,fail,,,,,,,,,,
2,plate2_3_018,E12,60,s2414,ENSG00000196954,CASP4,,,fail,,,,,,,,,,
2,plate2_3_018,E2,50,s26586,ENSG00000025770,NCAPH2,,,pass,0.51,-0.08,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,E3,51,s19399,ENSG00000100918,REC8,,,pass,-0.07,0.02,0,0,,,,,,
2,plate2_3_018,E4,52,s22776,ENSG00000100813,ACIN1,,,pass,,,,,,,,,,
2,plate2_3_018,E5,53,s9677,ENSG00000181163,NPM1,,,pass,0.17,-0.03,0,0,,,,,,
2,plate2_3_018,E6,54,s444246,,,negative control,non-targetting siRNA,fail,,,,,,,,,,
2,plate2_3_018,E7,55,s11336,ENSG00000041357,PSMA4,,,fail,0.07,-0.05,0,0,,,,,,
2,plate2_3_018,E8,56,s20351,ENSG00000080986,NDC80,,,fail,-0.22,-0.01,0,1/3,,,,,,
2,plate2_3_018,E9,57,s15755,ENSG00000102030,NAA10,,,fail,0.28,-0.07,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,longer prophase,increased duration of mitotic prophase,CMPO_0000328
2,plate2_3_018,F1,61,s14305,ENSG00000198900,TOP1,,,pass,0.03,0.07,0,1/2,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,F10,70,s21184,ENSG00000119408,NEK6,,,pass,0.18,-0.04,1/4,0,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,F11,71,s18296,ENSG00000171453,POLR1C,,,fail,-0.06,-0.06,0,0,,,,,,
2,plate2_3_018,F12,72,s17426,ENSG00000108055,SMC3,,,fail,-0.08,-0.01,0,1/3,,,,,,
2,plate2_3_018,F2,62,s19322,ENSG00000066455,GOLGA5,,,fail,,,,,,,,,,
2,plate2_3_018,F3,63,s21185,ENSG00000119408,NEK6,,,pass,-0.11,0.15,1/3,2/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,F4,64,s26584,ENSG00000025770,NCAPH2,,,fail,0.49,-0.09,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,F5,65,s4061,ENSG00000169598,DFFB,,,pass,,,,,,,,,,
2,plate2_3_018,F6,66,s196,ENSG00000087586,AURKA,,,pass,,,,,,,,,,
2,plate2_3_018,F7,67,s12067,ENSG00000121481,RNF2,,,pass,-0.04,0,0,0,,,,,,
2,plate2_3_018,F8,68,s523,ENSG00000139687,RB1,,,pass,-0.02,-0.03,0,0,,,,,,
2,plate2_3_018,F9,69,s21902,ENSG00000138738,PRDM5,,,pass,0,0.01,0,0,,,,,,
2,plate2_3_018,G1,73,s51514,"ENSG00000197448,ENSG00000250907","GSTK1,AC073342.3",,,pass,0.03,0.03,0,0,,,,,,
2,plate2_3_018,G10,82,s444246,,,negative control,non-targetting siRNA,fail,,,,,,,,,,
2,plate2_3_018,G11,83,s39571,ENSG00000042286,AIFM2,,,fail,,,,,,,,,,
2,plate2_3_018,G12,84,s51201,ENSG00000146857,STRA8,,,fail,-0.09,0,0,0,,,,,,
2,plate2_3_018,G2,74,s26184,ENSG00000110107,PRPF19,,,pass,-0.14,0.01,0,0,,,,,,
2,plate2_3_018,G3,75,s7424,ENSG00000149503,INCENP,positive control,late mitotic phenotype,fail,,,,,,,,,,
2,plate2_3_018,G4,76,s37698,ENSG00000101447,FAM83D,,,fail,,,,,,,,,,
2,plate2_3_018,G5,77,s22100,ENSG00000126001,CEP250,,,fail,,,,,,,,,,
2,plate2_3_018,G6,78,s17441,ENSG00000156709,AIFM1,,,fail,,,,,,,,,,
2,plate2_3_018,G7,79,s2748,ENSG00000117399,CDC20,positive control,early mitotic phenotype,fail,,,,,,,,,,
2,plate2_3_018,G8,80,s6954,ENSG00000025156,HSF2,,,fail,not available,not available,0,0,,,,,,
2,plate2_3_018,G9,81,s34515,ENSG00000109805,NCAPG,,,fail,-0.08,0.08,0,0,,,,,,
2,plate2_3_018,H1,85,s6953,ENSG00000025156,HSF2,,,pass,0.08,-0.01,0,0,,,,,,
2,plate2_3_018,H10,94,s4223,ENSG00000088305,DNMT3B,,,fail,-0.25,0.21,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,H11,95,s13770,ENSG00000162367,TAL1,,,fail,-0.01,-0.01,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,H12,96,s11726,ENSG00000164754,RAD21,,,pass,0.08,0.11,0,1/4,,,,,,
2,plate2_3_018,H2,86,s23531,ENSG00000151503,NCAPD3,,,pass,0.42,-0.06,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,H3,87,s12889,ENSG00000113558,SKP1A,,,pass,-0.07,0.02,0,0,,,,,,
2,plate2_3_018,H4,88,s19893,ENSG00000102898,NUTF2,,,pass,-0.1,-0.03,1/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,H5,89,s6411,ENSG00000188486,H2AFX,,,pass,0.28,-0.03,1/3,1/3,,,,,,
2,plate2_3_018,H6,90,s223732,ENSG00000077935,SMC1B,,,pass,-0.02,0.1,1/3,1/3,,,,,,
2,plate2_3_018,H7,91,s17228,ENSG00000144744,UBA3,,,pass,0.05,-0.08,0,1/4,,,,,,
2,plate2_3_018,H8,92,s65,ENSG00000145632,PLK2,,,pass,0.01,-0.03,0,1/4,,,,,,
2,plate2_3_018,H9,93,s23733,ENSG00000121152,NCAPH,,,pass,0.08,-0.05,1/4,0,,,,,,
