siRNA identifier	Gene Identifier	Gene Symbol	Median Deviation Fraction - Shorter Prophase	Median Deviation Fraction - Longer Prophase	Phenotype Reproducibility - Shorter Prophase	Phenotype Reproducibility - Longer Prophase	Phenotype 1	Ontology Term Name 1	Ontology Term Accession 1	Phenotype 2	Ontology Term Name 2	Ontology Term Accession 2
s2906	ENSG00000115163	CENPA	-0.13	-0.01	0	0						
s22100	ENSG00000126001	CEP250	not available	not available	0	0						
s22098	ENSG00000126001	CEP250	-0.14	-0.05	0	0						
s10142	ENSG00000131165	CHMP1A	0.03	0.02	0	0						
s10143	ENSG00000131165	CHMP1A	0.18	-0.01	1/3	0						
s3497	ENSG00000005339	CREBBP	-0.19	-0.03	0	0						
s3496	ENSG00000005339	CREBBP	0.17	-0.08	1/3	0						
s4061	ENSG00000169598	DFFB	0.02	0	0	0						
s223407	ENSG00000169598	DFFB	0.09	-0.03	0	0						
s37698	ENSG00000101447	FAM83D	not available	not available	0	0						
s37699	ENSG00000101447	FAM83D	-0.12	0.07	0	1/4						
s5681	ENSG00000164404	GDF9	0.15	-0.03	1/3	0						
s5682	ENSG00000164404	GDF9	0.08	0.02	0	0						
s19321	ENSG00000066455	GOLGA5	0.03	0.05	0	0						
s19322	ENSG00000066455	GOLGA5	-0.18	0.13	0	1/2						
s51513	ENSG00000197448	GSTK1	-0.02	-0.08	0	0						
s51514	ENSG00000197448	GSTK1	0.03	0.03	0	0						
s6411	ENSG00000188486	H2AFX	0.28	-0.03	1/3	1/3						
s6412	ENSG00000188486	H2AFX	0.09	0.04	0	0						
s16196	ENSG00000128708	HAT1	-0.08	-0.1	0	0						
s16194	ENSG00000128708	HAT1	0	-0.03	0	0						
s6953	ENSG00000025156	HSF2	0.08	-0.01	0	0						
s6954	ENSG00000025156	HSF2	not available	not available	0	0						
s16186	ENSG00000073009	IKBKG	0.01	0.03	0	1/4						
s16187	ENSG00000073009	IKBKG	not available	not available	0	0						
s8180	ENSG00000174405	LIG4	0.04	-0.01	0	1/4						
s8179	ENSG00000174405	LIG4	0.08	-0.08	0	0						
s19235	ENSG00000010292	NCAPD2	0.16	-0.08	0	0						
s19233	ENSG00000010292	NCAPD2	0.07	-0.03	0	0						
s34515	ENSG00000109805	NCAPG	-0.08	0.08	0	0						
s34513	ENSG00000109805	NCAPG	0	0.07	0	0						
s23733	ENSG00000121152	NCAPH	0.08	-0.05	1/4	0						
s23734	ENSG00000121152	NCAPH	0.22	-0.1	1/2	0						
s20350	ENSG00000080986	NDC80	0.14	-0.03	0	0						
s20351	ENSG00000080986	NDC80	-0.22	-0.01	0	1/3						
s9676	ENSG00000181163	NPM1	0.04	0.06	0	0						
s9677	ENSG00000181163	NPM1	0.17	-0.03	0	0						
s37982	ENSG00000143228	NUF2	0.05	-0.02	1/2	0						
s37981	ENSG00000143228	NUF2	not available	not available	not available	not available						
s27673	ENSG00000137804	NUSAP1	0.08	0.07	1/4	0						
s27674	ENSG00000137804	NUSAP1	0.07	0.01	0	0						
s22911	ENSG00000083642	PDS5B	0.08	0.03	0	1/4						
s22912	ENSG00000083642	PDS5B	not available	not available	0	0						
s64	ENSG00000145632	PLK2	0.07	-0.05	0	0						
s65	ENSG00000145632	PLK2	0.01	-0.03	0	1/4						
s10773	ENSG00000101868	POLA1	0.15	0.03	1/4	0						
s10774	ENSG00000101868	POLA1	-0.05	0.11	0	1/3						
s18296	ENSG00000171453	POLR1C	-0.06	-0.06	0	0						
s225156	ENSG00000171453	POLR1C	0.1	-0.15	0	0						
s21758	ENSG00000112941	POLS	-0.07	0.03	1/3	1/3						
s21759	ENSG00000112941	POLS	0.11	-0.08	0	0						
s21902	ENSG00000138738	PRDM5	0	0.01	0	0						
s223193	ENSG00000138738	PRDM5	-0.05	0.01	0	1/4						
s11206	ENSG00000175646	PRM1	0.14	-0.08	1/3	0						
s11207	ENSG00000175646	PRM1	0.08	-0.01	1/4	0						
s11209	ENSG00000122304	PRM2	-0.01	0.03	0	0						
s11211	ENSG00000122304	PRM2	not available	not available	0	0						
s195332	ENSG00000178257	PRM3	0.1	-0.11	0	1/3						
s195331	ENSG00000178257	PRM3	not available	not available	1/1	0						
s26184	ENSG00000110107	PRPF19	-0.14	0.01	0	0						
s26185	ENSG00000110107	PRPF19	0.05	-0.01	0	1/3						
s150	ENSG00000150687	PRSS23	0.08	-0.03	1/3	0						
s152	ENSG00000150687	PRSS23	0.12	-0.02	0	0						
s11336	ENSG00000041357	PSMA4	0.07	-0.05	0	0						
s11338	ENSG00000041357	PSMA4	not available	not available	0	1/1						
s11726	ENSG00000164754	RAD21	0.08	0.11	0	1/4						
s11725	ENSG00000164754	RAD21	0.05	-0.02	1/4	0						
s793	ENSG00000113522	RAD50	0.02	-0.05	1/4	0						
s791	ENSG00000113522	RAD50	0.02	0.01	0	1/4						
s11738	ENSG00000108384	RAD51C	0.12	-0.04	1/4	1/4						
s11739	ENSG00000108384	RAD51C	-0.04	0.01	0	0						
s11746	ENSG00000002016	RAD52	not available	not available	not available	not available						
s11747	ENSG00000002016	RAD52	0.01	0.04	1/4	1/4						
s523	ENSG00000139687	RB1	-0.02	-0.03	0	0						
s524	ENSG00000139687	RB1	-0.02	0.02	0	0						
s19398	ENSG00000100918	REC8	not available	not available	0	0						
s19399	ENSG00000100918	REC8	-0.07	0.02	0	0						
s12067	ENSG00000121481	RNF2	-0.04	0	0	0						
s12068	ENSG00000121481	RNF2	0.08	-0.12	0	0						
s27482	ENSG00000126524	SBDS	0.11	0.06	1/2	0						
s27483	ENSG00000126524	SBDS	0.26	-0.08	1/3	0						
s37878	ENSG00000085415	SEH1L	-0.01	0	0	0						
s37879	ENSG00000085415	SEH1L	-0.04	-0.03	0	0						
s12889	ENSG00000113558	SKP1A	-0.07	0.02	0	0						
s12890	ENSG00000113558	SKP1A	0.08	-0.05	0	0						
s223732	ENSG00000077935	SMC1B	-0.02	0.1	1/3	1/3						
s25865	ENSG00000077935	SMC1B	0.05	-0.01	1/4	0						
s17425	ENSG00000108055	SMC3	0.02	-0.05	0	0						
s17426	ENSG00000108055	SMC3	-0.08	-0.01	0	1/3						
s21582	ENSG00000168439	STIP1	-0.06	-0.01	1/4	0						
s21583	ENSG00000168439	STIP1	-0.17	0.11	0	1/4						
s51200	ENSG00000146857	STRA8	0.2	-0.16	1/4	0						
s51201	ENSG00000146857	STRA8	-0.09	0	0	0						
s43430	ENSG00000137413	TAF8	not available	not available	0	0						
s43431	ENSG00000137413	TAF8	0.03	0.04	0	1/4						
s106	ENSG00000077097	TOP2B	0.24	-0.14	0	0						
s107	ENSG00000077097	TOP2B	-0.16	0.06	0	0						
s38366	ENSG00000178093	TSSK6	-0.04	-0.05	0	0						
s38367	ENSG00000178093	TSSK6	0.07	-0.1	0	0						
s37975	ENSG00000204815	TTC25	-0.06	-0.04	1/3	0						
s37976	ENSG00000204815	TTC25	-0.04	-0.1	0	0						
s14496	ENSG00000127824	TUBA4A	0.19	0.03	0	0						
s14498	ENSG00000127824	TUBA4A	-0.04	0.03	0	1/4						
s17227	ENSG00000144744	UBE1C	-0.07	-0.03	0	0						
s17228	ENSG00000144744	UBE1C	0.05	-0.08	0	1/4						
s14700	ENSG00000010256	UQCRC1	0.02	0.09	0	1/4						
s14701	ENSG00000010256	UQCRC1	0.07	-0.05	0	0						
												
