Dataset Name,Image Name,Characteristics [Organism],Characteristics [Strain],Characteristics [Mating Type],Characteristics [Genotype],Experimental Condition [Treatment],Experimental Condition [Experimental Genotype],Comment [Gene Annotation Comments],Comment [Image File Type],Channels,Comment [Gene Symbol 1],Comment [Gene Symbol 2],Comment [Gene Identifier 1],Comment [Gene Identifier 2],Term Source REF,Term Source Accession
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos14,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,10nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos15,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos16,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos17,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos18,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos19,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,20nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos20,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos21,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos22,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos23,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos24,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,50nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos25,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos26,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos27,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos28,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos29,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,100nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos30,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,300nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos31,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,300nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos32,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,300nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos33,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,300nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos34,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,300nM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos35,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,1uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos36,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,1uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos37,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,1uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos38,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,1uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,Pos39,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY;pFIG1-dPSTRR;Histone-CFP;bar1D,1uM Pheromone at Time 0,pAGA1-dPSTRY;pFIG1-dPSTRR;bar1D,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pFIG1-dPSTR;BF1: Brightfield out of focus,AGA1,FIG1,YNR044W,YBR040W,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos0,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,0uM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos1,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,0uM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos2,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,0uM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos3,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,0uM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos4,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,0uM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos5,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,3nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos6,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,3nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos7,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,3nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos8,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,3nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos9,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,3nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos10,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,10nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
YSP664_AGA1y_PRM5r_DoseResponsePheromoneTreatment,Pos11,Saccharomyces cerevisiae,YSP664,mating type a,pAGA1-dPSTRY;pPRM5-dPSTRR;Histone-CFP,10nM Pheromone at Time 0,pAGA1-dPSTRY;pPRM5-dPSTRR,Saccharomyces genome database,raw,BF: Brightfield;CFP:nuclei;YFP: pAGA1-dPSTR;RFP:pPRM5-dPSTR;BF1: Brightfield out of focus,AGA1,PRM5,YNR044W,YIL117C,EFO,EFO_0001275
