Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Gene Annotation Comments	n	ext	ecc	Ato	Nex	Nin	Nto	AF	BC	C	M	LA	P	Cluster	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18
HT02_F23	M-006758-00	79646;LOC646801;732399;646801	PANK3;LOC646801;LOC646801;LOC646801	"siRNA matched to more than one gene (79646;LOC646801;732399;646801,PANK3;LOC646801;LOC646801;LOC646801)"	-0.516	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_F7	M-012956-01	55824	PAG1		0	0.997	0	0	0	0.937	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_G23	M-004963-00	23303	KIF13B		-0.644	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_H11	M-005018-01	23178	PASK		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT02_H23	M-003162-03	5156	PDGFRA		-0.622	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_I20	M-005348-00	83931	STK40		0	0	0.972	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT02_J22	M-006426-00	8575;PRKRAP1	PRKRA;PRKRAP1	"siRNA matched to more than one gene (8575;PRKRAP1,PRKRA;PRKRAP1)"	-0.521	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_K10	M-004879-01	8569	MKNK1		0	0	0	0	0	0	0	0	0	0	0	0.915	0	15	yes	multiple reagents															lamellipodia cells			
HT02_K20	M-010612-01	4356	MPP3		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT02_K22	M-015738-01	9019;644387;LOC644387	MPZL1;LOC644387;LOC644387	"siRNA matched to more than one gene (9019;644387;LOC644387,MPZL1;LOC644387;LOC644387)"	-0.563	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_L12	M-004660-01	5613	PRKX		0	0	0	0.965	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT02_L16	M-004074-03	8899	PRPF4B		0	0	0	1	0	0	-1	0	0	0	0	1	0		yes	multiple reagents																		other phenotype
HT02_L18	M-006784-00	5631	PRPS1		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT02_L8	M-005364-02	65267	WNK3		0	0	0	0	0	0	0	0	0	0	0	1	0	15	yes	multiple reagents															lamellipodia cells			
HT02_L9	M-006765-01	5213	PFKM		0	0	0	0	0	0	0	0.972	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT02_M16	M-005351-04	4638	MYLK		0	0	0	0	0	0.792	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_M20	M-004862-00	53904	MYO3A		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT02_M5	M-020068-00	4092	SMAD7		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT02_P15	M-003923-00	5292	PIM1		0	0	0	0	0	0	0	0.999	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT02_P16	M-006785-00	5832	ALDH18A1		0	1	0	0	0	0	-1	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_P9	M-005025-01	30849	PIK3R4		0	-0.743	0	0	-0.978	0	0	0	0	0.988	0	0	0		yes	multiple reagents																		other phenotype
HT03_A20	M-005043-00	7016	TESK1		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT03_A22	M-005044-00	10420	TESK2		0	0	0.82	0	0	0	0	0	0	0	0	0	0.999	6	yes	multiple reagents						elongated cells with protrusions												
HT03_E13	M-005371-01	26750	RPS6KC1		0	0	0.806	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT03_E19	M-004672-01	22983	MAST1		0	0	0.882	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT03_E22	M-020821-00	50852	TRAT1		0	-0.67	0	0	0	0	1	0	0	1	0	0	0		yes	multiple reagents																		other phenotype
HT03_G10	M-013077-01	60385	TSKS		0	0.929	0	0	0	0	0	0	0	0	0	0	0	14	yes	multiple reagents														large cells				
HT03_G11	M-004162-00	23678	SGK3		0	0	0	0	0	0	0.683	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT03_G20	M-003181-01	7294	TXK		0	0.917	0	0	0	0	-1	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT03_K8	M-005050-00	7465	WEE1		-0.902	-0.925	-1	0	-0.967	0	1	0	0	1	0	0	0		yes	multiple reagents																		other phenotype
HT03_M15	M-005038-02	83942	TSSK1B		0.75	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT03_O19	M-004875-01	27347	STK39		0	-0.635	-0.863	0	0	0	1	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT03_O23	M-003545-09	6790;6791	AURKA;AURKAPS1	"siRNA matched to more than one gene (6790;6791,AURKA;AURKAPS1)"	-0.639	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_A10	M-003231-01	11140	CDC37		0	0	0	-0.939	0	0	0	0	0	0	0	0	0.557		yes	multiple reagents																		other phenotype
HT04_A13	M-009909-00	5825	ABCD3		0	0	0	-0.809	0	0	0	0	1	0	0	0	0	13	yes	multiple reagents													big cells					
HT04_A14	M-011237-00	988	CDC5L		0	0	0	0	0	0	0	0	0	0	0.803	0	0		yes	multiple reagents																		other phenotype
HT04_A16	M-003233-02	990	CDC6		0	0	0.751	-0.882	0	0	0	0	0	0	0	0	1		yes	multiple reagents																		other phenotype
HT04_A22	M-013493-00	1009	CDH11		0	0	0	0	0	0	0	0	0	0	0	0	1	4	yes	multiple reagents				cells with protrusions														
HT04_C22	M-003640-00	1002	CDH4		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT04_D19	M-020729-00	51327	ERAF		-0.639	0	0	0	0	0.992	0	0	0	0	0	0	0	2+7	yes	multiple reagents		bright nuclei					SM phenotype (round cells and many in metaphase)											
HT04_E11	M-017611-00	10307	APBB3		0	0	0	0	-0.563	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_E19	M-017633-00	22824	HSPA4L		0	0	0.528	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_F14	M-021115-00	55109	AGGF1		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT04_F23	M-010086-01	2354	FOSB		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT04_G14	M-012707-00	1072	CFL1		-0.563	0	0	0	0	1	0	0	0	0	0	0	0	2+7	yes	multiple reagents		bright nuclei					SM phenotype (round cells and many in metaphase)											
HT04_H18	M-008675-00	3490;LOC100129547	IGFBP7;LOC100129547	"siRNA matched to more than one gene (3490;LOC100129547,IGFBP7;LOC100129547)"	0	0	-1	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT04_H5	M-013615-00	11167	FSTL1		0	0	-1	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT04_I10	M-012801-00	25792	CIZ1		0	0	0	0	0	0	0	1	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT04_I12	M-006831-00	23332	CLASP1		0	-0.776	0	0	-0.962	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_I14	M-011830-00	1047	CLGN		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT04_I16	M-005288-00	63967	CLSPN		-0.54	1	0	0	0	1	0	0	1	0	0	0	1	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT04_I8	M-020189-00	1153	CIRBP		0	0	0	0	-0.802	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_J11	M-012540-00	2815	GP9		0	0	0	0	0	0	0	0	0	0	0	0	1	4	yes	multiple reagents				cells with protrusions														
HT04_J16	M-022258-00	10260	DENND4A		0	0	0	0	0	0	0	1	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT04_J18	M-004565-03	3685	ITGAV		0	-0.676	0	0	-0.717	0	0.876	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_J5	M-015484-00	2738	GLI4		0	0	0	0	0	0	0	0.979	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT04_K18	M-008805-00	1388	CREBL1		0	0	0	0	-0.566	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_K23	M-003636-02	821	CANX		-0.554	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_K9	M-004391-01	79444	BIRC7		0	0	0	0	0	0	0	0	0	0	0	0.981	0	15	yes	multiple reagents															lamellipodia cells			
HT04_M12	M-004263-01	3491	CYR61		0	0.999	0	0	1	0.893	0	0.994	1	0	0	0	0	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT04_N12	M-007132-01	136259	KLF14		0	0	0	-0.926	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_N8	M-012230-00	10518	CIB2		0	0	0	0	0	0	0	0	0	0	1	0	0	11	yes	multiple reagents											metaphase cells							
HT04_O5	M-020107-01	10576	CCT2		0	0	0	0	0	0	0.939	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_P19	M-017209-00	3005	H1F0		0	0	-0.739	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT04_P6	M-010128-00	3929	LBP		0	-0.752	0	0	-0.632	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_A11	M-012796-00	22823	MTF2		-0.554	0	0	-0.973	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_A5	M-018773-00	10128	LRPPRC		-0.521	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_A8	M-015822-00	4924	NUCB1		0	0	-1	-0.996	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_B10	M-011106-00	6314	ATXN7		0	0	0	0	0	0	0	0	0	0	0.734	0	0		yes	multiple reagents																		other phenotype
HT05_B16	M-011987-00	9997	SCO2		0	0	0	0	0	0	0	0.742	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_B19	M-011358-00	5514	PPP1R10		-0.502	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_B20	M-003642-01	57758	SCUBE2		0.75	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_B8	M-004510-01	6310	ATXN1		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT05_C16	M-012242-00	5083	PAX9		0	-0.74	0	0	-0.989	0	0	0	0	0.601	0	0	0		yes	multiple reagents																		other phenotype
HT05_D22	M-016051-00	10291	SF3A1		-0.558	0	-1	-0.716	0	0	0.52	0	0	0	1	0	0	7+9+11	yes	multiple reagents							SM phenotype (round cells and many in metaphase)		low eccentricity cells		metaphase cells							
HT05_D5	M-013810-00	59335	PRDM12		0	0	-0.593	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_E16	M-008837-00	5099	PCDH7		0	0	0	0	-0.544	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_E6	M-013619-00	27328;83259	PCDH11X;PCDH11Y	"siRNA matched to more than one gene (27328;83259,PCDH11X;PCDH11Y)"	0	0	0	0	0	0	0	0	0	0	0.998	0	0	11	yes	multiple reagents											metaphase cells							
HT05_E8	M-013624-00	83259;27328	PCDH11Y;PCDH11X	"siRNA matched to more than one gene (83259;27328,PCDH11Y;PCDH11X)"	0	0	0	0	0	0	0	0	0	0	1	0	0	11	yes	multiple reagents											metaphase cells							
HT05_F12	M-030081-00	6428	SFRS3		0	0	0	0	0	0	0	0	0	0	1	0	0	11	yes	multiple reagents											metaphase cells							
HT05_F13	M-017212-01	5708	PSMD2		0	0	-0.505	0	0	0	0.752	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_F6	M-006455-01	6421	SFPQ		0	0	-1	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT05_H13	M-006832-01	5885	RAD21		0	0	-0.999	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT05_H14	M-012286-00	7884	SLBP		-0.753	0	0	-0.909	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_I15	M-006346-00	10232	MSLN		0	0	0	0	0	0	0.995	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_J10	M-027197-00	30837	SOCS7		0	-0.611	0	0	0	0	0.971	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_J12	M-012983-00	6651	SON		-0.648	0	0	-0.505	0	1	0	0	0	0	1	0	0	7	yes	multiple reagents							SM phenotype (round cells and many in metaphase)											
HT05_K11	M-007668-00	4627	MYH9		0	0.979	0	0	0	0	0	0	0	0	0	0	0	14	yes	multiple reagents														large cells				
HT05_K9	M-012645-00	4624	MYH6		0	0	0	0	0	0	0	0	1	0	0	0	0	13	yes	multiple reagents													big cells					
HT05_P19	M-004295-00	6286	S100P		0	0	0.915	0	0	0	0	0	0	0	0	0	1	6	yes	multiple reagents						elongated cells with protrusions												
HT05_P22	M-013948-01	25976	TIPARP		-0.507	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT05_P8	M-012749-00	6950;LOC400013;400013	TCP1;LOC400013;LOC400013	"siRNA matched to more than one gene (6950;LOC400013;400013,TCP1;LOC400013;LOC400013)"	0	0	0	0	0	0	0	0	0	0	1	0	0	11	yes	multiple reagents											metaphase cells							
HT06_B10	M-004110-00	2355	FOSL2		0	0	0	0	0	0	0	0	1	0	0	0	0	13	yes	multiple reagents													big cells					
HT06_B8	M-004341-00	8061;729231;LOC729231	FOSL1;LOC729231;LOC729231	"siRNA matched to more than one gene (8061;729231;LOC729231,FOSL1;LOC729231;LOC729231)"	0	1	0	0	0	0.939	0	0	1	0	0	0	0	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT06_C5	M-020028-00	10083	USH1C		0	0	0	0	0	0	-0.985	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT06_D22	M-008636-00	8928	FOXH1		0	0	0.887	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT06_D7	M-012631-00	1044	CDX1		0	0	-1	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT06_E21	M-003332-01	7534	YWHAZ		0	1	0	0	1	0.999	0	0	1	0	0	0	0	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT06_E6	M-008928-00	10125	RASGRP1		0	0	0	0	0	0	0	0	0	0	0	1	0	15	yes	multiple reagents															lamellipodia cells			
HT06_F20	M-004256-00	27086	FOXP1		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT06_F5	M-020319-00	4849	CNOT3		-0.581	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT06_G15	M-011799-00	7547	ZIC3		0	0	-0.998	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT06_G9	M-007017-00	55734	ZFP64		0	0	0	0	0	0	0	0	0	0	0	0	1	4	yes	multiple reagents				cells with protrusions														
HT06_H13	M-004819-01	1649	DDIT3		0	-0.505	0	0	0	0	0.991	0	0	0.976	0	0	0		yes	multiple reagents																		other phenotype
HT06_I5	M-013706-00	90338	ZNF160		0	0	0	1	0	0	0	0	0	0	0	1	0	16	yes	multiple reagents																lamellipodia and high actin cells		
HT06_J12	M-012284-01	10691	GMEB1		0	0	0	0	1	0.619	0	0	1	0	0	0	0		yes	multiple reagents																		other phenotype
HT06_J19	M-019955-00	26584;26582	DUX1;DUX3	"siRNA matched to more than one gene (26584;26582,DUX1;DUX3)"	0	1	0	0	1	1	0	0	1	0	0	0	0	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT06_J22	M-013262-00	9569	GTF2IRD1		0	0	0	0	1	0.814	0	0	0	0	0	0	0	3	yes	multiple reagents			large nuclei															
HT06_J23	M-019906-00	26582;26584	DUX3;DUX1	"siRNA matched to more than one gene (26582;26584,DUX3;DUX1)"	0	0	0	0	0.836	0.998	0	0	1	0	0	0	0	1	yes	multiple reagents	BL phenotype (large cells and bright nuclei)																	
HT06_K11	M-015952-00	7629	ZNF76		-0.544	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT06_K21	M-003948-02	9183	ZW10		0	0	0	0	0	0	-1	0	0	0	0	0	0	8	yes	multiple reagents								small cells										
HT06_L22	M-011756-00	3087	HHEX		0	0	0	1	0	0	0	0	0	0	0	1	0	16	yes	multiple reagents																lamellipodia and high actin cells		
HT06_L23	M-016080-00	1999	ELF3		0	0	0.972	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT06_M5	M-010742-01	307	ANXA4		0	0	0	0	0	0	0	0	0	0	0	1	0	15	yes	multiple reagents															lamellipodia cells			
HT06_N10	M-008953-00	3104	ZBTB48		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT06_N8	M-014345-00	59269	HIVEP3		0	0	-1	0	0	0	0	0	0	0	1	0	0	7	yes	multiple reagents							SM phenotype (round cells and many in metaphase)											
HT06_O22	M-017422-00	2972	BRF1		0	0	0	0	1	0	0	0	0	0	0.997	0	0		yes	multiple reagents																		other phenotype
HT06_O5	M-003459-01	332;8475	BIRC5;EPR1	"siRNA matched to more than one gene (332;8475,BIRC5;EPR1)"	-0.822	0	0	0	1	1	1	0	0	0	1	0	0		yes	multiple reagents																		other phenotype
HT06_P17	M-017938-00	51513	ETV7		0	0	0	0	0	0	0	0	0	0	0	1	0	15	yes	multiple reagents															lamellipodia cells			
HT06_P23	M-009029-00	2307	FKHL18		-0.507	0	0.942	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT07_A18	M-019852-00	10934	MORF4		0	0	-0.999	0	0	0	0	0	0	0	0	0	0	9	yes	multiple reagents									low eccentricity cells									
HT07_A19	M-013381-00	3222	HOXC5		-0.507	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT07_B12	M-009800-01	6722	SRF		0	0.999	0	0	0	0	0	0	1	0	0	0	0		yes	multiple reagents																		other phenotype
HT07_G13	M-006875-01	3661	IRF3		0	0	0	0	0	0	0	0	1	0	0	0	0	13	yes	multiple reagents													big cells					
HT07_G19	M-012227-00	3664	IRF6		-0.595	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT07_G6	M-010321-00	8031;730857;LOC729497;729497	NCOA4;LOC729497;LOC729497;LOC729497	"siRNA matched to more than one gene (8031;730857;LOC729497;729497,NCOA4;LOC729497;LOC729497;LOC729497)"	0	-0.505	0	0	0	0	0	0	0	1	0	0	0		yes	multiple reagents																		other phenotype
HT07_G9	M-011704-01	3659	IRF1		0	0	0.831	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT07_H11	M-013107-00	57786	RBAK		-0.526	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT07_H5	M-013242-00	51450	PRRX2		0	0	0	-0.674	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
