Plate	Well Number	Well	Plate_Well	Quality Control	siRNA Identifier	Gene Identifier	Gene Symbol	Gene Annotation Comments	Control Type	Score - nuclei stay close together (manual)	Score - strange nuclear shape (manual)	Score - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual)	Score - cell migration (manual)	Score - metaphase delay/arrest (manual)	Score - cell death (manual)	Score - metaphase alignment problems/including no metaphase (manual)	Score - pulsating nuclei (manual)	Score - small nucleus (manual)	Score - prometaphase delay/arrest (manual)	Score - condensation without mitosis/collapse of nucleus (manual)	Score - large nucleus (manual)	Score - failure in decondensation (manual)	Score - condensation followed by decondensation without completion of mitosis (manual)	Score - reduced mitotic index (manual)	Score - other (manual)	Score - no phenotype (manual)	Score - cell death (automatic)	Score - binuclear (automatic)	Score - polylobed (automatic)	Score - large (automatic)	Score - dynamic changes (automatic)	Score - mitotic delay/arrest (automatic)	Score - grape (automatic)	Score - migration (speed) (automatic)	Score - migration (distance) (automatic)	Score - increased proliferation (automatic)	siRNA phenotype reproducibility - nuclei stay close together (manual)	siRNA phenotype reproducibility - strange nuclear shape (manual)	siRNA phenotype reproducibility - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual)	siRNA phenotype reproducibility - cell migration (manual)	siRNA phenotype reproducibility - metaphase delay/arrest (manual)	siRNA phenotype reproducibility - cell death (manual)	siRNA phenotype reproducibility - metaphase alignment problems/including no metaphase (manual)	siRNA phenotype reproducibility - pulsating nuclei (manual)	siRNA phenotype reproducibility - small nucleus (manual)	siRNA phenotype reproducibility - prometaphase delay/arrest (manual)	siRNA phenotype reproducibility - condensation followed by decondensation without completion of mitosis (manual)	siRNA phenotype reproducibility - large nucleus (manual)	siRNA phenotype reproducibility - failure in decondensation (manual)	siRNA phenotype reproducibility - condensation without mitosis/collapse of nucleus (manual)	siRNA phenotype reproducibility - cell death (automatic)	siRNA phenotype reproducibility - binuclear (automatic)	siRNA phenotype reproducibility - polylobed (automatic)	siRNA phenotype reproducibility - large (automatic)	siRNA phenotype reproducibility - dynamic changes (automatic)	siRNA phenotype reproducibility - mitotic delay/arrest (automatic)	siRNA phenotype reproducibility - grape (automatic)	siRNA phenotype reproducibility - migration (speed) (automatic)	siRNA phenotype reproducibility - migration (distance) (automatic)	siRNA phenotype reproducibility - increased proliferation (automatic)	Potential Mitotic Hit At Gene Level	Validated Mitotic Hit At Gene Level	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
LTValidMitosisSon384Plate01_01	11	A11	LTValidMitosisSon384Plate01_01_A11	TRUE	s44265	ENSG00000139797	RNF113B																				0.006024	0.0222	-0.001144	0.000461	0.00343	0.001906	-0.000215	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	12	A12	LTValidMitosisSon384Plate01_01_A12	TRUE	s46331	ENSG00000161653	NAGS																				0.011384	0.013775	0.043278	-0.00017	0.003804	0.006673	0.003888	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	13	A13	LTValidMitosisSon384Plate01_01_A13	TRUE	s57846	ENSG00000166159	LRTM2																				-0.000434	0.013729	0.02401	-0.013146	0.01507	0.000683	0.006087	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	14	A14	LTValidMitosisSon384Plate01_01_A14	TRUE	s30302	ENSG00000125459	MSTO1																				0.082409	-0.007407	0.01641	0.029424	0.000209	0.094628	0.000425	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/4	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	15	A15	LTValidMitosisSon384Plate01_01_A15	TRUE	s40544	ENSG00000167702	KIFC2																				0.029945	-0.006289	0.113671	-0.017452	0.011396	0.022409	0.012889	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	16	A16	LTValidMitosisSon384Plate01_01_A16	TRUE	s43332	ENSG00000125875	TBC1D20																				0.018055	-0.005074	-0.020798	0.071503	-0.008217	0.007876	0.005208	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	17	A17	LTValidMitosisSon384Plate01_01_A17	TRUE	s229174			no perfect match to a gene transcript in Ensembl 53																			0.008574	0.008286	0.034752	0.019651	0.003765	0.003729	0.00396	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
LTValidMitosisSon384Plate01_01	18	A18	LTValidMitosisSon384Plate01_01_A18	TRUE	s10280	ENSG00000101327	PDYN																				0.00483	-0.000178	0.024436	0.016008	0.020877	0.009162	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	19	A19	LTValidMitosisSon384Plate01_01_A19	TRUE	s35293	ENSG00000028310	BRD9																				0.014496	0.025069	0.037934	0.027667	0.009604	0.001004	0.003942	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	20	A20	LTValidMitosisSon384Plate01_01_A20	TRUE	s18981	ENSG00000079999	KEAP1																			x	0.002098	0.031351	0.0315	0.024422	-0.002124	0.008209	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	21	A21	LTValidMitosisSon384Plate01_01_A21	TRUE	s10023	ENSG00000180370	PAK2																				0.031561	-0.006017	0.001909	0.033779	-0.008904	0.002852	0.00182	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	22	A22	LTValidMitosisSon384Plate01_01_A22	TRUE	s32346	ENSG00000162647	C1ORF119																				-0.004878	0.027531	0.047257	0.076469	-0.005875	0.006586	0.008661	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	23	A23	LTValidMitosisSon384Plate01_01_A23	TRUE	s21755	ENSG00000080561	MID2																			x	0.015136	-0.003711	0.061015	-0.002925	0.007055	0.022743	0.002218	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	24	A24	LTValidMitosisSon384Plate01_01_A24	TRUE	s20258	ENSG00000107833	NPM3																				0.075516	-0.004403	0.148788	0.042869	0.216079	0.257025	0.019513	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/3	0	0	1/3	0	0	0	0	yes	yes	yes	multiple replicates of reagent							polylobed (automatic)		
LTValidMitosisSon384Plate01_01	25	B1	LTValidMitosisSon384Plate01_01_B1	TRUE	s32950	ENSG00000142552	RCN3																				-0.002206	-0.001328	-0.013937	0.01542	0.013077	0.011201	0.0036	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	26	B2	LTValidMitosisSon384Plate01_01_B2	TRUE	s1885	ENSG00000138376	BARD1																				0.02843	0.038122	0.155027	0.053975	0.004514	0.014431	0.005167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/4	0	0	0	0	0	0	0	yes	yes	yes	multiple replicates of reagent							polylobed (automatic)		
LTValidMitosisSon384Plate01_01	27	B3	LTValidMitosisSon384Plate01_01_B3	TRUE					empty well																		-0.004487	0.006681	0.007763	0.053054	0.002987	0.006645	0.007553	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	28	B4	LTValidMitosisSon384Plate01_01_B4	TRUE	s27592	ENSG00000109576	AADAT																				0.034982	0.017799	0.06068	0.026505	-0.001622	0.007591	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	29	B5	LTValidMitosisSon384Plate01_01_B5	TRUE					empty well																		-0.004455	-0.00375	-0.011745	0.041089	-0.005246	-0.000142	0.000135	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	30	B6	LTValidMitosisSon384Plate01_01_B6	TRUE	s25301	ENSG00000154040	CABYR																				0.010327	0.023423	0.00344	0.036588	-0.00488	0.004699	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	31	B7	LTValidMitosisSon384Plate01_01_B7	TRUE	s30231	ENSG00000119285	HEATR1																				-0.005235	0.000681	0.001681	0.062223	0.004208	0.008295	0.001529	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	32	B8	LTValidMitosisSon384Plate01_01_B8	TRUE	s48390	ENSG00000188175	NP_937794.1																				0.001177	0.006212	-0.015557	0.002829	-0.003148	0.007006	0.000094	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	33	B9	LTValidMitosisSon384Plate01_01_B9	TRUE					empty well																		0.005155	0.040209	0.024189	0.059963	-0.006129	0.013597	0.004501	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	34	B10	LTValidMitosisSon384Plate01_01_B10	TRUE	s17009	ENSG00000106245	BUD31																				0.111495	0.008634	0.035827	0.028821	0.022404	0.148115	0.101725	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	4/4	3/4	0	0	0	yes	yes	yes	multiple replicates of reagent								mitotic delay/arrest (automatic)	grape (automatic)
LTValidMitosisSon384Plate01_01	35	B11	LTValidMitosisSon384Plate01_01_B11	TRUE	s47407	ENSG00000163683	C4ORF34																				-0.005404	-0.002932	-0.014563	0.096634	0.00219	0.000677	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	36	B12	LTValidMitosisSon384Plate01_01_B12	TRUE	s21911	ENSG00000122966	CIT																				0.007174	0.110597	0.14096	0.077127	0.004153	0.014613	0.004008	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4/4	3/4	0	0	0	0	0	0	0	yes	yes	yes	multiple replicates of reagent						binuclear (automatic)	polylobed (automatic)		
LTValidMitosisSon384Plate01_01	37	B13	LTValidMitosisSon384Plate01_01_B13	TRUE	s21313	ENSG00000036530	CYP46A1																				0.008393	0.028245	-0.003015	0.031464	-0.004264	0.001652	0.001772	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	38	B14	LTValidMitosisSon384Plate01_01_B14	TRUE	s6917	ENSG00000126457	PRMT1																				0.048584	0.017441	0.211914	0.033187	0.008897	0.021529	0.008233	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/4	0	0	0	0	0	0	0	yes	yes	yes	multiple replicates of reagent							polylobed (automatic)		
LTValidMitosisSon384Plate01_01	39	B15	LTValidMitosisSon384Plate01_01_B15	TRUE	s229174			no perfect match to a gene transcript in Ensembl 53																			0.013459	0.036159	-0.017508	0.007153	0.011455	0.001459	0.00007	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
LTValidMitosisSon384Plate01_01	40	B16	LTValidMitosisSon384Plate01_01_B16	TRUE	s46022	ENSG00000177943	MAMDC4																				0.061307	0.00446	0.01063	0.00997	0.008013	0.007522	0.003467	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	41	B17	LTValidMitosisSon384Plate01_01_B17	TRUE	s59450	ENSG00000176984	Q8N8C5_HUMAN																				-0.006977	0.042059	0.015554	0.039763	0.002106	-0.002523	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	42	B18	LTValidMitosisSon384Plate01_01_B18	TRUE	s32631	ENSG00000089737	DDX24																				0.124727	-0.000934	0.120959	0.006255	0.038057	0.027011	0.021719	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/4	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	43	B19	LTValidMitosisSon384Plate01_01_B19	TRUE	s22380	ENSG00000074416	MGLL																				0.000185	0.009656	0.027795	0.058071	0.001486	0.002378	0.001023	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	44	B20	LTValidMitosisSon384Plate01_01_B20	TRUE					empty well																		-0.005899	-0.004493	-0.018924	0.054149	-0.007699	-0.001081	0.004186	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	45	B21	LTValidMitosisSon384Plate01_01_B21	TRUE	s21116	ENSG00000169967	MAP3K2																				0.000659	-0.004819	0.000022	0.094801	0.002871	0.006964	0.01605	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	46	B22	LTValidMitosisSon384Plate01_01_B22	TRUE	s14632	ENSG00000175564	UCP3																				0.07169	0.009265	0.051905	0.017276	0.014217	0.027791	0.006096	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	47	B23	LTValidMitosisSon384Plate01_01_B23	TRUE					empty well																		-0.002884	-0.006454	0.015722	0.057529	-0.006219	0.00349	0.001021	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	48	B24	LTValidMitosisSon384Plate01_01_B24	TRUE	s19093	ENSG00000163636	PSMD6																				0.062032	-0.00784	0.02186	0.025146	0.077405	0.038844	0.010807	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	1/4	1/4	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	49	C1	LTValidMitosisSon384Plate01_01_C1	TRUE	s2747	ENSG00000117399	CDC20																				-0.001737	0.005518	0.04082	0.067746	-0.005356	0.010238	-0.000182	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	50	C2	LTValidMitosisSon384Plate01_01_C2	TRUE	s33989	ENSG00000112238	PRDM13																				-0.002418	-0.005122	0.004674	0.029248	-0.00832	-0.001384	0.000751	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	51	C3	LTValidMitosisSon384Plate01_01_C3	TRUE	s6351	ENSG00000070019	GUCY2C																			x	-0.001178	0.006976	0.024143	0.024083	0.002298	0.00659	0.001344	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	52	C4	LTValidMitosisSon384Plate01_01_C4	TRUE	s30462	ENSG00000140525	FANCI																				-0.006994	-0.000099	-0.006829	0.030459	-0.005183	0.001799	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	53	C5	LTValidMitosisSon384Plate01_01_C5	TRUE	s229174			no perfect match to a gene transcript in Ensembl 53																			-0.002233	-0.006132	-0.014848	0.007801	0.003711	0.000084	0.000057	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
LTValidMitosisSon384Plate01_01	54	C6	LTValidMitosisSon384Plate01_01_C6	TRUE	s9303	ENSG00000116701	NCF2																				0.006561	-0.005585	-0.018374	0.046435	-0.008179	0.007228	0.000879	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	55	C7	LTValidMitosisSon384Plate01_01_C7	TRUE	s23569	ENSG00000049759	NEDD4L																				-0.004454	0.007655	-0.005028	0.012791	-0.002894	0.020341	0.001949	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/4	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	56	C8	LTValidMitosisSon384Plate01_01_C8	TRUE	s31429	ENSG00000136861	CDK5RAP2																				-0.000305	-0.007608	0.010266	0.036862	-0.000143	0.015358	0.003964	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	57	C9	LTValidMitosisSon384Plate01_01_C9	TRUE	s4408	ENSG00000007968	E2F2																				0.01388	0.007168	-0.000223	0.043422	-0.003032	0.00286	0.00051	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	58	C10	LTValidMitosisSon384Plate01_01_C10	TRUE	s9304	ENSG00000116701	NCF2																				0.009399	0.008278	0.001576	-0.000531	0.011084	0.014248	0.011827	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	59	C11	LTValidMitosisSon384Plate01_01_C11	TRUE	s47469	ENSG00000184647	NP_940866.1																				-0.005535	-0.007999	0.024802	0.097184	-0.007039	0.009707	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	60	C12	LTValidMitosisSon384Plate01_01_C12	TRUE	s2761	ENSG00000004897	CDC27																				0.036442	-0.004482	-0.016911	0.052513	0.000468	0.024322	0.000079	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	61	C13	LTValidMitosisSon384Plate01_01_C13	TRUE	s25786	ENSG00000172167	MTBP							x		x											0.028019	0.023754	0.039327	0.091734	-0.004241	0.02847	0.008888	NA	NA	NA	0	0	0	0	3/4	0	2/4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes	yes	multiple replicates of reagent				metaphase delay/arrest (manual)					
LTValidMitosisSon384Plate01_01	62	C14	LTValidMitosisSon384Plate01_01_C14	TRUE	s15905	ENSG00000002822	MAD1L1																				-0.004533	-0.011302	-0.003009	0.026605	-0.008598	0.001803	0.002368	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	63	C15	LTValidMitosisSon384Plate01_01_C15	TRUE	s29845	ENSG00000116922	C1ORF109																				0.003486	-0.001616	0.130639	0.039441	0.010105	0.012327	0.007717	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4/4	0	0	0	0	0	0	0	yes	yes	yes	multiple replicates of reagent							polylobed (automatic)		
LTValidMitosisSon384Plate01_01	64	C16	LTValidMitosisSon384Plate01_01_C16	TRUE	s2325	ENSG00000172137	CALB2																				0.005861	-0.006641	-0.000782	0.051339	0.00051	0.00947	0.008607	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	65	C17	LTValidMitosisSon384Plate01_01_C17	TRUE	s229174			no perfect match to a gene transcript in Ensembl 53																			0.013011	0.003318	0.005168	0.060523	0.008748	0.002274	0.000141	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
LTValidMitosisSon384Plate01_01	66	C18	LTValidMitosisSon384Plate01_01_C18	TRUE	s39664	ENSG00000179943	ZNF579																				-0.0075	-0.004013	-0.017021	0.014883	-0.004314	0.000696	0.000102	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	67	C19	LTValidMitosisSon384Plate01_01_C19	TRUE	s1402	ENSG00000122359	ANXA11																				0.025574	0.015992	0.018496	0.068373	-0.004172	0.016974	0.003429	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	68	C20	LTValidMitosisSon384Plate01_01_C20	TRUE					empty well																		0.015428	0.00468	0.00704	0.079123	-0.006272	0.013275	0.00081	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	69	C21	LTValidMitosisSon384Plate01_01_C21	TRUE	s22580	ENSG00000178764	ZHX2																				-0.004457	-0.003242	0.027062	0.003356	-0.007294	0.002669	0.003279	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
