Replicate,Plate,Well,Gene Identifier %% url=http://www.pombase.org/spombe/result/%s,Gene Identifier Source Database,Strain Name,Gene Symbol,Control Type,Control Comments,Reproducibility of Shape Hits,Reproducibility of microtubule hits,Reproducibility of cell cycle progression hits,Visual Shape Hit,Visual Microtubule Hit,Conservation in S. cerevisiae,Conservation in Vertebrates,Conservation in H. sapiens,Phenotype 1,Ontology Term Name 1a,Term Source Accession 1a,Ontology Term Name 1b,Term Source Accession 1b,Phenotype 2,Ontology Term Name 2a,Term Source Accession 2a,Ontology Term Name 2b,Term Source Accession 2b,Phenotype 3,Ontology Term Name 3a,Term Source Accession 3a,Ontology Term Name 3b,Term Source Accession 3b,Phenotype 4,Ontology Term Name 4a,Term Source Accession 4a,Ontology Term Name 4b,Term Source Accession 4b,Phenotype 5,Ontology Term Name 5a,Term Source Accession 5a,Ontology Term Name 5b,Term Source Accession 5b,Phenotype 6,Ontology Term Name 6a,Term Source Accession 6a,Ontology Term Name 6b,Term Source Accession 6b,Phenotype 7,Ontology Term Name 7a,Term Source Accession 7a,Ontology Term Name 7b,Term Source Accession 7b
1,X_110213_S2_Blue1000,A8,SPBC1711.15c,Pombase,SPBC1711.15c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,A9,SPBC23G7.15c,Pombase,rpp202,rpp202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B1,SPAC5D6.01,Pombase,rps2202,rps2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B10,SPBC30D10.09c,Pombase,SPBC30D10.09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B11,SPBC4B4.06,Pombase,vps25,vps25,,,4/5,2/4,,,,yes,yes,yes,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B12,SPBCPT2R1.03,Pombase,SPBCPT2R1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B2,SPAC6B12.06c,Pombase,rrg9,rrg9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B3,SPAC8E11.04c,Pombase,SPAC8E11.04c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B4,SPAPB17E12.04c,Pombase,csn2,csn2,,,6/8,5/7,,,,,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B5,SPAPB2B4.06,Pombase,SPAPB2B4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B6,SPBC14C8.04,Pombase,SPBC14C8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B7,SPBC16A3.07c,Pombase,nrm1,nrm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B8,SPBC18E5.14c,Pombase,SPBC18E5.14c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,B9,SPBC23G7.16,Pombase,ctr6,ctr6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C1,SPAC5D6.08c,Pombase,mes1,mes1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C10,SPBC31F10.05,Pombase,mug37,mug37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C11,SPBC4C3.12,Pombase,Sep-01,sep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C12,SPBCPT2R1.08c,Pombase,tlh2,tlh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C2,SPAC6B12.15,Pombase,cpc2,cpc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C3,SPACUNK4.19,Pombase,mug153,mug153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C4,SPAPB17E12.05,Pombase,rpl3703,rpl3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C5,SPAPB8E5.02c,Pombase,rpn502,rpn502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C6,SPBC1539.06,Pombase,SPBC1539.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C7,SPBC16C6.05,Pombase,SPBC16C6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C8,SPBC18H10.07,Pombase,SPBC18H10.07,,,,7/10,3/7,,,,yes,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,C9,SPBC24C6.05,Pombase,sec28,sec28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D1,SPAC630.11,Pombase,vps55,vps55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D10,SPBC32F12.08c,Pombase,duo1,duo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D11,SPBC83.04,Pombase,apc15,apc15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D12,SPBP22H7.08,Pombase,rps1002,rps1002,,,4/10,5/9,,,,yes,yes,yes,long cytoplasmic microtubules,elongated cytoplasmic microtubules,CMPO_0000370,,,viable curved vegetative cell,curved cell,CMPO_0000365,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D2,SPAC6F6.09,Pombase,eaf6,eaf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D3,SPAP11E10.01,Pombase,SPAP11E10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D4,SPAPB17E12.08,Pombase,SPAPB17E12.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D5,SPAPJ691.03,Pombase,SPAPJ691.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D6,SPBC1539.08,Pombase,arf6,arf6,,,6/8,6/7,,,,yes,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D7,SPBC16E9.15,Pombase,SPBC16E9.15,,,,,5/6,,,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D8,SPBC19F8.01c,Pombase,spn7,spn7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,D9,SPBC29A10.12,Pombase,SPBC29A10.12,,,,,2/4,,,,yes,yes,yes,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E1,SPAC630.15,Pombase,mug177,mug177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E10,SPBC32H8.05,Pombase,SPBC32H8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E11,SPBC83.19c,Pombase,SPBC83.19c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E12,SPBP4H10.08,Pombase,qcr10,qcr10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E2,SPAC6G9.09c,Pombase,rpl2401,rpl2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E3,SPAP27G11.15,Pombase,slx1,slx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E4,SPAPB17E12.12c,Pombase,SPAPB17E12.12c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E5,SPBC1105.09,Pombase,ubc15,ubc15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E6,SPBC1539.10,Pombase,nop16,nop16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E7,SPBC1703.08c,Pombase,SPBC1703.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E8,SPBC21B10.08c,Pombase,SPBC21B10.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,E9,SPBC29A3.21,Pombase,SPBC29A3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F1,SPAC664.10,Pombase,klp2,klp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F10,SPBC337.09,Pombase,erg28,erg28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F11,SPBC839.14c,Pombase,see1,see1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F12,SPBP4H10.12,Pombase,SPBP4H10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F2,SPAC750.08c,Pombase,SPAC750.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F3,SPAP27G11.16,Pombase,SPAP27G11.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F4,SPAPB17E12.14c,Pombase,SPAPB17E12.14c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F5,SPBC11C11.07,Pombase,rpl1801,rpl1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F6,SPBC15D4.02,Pombase,gsf1,gsf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F7,SPBC1703.11,Pombase,SPBC1703.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F8,SPBC21C3.11,Pombase,ubx4,ubx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,F9,SPBC29B5.03c,Pombase,rpl26,rpl26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G1,SPAC683.03,Pombase,SPAC683.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G10,SPBC337.16,Pombase,cho1,cho1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G11,SPBC887.08,Pombase,SPBC887.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G12,SPBP8B7.22,Pombase,erd2,erd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G2,SPAC823.02,Pombase,SPAC823.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G3,SPAPB17E12.02,Pombase,yip12,yip12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G4,SPAPB18E9.04c,Pombase,SPAPB18E9.04c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G5,SPBC1348.01,Pombase,SPBC1348.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G6,SPBC15D4.06,Pombase,naa30,naa30,,,,4/7,,,,yes,yes,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G7,SPBC1709.18,Pombase,tif452,tif452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G8,SPBC21D10.08c,Pombase,SPBC21D10.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,G9,SPBC2D10.16,Pombase,mhf1,mhf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H1,SPAC694.03,Pombase,SPAC694.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H10,SPBC3B9.05,Pombase,SPBC3B9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H11,SPBC8D2.02c,Pombase,vps68,vps68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H12,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H2,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H3,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H4,SPAPB1E7.07,Pombase,glt1,glt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H5,SPBC1348.14c,Pombase,ght7,ght7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H6,SPBC1604.18c,Pombase,SPBC1604.18c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H7,SPBC1711.14,Pombase,rec15,rec15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H8,SPBC23E6.05,Pombase,arx1,arx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H9,SPBC2D10.20,Pombase,ubc1,ubc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A1,SPAC589.11,Pombase,mug82,mug82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A10,SPBC2G2.05,Pombase,rpl1603,rpl1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A11,SPBC3D6.09,Pombase,dpb4,dpb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A12,SPBCPT2R1.02,Pombase,SPBCPT2R1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A2,,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A3,SPAC8C9.19,Pombase,SPAC8C9.19,,,,8/9,4/8,3/6,,yes,yes,yes,,viable stubby vegetative cell,stubby cell,CMPO_0000367,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,IP increased,more cells with interphase microtubule arrays,CMPO_0000383,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,PAA reduced,not available yet,not available yet,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A4,SPAPB17E12.03,Pombase,SPAPB17E12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A5,SPAPB21F2.03,Pombase,slx9,slx9,,,,2/4,,,,,yes,yes,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A6,SPBC146.10,Pombase,mug57,mug57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A7,SPBC1685.10,Pombase,rps27,rps27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A8,SPBC1711.15c,Pombase,SPBC1711.15c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A9,SPBC23G7.15c,Pombase,rpp202,rpp202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B1,SPAC5D6.01,Pombase,rps2202,rps2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B10,SPBC30D10.09c,Pombase,SPBC30D10.09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B11,SPBC4B4.06,Pombase,vps25,vps25,,,4/5,2/4,,,,yes,yes,yes,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B12,SPBCPT2R1.03,Pombase,SPBCPT2R1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B2,SPAC6B12.06c,Pombase,rrg9,rrg9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B3,SPAC8E11.04c,Pombase,SPAC8E11.04c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B4,SPAPB17E12.04c,Pombase,csn2,csn2,,,6/8,5/7,,,,,yes,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B5,SPAPB2B4.06,Pombase,SPAPB2B4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B6,SPBC14C8.04,Pombase,SPBC14C8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B7,SPBC16A3.07c,Pombase,nrm1,nrm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B8,SPBC18E5.14c,Pombase,SPBC18E5.14c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,B9,SPBC23G7.16,Pombase,ctr6,ctr6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C1,SPAC5D6.08c,Pombase,mes1,mes1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C10,SPBC31F10.05,Pombase,mug37,mug37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C11,SPBC4C3.12,Pombase,Sep-01,Sep-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C12,SPBCPT2R1.08c,Pombase,tlh2,tlh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C2,SPAC6B12.15,Pombase,cpc2,cpc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C3,SPACUNK4.19,Pombase,mug153,mug153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,C4,SPAPB17E12.05,Pombase,rpl3703,rpl3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
