siRNA_ID,Gene_Symbol,Entity_Identifier,Median Deviation Fraction - Shorter Prophase,Median Deviation Fraction - Longer Prophase,Phenotype Reproducibility - Shorter Prophase,Phenotype Reproducibility - Longer Prophase,Phenotype,Term Name,Term Source REF,Term Source Accession,Phenotype,Term Name,Term Source REF,Term Source Accession
s16186,IKBKG,ENSG00000073009,0.01,0.03,0,1/4,,,,,,,,
s16187,IKBKG,ENSG00000073009,not available,not available,0,0,,,,,,,,
s16194,HAT1,ENSG00000128708,0,-0.03,0,0,,,,,,,,
s16196,HAT1,ENSG00000128708,-0.08,-0.1,0,0,,,,,,,,
s17227,UBE1C,ENSG00000144744,-0.07,-0.03,0,0,,,,,,,,
s17228,UBE1C,ENSG00000144744,0.05,-0.08,0,1/4,,,,,,,,
s17425,SMC3,ENSG00000108055,0.02,-0.05,0,0,,,,,,,,
s17426,SMC3,ENSG00000108055,-0.08,-0.01,0,1/3,,,,,,,,
s17997,SEP15_HUMAN,ENSG00000183291,-0.04,0.1,0,2/3,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s17998,SEP15_HUMAN,ENSG00000183291,0.32,-0.03,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s18296,POLR1C,ENSG00000171453,-0.06,-0.06,0,0,,,,,,,,
s19030,GINS1,ENSG00000101003,-0.03,0.08,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s19031,GINS1,ENSG00000101003,-0.12,0.06,0,1/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s19233,NCAPD2,ENSG00000010292,0.07,-0.03,0,0,,,,,,,,
s19235,NCAPD2,ENSG00000010292,0.16,-0.08,0,0,,,,,,,,
s19398,REC8,ENSG00000100918,not available,not available,0,0,,,,,,,,
s19399,REC8,ENSG00000100918,-0.07,0.02,0,0,,,,,,,,
s195331,PRM3,ENSG00000178257,not available,not available,1/1,0,,,,,,,,
s195332,PRM3,ENSG00000178257,0.1,-0.11,0,1/3,,,,,,,,
s19539,SMC4,ENSG00000113810,0.47,-0.22,1/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s19540,SMC4,ENSG00000113810,0.41,-0.02,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s196071,H1FNT,ENSG00000187166,-0.12,0.11,1/4,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s19892,NUTF2,ENSG00000102898,0.18,-0.03,2/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s19893,NUTF2,ENSG00000102898,-0.1,-0.03,1/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s20068,AKAP8,ENSG00000105127,0.25,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s20069,AKAP8,ENSG00000105127,-0.16,0.03,1/4,1/4,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s20350,NDC80,ENSG00000080986,0.14,-0.03,0,0,,,,,,,,
s20351,NDC80,ENSG00000080986,-0.22,-0.01,0,1/3,,,,,,,,
s20793,SMC2,ENSG00000136824,0.4,-0.08,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s20794,SMC2,ENSG00000136824,0.42,-0.04,4/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s2083,BRCA2,ENSG00000139618,-0.09,0.1,0,1/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s2085,BRCA2,ENSG00000139618,-0.08,0.06,0,1/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s20866,POLR3C,ENSG00000186141,0.01,0.03,0,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s20867,POLR3C,ENSG00000186141,-0.15,0.11,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s21184,NEK6,ENSG00000119408,0.18,-0.04,1/4,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s21185,NEK6,ENSG00000119408,-0.11,0.15,1/3,2/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s21307,RUVBL2,ENSG00000183207,0.05,0.15,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s21308,RUVBL2,ENSG00000183207,0.14,-0.01,0,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s21582,STIP1,ENSG00000168439,-0.06,-0.01,1/4,0,,,,,,,,
s21583,STIP1,ENSG00000168439,-0.17,0.11,0,1/4,,,,,,,,
s21758,POLS,ENSG00000112941,-0.07,0.03,1/3,1/3,,,,,,,,
s21759,POLS,ENSG00000112941,0.11,-0.08,0,0,,,,,,,,
s21902,PRDM5,ENSG00000138738,0,0.01,0,0,,,,,,,,
s22005,PTP4A3,ENSG00000184489,-0.07,0.02,0,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s22007,PTP4A3,ENSG00000184489,-0.11,0.12,0,3/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s223193,PRDM5,ENSG00000138738,-0.05,0.01,0,1/4,,,,,,,,
s223732,SMC1B,ENSG00000077935,-0.02,0.1,1/3,1/3,,,,,,,,
s224705,TAL1,ENSG00000162367,0.35,-0.01,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s225156,POLR1C,ENSG00000171453,0.1,-0.15,0,0,,,,,,,,
s226802,NCAPG2,ENSG00000146918,0.43,-0.12,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s22911,PDS5B,ENSG00000083642,0.08,0.03,0,1/4,,,,,,,,
s22912,PDS5B,ENSG00000083642,not available,not available,0,0,,,,,,,,
s23530,NCAPD3,ENSG00000151503,0.61,-0.22,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s23531,NCAPD3,ENSG00000151503,0.42,-0.06,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s23733,NCAPH,ENSG00000121152,0.08,-0.05,1/4,0,,,,,,,,
s23734,NCAPH,ENSG00000121152,0.22,-0.1,1/2,0,,,,,,,,
s23883,CBX5,ENSG00000094916,0.28,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s23885,CBX5,ENSG00000094916,0.26,0.06,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s25157,TRAF3IP1,ENSG00000204104,0.28,-0.04,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s25158,TRAF3IP1,ENSG00000204104,0.17,0.01,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s25212,INTS1,ENSG00000164880,-0.05,0.08,0,2/4,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,longer prophase,increased duration of mitotic prophase,,CMPO_0000328
s25213,INTS1,ENSG00000164880,0.21,0.01,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,longer prophase,increased duration of mitotic prophase,,CMPO_0000328
s25865,SMC1B,ENSG00000077935,0.05,-0.01,1/4,0,,,,,,,,
s26184,PRPF19,ENSG00000110107,-0.14,0.01,0,0,,,,,,,,
s26185,PRPF19,ENSG00000110107,0.05,-0.01,0,1/3,,,,,,,,
s26584,NCAPH2,ENSG00000025770,0.49,-0.09,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s26586,NCAPH2,ENSG00000025770,0.51,-0.08,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s27482,SBDS,ENSG00000126524,0.11,0.06,1/2,0,,,,,,,,
s27483,SBDS,ENSG00000126524,0.26,-0.08,1/3,0,,,,,,,,
s27673,NUSAP1,ENSG00000137804,0.08,0.07,1/4,0,,,,,,,,
s27674,NUSAP1,ENSG00000137804,0.07,0.01,0,0,,,,,,,,
s29693,NCAPG2,ENSG00000146918,0.48,-0.07,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s31392,CHFR,ENSG00000072609,-0.03,-0.03,0,1/3,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s31393,CHFR,ENSG00000072609,0.33,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s34513,NCAPG,ENSG00000109805,0,0.07,0,0,,,,,,,,
s34515,NCAPG,ENSG00000109805,-0.08,0.08,0,0,,,,,,,,
s34566,PJA1,ENSG00000181191,0.23,-0.06,2/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s34567,PJA1,ENSG00000181191,0.02,0,1/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s34602,PAPD5,ENSG00000121274,-0.21,0.18,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s34604,PAPD5,ENSG00000121274,-0.05,0.05,0,1/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s36004,MCPH1,ENSG00000147316,-0.23,0.24,0,3/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s36005,MCPH1,ENSG00000147316,-0.37,0.73,0,3/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s37878,SEH1L,ENSG00000085415,-0.01,0,0,0,,,,,,,,
s37879,SEH1L,ENSG00000085415,-0.04,-0.03,0,0,,,,,,,,
s37975,TTC25,ENSG00000204815,-0.06,-0.04,1/3,0,,,,,,,,
s37976,TTC25,ENSG00000204815,-0.04,-0.1,0,0,,,,,,,,
s37981,NUF2,ENSG00000143228,not available,not available,not available,not available,,,,,,,,
s37982,NUF2,ENSG00000143228,0.05,-0.02,1/2,0,,,,,,,,
s38366,TSSK6,ENSG00000178093,-0.04,-0.05,0,0,,,,,,,,
s38367,TSSK6,ENSG00000178093,0.07,-0.1,0,0,,,,,,,,
s41424,CDCA5,ENSG00000146670,0.31,-0.04,2/4,1/4,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s41425,CDCA5,ENSG00000146670,0.28,-0.05,1/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s4221,DNMT3B,ENSG00000088305,0.05,0.05,0,1/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s4223,DNMT3B,ENSG00000088305,-0.25,0.21,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s43430,TAF8,ENSG00000137413,not available,not available,0,0,,,,,,,,
s43431,TAF8,ENSG00000137413,0.03,0.04,0,1/4,,,,,,,,
s464,CDC2 (CDK1),ENSG00000170312,-0.42,0.21,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s465,CDC2 (CDK1),ENSG00000170312,-0.25,0.2,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s50854,H1FNT,ENSG00000187166,-0.22,0.04,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s51200,STRA8,ENSG00000146857,0.2,-0.16,1/4,0,,,,,,,,
s51201,STRA8,ENSG00000146857,-0.09,0,0,0,,,,,,,,
s51513,GSTK1,ENSG00000197448,-0.02,-0.08,0,0,,,,,,,,
s51514,GSTK1,ENSG00000197448,0.03,0.03,0,0,,,,,,,,
s51519,HILS1,ENSG00000188662,-0.05,0.02,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s51520,HILS1,ENSG00000188662,0.13,0.01,2/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s523,RB1,ENSG00000139687,-0.02,-0.03,0,0,,,,,,,,
s524,RB1,ENSG00000139687,-0.02,0.02,0,0,,,,,,,,
s6323,BRF1,ENSG00000185024,0.23,-0.01,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s6324,BRF1,ENSG00000185024,0.41,-0.1,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s64,PLK2,ENSG00000145632,0.07,-0.05,0,0,,,,,,,,
s6411,H2AFX,ENSG00000188486,0.28,-0.03,1/3,1/3,,,,,,,,
s6412,H2AFX,ENSG00000188486,0.09,0.04,0,0,,,,,,,,
s65,PLK2,ENSG00000145632,0.01,-0.03,0,1/4,,,,,,,,
s6953,HSF2,ENSG00000025156,0.08,-0.01,0,0,,,,,,,,
s6954,HSF2,ENSG00000025156,not available,not available,0,0,,,,,,,,
s73,HDAC1,ENSG00000116478,0.07,-0.03,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s74,HDAC1,ENSG00000116478,0.32,-0.08,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s791,RAD50,ENSG00000113522,0.02,0.01,0,1/4,,,,,,,,
s7911,KIF22,ENSG00000079616,0.18,-0.03,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s7912,KIF22,ENSG00000079616,-0.09,0.03,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s793,RAD50,ENSG00000113522,0.02,-0.05,1/4,0,,,,,,,,
s8179,LIG4,ENSG00000174405,0.08,-0.08,0,0,,,,,,,,
s8180,LIG4,ENSG00000174405,0.04,-0.01,0,1/4,,,,,,,,
s9129,MYC,ENSG00000136997,0.12,-0.07,0,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s9131,MYC,ENSG00000136997,-0.05,0.06,0,1/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s9676,NPM1,ENSG00000181163,0.04,0.06,0,0,,,,,,,,
s9677,NPM1,ENSG00000181163,0.17,-0.03,0,0,,,,,,,,
