Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of microtubule hits	Reproducibility of cell cycle progression hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Phenotype 1	Ontology Term Name 1a	Term Source Accession 1a	Ontology Term Name 1b	Term Source Accession 1b	Phenotype 2	Ontology Term Name 2a	Term Source Accession 2a	Ontology Term Name 2b	Term Source Accession 2b	Phenotype 3	Ontology Term Name 3a	Term Source Accession 3a	Ontology Term Name 3b	Term Source Accession 3b	Phenotype 4	Ontology Term Name 4a	Term Source Accession 4a	Ontology Term Name 4b	Term Source Accession 4b	Phenotype 5	Ontology Term Name 5a	Term Source Accession 5a	Ontology Term Name 5b	Term Source Accession 5b	Phenotype 6	Ontology Term Name 6a	Term Source Accession 6a	Ontology Term Name 6b	Term Source Accession 6b	Phenotype 7	Ontology Term Name 7a	Term Source Accession 7a	Ontology Term Name 7b	Term Source Accession 7b
SPAC31A2.11c	cuf1	10/10	6/8				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPBC3H7.10	elp6	7/7	6/6				yes			long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPCC11E10.06c	elp4	5/5	4/4		yes		yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPAC18G6.15	mal3		7/7	5/9			yes			PAA increased	not available yet	not available yet			short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	IP reduced	fewer cells with interphase microtubule arrays	CMPO_0000388																	
SPAC1610.02c		3/8	6/8	3/6			yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet																	
SPAC8F11.02c	dph3	4/8	3/7	3/6			yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet																	
SPAC1783.02c	vps66		5/8	5/8			yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet			SP reduced	fewer cells with metaphase spindles	CMPO_0000387																	
SPAC29B12.04	snz1		4/7	6/6			yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet			SP reduced	fewer cells with metaphase spindles	CMPO_0000387																	
SPAC31A2.02	trm112	7/7		2/5			yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366			SP reduced	fewer cells with metaphase spindles	CMPO_0000387																	
SPBC19C2.10		5/5					yes			viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable spheroid vegetative cell	round cell	CMPO_0000118			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366																	
SPAPYUG7.02c	sin1	10/10	9/9				yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC630.14c	tup12	9/9	7/8				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPBC1105.04c	cbp1		5/7	2/4	yes		yes	yes	yes	PAA reduced	not available yet	not available yet			short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC584.11c		6/9	5/7				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC63.02c	aah3	7/7	2/5				yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC29A4.20	elp3	10/10	8/8				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPBC19C2.02	pmt1	4/9	4/9				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC13C5.07	mre11	8/8	5/7			yes	yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC1556.01c	rad50	7/8	5/6		yes	yes	yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC16C9.05	cph1	8/8	6/8				yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC17A2.09c	csx1	10/10	5/8				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC27D7.06		4/6	4/5				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC3C7.03c	rad55	8/10	10/10							viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC3H8.05c	mms1	4/9	7/9				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC664.03		7/7	5/7				yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAPB1E7.02c	mcl1	7/7	6/6				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC188.07	ccq1	8/8	6/6				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC306.04c	set1	6/8	5/8					yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC338.08	ctp1	4/8	5/8				yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC338.16	pof3	9/10	7/10				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPCC594.05c	spf1	6/12	8/11				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC1142.07c	vps32	7/7	3/6		yes	yes	yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC3A11.02	cps3	5/9	4/9				yes			viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC637.10c	rpn10	4/9	3/7		yes		yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																				
SPAC3H8.07c	pac10		5/5	3/6			yes			SP increased	more cells with metaphase spindles	CMPO_0000278			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	IP reduced	fewer cells with interphase microtubule arrays	CMPO_0000388																						
SPAC2F7.03c	pom1	4/8		5/8				yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			PAA increased	not available yet	not available yet			IP reduced	fewer cells with interphase microtubule arrays	CMPO_0000388																						
SPAC1F7.13c	rpl801		2/5	2/4	yes		yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet																						
SPAC823.10c			4/10	4/9			yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet																						
SPBC106.07c			4/7	2/4			yes	yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet																						
SPBC713.11c	pmp3			2/5			yes	yes		IP increased	more cells with interphase microtubule arrays	CMPO_0000383			IP2 increased	more cells with interphase microtubule arrays	CMPO_0000383			PAA reduced	not available yet	not available yet																						
SPAC23A1.16c	rtr1	4/4					yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			S-shaped cell	S-shaped cell	CMPO_0000364																						
