Plate,Well Number,Well,Gene Identifier %%  url=http://www.ensembl.org/id/%s,Gene Symbol,Alias,Description,GO Biological Process,GO Molecular Function,GO Cellular Component,GO Term,Strain,Batch,Control Type,Control Comments,Quality Control,Comment,Number Of Cells,Number of Cells with Foci,Percentage Cells With Foci,Author Hit,Phenotype
P101,15,B3,YAL049C,AIM2,,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,biological_process,molecular_function,cytoplasm,"biological_process, cytoplasm, molecular_function",BY4739,01_1,,,,,300,12,4,no,
P101,16,B4,YAL048C,GEM1,GON1,"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death","transport, vesicle-mediated transport, mitochondrion organization",hydrolase activity,"membrane, mitochondrial envelope, mitochondrion, cytoplasm","cytoplasm, hydrolase activity, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, vesicle-mediated transport",BY4739,01_1,,,,images not available,226,14,6.2,no,
P101,17,B5,YAL046C,AIM1,,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss,biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,221,10,4.5,no,
P101,18,B6,YAL045C,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,195,5,2.6,no,
P101,19,B7,YAL044C,GCV3,,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF","cellular amino acid and derivative metabolic process, protein modification process",oxidoreductase activity,"mitochondrion, cytoplasm","amino acid and derivative metabolic process, cytoplasm, mitochondrion, other, oxidoreductase activity",BY4739,01_1,,,,,212,8,3.8,no,
P101,20,B8,YAL042W,ERV46,FUN9,"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport","transport, vesicle-mediated transport",molecular_function,"membrane, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, cytoplasm, Golgi apparatus","Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, membrane, molecular_function, transport, vesicle-mediated transport",BY4739,01_1,,,,,231,6,2.6,no,
P101,21,B9,YAL042C-A,,YAL043C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,244,14,5.7,no,
P101,22,B10,YAL040C,CLN3,WHI1|FUN10|DAF1,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis","vacuole organization, transcription, cell cycle, cellular membrane organization, RNA metabolic process",enzyme regulator activity,nucleus,"cell cycle, enzyme regulator activity, membrane organization and biogenesis, nucleus, organelle organization and biogenesis, other",BY4739,01_1,,,,,266,20,7.5,no,
P101,23,B11,YAL037W,,,Putative protein of unknown function,biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,images not available,250,18,7.2,no,
P101,24,B12,YAL036C,RBG1,FUN11,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",biological_process,other,cytoplasm,"cytoplasm, other, ribosome biogenesis",BY4739,01_1,,,,images not available,234,10,4.3,no,
P101,25,C1,YAL035W,FUN12,eIF5B|yIF2,"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2",translation,"RNA binding, hydrolase activity","ribosome, mitochondrion, cytoplasm","cytoplasm, hydrolase activity, mitochondrion, ribosome, translation, translation regulator activity",BY4739,01_1,,,,,312,16,5.1,no,
P101,26,C2,YAL034C,FUN19,,Non-essential protein of unknown function; expression induced in response to heat stress,biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,197,2,1,no,
P101,27,C3,YAL031C,GIP4,FUN21,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,chromosome segregation,"protein binding, enzyme regulator activity",cytoplasm,"cytoplasm, enzyme regulator activity, other, protein binding",BY4739,01_1,,,,,338,10,3,no,
P101,28,C4,YAL030W,SNC1,,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins,"transport, vesicle organization, vesicle-mediated transport, cellular membrane organization",protein binding,"cellular bud, cytoplasmic membrane-bounded vesicle, membrane, site of polarized growth, Golgi apparatus, cytoplasm, plasma membrane","Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, membrane, membrane organization and biogenesis, organelle organization and biogenesis, protein binding, transport, vesicle-mediated transport",BY4739,01_1,,,,,209,5,2.4,no,
P101,29,C5,YAL029C,MYO4,SHE1|FUN22,"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p",DNA metabolic process,"motor activity, hydrolase activity, protein binding","cytoskeleton, mitochondrion, cellular bud, site of polarized growth, cytoplasm","DNA metabolic process, cellular bud, cytoskeleton, mitochondrion, motor activity, organelle organization and biogenesis, other, protein binding",BY4739,01_1,,,,,267,7,2.6,no,
P101,30,C6,YAL028W,FRT2,HPH2,"Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress; potential Cdc28p substrate",response to stress,molecular_function,"endoplasmic reticulum, cytoplasm","endoplasmic reticulum, molecular_function, response to stress",BY4739,01_1,,,,,194,12,6.2,no,
P101,31,C7,YAL026C,DRS2,SWA3|FUN38,Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease,"transport, vesicle-mediated transport, ribosome biogenesis, cellular membrane organization","transporter activity, hydrolase activity","cytoplasm, Golgi apparatus","Golgi apparatus, cytoplasm, hydrolase activity, membrane organization and biogenesis, organelle organization and biogenesis, ribosome biogenesis, transport, transporter activity, vesicle-mediated transport",BY4739,01_1,,,,,230,25,10.9,no,
P101,32,C8,YAL023C,PMT2,FUN25,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals","cellular carbohydrate metabolic process, protein modification process",transferase activity,"endoplasmic reticulum, cytoplasm","endoplasmic reticulum, protein modification process, transferase activity",BY4739,01_1,,,,,290,8,2.8,no,
P101,33,C9,YAL022C,FUN26,,Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes,transport,transporter activity,membrane,"membrane, other, transport, transporter activity",BY4739,01_1,,,,images not available,290,72,24.8,no,
P101,34,C10,YAL021C,CCR4,NUT21|FUN27,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening","signaling process, transcription, cell cycle, DNA metabolic process, RNA metabolic process",hydrolase activity,"nucleus, cytoplasm","DNA metabolic process, RNA metabolic process, cell cycle, cytoplasm, hydrolase activity, nucleus, response to chemical stimulus, transcription",BY4739,01_1,,,,images not available,264,10,3.8,no,
P101,35,C11,YAL020C,ATS1,KTI13|FUN28,"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle","cell budding, cytoskeleton organization, RNA metabolic process",molecular_function,cytoplasm,"RNA metabolic process, cell budding, cytoplasm, cytoskeleton organization and biogenesis, molecular_function, organelle organization and biogenesis",BY4739,01_1,,,,images not available,318,34,10.7,no,
P101,36,C12,YAL019W,FUN30,,"Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","chromosome organization, transcription, RNA metabolic process",molecular_function,"nucleus, chromosome, mitochondrion, cytoplasm","mitochondrion, molecular_function, nucleus, organelle organization and biogenesis",BY4739,01_1,,,,images not available,284,36,12.7,no,
P101,37,D1,YAL018C,,,Putative protein of unknown function,biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,241,12,5,no,
P101,38,D2,YAL017W,PSK1,FUN31,One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status,"cellular carbohydrate metabolic process, generation of precursor metabolites and energy, protein modification process","transferase activity, protein kinase activity",cytoplasm,"carbohydrate metabolic process, cell wall organization and biogenesis, cytoplasm, protein kinase activity, protein modification process, transferase activity",BY4739,01_1,,,,,222,12,5.4,no,
P101,39,D3,YAL015C,NTG1,SCR1|FUN33,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress,"mitochondrion organization, response to chemical stimulus, response to stress, DNA metabolic process","hydrolase activity, lyase activity","nucleus, mitochondrion, cytoplasm","DNA metabolic process, hydrolase activity, lyase activity, mitochondrion, nucleus, response to stress",BY4739,01_1,,,,,328,6,1.8,no,
P101,40,D4,YAL014C,SYN8,SLT2|UIP2,Endosomal SNARE related to mammalian syntaxin 8,transport,protein binding,cytoplasm,"cytoplasm, protein binding, transport",BY4739,01_1,,,,,199,6,3,no,
P101,41,D5,YAL013W,DEP1,FUN54,"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation","transcription, protein modification process, cellular lipid metabolic process, chromosome organization, DNA metabolic process, RNA metabolic process","transcription regulator activity, hydrolase activity","nucleus, chromosome","RNA metabolic process, hydrolase activity, lipid metabolic process, nucleus, organelle organization and biogenesis, protein modification process, transcription, transcription regulator activity",BY4739,01_1,,,,,200,8,4,no,
P101,42,D6,YAL011W,SWC3,SWC1,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",chromosome organization,molecular_function,"nucleus, chromosome, mitochondrion, cytoplasm","mitochondrion, molecular_function, nucleus, organelle organization and biogenesis, response to chemical stimulus",BY4739,01_1,,,,,171,6,3.5,no,
P101,43,D7,YAL010C,MDM10,FUN37,"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins","transport, mitochondrion organization, protein complex biogenesis, cellular membrane organization",molecular_function,"endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, cytoplasm","cytoplasm, membrane, membrane organization and biogenesis, mitochondrial envelope, mitochondrion, molecular_function, organelle organization and biogenesis, other, transport",BY4739,01_1,,,,,200,20,10,no,
P101,44,D8,YAL009W,SPO7,,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation","meiosis, sporulation resulting in formation of a cellular spore, cellular lipid metabolic process, cell cycle, nucleus organization, cellular membrane organization","hydrolase activity, phosphoprotein phosphatase activity","endomembrane system, membrane","endomembrane system, meiosis, membrane, nuclear organization and biogenesis, phosphoprotein phosphatase activity, sporulation",BY4739,01_1,,,,,181,9,5,no,
P101,45,D9,YAL008W,FUN14,,Mitochondrial protein of unknown function,biological_process,molecular_function,"membrane, mitochondrial envelope, mitochondrion, cytoplasm","biological_process, cytoplasm, membrane, mitochondrial envelope, mitochondrion, molecular_function",BY4739,01_1,,,,,176,11,6.3,no,
P101,46,D10,YAL007C,ERP2,,"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles","transport, vesicle-mediated transport",molecular_function,"cytoplasmic membrane-bounded vesicle, cytoplasm","Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, molecular_function, transport, vesicle-mediated transport",BY4739,01_1,,,,images not available,220,30,13.6,no,
P101,47,D11,YAL004W,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,images not available,230,20,8.7,no,
P101,48,D12,YAL005C,SSA1,YG100,"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall","transport, mitochondrion organization, translation, response to stress, protein folding","hydrolase activity, protein binding","nucleus, membrane fraction, vacuole, cell wall, membrane, cytoplasm","cell wall, cytoplasm, hydrolase activity, membrane, nucleus, organelle organization and biogenesis, protein binding, protein folding, response to stress, translation, transport, vacuole",BY4739,01_1,,,,images not available,170,6,3.5,no,
P101,49,E1,YAL002W,VPS8,VPL8|VPT8|FUN15,Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif,"transport, vesicle-mediated transport",molecular_function,"membrane fraction, cytoplasm","cytoplasm, membrane fraction, molecular_function, transport, vesicle-mediated transport",BY4739,01_1,,,,,175,2,1.1,no,
P101,50,E2,YAR002W,NUP60,,"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; potential Cdc28p substrate; involved in telomere maintenance","transport, protein complex biogenesis",structural molecule activity,"nucleus, membrane, endomembrane system","endomembrane system, membrane, nucleus, structural molecule activity, transport",BY4739,01_1,,,,,180,44,24.4,yes,increased level of spontaneous Rad52-YFP foci
P101,51,E3,YAR003W,SWD1,SAF49|CPS50|FUN16,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7","chromosome organization, transcription, DNA metabolic process, protein modification process, RNA metabolic process",transferase activity,nucleus,"RNA metabolic process, nucleus, organelle organization and biogenesis, protein modification process, transcription, transferase activity",BY4739,01_1,,,,,178,2,1.1,no,
P101,52,E4,YAR014C,BUD14,,"Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern","cytoskeleton organization, transcription, protein complex biogenesis, RNA metabolic process",enzyme regulator activity,"cellular bud, site of polarized growth","RNA metabolic process, anatomical structure morphogenesis, cellular bud, cytoskeleton organization and biogenesis, enzyme regulator activity, other, site of polarized growth, transcription",BY4739,01_1,,,,,184,3,1.6,no,
P101,53,E5,YAR015W,ADE1,,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine",heterocycle metabolic process,ligase activity,"nucleus, cytoplasm","cytoplasm, ligase activity, nucleus, other, response to chemical stimulus",BY4739,01_1,,,,,192,4,2.1,no,
P101,54,E6,YAR018C,KIN3,NPK1|FUN52,Nonessential protein kinase with unknown cellular role,chromosome segregation,"transferase activity, protein kinase activity",cellular_component,"cellular_component, other, protein kinase activity",BY4739,01_1,,,,,230,9,3.9,no,
P101,55,E7,YAR020C,PAU7,,"Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,204,5,2.5,no,
P101,56,E8,YAR023C,,,"Putative integral membrane protein, member of DUP240 gene family",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,196,5,2.6,no,
P101,57,E9,YAR027W,UIP3,,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,biological_process,molecular_function,"nucleus, endomembrane system","biological_process, endomembrane system, molecular_function, nucleus",BY4739,01_1,,,,,172,8,4.7,no,
P101,58,E10,YAR028W,,,"Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,images not available,228,12,5.3,no,
P101,59,E11,YAR029W,,,Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern,biological_process,molecular_function,cytoplasm,"biological_process, cytoplasm, molecular_function",BY4739,01_1,,,,images not available,242,24,9.9,no,
P101,60,E12,YAR031W,PRM9,,"Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family",vesicle organization,molecular_function,"membrane, endoplasmic reticulum, plasma membrane, cytoplasm","endoplasmic reticulum, membrane, molecular_function, organelle organization and biogenesis, plasma membrane, response to chemical stimulus",BY4739,01_1,,,,images not available,224,14,6.3,no,
P101,61,F1,YAR030C,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,326,0,0,no,
P101,62,F2,YAR035W,YAT1,,"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated","cellular amino acid and derivative metabolic process, vitamin metabolic process",transferase activity,"mitochondrion, cytoplasm","amino acid and derivative metabolic process, mitochondrion, other, transferase activity, vitamin metabolic process",BY4739,01_1,,,,,184,5,2.7,no,
P101,63,F3,YAR037W,,,,,,,,BY4739,01_1,,,,,,,,no,
P101,64,F4,YAR040C,,,,,,,,BY4739,01_1,,,,,,,,no,
P101,65,F5,YAR042W,SWH1,OSH1|YAR044W,Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction,"transport, vesicle-mediated transport, cellular membrane organization","lipid binding, transporter activity","nucleus, endomembrane system, endoplasmic reticulum, Golgi apparatus, cytoplasm","Golgi apparatus, anatomical structure morphogenesis, cytoplasm, endomembrane system, endoplasmic reticulum, lipid binding, membrane organization and biogenesis, nucleus, transport, vesicle-mediated transport",BY4739,01_1,,,,,238,5,2.1,no,
P101,66,F6,YAR043C-a,,,,,,,,BY4739,01_1,,,,,,,,no,
P101,67,F7,YAR044W,,,,,,,,BY4739,01_1,,,,,,,,no,
P101,68,F8,YAR047C,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,267,6,2.2,no,
P101,69,F9,YLL001W,DNM1,,Dynamin-related GTPase required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance,"mitochondrion organization, peroxisome organization, protein complex biogenesis","hydrolase activity, protein binding","peroxisome, mitochondrion, membrane, mitochondrial envelope, cytoplasm","cytoplasm, hydrolase activity, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, other, protein binding",BY4742,12_1,,,,,334,4,1.2,no,
P101,70,F10,YLL002W,RTT109,KAT11|REM50|KIM2,Histone acetyltransferase critical for cell survival in the presence of DNA damage during S phase; acetylates H3-K56 and H3-K9; involved in non-homologous end joining and in regulation of Ty1 transposition; interacts physically with Vps75p,"transcription, transposition, protein modification process, response to stress, chromosome organization, DNA metabolic process, RNA metabolic process",transferase activity,nucleus,"DNA metabolic process, nucleus, organelle organization and biogenesis, protein modification process, response to stress, transferase activity, transposition",BY4742,12_1,,,,images not available,294,158,53.7,yes,increased level of spontaneous Rad52-YFP foci
P101,71,F11,YLL005C,SPO75,,"Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis","sporulation resulting in formation of a cellular spore, cellular component morphogenesis",molecular_function,cellular_component,"cell wall organization and biogenesis, cellular_component, molecular_function, sporulation",BY4742,12_1,,,,images not available,182,9,4.9,no,
P101,72,F12,YLL010C,PSR1,,"Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p",response to stress,"phosphoprotein phosphatase activity, hydrolase activity","membrane, plasma membrane","phosphoprotein phosphatase activity, plasma membrane, response to stress",BY4742,12_1,,,,images not available,222,9,4.1,no,
P101,73,G1,YLL012W,YEH1,,"Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes",other,hydrolase activity,"membrane, cytoplasm","cytoplasm, hydrolase activity, lipid metabolic process, membrane",BY4742,12_1,,,,,204,7,3.4,no,
P101,74,G2,YLL013C,PUF3,,"Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins","mitochondrion organization, generation of precursor metabolites and energy, cellular respiration, RNA metabolic process",RNA binding,"mitochondrion, membrane, mitochondrial envelope, cytoplasm","RNA binding, RNA metabolic process, cellular respiration, cytoplasm, generation of precursor metabolites and energy, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, other",BY4742,12_1,,,,,222,9,4.1,no,
P101,75,G3,YLL014W,EMC6,,Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response,protein folding,molecular_function,"endoplasmic reticulum, cytoplasm","biological_process, endoplasmic reticulum, molecular_function",BY4742,12_1,,,,,182,10,5.5,no,
