Plate,Well Number,Well,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Gene Symbol Alias,Description,Control Type,Control Comments,Quality Control,Quality Control Comments,Comments,Experimental Condition[genotype],Changed in allR,Observation,Phenotype
pro-smt3allR_plate1,57,C9,YDR128W,MTC5,,Protein of unknown function; mtc5 is synthetically sick with cdc13-1,,,,,,pro-smt3allR,yes,cytoplasmic structures or localization,the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
pro-smt3allR_plate1,58,C10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,59,C11,YML104C,MDM1,,"Intermediate filament protein, required for nuclear and mitochondrial transmission to daughter buds; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,60,C12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,61,C13,YHR154W,RTT107,ESC4,"Protein implicated in Mms22-dependent DNA repair during S phase, DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition",,,,,,pro-smt3allR,no,few cells,
pro-smt3allR_plate1,62,C14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,63,C15,YCR092C,Msh3,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,64,C16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,65,C17,YIL031W,Ulp2,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,66,C18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,67,C19,YGL094C,PAN2,,"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,68,C20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,69,C21,YOR160W,MTR10,KAP111,"Nuclear import receptor, mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p; required for retrograde import of mature tRNAs",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,70,C22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,71,C23,YBL085W,BOI1,BOB1|GIN7,"Protein implicated in polar growth, functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,72,C24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,73,D1,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,74,D2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,75,D3,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,76,D4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,77,D5,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,78,D6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,79,D7,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,80,D8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,81,D9,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,82,D10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,83,D11,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,84,D12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,85,D13,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,86,D14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,87,D15,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,88,D16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,89,D17,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,90,D18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,91,D19,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,92,D20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,93,D21,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,94,D22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,95,D23,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,96,D24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,97,E1,YOR346W,REV1,,"Deoxycytidyl transferase, forms a complex with the subunits of DNA polymerase zeta, Rev3p and Rev7p; involved in repair of abasic sites in damaged DNA",,,,,,pro-smt3allR,no,no colony,
pro-smt3allR_plate1,98,E2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,99,E3,YJR089W,BIR1,,"Subunit of chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), which regulates chromosome segregation; required for chromosome bi-orientation and for spindle assembly checkpoint activation upon reduced sister kinetochore tension",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,100,E4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,101,E5,YNL118C,DCP2,PSU1,"Catalytic subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5' cap structure from mRNAs prior to their degradation; member of the Nudix hydrolase family",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,102,E6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,103,E7,YOR127W,RGA1,THE1|DBM1,"GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,104,E8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,105,E9,YBL005W,PDR3,TPE2|AMY2,"Transcriptional activator of the pleiotropic drug resistance network, regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,106,E10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,107,E11,YGL201C,MCM6,,Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,108,E12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,109,E13,YLR187W,SKG3,,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; potential Cdc28p substrate; similar to Caf120p and Skg4p",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,110,E14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,111,E15,YPR019W,MCM4,CDC54|HCD21,Essential helicase component of heterohexameric MCM2-7 complexes which bind pre-replication complexes on DNA and melt the DNA prior to replication; accumulates in the nucleus in G1; homolog of S. pombe Cdc21p,,,,,,pro-smt3allR,yes,more diffuse,the smt3allR GFP signal is more diffuse than WT
pro-smt3allR_plate1,112,E16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,113,E17,YOL090W,Msh2,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,114,E18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,115,E19,YMR080C,NAM7,SUP113|UPF1|MOF4|IFS2,ATP-dependent RNA helicase of the SFI superfamily involved in nonsense mediated mRNA decay; required for efficient translation termination at nonsense codons and targeting of NMD substrates to P-bodies; involved in telomere maintenance,,,,,,pro-smt3allR,yes,some foci,the smt3allR mutant displays GFP foci not detected in WT cells
pro-smt3allR_plate1,116,E20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,117,E21,YER047C,SAP1,,"Putative ATPase of the AAA family, interacts with the Sin1p transcriptional repressor in the two-hybrid system",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,118,E22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,119,E23,YLR045C,STU2,,Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,120,E24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,121,F1,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,122,F2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,123,F3,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,124,F4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,125,F5,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,126,F6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,127,F7,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,128,F8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,129,F9,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,130,F10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,131,F11,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,132,F12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,133,F13,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,134,F14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,135,F15,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,136,F16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,137,F17,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,138,F18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,139,F19,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,140,F20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,141,F21,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,142,F22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,143,F23,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,144,F24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,145,G1,YPL249C,GYP5,,"GTPase-activating protein (GAP) for yeast Rab family members, involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p",,,,,,pro-smt3allR,no,no colony,
pro-smt3allR_plate1,146,G2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,147,G3,,,,,,,,,no annotation available,,,,
pro-smt3allR_plate1,148,G4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,149,G5,YGL163C,RAD54,XRS1,"DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,150,G6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,151,G7,YDR369C,XRS2,,,,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,152,G8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,153,G9,YKR064W,OAF3,,"Zinc cluster protein; regulates transcription in response to oleate levels; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,154,G10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,155,G11,YDR089W,YDR089W,,Protein of unknown function; deletion confers resistance to Nickel,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,156,G12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,157,G13,YER070W,RNR1,SDS12|RIR1|CRT7,"Major isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,158,G14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,159,G15,YDR409W,Siz1,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,160,G16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,161,G17,YAL041W,CDC24,CLS4,"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing",,,,,,pro-smt3allR,yes,,
pro-smt3allR_plate1,162,G18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,163,G19,YOR058C,ASE1,YOR29-09,Mitotic spindle midzone localized microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate,,,,,,pro-smt3allR,yes,brighter and stuck at segregation,the smt3allR mutant has a population of cells that contain GFP signals between mother and daughter cells
pro-smt3allR_plate1,164,G20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,165,G21,YOR373W,NUD1,,"Component of the spindle pole body outer plaque, required for exit from mitosis",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,166,G22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,167,G23,YLL026W,HSP104,,"Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,168,G24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,169,H1,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,170,H2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,171,H3,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,172,H4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,173,H5,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,174,H6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,175,H7,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,176,H8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,177,H9,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,178,H10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,179,H11,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,180,H12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,181,H13,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,182,H14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,183,H15,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,184,H16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,185,H17,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,186,H18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,187,H19,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,188,H20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,189,H21,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,190,H22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,191,H23,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,192,H24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,193,I1,YGL180W,ATG1,APG1|CVT10|AUT3,Protein ser/thr kinase required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p,,,,,,pro-smt3allR,no,no cells,
pro-smt3allR_plate1,194,I2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,195,I3,YFL023W,BUD27,URI1,Unconventional prefoldin protein involved in translation initiation; mutants have inappropriate expression of nutrient sensitive genes due to translational derepression of Gcn4p transcription factor; diploid mutants show random budding,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,196,I4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,197,I5,YPL153C,RAD53,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,198,I6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,199,I7,YBR114W,RAD16,PSO5,Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad7p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,200,I8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,201,I9,YCR077C,PAT1,MRT1,"Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p",,,,,,pro-smt3allR,yes,some foci,the smt3allR mutant displays GFP foci not detected in WT cells
pro-smt3allR_plate1,202,I10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,203,I11,YHR172W,SPC97,,Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,204,I12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,205,I13,YHR205W,SCH9,HRM2|KOM1,"Protein kinase involved in transcriptional activation of osmostress-responsive genes; regulates G1 progression, cAPK activity, nitrogen activation of the FGM pathway; involved in life span regulation; homologous to mammalian Akt/PKB",,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,206,I14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,207,I15,YBR133C,HSL7,,"Protein arginine N-methyltransferase that exhibits septin and Hsl1p-dependent bud neck localization and periodic Hsl1p-dependent phosphorylation; required along with Hsl1p for bud neck recruitment, phosphorylation, and degradation of Swe1p",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,208,I16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,209,I17,YPL032C,SVL3,,"Protein of unknown function, mutant phenotype suggests a potential role in vacuolar function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,210,I18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,211,I19,YNL085W,MKT1,,"Protein that forms a complex with Pbp1p that may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability, drug resistance, and more",,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,212,I20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,213,I21,YDL126C,Cdc48,,,,,,,,pro-smt3allR,no,few cells,
pro-smt3allR_plate1,214,I22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,215,I23,YJL157C,FAR1,,"Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone; also forms a complex with Cdc24p, Ste4p, and Ste18p that may specify the direction of polarized growth during mating; potential Cdc28p substrate",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,216,I24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,217,J1,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,218,J2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,219,J3,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,220,J4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,221,J5,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,222,J6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,223,J7,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,224,J8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,225,J9,,,,,,,,,no annotation available; no image available,,,,
