OriginalPlateName	PlateNameReadable
2011-11-17_X-Man_LOPAC_X11_LP_S02_2	MEK1-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X11_LP_S03_1	MEK1-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X11_LP_S03_2	MEK1-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X11_LP_S04_1	MEK1-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X11_LP_S04_2	MEK1-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X12_LP_S01_1	PARENTAL001_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X12_LP_S01_2	PARENTAL001_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X12_LP_S02_1	PARENTAL001_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X12_LP_S02_2	PARENTAL001_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X12_LP_S03_1	PARENTAL001_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X12_LP_S03_2	PARENTAL001_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X12_LP_S04_1	PARENTAL001_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X12_LP_S04_2	PARENTAL001_LOPAC_Plate_4_Replicate_2
