Replicate,Plate,Well,Gene Identifier,Strain Name,Gene Symbol,Control Type,Control Comments,Reproducibility of Shape Hits,Reproducibility of microtubule hits,Reproducibility of cell cycle progression hits,Visual Shape Hit,Visual Microtubule Hit,Conservation in S. cerevisiae,Conservation in Vertebrates,Conservation in H. sapiens,Mineotaur Hit Type,Phenotype 1,Ontology Term Name 1a,Term Source Accession 1a,Ontology Term Name 1b,Term Source Accession 1b,Phenotype 2,Ontology Term Name 2a,Term Source Accession 2a,Ontology Term Name 2b,Term Source Accession 2b,Phenotype 3,Ontology Term Name 3a,Term Source Accession 3a,Ontology Term Name 3b,Term Source Accession 3b,Phenotype 4,Ontology Term Name 4a,Term Source Accession 4a,Ontology Term Name 4b,Term Source Accession 4b,Phenotype 5,Ontology Term Name 5a,Term Source Accession 5a,Ontology Term Name 5b,Term Source Accession 5b,Phenotype 6,Ontology Term Name 6a,Term Source Accession 6a,Ontology Term Name 6b,Term Source Accession 6b,Phenotype 7,Ontology Term Name 7a,Term Source Accession 7a,Ontology Term Name 7b,Term Source Accession 7b
1,X_110222_S1,C10,SPAC212.03,SPAC212.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C11,SPAC25G10.06,rps2801,rps2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C12,SPAC3G6.02,rpn15,rpn15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C2,SPAC17G8.09,shg1,shg1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C3,SPAC2F3.18c,SPAC2F3.18c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C4,SPAC57A10.06,mug15,mug15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C5,SPBC1347.07,rex2,rex2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C6,SPBC56F2.14,mrpl44,mrpl44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C7,SPCP1E11.11,puf6,puf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C8,SPAC14C4.16,dad3,dad3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,C9,SPAC17G8.05,med20,med20,,,9/9,6/6,,yes,,yes,yes,yes,shape hit;microtubule hit,viable elongated vegetative cell,elongated cell,CMPO_0000077,,,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,microtubule bundles present in greater numbers,increased number of microtubule bundles,CMPO_0000372,,,S-shaped cell,S-shaped cell,CMPO_0000364,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,
1,X_110222_S1,D1,SPAC1420.03,rpn501,rpn501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D10,SPAC22F3.07c,atp20,atp20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D11,SPAC29A4.14c,SPAC29A4.14c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D12,SPAC4D7.11,dsc4,dsc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D2,SPAC1952.02,tma23,tma23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D3,SPAC30C2.05,erv14,erv14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D4,SPAC630.07c,SPAC630.07c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D5,SPBC1604.09c,SPBC1604.09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D6,SPBC577.02,rpl3801,rpl3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D7,SPAC1002.20,SPAC1002.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D8,SPAC1527.02,sft2,sft2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,D9,SPAC1851.02,slc1,slc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E1,SPAC15E1.09,grx2,grx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E10,SPAC22H10.02,SPAC22H10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E11,SPAC29A4.17c,SPAC29A4.17c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E12,SPAC4G9.06c,chz1,chz1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E2,SPAC1B1.02c,SPAC1B1.02c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E3,SPAC31A2.02,trm112,trm112,,,7/7,,2/5,,,yes,yes,yes,shape hit;cell cycle hit,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,IP increased,more cells with interphase microtubule arrays,CMPO_0000383,,,viable pear-shaped vegetative cell,pear-shaped cell,CMPO_0000366,,,SP reduced,fewer cells with metaphase spindles,CMPO_0000387,,,,,,,,,,,,,,,,,
1,X_110222_S1,E4,SPAC824.07,SPAC824.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E5,SPBC16D10.02,trm11,trm11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E6,SPBC651.12c,dbl7,dbl7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E7,SPAC1296.04,mug65,mug65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E8,SPAC15E1.06,vps29,vps29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,E9,SPAC18B11.08c,SPAC18B11.08c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F1,SPAC16A10.05c,dad1,dad1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F10,SPAC23A1.11,rpl1602,rpl1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F11,SPAC2C4.05,cor1,cor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F12,SPAC4H3.06,SPAC4H3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F2,SPAC227.14,SPAC227.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F3,SPAC343.20,SPAC343.20,,,,,2/5,,,,yes,yes,,microtubule hit,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F4,SPAC890.07c,rmt1,rmt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F5,SPBC19G7.02,SPBC19G7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F6,SPBC713.09,SPBC713.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F7,SPAC13A11.03,mcp7,mcp7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F8,SPAC1687.23c,SPAC1687.23c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,F9,SPAC18B11.09c,SPAC18B11.09c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G1,SPAC1751.04,SPAC1751.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G10,SPAC23C11.08,php3,php3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G11,SPAC2C4.08,SPAC2C4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G12,SPAC57A10.14,sgf11,sgf11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G2,SPAC23C11.10,mpn1,mpn1,,,3/7,4/7,,,,yes,yes,,shape hit;microtubule hit,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G3,SPAC3G6.13c,rpl4101,rpl4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G4,SPAC8C9.14,prr1,prr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G5,SPBC215.04,git11,git11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G6,SPBC947.14c,cbp6,cbp6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G7,SPAC13G7.03,upf3,upf3,,,,3/8,,,,yes,,,microtubule hit,abnormal microtubule cytoskeleton morphology during mitotic interphase,abnormal,PATO_0000460,microtubule cytoskeleton morphology during mitotic interphase,CMPO_0000369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G8,SPAC16E8.08,SPAC16E8.08,,,,4/7,,,,,yes,yes,yes,shape hit,viable vegetative cell with abnormal cell shape,abnormal cell shape,CMPO_0000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,G9,SPAC19A8.11c,SPAC19A8.11c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H1,SPAC1786.04,SPAC1786.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H10,SPAC23C4.16c,atg15,atg15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H11,SPAC2C4.09,SPAC2C4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H4,SPAC8E11.07c,alp31,alp31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H5,SPBC2A9.13,SPBC2A9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H6,SPCC4B3.02c,SPCC4B3.02c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H7,SPAC13G7.07,arb2,arb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H8,SPAC16E8.18,SPAC16E8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H9,SPAC19D5.11c,ctf8,ctf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
