Plate	Well Number	Well	Experimental Condition [cell line]	"Cell Type/Genetic Subtype (Neve et al., Cancer Cell 2006)"	Experimental Condition [media]	Experimental Condition [compound]	Experimental Condition [dose]	Experimental Condition[time]	Control Type	Control Comment	Comments
22_lines_HC_EGF_200145913	41	B17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	42	B18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	43	B19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	44	B20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	45	B21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	46	B22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	47	B23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	48	B24							empty well		no images
22_lines_HC_EGF_200145913	49	C1							empty well		no images
22_lines_HC_EGF_200145913	50	C2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	51	C3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	52	C4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	53	C5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	54	C6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	55	C7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	56	C8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	57	C9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	58	C10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	59	C11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	60	C12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	61	C13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	62	C14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	63	C15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	64	C16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	65	C17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	66	C18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	67	C19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	68	C20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	69	C21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	70	C22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	71	C23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	72	C24							empty well		no images
22_lines_HC_EGF_200145913	73	D1							empty well		no images
22_lines_HC_EGF_200145913	74	D2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	75	D3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	76	D4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	77	D5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	78	D6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	79	D7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	80	D8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	81	D9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	82	D10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	83	D11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	84	D12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	85	D13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	86	D14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	87	D15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	88	D16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	89	D17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	90	D18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	91	D19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	92	D20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	93	D21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	94	D22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	95	D23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	96	D24							empty well		no images
22_lines_HC_EGF_200145913	97	E1							empty well		no images
22_lines_HC_EGF_200145913	98	E2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	99	E3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	100	E4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	101	E5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	102	E6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	103	E7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	104	E8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	105	E9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	106	E10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	107	E11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	108	E12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	109	E13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	110	E14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	111	E15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	112	E16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	113	E17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	114	E18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	115	E19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	116	E20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	117	E21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	118	E22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	119	E23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	120	E24							empty well		no images
22_lines_HC_EGF_200145913	121	F1							empty well		no images
22_lines_HC_EGF_200145913	122	F2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	123	F3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	124	F4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	125	F5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	126	F6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	127	F7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	128	F8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	129	F9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	130	F10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	131	F11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	132	F12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	133	F13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	134	F14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	135	F15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	136	F16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	137	F17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	138	F18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	139	F19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	140	F20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	141	F21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	142	F22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	143	F23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	144	F24							empty well		no images
22_lines_HC_EGF_200145913	145	G1							empty well		no images
22_lines_HC_EGF_200145913	146	G2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	147	G3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	148	G4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	149	G5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	150	G6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	151	G7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	152	G8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	153	G9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	154	G10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	155	G11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	156	G12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	157	G13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	158	G14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	159	G15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	160	G16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	161	G17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	162	G18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	163	G19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	164	G20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	165	G21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	166	G22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	167	G23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	168	G24							empty well		no images
22_lines_HC_EGF_200145913	169	H1							empty well		no images
22_lines_HC_EGF_200145913	170	H2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	171	H3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	172	H4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	173	H5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	174	H6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	175	H7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	176	H8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	177	H9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	178	H10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	179	H11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	180	H12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	181	H13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	182	H14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	183	H15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	184	H16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	185	H17	MDA-MB-453	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	186	H18	HCC1954	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	187	H19	HCC70	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	188	H20	SUM149	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	189	H21	SUM159	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	190	H22	MCF10A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	191	H23	MCF12A	Basal B non-tumor	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	192	H24							empty well		no images
22_lines_HC_EGF_200145913	193	I1							empty well		no images
22_lines_HC_EGF_200145913	194	I2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	195	I3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	196	I4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	197	I5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	198	I6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	199	I7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	200	I8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	201	I9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	202	I10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	203	I11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
22_lines_HC_EGF_200145913	204	I12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 20 ng/ml EGF	none					
