Plate	Well	Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Z-score (Spindly)	"Z-score (Large, spread)"	Z-score (Triangular)	Z-score (Fan)	"Z-score (Round, small)"	Z-score (High nuclear YAP/TAZ)	Z-score (Low nuclear YAP/TAZ)	Z-score (High total YAP/TAZ)	Z-score (Low total YAP/TAZ)	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MDA-MB-231_siGENOME_1B	N18	MDA-MB-231_siGENOME_1B_N18	M-021122-00	9824	ARHGAP11A							-2.679056952			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	N18	MDA-MB-231_siGENOME_1A_N18	M-021122-00	9824	ARHGAP11A	1.57084113						-2.140998503			yes	well	Spindly						Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_2B	K19	MDA-MB-231_siGENOME_2B_K19	M-008729-01	94134	ARHGAP12			3.608146468			1.695276716			-3.905768164	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	K11	MDA-MB-231_siGENOME_2B_K11	M-008729-01	94134	ARHGAP12									-3.434828023	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	K11	MDA-MB-231_siGENOME_2A_K11	M-008729-01	94134	ARHGAP12			2.788379634						-3.22255327	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	K19	MDA-MB-231_siGENOME_2A_K19	M-008729-01	94134	ARHGAP12		2.648813152	1.921050813						-3.037741858	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C3	MDA-MB-231_siGENOME_2A_C3	M-018019-00	55843	ARHGAP15		2.648813152	5.809076563			3.270189838			-3.79077782	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	C3	MDA-MB-231_siGENOME_2B_C3	M-018019-00	55843	ARHGAP15			5.455258609			4.558216206			-3.658596087	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	I7	MDA-MB-231_siGENOME_2B_I7	M-018019-00	55843	ARHGAP15		2.061534648	6.44385384			4.61008583			-3.022411237	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	I7	MDA-MB-231_siGENOME_2A_I7	M-018019-00	55843	ARHGAP15			5.898800234			3.662668797			-2.653978385	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	H8	MDA-MB-231_siGENOME_1B_H8	M-008335-01	55114	ARHGAP17	4.02139448		1.547217751				-2.592595017			yes	well	Spindly		Triangular				Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	H8	MDA-MB-231_siGENOME_1A_H8	M-008335-01	55114	ARHGAP17	3.182571681		2.144816892				-2.512682202			yes	well	Spindly		Triangular				Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1B	F18	MDA-MB-231_siGENOME_1B_F18	M-008335-01	55114	ARHGAP17	4.02139448		1.578080215				-1.80030846			yes	well	Spindly		Triangular				Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	F18	MDA-MB-231_siGENOME_1A_F18	M-008335-01	55114	ARHGAP17	5.966469905		5.601082688							yes	well	Spindly		Triangular						
MDA-MB-231_siGENOME_2A	C4	MDA-MB-231_siGENOME_2A_C4	M-015110-00	93663	ARHGAP18		8.153208993							-1.597304765	yes	well		"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C6	MDA-MB-231_siGENOME_2A_C6	M-015110-00	93663	ARHGAP18									-1.503096274	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	D12	MDA-MB-231_siGENOME_1A_D12	M-026514-01	57569	ARHGAP20			1.903682069						-2.43243416	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	D12	MDA-MB-231_siGENOME_1B_D12	M-026514-01	57569	ARHGAP20									-2.283730914	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	L20	MDA-MB-231_siGENOME_1B_L20	M-026514-01	57569	ARHGAP20									-2.176371118	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	L20	MDA-MB-231_siGENOME_1A_L20	M-026514-01	57569	ARHGAP20			2.010853102						-1.862924202	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	D4	MDA-MB-231_siGENOME_1B_D4	M-004775-01	57584	ARHGAP21		3.071770507	3.892764998			2.732827511			-4.633681556	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	N4	MDA-MB-231_siGENOME_1A_N4	M-004775-01	57584	ARHGAP21				2.026128888		2.421249044				yes	well				Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	D4	MDA-MB-231_siGENOME_1A_D4	M-004775-01	57584	ARHGAP21						2.456228079				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	N4	MDA-MB-231_siGENOME_1B_N4	M-004775-01	57584	ARHGAP21		1.902469198		3.79949363		3.736980955				yes	well		"Large, spread"		Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_2A	C13	MDA-MB-231_siGENOME_2A_C13	M-019080-01	58504	ARHGAP22		3.566212459	3.386537442			4.541729858			-3.296787858	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	C13	MDA-MB-231_siGENOME_2B_C13	M-019080-01	58504	ARHGAP22		5.143853371	2.385410261	4.748162299		5.248638995			-2.989072985	yes	well		"Large, spread"	Triangular	Fan		High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	G17	MDA-MB-231_siGENOME_2A_G17	M-019080-01	58504	ARHGAP22			3.745432127	1.624702123		4.885747339			-2.615093835	yes	well			Triangular	Fan		High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	G17	MDA-MB-231_siGENOME_2B_G17	M-019080-01	58504	ARHGAP22			3.712209123	2.229399007		4.500119297			-2.578051517	yes	well			Triangular	Fan		High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C10	MDA-MB-231_siGENOME_2A_C10	M-023061-01	57636	ARHGAP23			2.220129717			1.861724827			-2.894844796	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	C8	MDA-MB-231_siGENOME_2B_C8	M-023061-01	57636	ARHGAP23			1.839081318			2.806590733			-2.824673734	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C8	MDA-MB-231_siGENOME_2A_C8	M-023061-01	57636	ARHGAP23		1.731413846	2.220129717						-2.535439871	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	C10	MDA-MB-231_siGENOME_2B_C10	M-023061-01	57636	ARHGAP23			1.500877686						-2.335878307	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	E3	MDA-MB-231_siGENOME_2A_E3	M-014713-01	83478	ARHGAP24			1.980866594						-3.634319294	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	E3	MDA-MB-231_siGENOME_2B_E3	M-014713-01	83478	ARHGAP24				2.049487343			-2.398467406		-1.666439937	yes	well				Fan			Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	E15	MDA-MB-231_siGENOME_2B_E15	M-014713-01	83478	ARHGAP24									-1.538939601	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	J20	MDA-MB-231_siGENOME_1A_J20	M-008426-01	23092	ARHGAP26				1.779723619						yes	well				Fan					
MDA-MB-231_siGENOME_1A	D16	MDA-MB-231_siGENOME_1A_D16	M-008426-01	23092	ARHGAP26	1.790622569			1.902926254						yes	well	Spindly			Fan					
MDA-MB-231_siGENOME_2A	G7	MDA-MB-231_siGENOME_2A_G7	M-003628-02	393	ARHGAP4			3.625800565						-2.425976405	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	G7	MDA-MB-231_siGENOME_2B_G7	M-003628-02	393	ARHGAP4			3.894318771			2.951723112			-2.078874079	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	G9	MDA-MB-231_siGENOME_2A_G9	M-003628-02	393	ARHGAP4						2.162330265				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_2B	G9	MDA-MB-231_siGENOME_2B_G9	M-003628-02	393	ARHGAP4	2.402063433		4.232522403			2.596108488				yes	well	Spindly		Triangular			High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	J8	MDA-MB-231_siGENOME_1A_J8	M-009580-01	394	ARHGAP5			3.672004104						-2.475870405	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	J6	MDA-MB-231_siGENOME_1A_J6	M-009580-01	394	ARHGAP5			3.323698249			1.612516147			-1.94748076	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	J8	MDA-MB-231_siGENOME_1B_J8	M-009580-01	394	ARHGAP5			1.608942679			3.197261659			-1.60112743	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	J6	MDA-MB-231_siGENOME_1B_J6	M-009580-01	394	ARHGAP5			2.164467027			3.232830553				yes	well			Triangular			High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_2B	C14	MDA-MB-231_siGENOME_2B_C14	M-009304-01	395	ARHGAP6				1.689664016					-2.907771041	yes	well				Fan					Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C12	MDA-MB-231_siGENOME_2A_C12	M-009304-01	395	ARHGAP6			1.711695581	1.76604314					-2.887221244	yes	well			Triangular	Fan					Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	C12	MDA-MB-231_siGENOME_2B_C12	M-009304-01	395	ARHGAP6				2.589222334					-2.517768739	yes	well				Fan					Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	C14	MDA-MB-231_siGENOME_2A_C14	M-009304-01	395	ARHGAP6			1.532248238	2.755430263					-2.473977448	yes	well			Triangular	Fan					Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	I3	MDA-MB-231_siGENOME_2A_I3	M-009427-01	23779	ARHGAP8			3.595892675						-2.384937845	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	I3	MDA-MB-231_siGENOME_2B_I3	M-009427-01	23779	ARHGAP8			1.995175301						-1.767873383	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	I21	MDA-MB-231_siGENOME_2A_I21	M-009427-01	23779	ARHGAP8						2.112491667				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_2B	I21	MDA-MB-231_siGENOME_2B_I21	M-009427-01	23779	ARHGAP8				1.509752352		2.31463519				yes	well				Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_2A	E5	MDA-MB-231_siGENOME_2A_E5	M-010047-02	64333	ARHGAP9		2.648813152	6.766129055			3.566991804			-6.259159579	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	E5	MDA-MB-231_siGENOME_2B_E5	M-010047-02	64333	ARHGAP9			3.686193459			4.570304466			-3.959047928	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2A	E21	MDA-MB-231_siGENOME_2A_E21	M-010047-02	64333	ARHGAP9			6.108155467			6.504977158			-3.782733243	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_2B	E21	MDA-MB-231_siGENOME_2B_E21	M-010047-02	64333	ARHGAP9			2.489472917			5.747261396			-3.71665753	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	K21	MDA-MB-231_siGENOME_1B_K21	M-009421-00	9138	ARHGEF1			2.966891085			2.944342927			-2.776888994	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	M15	MDA-MB-231_siGENOME_1B_M15	M-009421-00	9138	ARHGEF1			2.071879635			3.91890249			-2.454925216	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	K21	MDA-MB-231_siGENOME_1A_K21	M-009421-00	9138	ARHGEF1			1.689340004			2.028301111			-2.370743716	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	G15	MDA-MB-231_siGENOME_1A_G15	M-013460-01	9639	ARHGEF10			2.868221361				-1.535596973			yes	well			Triangular				Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	C11	MDA-MB-231_siGENOME_1A_C11	M-013460-01	9639	ARHGEF10				1.533318351						yes	well				Fan					
MDA-MB-231_siGENOME_1B	C11	MDA-MB-231_siGENOME_1B_C11	M-013460-01	9639	ARHGEF10	1.508595277		2.287916882							yes	well	Spindly		Triangular						
MDA-MB-231_siGENOME_1A	G13	MDA-MB-231_siGENOME_1A_G13	M-010360-00	9826	ARHGEF11	1.790622569								-2.832908295	yes	well	Spindly								Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	K5	MDA-MB-231_siGENOME_1A_K5	M-010360-00	9826	ARHGEF11	2.230185446	1.727174571							-2.326364076	yes	well	Spindly	"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	G13	MDA-MB-231_siGENOME_1B_G13	M-010360-00	9826	ARHGEF11	2.04161329		1.979292244						-2.150781361	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	K5	MDA-MB-231_siGENOME_1B_K5	M-010360-00	9826	ARHGEF11	2.879213024		2.133604563	1.969233823						yes	well	Spindly		Triangular	Fan					
MDA-MB-231_siGENOME_1B	M13	MDA-MB-231_siGENOME_1B_M13	M-008480-00	23365	ARHGEF12									-2.667417773	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	I11	MDA-MB-231_siGENOME_1B_I11	M-008480-00	23365	ARHGEF12									-2.459077809	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	M13	MDA-MB-231_siGENOME_1A_M13	M-008480-00	23365	ARHGEF12									-2.364139709	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	I11	MDA-MB-231_siGENOME_1A_I11	M-008480-00	23365	ARHGEF12									-2.303933434	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	I7	MDA-MB-231_siGENOME_1B_I7	M-009731-00	22899	ARHGEF15									-2.240516834	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	I13	MDA-MB-231_siGENOME_1A_I13	M-009731-00	22899	ARHGEF15	1.717362089			1.533318351						yes	well	Spindly			Fan					
MDA-MB-231_siGENOME_1A	I7	MDA-MB-231_siGENOME_1A_I7	M-009731-00	22899	ARHGEF15				3.258155231						yes	well				Fan					
MDA-MB-231_siGENOME_1A	K19	MDA-MB-231_siGENOME_1A_K19	M-010234-01	27237	ARHGEF16						2.671512713				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	K19	MDA-MB-231_siGENOME_1B_K19	M-010234-01	27237	ARHGEF16	1.813176999		1.547217751			3.118672681				yes	well	Spindly		Triangular			High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	G17	MDA-MB-231_siGENOME_1B_G17	M-010234-01	27237	ARHGEF16						3.143205376				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	G17	MDA-MB-231_siGENOME_1A_G17	M-010234-01	27237	ARHGEF16	1.863883048					3.546051491				yes	well	Spindly					High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	K7	MDA-MB-231_siGENOME_1A_K7	M-009751-01	9828	ARHGEF17	2.596487844									yes	well	Spindly								
MDA-MB-231_siGENOME_1B	G5	MDA-MB-231_siGENOME_1B_G5	M-009654-00	23370	ARHGEF18		1.902469198	5.435888186						-7.694687935	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	G5	MDA-MB-231_siGENOME_1A_G5	M-009654-00	23370	ARHGEF18		3.925541487	5.44032614			1.637303449			-7.165619733	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	I19	MDA-MB-231_siGENOME_1B_I19	M-009654-00	23370	ARHGEF18		3.071770507	5.96055007			2.574735729			-6.295769957	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	I19	MDA-MB-231_siGENOME_1A_I19	M-009654-00	23370	ARHGEF18			5.092020284			3.296228206			-6.082852668	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	C15	MDA-MB-231_siGENOME_1A_C15	M-008370-02	128272	ARHGEF19	1.717362089						-1.972457435	1.582294025		yes	well	Spindly						Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
MDA-MB-231_siGENOME_1A	E9	MDA-MB-231_siGENOME_1A_E9	M-008370-02	128272	ARHGEF19	2.156924967						-2.120300477	1.964755647		yes	well	Spindly						Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
MDA-MB-231_siGENOME_1B	E9	MDA-MB-231_siGENOME_1B_E9	M-008370-02	128272	ARHGEF19							-2.016603885	2.060568005		yes	well							Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
MDA-MB-231_siGENOME_1A	E3	MDA-MB-231_siGENOME_1A_E3	M-009883-01	9181	ARHGEF2							-3.335947755		-4.118796396	yes	well							Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	I21	MDA-MB-231_siGENOME_1B_I21	M-009883-01	9181	ARHGEF2	3.488376467		1.516355288				-2.07136311		-1.886378553	yes	well	Spindly		Triangular				Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	E3	MDA-MB-231_siGENOME_1B_E3	M-009883-01	9181	ARHGEF2	2.574631303						-4.569902139			yes	well	Spindly						Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	I21	MDA-MB-231_siGENOME_1A_I21	M-009883-01	9181	ARHGEF2	4.354739354									yes	well	Spindly								
MDA-MB-231_siGENOME_1B	E19	MDA-MB-231_siGENOME_1B_E19	M-013243-00	50650	ARHGEF3			2.010154708						-1.78813635	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	G21	MDA-MB-231_siGENOME_1B_G21	M-013243-00	50650	ARHGEF3			2.318779346						-1.536845947	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	L11	MDA-MB-231_siGENOME_1B_L11	M-008235-01	50649	ARHGEF4							-2.166119767	1.545208522		yes	well							Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
MDA-MB-231_siGENOME_1A	L11	MDA-MB-231_siGENOME_1A_L11	M-008235-01	50649	ARHGEF4							-2.452790042			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1B	H13	MDA-MB-231_siGENOME_1B_H13	M-008235-01	50649	ARHGEF4							-2.219824578			yes	well							Low nuclear YAP/TAZ		
