Plate	Plate Map Name	Well	Well Number	Compound Name	Compound Source	Compound SMILES	Compound Broad Identifier	Compound Broad Identifier Short	Compound Concentration (micromolar)	Control Type
20585	H-BIOA-002-1	B11	35	Flutamide	Prestwick Chemical Inc.	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F	BRD-K28307902-001-05-0	BRD-K28307902	3.620409484	
20585	H-BIOA-002-1	B12	36	LY-83583	Biomol International Inc.	O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13	BRD-K62792802-001-02-8	BRD-K62792802	9.989926158	
20585	H-BIOA-002-1	B13	37	DMSO						negative control
20585	H-BIOA-002-1	B14	38	DMSO						negative control
20585	H-BIOA-002-1	B15	39	Phenformin hydrochloride	Prestwick Chemical Inc.	NC(=N)NC(=N)NCCc1ccccc1	BRD-K11399644-003-03-0	BRD-K11399644	4.137008795	
20585	H-BIOA-002-1	B16	40	LY-294002	Biomol International Inc.	O=c1cc(oc2c(cccc12)c3ccccc3)N4CCOCC4	BRD-K27305650-001-05-9	BRD-K27305650	8.134229626	
20585	H-BIOA-002-1	B17	41	Sulfamethoxazole	Prestwick Chemical Inc.	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	BRD-K28494619-001-05-0	BRD-K28494619	3.94823641	
20585	H-BIOA-002-1	B18	42	BAY 11-7082	Biomol International Inc.	Cc1ccc(cc1)S(=O)(=O)/C=C/C#N	BRD-K15025317-001-04-5	BRD-K15025317	12.06278671	
20585	H-BIOA-002-1	B19	43	Iproniazide phosphate	Prestwick Chemical Inc.	CC(C)NNC(=O)c1ccncc1	BRD-K88568253-011-03-3	BRD-K88568253	3.607318804	
20585	H-BIOA-002-1	B20	44	N9-Isopropylolomoucine	Biomol International Inc.	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12	BRD-K71726959-001-05-9	BRD-K71726959	7.659403367	
20585	H-BIOA-002-1	B21	45	Aceclofenac	Prestwick Chemical Inc.	OC(=O)COC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl	BRD-K68538666-001-03-2	BRD-K68538666	2.823385492	
20585	H-BIOA-002-1	B22	46	"L-744,832"	Biomol International Inc.	CCC(C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)OC(C)C)NC[C@@H](N)CS	BRD-A07952294-001-02-3	BRD-A07952294	4.466024274	
20585	H-BIOA-002-1	B23	47	Alverine citrate salt	Prestwick Chemical Inc.	CCN(CCCc1ccccc1)CCCc2ccccc2	BRD-K89055274-048-04-5	BRD-K89055274	2.111671079	
20585	H-BIOA-002-1	B24	48	K252A	Biomol International Inc.	COC(=O)[C@@]1(O)C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	BRD-K13079976-001-02-0	BRD-K13079976	0.534790542	
20585	H-BIOA-002-1	C1	49	DIAZOXIDE	Biomol International Inc.	CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1	BRD-K73109821-001-05-2	BRD-K73109821	10.83792883	
20585	H-BIOA-002-1	C2	50	Solanine alpha	Prestwick Chemical Inc.	C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)N9C[C@@H](C)CC[C@H]19	BRD-K70881766-001-02-3	BRD-K70881766	1.151995668	
20585	H-BIOA-002-1	C3	51	DANTROLENE	Biomol International Inc.	[O-][N+](=O)c1ccc(cc1)c2ccc(/C=N/N3CC(=O)NC3=O)o2	BRD-K81272440-001-02-6	BRD-K81272440	7.955373537	
20585	H-BIOA-002-1	C4	52	Protoveratrine A	Prestwick Chemical Inc.	CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@@H](CN3C[C@@H](C)CC[C@H]3[C@@]2(C)O)C4C[C@]5(O[C@]6(O)[C@H]7[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]5[C@@]41O)[C@@]7(C)CC[C@@H]6OC(=O)[C@](C)(O)CC	BRD-A25875308-001-02-8	BRD-A25875308	1.259545434	
20585	H-BIOA-002-1	C5	53	CYCLOPIAZONIC ACID	Biomol International Inc.	CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O	BRD-A10420615-001-02-8	BRD-A10420615	7.431973659	
20585	H-BIOA-002-1	C6	54	Retrorsine	Prestwick Chemical Inc.	C/C=C\\1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]32	BRD-K42142750-001-04-9	BRD-K42142750	2.845806789	
20585	H-BIOA-002-1	C7	55	cytochalasin B	Biomol International Inc.	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]42OC(=O)C=C[C@H](O)CCC[C@@H](C)CC=C[C@H]4[C@H](O)C1=C	BRD-K02157199-001-02-8	BRD-K02157199	5.212592673	
20585	H-BIOA-002-1	C8	56	Hydroquinine hydrobromide hydrate	Prestwick Chemical Inc.	CC[C@H]1CN2CCC1C[C@H]2[C@H](O)c3ccnc4ccc(OC)cc34	BRD-A78295502-337-03-5	BRD-A78295502	2.350950557	
20585	H-BIOA-002-1	C9	57	cyclosporin A	Biomol International Inc.	CCC1NC(=O)C(C(O)C(C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	BRD-A69815203-001-04-3	BRD-A69815203	2.078809774	
20585	H-BIOA-002-1	C10	58	Dipivefrin hydrochloride	Prestwick Chemical Inc.	CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1	BRD-A47494775-003-03-0	BRD-A47494775	2.577995979	
20585	H-BIOA-002-1	C11	59	DMSO						negative control
20585	H-BIOA-002-1	C12	60	DMSO						negative control
20585	H-BIOA-002-1	C13	61	cycloheximide	Biomol International Inc.	C[C@H]1C[C@H](C)C(=O)C(C1)[C@H](O)CC2CC(=O)NC(=O)C2	BRD-A95580639-001-02-9	BRD-A95580639	8.885811002	
20585	H-BIOA-002-1	C14	62	Racecadotril	Prestwick Chemical Inc.	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2	BRD-A08187463-001-03-8	BRD-A08187463	2.594191056	
20585	H-BIOA-002-1	C15	63	DMSO						negative control
20585	H-BIOA-002-1	C16	64	DMSO						negative control
20585	H-BIOA-002-1	C17	65	clonidine	Biomol International Inc.	Clc1cccc(Cl)c1N=C2NCCN2	BRD-K98530306-001-02-1	BRD-K98530306	10.8651313	
20585	H-BIOA-002-1	C18	66	Pseudopelletierine hydrochloride	Prestwick Chemical Inc.	CN1C2CCCC1CC(=O)C2	BRD-A19053259-003-03-3	BRD-A19053259	5.271969298	
20585	H-BIOA-002-1	C19	67	CAPE	Biomol International Inc.	Oc1ccc(/C=C/C(=O)OCCc2ccccc2)cc1O	BRD-K96188950-001-04-5	BRD-K96188950	8.793325683	
20585	H-BIOA-002-1	C20	68	Cytisine (-)	Prestwick Chemical Inc.	O=c1cccc2[C@H]3CNC[C@H](C3)Cn21	BRD-K74186897-001-02-5	BRD-K74186897	5.256472215	
20585	H-BIOA-002-1	C21	69	chelerythrine	Biomol International Inc.	COc1ccc2c(c[n+](C)c3c2ccc4cc5OCOc5cc43)c1OC	BRD-K87904882-001-02-3	BRD-K87904882	7.176238544	
20585	H-BIOA-002-1	C22	70	Harmane hydrochloride	Prestwick Chemical Inc.	Cc1nccc2c3ccccc3[nH]c12	BRD-K12630395-003-03-8	BRD-K12630395	4.572847147	
20585	H-BIOA-002-1	C23	71	CGP-37157	Biomol International Inc.	Clc1ccc2NC(=O)CSC(c3ccccc3Cl)c2c1	BRD-A35623999-001-03-2	BRD-A35623999	7.710696161	
20585	H-BIOA-002-1	C24	72	Diflorasone Diacetate	Prestwick Chemical Inc.	C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C	BRD-K17674993-001-03-1	BRD-K17674993	2.022142924	
20585	H-BIOA-002-1	D1	73	Tranylcypromine hydrochloride	Prestwick Chemical Inc.	N[C@H]1C[C@@H]1c2ccccc2	BRD-K88809146-003-02-1	BRD-K88809146	5.89444418	
20585	H-BIOA-002-1	D2	74	IBMX	Biomol International Inc.	CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c12	BRD-K94979336-001-06-9	BRD-K94979336	11.24890976	
20585	H-BIOA-002-1	D3	75	Etofylline	Prestwick Chemical Inc.	Cn1c(=O)n(C)c2ncn(CCO)c2c1=O	BRD-K83064458-001-05-7	BRD-K83064458	4.459973477	
20585	H-BIOA-002-1	D4	76	Huperzine A [(-)-Huperzine A]	Biomol International Inc.	C/C=C/1\\C2Cc3[nH]c(=O)ccc3C1(N)CC(=C2)C	BRD-A47065382-001-02-9	BRD-A47065382	10.31709722	
20585	H-BIOA-002-1	D5	77	Nitrofurantoin	Prestwick Chemical Inc.	[O-][N+](=O)c1ccc(/C=N/N2CC(=O)NC2=O)o1	BRD-K76927775-001-05-0	BRD-K76927775	4.198910097	
20585	H-BIOA-002-1	D6	78	HA-1004	Biomol International Inc.	NC(=N)NCCNS(=O)(=O)c1cccc2cnccc12	BRD-K05434375-001-04-0	BRD-K05434375	8.522394125	
20585	H-BIOA-002-1	D7	79	Riluzole hydrochloride	Prestwick Chemical Inc.	Nc1nc2ccc(OC(F)(F)F)cc2s1	BRD-K21283037-003-03-9	BRD-K21283037	3.694682526	
20585	H-BIOA-002-1	D8	80	H-89	Biomol International Inc.	Brc1ccc(/C=C/CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	BRD-K27737647-001-04-2	BRD-K27737647	5.600851509	
20585	H-BIOA-002-1	D9	81	Ethosuximide	Prestwick Chemical Inc.	CCC1(C)CC(=O)NC1=O	BRD-A99633051-001-04-7	BRD-A99633051	7.083771406	
20585	H-BIOA-002-1	D10	82	H7	Biomol International Inc.	CC1CNCCN1S(=O)(=O)c2cccc3cnccc23	BRD-A55756846-001-05-5	BRD-A55756846	8.580194687	
20585	H-BIOA-002-1	D11	83	DMSO						negative control
20585	H-BIOA-002-1	D12	84	DMSO						negative control
20585	H-BIOA-002-1	D13	85	Ornidazole	Prestwick Chemical Inc.	Cc1ncc([N+](=O)[O-])n1CC(O)CCl	BRD-A42759514-001-03-1	BRD-A42759514	4.55320327	
20585	H-BIOA-002-1	D14	86	Go6976	Biomol International Inc.	Cn1c2ccccc2c3c4C(=O)NCc4c5c6ccccc6n(CCC#N)c5c13	BRD-K59304176-001-02-5	BRD-K59304176	6.606312802	
20585	H-BIOA-002-1	D15	87	DMSO						negative control
20585	H-BIOA-002-1	D16	88	DMSO						negative control
20585	H-BIOA-002-1	D17	89	Chlorzoxazone	Prestwick Chemical Inc.	Clc1ccc2oc(=O)[nH]c2c1	BRD-K98174813-001-05-7	BRD-K98174813	5.897437893	
20585	H-BIOA-002-1	D18	90	Ro 31-8220	Biomol International Inc.	Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15	BRD-K06543683-001-04-4	BRD-K06543683	5.463914538	
20585	H-BIOA-002-1	D19	91	Paclitaxel	Prestwick Chemical Inc.	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7	BRD-K62008436-001-03-1	BRD-K62008436	1.171088897	
20585	H-BIOA-002-1	D20	92	FCCP	Biomol International Inc.	FC(F)(F)Oc1ccc(NN=C(C#N)C#N)cc1	BRD-K14821540-001-02-1	BRD-K14821540	9.836009734	
20585	H-BIOA-002-1	D21	93	Midecamycin	Prestwick Chemical Inc.	CCC(=O)O[C@H]1[C@H](C)O[C@H](C[C@@]1(C)O)O[C@@H]2[C@@H](C)OC(O[C@H]3[C@@H](CC=O)C[C@@H](C)[C@H](O)C=CC=CC[C@@H](C)OC(=O)C[C@@H](OC(=O)CC)[C@@H]3OC)[C@H](O)[C@H]2N(C)C	BRD-A34897638-001-02-2	BRD-A34897638	1.228548952	
20585	H-BIOA-002-1	D22	94	etoposide	Biomol International Inc.	COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](OC4OC5COC(C)OC5C(O)C4O)c6cc7OCOc7cc26	BRD-A79067928-001-02-7	BRD-A79067928	4.247679977	
20585	H-BIOA-002-1	D23	95	Canrenoic acid potassium salt	Prestwick Chemical Inc.	C[C@@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]2CC[C@@]1(O)CCC(=O)O	BRD-K46556543-237-03-0	BRD-K46556543	2.515283491	
20585	H-BIOA-002-1	D24	96	Pregnenolone 16alpha carbonitrile	Biomol International Inc.	CC(=O)[C@H]1[C@@H](C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C#N	BRD-K39356024-001-02-4	BRD-K39356024	7.320922047	
20585	H-BIOA-002-1	E1	97	DMSO						negative control
20585	H-BIOA-002-1	E2	98	DMSO						negative control
20585	H-BIOA-002-1	E3	99	camptothecin	Biomol International Inc.	CC[C@@]1(O)C(=O)OCc2c1cc3Cc4nc5ccccc5cc4-n3c2=O	BRD-K57055976-001-02-7	BRD-K57055976	7.176648083	
20585	H-BIOA-002-1	E4	100	Ellipticine	Prestwick Chemical Inc.	Cc1c2[nH]c3ccccc3c2c(C)c4cnccc14	BRD-K85985071-001-03-3	BRD-K85985071	4.059982836	
20585	H-BIOA-002-1	E5	101	calyculin A	Biomol International Inc.	COC[C@H]([C@@H](O)[C@@H](O)C(=O)NCC[C@@H](C)c1nc(/C=C/C[C@H]2OC3(C[C@H](O)[C@H]2C)OC([C@@H](C[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)/C=C(\\C)/C(=C/C=C/C(=C\\C#N)/C)/C)OC)[C@@H](OP(=O)(O)O)C3(C)C)co1)N(C)C	BRD-A47513740-001-02-5	BRD-A47513740	0.247728405	
20585	H-BIOA-002-1	E6	102	Harmine hydrochloride	Prestwick Chemical Inc.	COc1ccc2c(c1)[nH]c3c(C)nccc23	BRD-K30984264-003-03-5	BRD-K30984264	4.020777448	
20585	H-BIOA-002-1	E7	103	calphostin C	Biomol International Inc.	COc1cc(O)c2c(=O)c(OC)c(C[C@@H](C)OC(=O)Oc3ccc(O)cc3)c4c5c(C[C@@H](C)OC(=O)c6ccccc6)c(OC)c(=O)c7c(O)cc(OC)c(c1c24)c75	BRD-K63793181-001-02-6	BRD-K63793181	0.316149903	
20585	H-BIOA-002-1	E8	104	Harmalol hydrochloride dihydrate	Prestwick Chemical Inc.	CC1=NCCc2c1[nH]c3cc(O)ccc23	BRD-K14756138-310-03-0	BRD-K14756138	3.666657158	
20585	H-BIOA-002-1	E9	105	DMSO						negative control
20585	H-BIOA-002-1	E10	106	DMSO						negative control
20585	H-BIOA-002-1	E11	107	CA-074-Me	Biomol International Inc.	CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)OC	BRD-A56020723-001-02-0	BRD-A56020723	6.289847125	
20585	H-BIOA-002-1	E12	108	Eburnamonine (-)	Prestwick Chemical Inc.	CC[C@]1(CCCN2CCc3c4[C@@H]21)CC(=O)n4c5ccccc35	BRD-K40227168-001-06-1	BRD-K40227168	3.396845513	
20585	H-BIOA-002-1	E13	109	5'-N-Ethylcarboxamidoadenosine (NECA)	Biomol International Inc.	CCNC(=O)[C@H]1O[C@H](C(O)[C@H]1O)n2cnc3c(N)ncnc23	BRD-A57536034-001-02-8	BRD-A57536034	8.109162562	
20585	H-BIOA-002-1	E14	110	Hydrocotarnine hydrobromide	Prestwick Chemical Inc.	COc1c2OCOc2cc3CCN(C)Cc13	BRD-K37447567-004-05-3	BRD-K37447567	3.309457363	
20585	H-BIOA-002-1	E15	111	bumetanide	Biomol International Inc.	CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O	BRD-K38197229-001-06-7	BRD-K38197229	6.860289652	
20585	H-BIOA-002-1	E16	112	Monocrotaline	Prestwick Chemical Inc.	C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23	BRD-K65508953-001-05-5	BRD-K65508953	3.07354766	
20585	H-BIOA-002-1	E17	113	DMSO						negative control
20585	H-BIOA-002-1	E18	114	DMSO						negative control
20585	H-BIOA-002-1	E19	115	Bromo-7-nitroindazole [3-Bromo-7-nitroindazole]	Biomol International Inc.	[O-][N+](=O)c1cccc2c(Br)n[nH]c12	BRD-K24689407-001-04-8	BRD-K24689407	10.3293168	
20585	H-BIOA-002-1	E20	116	Seneciphylline	Prestwick Chemical Inc.	C/C=C\\1/CC(=C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]32	BRD-K38449220-001-03-8	BRD-K38449220	2.999589776	
20585	H-BIOA-002-1	E21	117	bongkrekic acid	Biomol International Inc.	COC(C/C=C/C=C/CC\\C=C/CC(C)\\C=C/C(=C\\C(=O)O)/CC(=O)O)/C(=C\\C=C(/C)\\C(=O)O)/C	BRD-A41301928-001-02-5	BRD-A41301928	0.51377205	
20585	H-BIOA-002-1	E22	118	Xylazine	Prestwick Chemical Inc.	Cc1cccc(C)c1NC2=NCCCS2	BRD-K21565985-001-05-0	BRD-K21565985	4.538567476	
20585	H-BIOA-002-1	E23	119	Blebbistatin	Biomol International Inc.	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c4ccccc4	BRD-A75817871-001-02-6	BRD-A75817871	8.5519251	
20585	H-BIOA-002-1	E24	120	Convolamine hydrochloride	Prestwick Chemical Inc.	COc1ccc(cc1OC)C(=O)O[C@H]2C[C@H]3CC[C@H](C2)N3C	BRD-K67016489-003-02-3	BRD-K67016489	2.925432824	
20585	H-BIOA-002-1	F1	121	DMSO						negative control
20585	H-BIOA-002-1	F2	122	DMSO						negative control
20585	H-BIOA-002-1	F3	123	Tamoxifen citrate	Prestwick Chemical Inc.	CC/C(=C(\\c1ccccc1)/c2ccc(OCCN(C)C)cc2)/c3ccccc3	BRD-K93754473-048-05-3	BRD-K93754473	1.774188146	
20585	H-BIOA-002-1	F4	124	EHNA	Biomol International Inc.	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12	BRD-K27450477-001-03-9	BRD-K27450477	9.013383504	
20585	H-BIOA-002-1	F5	125	Loperamide hydrochloride	Prestwick Chemical Inc.	CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	BRD-K61250553-003-05-8	BRD-K61250553	1.947425509	
20585	H-BIOA-002-1	F6	126	DRB	Biomol International Inc.	OC[C@H]1O[C@H](C(O)[C@H]1O)n2cnc3cc(Cl)c(Cl)cc23	BRD-A74904029-001-04-0	BRD-A74904029	7.833535982	
